Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,640.01,642.00,635.00,635.00,5800,643.00
2012-08-01,640.00,643.00,636.69,643.00,29400,643.00
2012-07-31,650.00,653.00,645.50,647.00,30100,647.00
2012-07-30,660.00,662.50,646.00,647.50,96300,647.50
2012-07-27,651.00,662.50,651.00,662.50,12300,662.50
2012-07-26,639.50,652.50,630.01,652.50,17900,652.50
2012-07-25,628.00,637.85,627.50,634.00,24400,634.00
2012-07-24,630.00,642.49,626.00,626.00,38000,626.00
2012-07-23,642.50,644.05,630.80,633.00,29800,633.00
2012-07-20,648.00,658.00,645.00,645.00,74400,645.00
2012-07-19,645.00,654.00,641.51,654.00,5500,654.00
2012-07-18,649.00,649.00,640.51,649.00,18000,649.00
2012-07-17,648.00,648.99,640.00,640.90,15400,640.90
2012-07-16,642.50,646.00,627.65,646.00,31300,646.00
2012-07-13,633.00,634.70,632.26,634.70,5300,634.70
2012-07-12,635.00,640.00,635.00,640.00,26300,640.00
2012-07-11,643.00,646.50,632.51,646.50,9600,646.50
2012-07-10,638.50,643.00,635.00,635.00,6100,635.00
2012-07-09,629.00,638.29,628.51,638.00,7100,638.00
2012-07-06,635.00,638.15,627.20,635.00,76200,635.00
2012-07-05,635.00,641.88,632.00,635.00,50500,635.00
2012-07-04,633.00,638.15,633.00,634.00,2800,634.00
2012-07-03,634.00,639.00,624.63,639.00,49100,639.00
2012-07-02,619.00,633.00,619.00,633.00,45100,633.00
2012-06-29,616.00,623.30,613.06,620.00,37200,620.00
2012-06-28,607.00,610.50,600.01,601.50,7200,601.50
2012-06-27,607.50,607.50,601.65,603.50,21100,603.50
2012-06-26,600.00,606.80,598.00,602.50,13400,602.50
2012-06-25,613.50,613.50,600.00,600.00,20700,600.00
2012-06-22,613.00,619.00,611.10,613.00,13900,613.00
2012-06-21,616.00,621.00,613.38,620.00,40000,620.00
2012-06-20,613.00,621.00,613.00,617.50,43600,617.50
2012-06-19,619.50,620.82,613.00,618.50,64100,618.50
2012-06-18,622.50,622.50,612.00,612.00,35300,612.00
2012-06-15,623.00,623.00,612.85,613.00,44400,613.00
2012-06-14,617.00,625.19,616.00,622.00,28100,622.00
2012-06-13,620.00,622.50,616.00,622.50,23700,622.50
2012-06-12,616.00,622.00,611.72,622.00,88000,622.00
2012-06-11,628.00,631.33,611.00,611.00,65900,611.00
2012-06-08,624.00,624.00,609.50,610.00,29800,610.00
2012-06-07,618.50,623.50,608.01,614.50,24200,614.50
2012-06-06,601.50,615.50,601.50,610.50,25900,610.50
2012-06-01,618.00,618.50,603.00,603.00,33800,603.00
2012-05-31,618.00,618.00,609.00,617.00,60800,617.00
2012-05-30,613.50,619.99,608.00,608.00,51400,608.00
2012-05-29,618.00,623.99,612.50,612.50,50400,612.50
2012-05-28,618.00,622.00,613.00,613.00,20500,613.00
2012-05-25,619.00,624.50,612.00,624.50,27000,624.50
2012-05-24,612.00,615.50,609.00,615.00,25800,615.00
2012-05-23,618.00,618.00,610.00,610.00,29900,610.00
2012-05-22,616.00,621.64,616.00,620.00,7100,620.00
2012-05-21,614.00,618.34,610.01,614.00,21700,614.00
2012-05-14,629.50,629.75,626.51,628.00,20400,628.00
2012-05-11,631.50,647.00,628.13,647.00,34900,647.00
2012-05-10,633.50,634.50,629.68,633.50,12700,633.50
2012-05-09,639.00,639.00,624.00,628.00,16900,628.00
2012-05-08,650.00,656.00,640.00,641.50,12800,641.50
2012-05-04,661.00,664.00,650.50,651.00,34100,651.00
2012-05-03,669.00,675.00,660.00,662.00,53200,662.00
2012-05-02,670.00,672.50,663.00,663.00,28400,663.00
