Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,148.51,151.75,148.48,149.00,63600,149.18
2012-08-01,148.73,150.74,148.70,149.18,41600,149.18
2012-07-31,150.00,150.12,148.01,150.00,77000,150.00
2012-07-30,148.00,149.73,147.51,149.00,53000,149.00
2012-07-27,149.00,150.00,145.51,150.00,40700,150.00
2012-07-26,146.00,148.00,146.00,148.00,34900,148.00
2012-07-25,145.20,145.99,141.00,141.00,1400,141.00
2012-07-24,144.25,146.24,142.50,142.50,44500,142.50
2012-07-23,145.30,147.99,144.00,144.00,28400,144.00
2012-07-20,148.00,150.37,147.00,147.00,76400,147.00
2012-07-19,151.38,151.50,149.75,149.75,63400,149.75
2012-07-18,147.25,151.19,147.00,149.50,50500,149.50
2012-07-17,148.01,149.99,148.01,149.84,33600,149.84
2012-07-16,148.00,150.25,148.00,148.00,46500,148.00
2012-07-13,147.50,149.37,146.69,147.50,18500,147.50
2012-07-12,147.50,149.87,147.50,148.62,44300,148.62
2012-07-11,147.50,149.00,147.01,149.00,50900,149.00
2012-07-10,149.00,149.75,147.51,149.75,58100,149.75
2012-07-09,147.01,149.00,147.00,149.00,34900,149.00
2012-07-06,150.00,150.00,149.00,149.00,28800,149.00
2012-07-05,151.50,153.10,151.00,152.00,66000,152.00
2012-07-04,150.75,151.00,149.12,151.00,40600,151.00
2012-07-03,150.00,151.34,147.38,150.79,51300,150.79
2012-07-02,146.00,149.80,146.00,149.00,108700,149.00
2012-06-29,146.00,148.50,145.00,147.00,212300,147.00
2012-06-28,142.00,144.00,142.00,144.00,13300,144.00
2012-06-27,142.00,143.25,142.00,143.25,34800,143.25
2012-06-26,142.50,142.60,142.00,142.01,34800,142.01
2012-06-25,143.00,143.20,142.00,142.00,22900,142.00
2012-06-22,145.50,145.75,144.00,145.75,97500,145.75
2012-06-21,144.75,146.50,144.27,145.50,72500,145.50
2012-06-20,143.75,147.50,142.50,147.50,246400,147.50
2012-06-19,144.20,144.98,141.00,143.12,10900,143.12
2012-06-18,144.64,144.64,144.64,144.64,12900,144.64
2012-06-15,144.00,144.60,140.50,140.50,43700,140.50
2012-06-14,142.50,142.50,142.50,142.50,000,142.50
2012-06-13,143.00,144.00,141.00,143.00,87300,143.00
2012-06-12,143.00,145.39,142.50,142.50,20700,142.50
2012-06-11,145.00,146.14,142.75,143.00,63300,143.00
2012-06-08,144.75,144.75,140.07,140.75,56000,140.75
2012-06-07,142.75,143.99,141.26,142.50,91100,142.50
2012-06-06,139.50,145.00,139.00,145.00,23600,145.00
2012-06-01,140.25,143.52,138.75,138.75,55400,138.75
2012-05-31,143.00,143.00,143.00,143.00,19100,143.00
2012-05-30,141.00,141.00,141.00,141.00,50800,141.00
2012-05-29,143.00,144.00,142.26,144.00,19400,144.00
2012-05-28,145.77,145.77,142.00,142.00,19000,142.00
2012-05-25,144.00,145.74,144.00,145.27,13300,145.27
2012-05-24,143.48,143.48,141.00,141.75,59200,141.75
2012-05-23,142.00,142.25,142.00,142.00,94400,142.00
2012-05-22,143.00,146.00,143.00,146.00,144400,146.00
2012-05-21,142.00,143.00,140.00,143.00,42200,143.00
2012-05-14,144.00,144.00,144.00,144.00,15400,144.00
2012-05-11,146.00,148.50,146.00,148.50,112900,148.50
2012-05-10,148.00,148.50,146.01,148.50,44400,148.50
2012-05-09,148.00,148.00,145.00,148.00,76800,148.00
2012-05-08,150.00,151.57,150.00,150.00,7800,150.00
2012-05-04,154.00,154.00,150.00,150.00,52900,150.00
2012-05-03,153.50,154.50,152.00,153.00,39400,153.00
2012-05-02,153.00,154.59,152.00,152.00,64800,152.00
2012-05-01,152.25,154.84,151.64,153.75,30300,153.75
2012-04-30,152.51,154.60,152.00,152.00,30900,152.00
2012-04-27,155.00,155.00,153.01,154.00,61400,154.00
2012-04-26,155.00,156.25,154.01,156.25,35900,156.25
2012-04-25,153.67,155.59,153.67,154.67,13700,154.67
2012-04-24,150.50,152.25,150.00,152.00,89600,152.00
2012-04-23,152.00,152.25,151.00,151.00,101700,151.00
2012-04-20,152.83,153.01,152.83,153.01,9100,153.01
2012-04-19,153.51,155.60,152.25,152.25,53400,152.25
2012-04-18,156.17,156.17,153.51,154.50,13100,154.50
2012-04-17,154.00,156.00,154.00,155.50,89900,155.50
2012-04-16,152.00,154.25,152.00,154.00,79600,154.00
2012-04-13,154.50,156.75,153.00,153.00,34400,153.00
2012-04-12,153.00,156.75,153.00,154.50,65300,154.50
2012-04-11,153.50,155.00,152.43,154.76,65500,154.76
2012-04-10,157.25,157.25,153.50,153.50,146800,153.50
2012-04-05,158.00,160.89,157.00,158.00,34700,158.00
2012-04-04,161.00,162.89,158.25,160.50,115700,160.50
2012-04-03,161.25,163.39,161.25,162.25,91800,162.25
2012-04-02,164.89,164.89,160.70,162.00,83300,162.00
2012-03-30,163.50,164.00,162.01,164.00,185000,164.00
2012-03-29,164.00,166.39,161.50,161.50,123200,161.50
2012-03-28,166.00,166.25,165.01,166.25,97800,166.25
2012-03-27,166.50,166.62,166.50,166.50,44600,166.50
2012-03-26,166.25,166.39,163.64,166.00,69600,166.00
2012-03-23,164.00,165.64,163.85,164.00,92200,164.00
2012-03-22,163.50,164.39,161.76,164.00,50900,164.00
2012-03-21,164.00,165.75,164.00,165.00,203000,165.00
2012-03-20,163.00,164.77,162.25,162.26,43500,162.26
2012-03-19,166.00,166.00,163.25,165.50,26100,165.50
2012-03-16,165.50,166.50,163.51,166.50,62000,166.50
2012-03-15,163.25,164.75,162.26,164.25,60200,164.25
2012-03-14,166.00,166.00,164.26,166.00,13600,166.00
2012-03-13,161.50,166.00,161.25,164.00,62100,164.00
2012-03-12,160.50,163.74,159.76,163.25,28000,163.25
2012-03-09,162.00,164.00,161.01,164.00,24300,164.00
2012-03-08,160.00,162.00,159.00,162.00,89500,162.00
2012-03-07,158.25,159.25,157.50,159.00,41300,159.00
2012-03-06,162.00,162.00,158.28,160.00,56100,160.00
2012-03-05,163.00,163.00,162.01,162.15,21000,162.15
2012-03-02,164.00,165.95,163.33,163.33,36600,163.33
2012-03-01,161.00,163.99,160.75,163.00,51900,163.00
