Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,81.99,81.99,79.25,79.25,2500,96.50
2011-06-13,95.00,96.75,95.00,96.50,68000,96.50
2011-06-10,95.50,97.00,95.00,97.00,246500,97.00
2011-06-09,96.50,96.75,95.00,96.50,208300,96.50
2011-06-08,96.79,96.79,96.00,96.75,19700,96.75
2011-06-07,96.00,97.00,89.50,97.00,41500,97.00
2011-06-06,95.00,95.15,95.00,95.00,17800,95.00
2011-06-03,96.78,96.80,95.00,95.00,15900,95.00
2011-06-02,95.15,96.99,95.15,95.15,6100,95.15
2011-06-01,95.01,96.99,95.00,95.50,65500,95.50
2011-05-31,95.01,96.99,95.01,95.50,67700,95.50
2011-05-27,94.76,97.00,94.76,97.00,28600,97.00
2011-05-26,96.90,96.90,94.90,96.90,20800,96.90
2011-05-25,96.50,96.90,96.50,96.90,24700,96.90
2011-05-24,97.01,97.45,97.01,97.45,10000,97.45
2011-05-23,97.20,97.20,97.20,97.20,8200,97.20
2011-05-20,97.01,97.49,97.01,97.15,22800,97.15
2011-05-19,97.25,97.25,97.25,97.25,000,97.25
2011-05-18,97.50,97.50,97.50,97.50,3000,97.50
2011-05-17,97.49,97.49,97.01,97.01,25800,97.01
2011-05-16,97.38,97.59,97.25,97.25,11300,97.25
2011-05-13,98.00,98.00,97.00,97.50,220000,97.50
2011-05-12,97.50,97.50,97.50,97.50,64000,97.50
2011-05-11,97.51,97.99,97.51,97.99,19900,97.99
2011-05-10,97.51,97.99,97.51,97.99,5000,97.99
2011-05-09,97.90,98.00,97.90,98.00,35500,98.00
2011-05-06,97.99,97.99,97.51,97.95,13200,97.95
2011-05-05,97.90,97.90,97.50,97.90,74700,97.90
2011-05-04,97.39,97.99,97.39,97.90,25400,97.90
2011-05-03,97.48,97.48,97.35,97.39,21400,97.39
2011-04-28,97.28,97.28,97.28,97.28,20000,97.28
2011-04-27,97.50,97.50,97.50,97.50,14900,97.50
2011-04-26,97.45,97.45,97.00,97.39,35600,97.39
2011-04-21,97.10,97.40,97.00,97.40,8700,97.40
2011-04-20,97.33,97.33,97.33,97.33,23400,97.33
2011-04-19,96.87,96.90,96.87,96.90,8300,96.90
2011-04-18,96.50,96.50,96.50,96.50,56600,96.50
2011-04-15,97.00,97.00,97.00,97.00,4000,97.00
2011-04-14,98.12,98.12,98.12,98.12,10500,98.12
2011-04-13,97.90,98.12,96.00,98.12,95700,98.12
2011-04-12,98.49,98.49,98.00,98.23,116600,98.23
2011-04-11,98.15,98.25,98.15,98.25,126000,98.25
2011-04-08,97.50,98.50,97.50,98.24,45300,98.24
2011-04-07,98.00,98.49,97.15,98.49,26100,98.49
2011-04-06,97.99,98.00,97.99,98.00,68700,98.00
2011-04-05,97.10,98.00,97.10,98.00,30600,98.00
2011-04-04,97.99,97.99,97.00,97.00,55800,97.00
2011-04-01,97.50,97.74,97.07,97.65,95100,97.65
2011-03-31,97.24,97.25,97.24,97.24,46500,97.24
2011-03-30,96.75,97.00,96.75,96.75,132000,96.75
2011-03-29,96.26,96.26,96.06,96.26,56000,96.26
2011-03-28,96.43,96.43,96.43,96.43,53000,96.43
2011-03-25,94.68,95.40,94.68,95.40,117000,95.40
2011-03-24,94.18,94.18,94.00,94.00,6800,94.00
2011-03-23,94.35,94.35,93.25,94.00,104900,94.00
2011-03-22,94.43,94.43,94.20,94.20,36800,94.20
2011-03-21,93.88,93.90,92.85,93.90,35000,93.90
2011-03-18,92.01,93.25,92.01,93.25,47700,93.25
2011-03-17,92.68,92.68,92.00,92.00,19900,92.00
2011-03-16,92.37,92.50,92.00,92.50,86100,92.50
2011-03-15,94.12,94.12,93.35,93.35,166100,93.35
2011-03-14,94.25,94.37,94.00,94.00,55100,94.00
2011-03-11,94.25,94.37,94.00,94.37,15400,94.37
2011-03-10,94.62,94.62,94.00,94.00,15500,94.00
2011-03-09,95.25,95.50,94.25,94.25,49200,94.25
2011-03-08,95.50,96.00,95.00,95.00,78700,95.00
2011-03-07,95.50,95.85,95.50,95.85,2700,95.85
2011-03-04,95.25,95.35,95.00,95.00,193400,95.00
2011-03-03,94.88,95.37,94.25,95.37,90600,95.37
2011-03-02,95.00,95.38,94.25,95.37,42700,95.37
2011-03-01,95.00,95.45,95.00,95.40,114400,95.40
2011-02-28,95.00,95.35,95.00,95.35,5200,95.35
2011-02-25,95.00,95.35,95.00,95.35,6000,95.35
2011-02-24,94.75,95.25,94.00,95.25,174700,95.25
2011-02-23,94.75,95.25,94.00,95.25,92800,95.25
2011-02-22,96.25,96.25,94.50,95.20,88700,95.20
2011-02-21,96.38,97.50,96.11,97.50,92400,97.50
2011-02-18,96.12,97.00,95.81,96.68,342100,96.68
2011-02-17,96.00,96.50,95.75,95.75,134000,95.75
2011-02-16,95.75,96.00,95.75,96.00,93300,96.00
2011-02-15,95.75,95.89,95.51,95.89,40500,95.89
2011-02-14,95.75,95.89,95.50,95.50,12900,95.50
2011-02-11,96.00,95.50,95.00,95.50,37800,95.50
2011-02-10,96.50,97.00,95.81,96.00,167400,96.00
2011-02-09,95.75,98.00,96.00,96.90,83300,96.90
2011-02-08,95.50,95.95,95.90,95.95,16900,95.95
2011-02-07,95.50,95.95,95.95,95.95,2500,95.95
2011-02-04,95.50,96.00,95.00,95.90,34000,95.90
2011-02-03,95.75,96.00,95.00,95.50,117500,95.50
2011-02-02,95.50,95.95,95.55,95.55,14100,95.55
2011-02-01,94.75,96.00,94.81,95.74,101900,95.74
2011-01-31,95.25,95.40,94.60,94.75,33300,94.75
2011-01-28,95.00,94.75,94.50,94.50,33000,94.50
2011-01-27,95.00,95.50,93.50,95.40,61800,95.40
2011-01-26,94.00,95.50,94.00,95.50,37800,95.50
2011-01-25,94.00,93.97,93.75,93.97,38100,93.97
2011-01-24,93.75,94.00,93.26,93.95,36400,93.95
2011-01-21,93.50,93.50,93.25,93.47,22300,93.47
2011-01-20,93.50,93.50,93.25,93.47,44700,93.47
2011-01-19,93.50,93.50,93.47,93.47,22000,93.47
2011-01-18,93.25,93.50,93.01,93.47,32100,93.47
2011-01-17,93.25,93.50,92.62,93.25,49600,93.25
2011-01-14,93.25,94.16,92.32,93.74,33300,93.74
2011-01-13,93.25,93.75,92.60,93.75,23500,93.75
2011-01-12,92.50,93.50,92.26,92.50,52900,92.50
2011-01-11,92.75,93.40,92.00,93.40,86000,93.40
2011-01-10,93.25,93.25,92.00,92.00,82000,92.00
2011-01-07,93.00,94.00,92.00,92.20,63100,92.20
2011-01-06,92.50,91.32,91.32,91.32,12800,91.32
2011-01-05,92.50,94.00,93.70,94.00,25800,94.00
2011-01-04,92.25,93.99,91.30,91.30,4200,91.30
2010-12-31,92.00,92.00,92.00,92.00,000,92.00
2010-12-30,91.75,92.75,92.75,92.75,4600,92.75
2010-12-29,91.50,92.00,91.90,91.90,18400,91.90
2010-12-24,91.50,91.90,91.75,91.90,17000,91.90
2010-12-23,91.50,92.00,91.01,91.01,9000,91.01
2010-12-22,91.50,91.90,91.01,91.90,19000,91.90
2010-12-21,91.50,92.00,91.80,91.99,34300,91.99
2010-12-20,91.25,91.80,91.00,91.05,43300,91.05
2010-12-17,91.00,91.39,91.39,91.39,2500,91.39
2010-12-16,91.00,91.39,90.75,91.30,11000,91.30
2010-12-15,91.00,91.25,90.50,90.50,27300,90.50
2010-12-14,90.75,91.50,90.05,90.05,30000,90.05
2010-12-13,90.00,90.90,89.05,90.60,43400,90.60
2010-12-10,90.00,90.00,90.00,90.00,000,90.00
2010-12-09,90.00,90.90,89.00,90.90,47600,90.90
2010-12-08,90.00,89.10,89.10,89.10,1600,89.10
2010-12-07,90.00,90.40,89.00,90.25,82000,90.25
2010-12-06,89.50,90.10,90.10,90.10,1900,90.10
2010-12-03,89.50,90.10,88.50,88.50,9800,88.50
2010-12-02,88.75,90.00,89.50,90.00,34600,90.00
2010-12-01,88.50,89.40,87.51,89.00,33100,89.00
2010-11-30,89.25,89.40,88.00,89.00,26400,89.00
2010-11-29,89.50,90.50,88.00,88.10,34300,88.10
2010-11-26,89.75,90.90,90.50,90.50,5700,90.50
2010-11-25,90.00,90.50,88.60,88.60,2200,88.60
2010-11-24,90.00,91.00,89.50,89.50,30300,89.50
2010-11-23,90.00,91.40,91.40,91.40,2100,91.40
2010-11-22,90.75,92.00,91.50,92.00,65500,92.00
2010-11-19,91.00,89.50,89.50,89.50,9000,89.50
2010-11-18,90.50,92.00,89.00,92.00,17300,92.00
2010-11-17,90.50,91.75,89.01,91.10,9600,91.10
2010-11-16,91.75,91.10,89.00,91.10,35000,91.10
2010-11-15,92.50,93.12,91.00,93.00,16600,93.00
2010-11-12,92.75,92.75,92.75,92.75,000,92.75
2010-11-11,94.00,92.50,92.50,92.50,28100,92.50
2010-11-10,94.00,94.00,93.00,94.00,5200,94.00
2010-11-09,94.00,94.50,92.00,94.49,67800,94.49
2010-11-08,94.25,94.49,93.01,93.01,2100,93.01
2010-11-05,94.00,94.50,93.50,94.44,46200,94.44
2010-11-04,94.00,94.20,93.00,94.20,33500,94.20
2010-11-03,94.00,94.40,94.40,94.40,1000,94.40
2010-11-02,94.00,94.50,93.01,94.40,15900,94.40
2010-11-01,94.00,94.45,93.00,93.00,246400,93.00
