Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,90.17,90.23,88.64,90.00,20700,88.50
2012-08-02,89.25,90.23,88.49,88.50,45400,88.50
2012-08-01,90.00,91.00,87.25,91.00,92100,91.00
2012-07-31,91.00,91.00,87.16,87.50,61800,87.50
2012-07-27,87.75,90.74,86.00,88.50,138000,88.50
2012-07-26,88.50,90.50,87.00,87.00,155100,87.00
2012-07-25,91.25,91.25,88.25,88.50,138500,88.50
2012-07-24,92.75,93.75,90.75,90.75,90800,90.75
2012-07-23,94.75,97.40,91.49,92.50,94800,92.50
2012-07-20,95.25,98.89,94.19,94.75,104300,94.75
2012-07-19,99.75,99.75,96.00,97.00,116400,97.00
2012-07-18,102.75,105.25,98.81,99.75,443600,99.75
2012-07-17,107.00,107.00,98.25,100.00,438900,100.00
2012-07-16,103.25,107.00,103.00,104.00,49400,104.00
2012-07-13,106.00,107.75,104.25,106.00,96600,106.00
2012-07-12,106.25,106.25,106.00,106.25,49500,106.25
2012-07-11,110.00,111.04,106.12,108.50,90100,108.50
2012-07-10,106.50,110.25,106.50,109.00,34300,109.00
2012-07-09,110.50,110.75,106.50,106.50,25800,106.50
2012-07-06,110.00,115.00,106.82,108.75,142500,108.75
2012-07-05,111.25,114.44,110.00,110.00,93400,110.00
2012-07-04,112.00,116.00,107.36,111.79,216400,111.79
2012-07-03,101.00,111.25,100.25,110.00,472600,110.00
2012-07-02,98.50,104.75,98.50,101.00,128800,101.00
2012-06-29,99.00,100.25,95.03,100.25,38600,100.25
2012-06-28,95.00,98.50,95.00,96.75,42700,96.75
2012-06-27,100.25,101.75,96.00,96.50,96600,96.50
2012-06-26,108.25,109.51,97.28,100.00,112600,100.00
2012-06-25,115.00,115.00,106.25,106.25,107400,106.25
2012-06-22,117.25,118.50,113.00,113.00,115200,113.00
2012-06-21,120.00,120.00,117.00,120.00,42200,120.00
2012-06-20,114.50,127.25,114.25,120.00,386700,120.00
2012-06-19,109.00,114.50,109.00,114.50,111400,114.50
2012-06-18,100.00,110.46,99.50,108.75,200000,108.75
2012-06-15,96.50,100.31,94.25,100.25,489800,100.25
2012-06-14,89.75,97.00,88.75,96.50,125100,96.50
2012-06-13,89.25,90.50,87.00,89.75,252600,89.75
2012-06-12,93.00,93.62,84.93,88.50,218900,88.50
2012-06-11,96.50,99.75,93.00,93.00,77000,93.00
2012-06-08,95.00,96.25,93.25,94.25,135400,94.25
2012-06-07,97.75,102.00,95.75,96.50,239200,96.50
2012-06-06,95.00,100.75,95.00,97.50,132900,97.50
2012-06-01,101.75,105.00,95.50,95.50,191400,95.50
2012-05-31,108.75,111.50,100.25,102.25,248900,102.25
2012-05-30,106.00,111.50,106.00,109.00,148200,109.00
2012-05-29,110.50,110.50,106.88,107.25,32300,107.25
2012-05-28,111.00,111.25,106.25,107.75,105700,107.75
2012-05-25,112.00,112.50,107.80,108.50,68500,108.50
2012-05-24,110.25,112.75,105.25,111.00,164600,111.00
2012-05-23,113.75,116.50,109.25,109.50,147700,109.50
2012-05-22,116.75,117.12,112.50,114.25,75600,114.25
2012-05-21,118.00,118.00,113.25,115.75,121500,115.75
2012-05-18,118.00,122.74,112.35,115.75,132400,115.75
2012-05-17,118.75,124.51,116.50,119.00,283400,119.00
2012-05-16,116.50,121.72,114.25,118.00,254800,118.00
2012-05-14,111.00,115.75,110.25,113.25,119700,113.25
2012-05-11,118.00,120.81,108.50,115.00,215800,115.00
2012-05-10,121.00,124.00,115.66,115.75,319700,115.75
2012-05-09,127.75,127.75,118.50,122.75,161100,122.75
2012-05-08,128.25,130.00,122.75,129.00,740600,129.00
2012-05-04,135.00,138.00,130.00,131.00,579000,131.00
2012-05-03,133.75,137.75,132.50,136.00,175400,136.00
2012-05-02,136.00,137.09,128.50,130.50,641000,130.50
2012-05-01,139.25,139.25,135.00,136.00,492300,136.00
2012-04-30,140.00,140.50,133.54,137.00,121400,137.00
2012-04-27,136.75,139.25,131.60,135.25,517800,135.25
2012-04-26,137.50,139.19,134.82,135.25,338700,135.25
2012-04-25,136.00,140.50,135.00,136.00,264300,136.00
2012-04-24,131.00,138.00,131.00,135.00,69900,135.00
2012-04-23,134.25,137.50,130.25,130.25,56800,130.25
2012-04-20,141.50,144.00,135.18,137.00,151900,137.00
2012-04-19,148.75,148.75,141.00,141.00,95100,141.00
2012-04-18,146.75,149.50,142.25,147.75,74700,147.75
2012-04-17,146.50,151.25,142.65,148.50,67100,148.50
2012-04-16,143.50,145.75,141.75,143.50,132500,143.50
2012-04-13,148.00,152.00,145.75,146.75,116500,146.75
2012-04-12,147.25,148.75,144.75,148.75,64200,148.75
2012-04-11,148.00,150.00,147.53,150.00,26800,150.00
2012-04-10,153.50,155.00,146.25,148.00,106600,148.00
2012-04-05,160.25,163.00,158.00,158.00,645100,158.00
2012-04-04,159.00,162.00,156.75,162.00,278900,162.00
2012-04-03,156.00,160.94,155.50,160.00,208200,160.00
2012-04-02,160.00,160.59,154.75,156.58,152600,156.58
2012-03-30,159.00,165.25,158.00,160.00,351200,160.00
2012-03-29,157.75,162.97,152.59,157.25,293500,157.25
2012-03-28,179.50,179.50,157.15,157.75,464900,157.75
2012-03-27,185.00,185.00,180.00,183.75,85900,183.75
2012-03-26,183.00,186.25,179.17,185.00,68800,185.00
2012-03-23,183.25,187.85,179.33,181.00,104700,181.00
2012-03-22,182.75,190.50,179.66,181.75,92400,181.75
2012-03-21,189.00,192.97,183.82,186.00,183600,186.00
2012-03-20,174.50,187.75,173.80,187.75,157600,187.75
2012-03-19,176.25,176.25,169.25,176.00,76500,176.00
2012-03-16,172.75,176.61,168.47,171.75,188900,171.75
2012-03-15,172.50,178.04,169.27,173.75,40700,173.75
2012-03-14,176.00,178.40,171.50,171.50,107200,171.50
2012-03-13,175.25,177.75,173.34,176.50,33500,176.50
