Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,109.00,109.00,108.40,108.80,279800,108.70
2012-08-01,108.60,108.80,108.50,108.70,567500,108.70
2012-07-31,108.50,108.74,108.50,108.60,140700,108.60
2012-07-30,109.00,109.00,108.45,108.60,456700,108.60
2012-07-27,108.60,109.00,108.50,108.50,1628900,108.50
2012-07-26,108.50,108.75,108.50,108.60,1101800,108.60
2012-07-25,109.00,109.00,108.59,108.70,225700,108.70
2012-07-24,108.10,109.26,108.10,108.80,692200,108.80
2012-07-23,108.00,109.00,107.00,108.50,324200,108.50
2012-07-20,108.60,108.60,108.30,108.60,990600,108.60
2012-07-19,108.20,108.70,108.20,108.40,570200,108.40
2012-07-18,108.70,108.70,108.00,108.10,323600,108.10
2012-07-17,109.00,109.00,108.35,108.50,297200,108.50
2012-07-16,108.20,109.00,107.80,109.00,319500,109.00
2012-07-13,106.70,108.10,106.70,108.10,451100,108.10
2012-07-12,107.00,107.00,107.00,107.00,442100,107.00
2012-07-11,106.70,106.90,106.60,106.70,609100,106.70
2012-07-10,106.60,106.90,106.60,106.80,199200,106.80
2012-07-09,106.80,106.90,106.60,106.70,635000,106.70
2012-07-06,107.20,107.20,106.70,107.00,1125200,107.00
2012-07-05,107.20,107.20,106.70,107.00,105500,107.00
2012-07-04,107.50,107.50,106.80,107.00,137900,107.00
2012-07-03,107.20,107.50,107.10,107.50,152200,107.50
2012-07-02,106.50,107.40,106.50,107.40,632800,107.40
2012-06-29,106.90,106.90,106.30,106.70,468400,106.70
2012-06-28,106.50,106.63,106.10,106.50,865400,106.50
2012-06-27,107.50,107.60,106.15,106.80,3465000,106.80
2012-06-26,108.10,108.10,107.17,107.70,1883200,107.70
2012-06-25,108.40,108.50,107.90,108.40,1026400,108.40
2012-06-22,108.20,108.40,107.90,107.90,221700,107.90
2012-06-21,108.30,108.40,108.00,108.00,111900,108.00
2012-06-20,107.90,108.30,107.90,108.30,369700,108.30
2012-06-19,107.70,108.20,107.70,108.10,412900,108.10
2012-06-18,108.00,108.00,107.50,107.70,615200,107.70
2012-06-15,108.00,108.57,107.60,108.50,2260400,108.50
2012-06-14,107.50,108.00,107.40,108.00,700300,108.00
2012-06-13,107.00,107.50,107.00,107.20,313200,107.20
2012-06-12,107.40,107.40,107.00,107.00,658500,107.00
2012-06-11,107.20,107.40,107.01,107.20,915800,107.20
2012-06-08,106.80,107.30,106.80,107.00,440700,107.00
2012-06-07,106.80,107.00,106.80,107.00,336300,107.00
2012-06-06,107.30,107.30,106.80,106.80,251200,106.80
2012-06-01,106.70,107.20,106.70,106.70,285500,106.70
2012-05-31,107.30,107.30,106.80,106.90,921100,106.90
2012-05-30,106.90,107.50,106.70,107.00,349400,107.00
2012-05-29,107.40,107.50,106.70,107.00,1271700,107.00
2012-05-28,106.80,107.30,106.40,107.00,185400,107.00
2012-05-25,106.50,106.80,106.30,106.50,444300,106.50
2012-05-24,106.00,106.80,106.00,106.30,278300,106.30
2012-05-23,106.10,106.70,106.00,106.10,573700,106.10
2012-05-22,106.00,106.60,106.00,106.10,706300,106.10
2012-05-21,106.00,106.80,106.00,106.00,258000,106.00
2012-05-14,106.50,107.30,106.50,106.60,262000,106.60
2012-05-11,106.80,107.00,105.90,106.90,431300,106.90
2012-05-10,106.40,106.80,106.10,106.30,424100,106.30
2012-05-09,105.50,106.30,105.50,106.00,599900,106.00
2012-05-08,106.30,106.30,105.50,105.50,647200,105.50
2012-05-04,106.90,106.99,106.30,106.40,205900,106.40
2012-05-03,106.50,107.00,106.50,106.50,588300,106.50
2012-05-02,107.00,107.10,106.70,106.80,385300,106.80
2012-05-01,106.70,107.20,106.70,107.00,222300,107.00
2012-04-30,106.70,107.20,106.70,106.70,349600,106.70
2012-04-27,107.00,107.20,106.70,106.70,374600,106.70
2012-04-26,106.30,107.20,106.00,106.80,282100,106.80
2012-04-25,107.30,107.30,106.90,107.10,243700,107.10
2012-04-24,106.90,107.40,106.90,107.00,308800,107.00
2012-04-23,106.90,107.40,106.90,107.10,277700,107.10
2012-04-20,106.90,107.40,106.90,107.10,290400,107.10
2012-04-19,106.70,107.40,106.70,107.00,689700,107.00
2012-04-18,106.70,107.10,106.70,107.10,325300,107.10
2012-04-17,106.60,107.10,106.60,106.70,366700,106.70
2012-04-16,106.30,107.00,106.30,106.70,292200,106.70
2012-04-13,106.80,106.80,106.40,106.60,214600,106.60
2012-04-12,106.60,106.79,106.10,106.60,360300,106.60
2012-04-11,106.40,106.80,106.10,106.60,296500,106.60
2012-04-10,106.00,106.99,106.00,106.50,712200,106.50
2012-04-05,106.50,106.79,106.40,106.60,702800,106.60
2012-04-04,106.70,106.70,106.22,106.70,389500,106.70
2012-04-03,106.40,106.70,106.00,106.20,750300,106.20
2012-04-02,106.70,106.70,106.20,106.40,740200,106.40
2012-03-30,106.50,106.60,106.10,106.40,775400,106.40
2012-03-29,106.30,106.50,106.20,106.40,318900,106.40
2012-03-28,106.50,106.70,106.30,106.50,371900,106.50
2012-03-27,106.80,106.80,106.37,106.50,540800,106.50
2012-03-26,106.80,106.80,106.57,106.60,573300,106.60
2012-03-23,106.80,106.80,106.50,106.60,900200,106.60
2012-03-22,106.80,106.80,106.40,106.80,400700,106.80
2012-03-21,106.80,106.80,106.33,106.60,844400,106.60
2012-03-20,109.30,109.50,109.00,109.50,280300,109.50
2012-03-19,109.50,109.50,109.10,109.50,490400,109.50
2012-03-16,109.30,109.60,109.20,109.30,995200,109.30
2012-03-15,110.00,110.00,109.20,109.30,433000,109.30
2012-03-14,109.90,110.20,109.70,110.20,202800,110.20
2012-03-13,110.00,110.00,109.50,109.90,403700,109.90
2012-03-12,109.40,109.90,109.40,109.70,181400,109.70
2012-03-09,109.40,109.80,109.40,109.60,287700,109.60
2012-03-08,109.50,109.80,109.10,109.80,392500,109.80
2012-03-07,109.60,109.60,109.10,109.20,302800,109.20
2012-03-06,109.40,109.90,109.40,109.90,204800,109.90
2012-03-05,109.90,109.90,109.50,109.70,107000,109.70
2012-03-02,109.30,109.90,109.30,109.90,599200,109.90
