Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,490.35,499.75,490.35,493.75,500,498.00
2012-08-01,496.25,498.50,492.69,498.00,70100,498.00
2012-07-31,494.00,497.80,492.62,493.25,95000,493.25
2012-07-30,489.50,497.38,488.95,494.00,39000,494.00
2012-07-27,483.75,490.00,482.75,490.00,46600,490.00
2012-07-26,478.00,481.05,474.86,479.00,11900,479.00
2012-07-25,471.00,478.50,465.61,478.50,63300,478.50
2012-07-24,474.00,480.33,467.50,470.00,49900,470.00
2012-07-23,490.00,490.00,472.50,478.50,14200,478.50
2012-07-20,491.00,495.50,488.00,494.25,24700,494.25
2012-07-19,492.25,497.00,489.00,497.00,56800,497.00
2012-07-18,488.75,492.74,486.95,491.50,13700,491.50
2012-07-17,488.50,493.00,486.00,491.00,133000,491.00
2012-07-16,485.75,490.75,485.75,487.00,28400,487.00
2012-07-13,488.75,491.49,483.00,483.00,51400,483.00
2012-07-12,488.00,489.50,488.00,488.00,48600,488.00
2012-07-11,488.25,490.50,485.75,490.00,20500,490.00
2012-07-10,488.50,492.29,487.00,490.50,19600,490.50
2012-07-09,488.50,490.50,485.75,485.75,33800,485.75
2012-07-06,491.25,491.60,487.00,487.00,43300,487.00
2012-07-05,493.00,500.00,493.00,494.00,19000,494.00
2012-07-04,491.75,501.50,489.25,501.50,11900,501.50
2012-07-03,480.00,498.00,480.00,494.00,35200,494.00
2012-07-02,480.00,484.30,476.10,482.00,343600,482.00
2012-06-29,471.00,482.50,471.00,482.50,32700,482.50
2012-06-28,463.25,470.00,463.25,470.00,24700,470.00
2012-06-27,465.50,470.00,461.88,470.00,23200,470.00
2012-06-26,463.50,464.62,461.50,461.50,19700,461.50
2012-06-25,461.50,463.24,455.00,455.00,15400,455.00
2012-06-22,465.25,466.25,461.66,466.25,35200,466.25
2012-06-21,472.75,476.38,468.50,473.25,35700,473.25
2012-06-20,481.75,481.75,475.00,475.00,35000,475.00
2012-06-19,477.00,482.27,477.00,477.00,19700,477.00
2012-06-18,480.00,481.50,475.25,475.25,60400,475.25
2012-06-15,467.40,483.00,461.00,461.00,540000,461.00
2012-06-14,467.60,475.90,467.60,470.20,23400,470.20
2012-06-13,469.60,477.00,467.52,470.00,66400,470.00
2012-06-12,466.30,472.00,465.50,472.00,54400,472.00
2012-06-11,474.00,484.08,465.50,465.50,74200,465.50
2012-06-08,481.00,481.00,469.27,478.00,32400,478.00
2012-06-07,467.20,478.75,465.10,475.00,29700,475.00
2012-06-06,462.90,472.00,460.50,469.50,55100,469.50
2012-06-01,462.00,469.64,452.50,454.80,43600,454.80
2012-05-31,471.50,472.50,463.00,463.00,39700,463.00
2012-05-30,467.60,468.70,462.90,464.90,34900,464.90
2012-05-29,466.50,471.80,463.50,464.50,17000,464.50
2012-05-28,463.00,469.88,458.70,460.00,62500,460.00
2012-05-25,466.90,466.90,458.00,458.00,247500,458.00
2012-05-24,457.00,466.60,456.50,459.50,34200,459.50
2012-05-23,475.00,475.00,455.00,455.00,99500,455.00
2012-05-22,464.20,476.50,464.20,473.00,79300,473.00
2012-05-21,459.10,470.71,456.11,467.70,80500,467.70
2012-05-14,491.10,498.40,490.89,491.10,32300,491.10
2012-05-11,497.50,505.00,497.00,498.00,32700,498.00
2012-05-10,504.50,505.50,499.70,502.00,40500,502.00
2012-05-09,502.00,509.50,497.00,498.00,67300,498.00
2012-05-08,518.00,518.00,502.49,505.00,113400,505.00
2012-05-04,534.00,534.00,517.50,524.00,81800,524.00
2012-05-03,538.00,539.56,533.00,536.50,25200,536.50
2012-05-02,546.00,547.14,537.00,544.00,80000,544.00
2012-05-01,539.00,544.50,539.00,542.00,37500,542.00
2012-04-30,540.50,555.00,535.50,543.50,169500,543.50
2012-04-27,535.50,547.00,535.50,547.00,26100,547.00
2012-04-26,545.00,545.50,537.50,541.50,19900,541.50
2012-04-25,546.50,546.50,538.50,539.50,42600,539.50
2012-04-24,548.00,548.00,535.50,535.50,19800,535.50
2012-04-23,559.00,559.00,540.00,540.50,27900,540.50
2012-04-20,551.00,560.00,548.60,560.00,6900,560.00
2012-04-19,549.50,556.50,549.00,556.50,17600,556.50
2012-04-18,549.50,555.90,549.50,553.50,27100,553.50
2012-04-17,550.50,556.00,548.00,550.00,45500,550.00
2012-04-16,560.00,560.00,548.50,551.00,38800,551.00
2012-04-13,555.50,558.90,550.10,550.50,28200,550.50
2012-04-12,555.00,562.00,550.50,562.00,25200,562.00
2012-04-11,556.00,561.50,552.50,560.00,33800,560.00
2012-04-10,565.00,568.50,554.00,554.00,43400,554.00
2012-04-05,577.00,577.00,565.50,569.00,18100,569.00
2012-04-04,578.00,583.00,568.00,568.50,35400,568.50
2012-04-03,580.50,583.00,572.87,581.50,26600,581.50
2012-04-02,574.00,582.00,571.00,577.00,45600,577.00
2012-03-30,575.50,578.00,566.82,578.00,80000,578.00
2012-03-29,577.00,583.90,565.00,565.00,40200,565.00
2012-03-28,582.50,585.30,577.01,578.50,41700,578.50
2012-03-27,586.00,591.50,578.08,581.00,56000,581.00
2012-03-26,579.00,584.00,572.60,584.00,51700,584.00
2012-03-23,573.50,579.00,571.00,578.00,43300,578.00
2012-03-22,584.50,590.40,573.00,573.00,27400,573.00
