Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,350.00,350.00,350.00,350.00,1000,350.00
2012-08-02,350.00,350.00,350.00,350.00,1000,350.00
2012-08-01,346.50,346.50,345.65,345.65,30000,345.65
2012-07-31,348.80,349.00,343.50,346.50,387400,346.50
2012-07-30,348.00,348.00,341.00,341.00,931100,341.00
2012-07-27,353.50,353.50,348.01,350.00,24500,350.00
2012-07-26,346.00,356.00,346.00,356.00,170700,356.00
2012-07-25,349.00,349.01,346.00,346.00,22000,346.00
2012-07-24,355.00,355.00,347.01,349.00,7600,349.00
2012-07-23,346.00,353.50,346.00,346.00,33900,346.00
2012-07-20,344.00,348.80,343.00,346.00,12100,346.00
2012-07-19,345.00,347.25,344.00,346.00,146200,346.00
2012-07-18,344.00,348.50,344.00,345.00,72400,345.00
2012-07-17,347.00,347.00,335.00,345.00,45500,345.00
2012-07-16,352.00,353.80,345.00,347.00,50000,347.00
2012-07-13,356.00,357.75,353.00,353.00,15200,353.00
2012-07-12,356.00,357.50,356.00,356.00,25500,356.00
2012-07-11,363.00,364.50,357.00,357.00,26100,357.00
2012-07-10,370.00,374.50,365.00,365.00,44900,365.00
2012-07-09,375.00,380.00,370.00,370.00,24500,370.00
2012-07-06,375.00,379.00,375.00,375.00,4500,375.00
2012-07-05,367.00,380.00,367.00,370.00,300,370.00
2012-07-04,363.00,378.12,363.00,365.00,13200,365.00
2012-07-03,362.00,363.00,362.00,363.00,300,363.00
2012-07-02,361.00,370.00,361.00,362.00,11900,362.00
2012-06-29,362.00,365.00,362.00,365.00,4000,365.00
2012-06-28,361.00,370.00,361.00,365.00,13700,365.00
2012-06-27,365.00,365.00,365.00,365.00,000,365.00
2012-06-26,361.00,361.00,361.00,361.00,1200,361.00
2012-06-25,362.00,362.00,362.00,362.00,1500,362.00
2012-06-22,365.00,365.00,365.00,365.00,1900,365.00
2012-06-21,370.00,370.00,362.00,368.00,25600,368.00
2012-06-20,370.00,370.00,361.75,370.00,27900,370.00
2012-06-19,364.00,370.00,364.00,370.00,000,370.00
2012-06-18,364.00,364.00,364.00,364.00,800,364.00
2012-06-15,370.00,370.22,365.00,370.00,142500,370.00
2012-06-14,370.00,370.00,360.00,368.50,26700,368.50
2012-06-13,364.00,368.00,361.00,361.25,22800,361.25
2012-06-12,365.00,366.25,362.00,362.00,24400,362.00
2012-06-11,364.00,370.00,364.00,365.00,13600,365.00
2012-06-08,363.50,370.00,363.50,370.00,28200,370.00
2012-06-07,364.25,367.12,363.00,365.00,156400,365.00
2012-06-06,366.00,369.00,355.00,365.00,44100,365.00
2012-06-01,365.00,366.00,365.00,366.00,11600,366.00
2012-05-31,366.00,368.00,364.00,368.00,12100,368.00
2012-05-30,364.00,365.00,364.00,365.00,10200,365.00
2012-05-29,363.00,365.00,360.00,363.00,36000,363.00
2012-05-28,365.00,365.00,362.00,362.50,16800,362.50
2012-05-25,365.00,365.00,365.00,365.00,7500,365.00
