Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1251.00,1281.00,1250.00,1262.00,7900,1258.00
2012-08-02,1251.00,1281.00,1250.00,1258.00,24500,1258.00
2012-08-01,1276.00,1279.80,1251.00,1258.00,22300,1258.00
2012-07-31,1282.00,1282.00,1259.00,1270.00,13400,1270.00
2012-07-27,1265.00,1295.00,1259.00,1282.00,53300,1282.00
2012-07-26,1235.00,1272.00,1230.00,1266.00,106200,1266.00
2012-07-25,1239.00,1250.00,1232.00,1236.00,23600,1236.00
2012-07-24,1241.00,1253.00,1236.37,1240.00,27100,1240.00
2012-07-23,1250.00,1254.78,1229.00,1241.00,38800,1241.00
2012-07-20,1259.00,1264.53,1240.00,1263.00,31400,1263.00
2012-07-19,1240.00,1277.00,1240.00,1268.00,47100,1268.00
2012-07-18,1202.00,1254.00,1202.00,1245.00,70900,1245.00
2012-07-17,1223.00,1229.91,1211.23,1221.00,28000,1221.00
2012-07-16,1202.00,1219.00,1202.00,1216.00,56700,1216.00
2012-07-13,1204.00,1212.00,1192.76,1208.00,34300,1208.00
2012-07-12,1207.00,1210.31,1207.00,1205.00,79800,1205.00
2012-07-11,1207.00,1221.00,1200.00,1207.00,54300,1207.00
2012-07-10,1206.00,1235.00,1203.00,1220.00,51100,1220.00
2012-07-09,1222.00,1222.35,1192.40,1208.00,36300,1208.00
2012-07-06,1203.00,1216.00,1198.00,1216.00,45200,1216.00
2012-07-05,1238.00,1240.44,1188.00,1194.00,306000,1194.00
2012-07-04,1261.00,1265.00,1206.00,1230.00,107300,1230.00
2012-07-03,1270.00,1272.00,1236.41,1256.00,89200,1256.00
2012-07-02,1267.00,1280.00,1258.00,1259.00,48700,1259.00
2012-06-29,1287.00,1290.36,1242.00,1258.00,32400,1258.00
2012-06-28,1247.00,1256.98,1225.00,1253.00,40100,1253.00
2012-06-27,1250.00,1271.00,1237.00,1242.00,42300,1242.00
2012-06-26,1220.00,1262.00,1220.00,1249.00,46000,1249.00
2012-06-25,1240.00,1258.16,1225.00,1225.00,43200,1225.00
2012-06-22,1261.00,1270.00,1245.00,1251.00,18600,1251.00
2012-06-21,1266.00,1278.00,1254.00,1255.00,37300,1255.00
2012-06-20,1275.00,1288.00,1269.00,1275.00,44100,1275.00
2012-06-19,1255.00,1286.00,1251.00,1280.00,64700,1280.00
2012-06-18,1259.00,1277.00,1243.00,1256.00,101000,1256.00
2012-06-15,1209.00,1257.00,1208.00,1249.00,139600,1249.00
2012-06-14,1194.00,1218.00,1184.48,1207.00,29400,1207.00
2012-06-13,1162.00,1204.00,1162.00,1204.00,37400,1204.00
2012-06-12,1214.00,1218.00,1166.00,1167.00,45600,1167.00
2012-06-11,1252.00,1265.98,1216.00,1216.00,41500,1216.00
2012-06-08,1216.00,1267.00,1214.50,1242.00,54200,1242.00
2012-06-07,1210.00,1236.00,1197.00,1230.00,56800,1230.00
2012-06-06,1167.00,1200.00,1156.28,1200.00,38900,1200.00
2012-06-01,1168.00,1168.85,1152.60,1164.00,42100,1164.00
2012-05-31,1161.00,1189.00,1160.80,1168.00,48600,1168.00
2012-05-30,1165.00,1177.70,1152.00,1163.00,41100,1163.00
2012-05-29,1189.00,1189.00,1167.00,1180.00,27700,1180.00
2012-05-28,1195.00,1197.00,1147.00,1162.00,44800,1162.00
2012-05-25,1170.00,1183.00,1157.60,1167.00,48700,1167.00
2012-05-24,1187.45,1187.44,1148.00,1160.00,49100,1160.00
2012-05-23,1145.00,1166.00,1136.00,1160.00,40400,1160.00
2012-05-22,1167.00,1173.00,1139.49,1152.00,44000,1152.00
2012-05-21,1157.00,1186.00,1146.35,1155.00,47600,1155.00
2012-05-18,1141.00,1180.00,1132.02,1154.00,59600,1154.00
2012-05-17,1140.00,1189.06,1137.43,1155.00,157200,1155.00
2012-05-16,1147.00,1184.00,1122.80,1156.00,49800,1156.00
2012-05-14,1158.00,1196.27,1146.00,1171.00,95700,1171.00
2012-05-11,1145.00,1173.12,1144.00,1173.00,48600,1173.00
2012-05-10,1142.00,1167.00,1128.00,1156.00,51500,1156.00
2012-05-09,1132.00,1145.00,1106.87,1139.00,63700,1139.00
2012-05-08,1144.00,1154.00,1106.00,1136.00,118200,1136.00
2012-05-04,1176.00,1177.00,1132.00,1168.25,45000,1168.25
2012-05-03,1178.00,1193.00,1156.00,1176.00,30200,1176.00
2012-05-02,1183.00,1233.00,1173.00,1182.00,92900,1182.00
2012-05-01,1151.00,1191.00,1151.00,1191.00,36100,1191.00
2012-04-30,1172.00,1190.10,1148.00,1166.00,35400,1166.00
2012-04-27,1143.00,1178.00,1143.00,1172.00,88800,1172.00
2012-04-26,1159.00,1167.17,1145.00,1156.00,63900,1156.00
2012-04-25,1137.00,1153.00,1137.00,1147.00,56700,1147.00
2012-04-24,1118.00,1144.01,1112.00,1137.00,62200,1137.00
2012-04-23,1147.00,1166.55,1106.00,1120.00,148200,1120.00
2012-04-20,1136.00,1151.11,1106.00,1151.00,113600,1151.00
2012-04-19,1177.00,1180.40,1126.51,1136.00,99300,1136.00
2012-04-18,1178.00,1185.00,1160.00,1179.00,73300,1179.00
2012-04-17,1155.00,1180.00,1142.00,1180.00,204300,1180.00
2012-04-16,1111.00,1149.13,1111.00,1132.00,85100,1132.00
2012-04-13,1125.00,1146.00,1115.00,1117.00,85600,1117.00
2012-04-12,1126.00,1148.00,1116.00,1131.00,71400,1131.00
2012-04-11,1095.00,1131.56,1089.00,1122.00,139600,1122.00
2012-04-10,1100.00,1141.25,1095.00,1095.00,152200,1095.00
2012-04-05,1110.00,1128.40,1096.00,1107.00,50000,1107.00
2012-04-04,1134.00,1144.25,1108.00,1108.00,166400,1108.00
2012-04-03,1143.00,1166.00,1133.10,1135.00,99800,1135.00
2012-04-02,1133.00,1150.89,1117.20,1137.00,70600,1137.00
2012-03-30,1134.00,1152.00,1116.84,1134.00,52200,1134.00
2012-03-29,1163.00,1171.00,1119.81,1135.00,73400,1135.00
2012-03-28,1194.00,1197.67,1163.00,1168.00,187900,1168.00
2012-03-27,1213.00,1213.00,1186.00,1192.00,63000,1192.00
2012-03-26,1178.00,1208.25,1169.00,1206.00,60100,1206.00
2012-03-23,1190.00,1218.53,1148.51,1179.00,161700,1179.00
2012-03-22,1203.00,1216.70,1174.00,1197.00,105900,1197.00
2012-03-21,1225.00,1233.00,1202.00,1203.00,90100,1203.00
2012-03-20,1223.00,1236.00,1208.00,1218.00,73200,1218.00
2012-03-19,1207.00,1250.00,1194.00,1224.00,170000,1224.00
2012-03-16,1213.00,1231.73,1203.58,1205.00,112400,1205.00
2012-03-15,1232.00,1238.67,1200.00,1206.00,185100,1206.00
2012-03-14,1260.00,1260.00,1222.93,1228.00,83600,1228.00
2012-03-13,1234.00,1246.37,1223.00,1241.00,94700,1241.00
2012-03-12,1221.00,1234.84,1216.00,1233.00,59400,1233.00
2012-03-09,1210.00,1237.00,1210.00,1231.00,87000,1231.00
