Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,464.00,464.00,450.00,450.83,226400,450.00
2012-08-02,464.00,464.00,450.00,450.00,230100,450.00
2012-08-01,467.00,469.47,461.00,461.00,31400,461.00
2012-07-31,460.00,466.25,460.00,466.00,56400,466.00
2012-07-27,425.00,435.25,409.19,435.25,32600,435.25
2012-07-26,423.50,428.00,422.75,425.00,1500,425.00
2012-07-25,415.00,425.00,413.50,425.00,10200,425.00
2012-07-24,400.75,414.50,400.75,411.00,7400,411.00
2012-07-23,401.50,401.50,395.00,397.00,8600,397.00
2012-07-20,405.00,408.75,394.75,398.75,15700,398.75
2012-07-19,399.75,405.00,390.00,405.00,7900,405.00
2012-07-18,394.00,394.00,384.00,390.75,8600,390.75
2012-07-17,383.00,390.50,370.00,390.50,17300,390.50
2012-07-16,381.25,388.95,381.25,384.00,7900,384.00
2012-07-13,383.00,383.00,375.00,383.00,14000,383.00
2012-07-12,385.00,391.00,374.00,374.00,15500,374.00
2012-07-11,384.00,387.75,381.00,387.75,145200,387.75
2012-07-10,379.25,398.00,373.00,385.00,136400,385.00
2012-07-09,368.50,382.01,368.50,379.25,20200,379.25
2012-07-06,375.00,375.00,364.50,368.50,241400,368.50
2012-07-05,363.00,368.50,353.00,368.50,140900,368.50
2012-07-04,357.25,366.25,357.25,362.99,53900,362.99
2012-07-03,361.50,363.75,357.00,360.26,345500,360.26
2012-07-02,361.50,363.75,356.00,357.25,18000,357.25
2012-06-29,361.00,361.50,357.00,361.50,14900,361.50
2012-06-28,360.50,360.50,350.50,356.00,21600,356.00
2012-06-27,353.00,365.25,353.00,356.25,17700,356.25
2012-06-26,360.00,360.00,348.25,348.25,9600,348.25
2012-06-25,355.00,364.25,355.00,355.00,10800,355.00
2012-06-22,355.00,367.00,355.00,357.25,11200,357.25
2012-06-21,370.00,370.00,355.25,355.25,17400,355.25
2012-06-20,386.00,386.00,370.00,373.00,15300,373.00
2012-06-19,387.00,387.25,374.00,374.00,9900,374.00
2012-06-18,391.00,391.00,375.25,377.50,15100,377.50
2012-06-15,386.00,386.25,371.00,386.25,145300,386.25
2012-06-14,382.25,382.25,373.00,380.00,26600,380.00
2012-06-13,381.75,387.66,378.00,378.25,33500,378.25
2012-06-12,387.25,387.75,378.00,379.00,16500,379.00
2012-06-11,385.50,390.25,382.25,384.75,8900,384.75
2012-06-08,382.00,390.22,382.00,383.00,12800,383.00
2012-06-07,387.00,396.00,382.00,385.00,27400,385.00
2012-06-06,396.50,396.50,385.00,387.00,31500,387.00
2012-06-01,401.50,407.50,388.00,388.00,8800,388.00
2012-05-31,400.00,400.00,390.00,397.25,70300,397.25
2012-05-30,397.00,399.25,387.75,394.00,24800,394.00
2012-05-29,403.25,403.86,393.00,398.00,23900,398.00
2012-05-28,403.75,407.00,393.50,403.75,7900,403.75
2012-05-25,390.25,399.02,390.25,393.00,7600,393.00
2012-05-24,402.25,405.50,390.50,404.00,35700,404.00
2012-05-23,400.50,400.50,387.75,399.25,7700,399.25
2012-05-22,411.00,411.00,387.50,400.50,49100,400.50
2012-05-21,414.50,415.00,405.50,405.50,21700,405.50
2012-05-18,415.00,423.00,410.25,413.00,22200,413.00
2012-05-17,421.00,423.00,418.00,422.50,16700,422.50
2012-05-16,422.00,422.00,410.00,415.50,27200,415.50
2012-05-14,430.50,437.22,425.25,428.25,21800,428.25
2012-05-11,430.75,440.00,425.00,427.00,15600,427.00
2012-05-10,425.00,433.25,425.00,426.50,12200,426.50
2012-05-09,438.00,440.00,418.16,427.50,101500,427.50
2012-05-08,438.50,438.50,427.50,435.00,17500,435.00
2012-05-04,440.75,444.00,429.50,430.00,28700,430.00
2012-05-03,443.00,445.25,436.00,445.25,34800,445.25
2012-05-02,447.00,451.75,443.25,447.50,46800,447.50
2012-05-01,450.00,462.70,450.00,455.00,18300,455.00
2012-04-30,461.50,466.11,447.25,450.00,64600,450.00
2012-04-27,436.25,467.00,427.75,464.50,48400,464.50
2012-04-26,434.50,442.00,427.76,442.00,41300,442.00
2012-04-25,417.00,436.00,417.00,429.00,60200,429.00
2012-04-24,421.25,429.75,416.00,416.25,79600,416.25
2012-04-23,426.50,433.25,422.25,422.25,32800,422.25
2012-04-20,439.50,440.75,431.75,434.00,15000,434.00
2012-04-19,442.75,445.25,430.87,440.00,11900,440.00
2012-04-18,439.50,446.50,436.25,446.50,46900,446.50
2012-04-17,433.75,440.25,432.00,435.75,19000,435.75
2012-04-16,445.50,447.19,434.00,434.75,35700,434.75
2012-04-13,443.00,449.75,435.75,443.00,25000,443.00
2012-04-12,432.00,443.00,430.25,441.00,18300,441.00
2012-04-11,425.00,431.25,423.75,427.50,80200,427.50
2012-04-10,439.75,456.25,425.00,425.00,86100,425.00
2012-04-05,443.50,449.25,440.00,440.50,93300,440.50
2012-04-04,449.25,449.25,442.75,446.00,78200,446.00
2012-04-03,447.50,458.25,442.75,457.50,18300,457.50
2012-04-02,446.00,451.94,444.75,450.00,103300,450.00
2012-03-30,453.50,453.50,441.00,441.00,43100,441.00
2012-03-29,457.00,460.38,444.75,445.50,3463200,445.50
2012-03-28,450.00,460.00,446.75,455.00,227700,455.00
2012-03-27,441.75,448.25,435.00,445.35,255100,445.35
2012-03-26,430.00,446.00,423.49,442.00,98600,442.00
2012-03-23,423.25,427.50,422.00,427.00,1071000,427.00
2012-03-22,415.00,423.75,415.00,423.25,31000,423.25
2012-03-21,415.50,424.28,415.50,420.00,30100,420.00
2012-03-20,415.25,428.00,415.25,427.50,242300,427.50
2012-03-19,420.50,427.50,419.25,423.00,29900,423.00
2012-03-16,420.00,427.75,418.00,420.00,119200,420.00
2012-03-15,426.50,426.75,420.00,420.00,29900,420.00
2012-03-14,419.25,425.25,414.96,423.00,137900,423.00
2012-03-13,410.00,421.00,410.00,418.77,172600,418.77
2012-03-12,411.75,419.00,407.02,415.00,105800,415.00
2012-03-09,405.00,419.00,396.75,415.00,6436200,415.00
2012-03-08,401.50,413.75,400.25,410.25,338700,410.25
2012-03-07,398.75,408.50,397.05,401.29,160000,401.29
2012-03-06,409.25,410.82,392.75,400.00,153500,400.00
2012-03-05,423.00,423.00,409.45,412.00,64300,412.00
2012-03-02,421.50,429.43,420.00,424.75,47800,424.75
2012-03-01,415.00,425.00,415.00,425.00,96600,425.00
2012-02-29,425.00,430.00,416.75,419.25,107500,419.25
2012-02-28,425.00,430.00,425.00,425.00,23800,425.00
2012-02-27,430.00,430.00,425.00,428.58,187700,428.58
2012-02-24,420.00,435.00,420.00,430.56,347400,430.56
2012-02-23,425.25,431.18,425.00,429.61,48900,429.61
2012-02-22,434.25,435.56,427.25,431.47,104700,431.47
2012-02-21,449.00,449.00,432.00,434.95,656100,434.95
2012-02-20,420.25,461.50,420.25,449.07,77800,449.07
2012-02-17,414.25,433.50,406.01,429.00,46800,429.00
2012-02-16,377.50,410.00,377.50,394.00,47800,394.00
2012-02-15,390.50,393.00,380.75,393.00,56500,393.00
2012-02-14,379.75,388.50,375.00,380.67,47500,380.67
2012-02-13,380.00,381.00,374.25,376.50,26800,376.50
2012-02-10,392.00,392.00,375.75,385.00,37600,385.00
2012-02-09,390.00,391.25,379.75,391.25,10600,391.25
2012-02-08,380.50,386.00,375.75,385.00,10600,385.00
2012-02-07,375.00,380.00,375.00,379.50,7400,379.50
2012-02-06,375.00,380.00,375.00,377.50,51000,377.50
2012-02-03,375.25,385.38,374.50,380.50,85800,380.50
2012-02-02,364.75,381.25,364.75,381.25,75200,381.25
2012-02-01,353.00,365.00,353.00,365.00,54500,365.00
2012-01-31,353.25,359.00,353.00,353.00,63400,353.00
2012-01-30,353.25,354.50,347.92,353.00,58700,353.00
2012-01-27,350.00,366.75,347.50,353.00,62300,353.00
2012-01-26,349.75,351.44,340.00,350.00,31600,350.00
2012-01-25,350.00,350.00,342.00,350.00,65400,350.00
2012-01-24,345.00,349.06,343.25,347.50,258900,347.50
2012-01-23,345.00,350.00,341.50,350.00,39300,350.00
2012-01-20,338.00,344.25,331.10,342.00,41700,342.00
2012-01-19,332.75,352.75,321.02,340.00,62100,340.00
2012-01-18,316.25,328.72,316.25,322.75,15300,322.75
2012-01-17,328.50,328.50,312.64,316.00,101300,316.00
2012-01-16,312.50,327.11,302.73,308.75,19400,308.75
2012-01-13,312.25,312.25,301.16,311.50,58900,311.50
2012-01-12,278.25,292.75,278.00,290.50,42000,290.50
2012-01-11,270.00,278.25,270.00,275.00,68500,275.00
2012-01-10,268.50,275.75,268.50,273.50,81400,273.50
2012-01-09,265.25,267.00,262.00,265.00,98100,265.00
2012-01-06,267.00,267.00,260.50,265.50,19800,265.50
2012-01-05,276.00,276.72,262.25,265.00,49900,265.00
2012-01-04,265.50,278.25,265.50,278.25,38300,278.25
2012-01-03,265.00,269.00,263.75,269.00,32600,269.00
2011-12-30,268.00,268.00,261.00,266.50,1400,266.50
2011-12-29,260.00,268.75,258.35,268.75,13400,268.75
2011-12-28,257.75,263.00,254.25,260.00,46000,260.00
2011-12-23,250.00,255.00,248.50,255.00,28300,255.00
2011-12-22,248.00,255.00,248.00,250.00,67000,250.00
2011-12-21,242.50,250.00,236.72,245.00,13000,245.00
2011-12-20,237.00,245.00,234.00,243.00,132600,243.00
2011-12-19,243.50,246.45,235.41,240.00,19300,240.00
2011-12-16,245.25,255.00,237.25,242.50,120000,242.50
2011-12-15,246.00,250.00,233.00,245.00,247300,245.00
2011-12-14,264.75,264.75,245.75,245.75,35700,245.75
2011-12-13,265.00,274.50,259.50,260.00,112500,260.00
2011-12-12,255.00,264.75,255.00,261.50,18500,261.50
2011-12-09,250.50,265.00,250.50,261.00,21600,261.00
2011-12-08,260.00,264.75,244.88,263.50,42400,263.50
2011-12-07,259.00,264.55,256.30,260.50,76300,260.50
2011-12-06,244.25,257.20,244.25,256.00,19700,256.00
2011-12-05,257.50,262.00,255.00,255.00,50800,255.00
2011-12-02,260.00,260.00,252.79,254.25,8400,254.25
2011-12-01,254.25,259.25,248.73,249.50,30000,249.50
2011-11-30,264.50,264.50,250.25,257.00,449900,257.00
2011-11-29,250.50,268.75,250.50,263.75,36300,263.75
2011-11-28,256.75,269.50,242.50,267.50,70000,267.50
2011-11-25,240.00,257.00,235.00,253.25,42200,253.25
2011-11-24,261.00,262.84,236.25,239.25,177800,239.25
2011-11-23,258.25,278.75,242.25,248.75,131900,248.75
2011-11-22,274.75,274.75,265.00,265.00,95100,265.00
2011-11-21,287.00,292.54,274.00,276.00,89800,276.00
2011-11-18,299.50,300.60,291.25,291.25,76500,291.25
2011-11-17,305.00,306.00,294.25,294.25,129500,294.25
2011-11-16,292.00,306.72,292.00,305.00,239900,305.00
2011-11-15,255.75,303.75,255.43,303.75,337500,303.75
2011-11-14,350.00,350.50,350.00,350.50,3600,350.50
2011-11-11,344.00,360.00,344.00,355.00,89600,355.00
2011-11-10,351.00,358.75,340.00,340.00,16000,340.00
2011-11-09,349.00,364.25,348.00,354.25,42100,354.25
2011-11-08,340.25,363.00,340.25,354.00,33400,354.00
2011-11-07,345.00,349.25,340.00,344.00,30100,344.00
2011-11-04,350.50,351.25,347.25,349.75,17200,349.75
2011-11-03,343.75,349.00,340.57,349.00,15800,349.00
2011-11-02,355.75,355.75,340.00,346.75,40700,346.75
2011-11-01,368.50,374.00,354.20,355.00,220600,355.00
2011-10-31,360.50,393.25,358.25,369.75,74100,369.75
2011-10-28,334.00,382.25,319.37,366.75,692300,366.75
2011-10-27,329.50,334.50,322.25,330.00,68600,330.00
2011-10-26,319.25,336.09,318.75,318.75,36100,318.75
2011-10-25,330.00,333.25,325.25,330.00,39100,330.00
2011-10-24,325.50,326.00,322.21,326.00,56000,326.00
2011-10-21,330.50,330.50,317.25,325.50,15500,325.50
2011-10-20,329.00,335.00,326.93,332.50,17500,332.50
2011-10-19,328.25,334.08,325.75,331.50,6700,331.50
2011-10-18,330.50,330.50,325.00,325.25,25100,325.25
2011-10-17,342.25,342.25,330.00,331.25,43900,331.25
2011-10-14,333.25,341.01,331.25,335.00,89300,335.00
2011-10-13,342.00,342.00,329.25,334.25,19300,334.25
2011-10-12,325.00,340.00,325.00,337.34,15600,337.34
2011-10-11,342.75,348.25,337.00,340.00,50100,340.00
2011-10-10,336.00,345.00,333.53,345.00,87800,345.00
2011-10-07,325.00,341.25,325.00,336.00,1066300,336.00
2011-10-06,320.00,333.00,317.00,329.50,51600,329.50
2011-10-05,330.00,330.85,316.25,317.00,36000,317.00
2011-10-04,330.00,338.25,325.00,330.00,55800,330.00
2011-10-03,334.00,339.81,325.00,330.00,14900,330.00
2011-09-30,332.75,341.75,330.25,334.50,36900,334.50
2011-09-29,334.25,345.75,334.25,344.75,36800,344.75
2011-09-28,348.75,353.25,338.25,343.95,55300,343.95
2011-09-27,349.50,358.50,347.76,353.00,24100,353.00
2011-09-26,332.75,357.00,332.75,346.50,48200,346.50
2011-09-23,358.00,358.00,344.00,347.25,11900,347.25
2011-09-22,345.50,354.00,343.25,346.00,25100,346.00
2011-09-21,357.50,362.25,350.00,350.00,31000,350.00
2011-09-20,352.50,360.75,352.50,360.75,90400,360.75
2011-09-19,362.00,366.25,352.50,352.50,37800,352.50
2011-09-16,364.70,375.00,344.75,365.00,924600,365.00
2011-09-15,323.00,350.00,312.90,350.00,208100,350.00
2011-09-14,352.50,352.50,306.00,307.30,103300,307.30
2011-09-13,367.80,367.80,335.80,335.80,30100,335.80
2011-09-12,348.00,353.00,343.00,350.87,39700,350.87
2011-09-09,350.10,353.70,350.00,350.57,35400,350.57
2011-09-08,355.00,360.00,354.50,354.50,41700,354.50
2011-09-07,362.50,369.00,350.70,354.60,33600,354.60
2011-09-06,362.60,376.20,350.00,353.00,66400,353.00
2011-09-05,369.80,369.80,359.00,359.00,13400,359.00
2011-09-02,377.60,378.50,361.90,369.80,92300,369.80
2011-09-01,365.20,377.90,355.53,372.50,31000,372.50
2011-08-31,350.00,370.60,346.80,370.60,174800,370.60
2011-08-30,350.00,369.30,346.50,348.90,15300,348.90
2011-08-26,356.00,362.70,340.30,346.00,28100,346.00
2011-08-25,355.30,370.20,341.90,346.00,38500,346.00
2011-08-24,346.10,365.50,345.20,354.50,57400,354.50
2011-08-23,352.00,356.70,350.10,346.40,60800,346.40
2011-08-22,336.60,362.40,336.60,352.00,400,352.00
2011-08-19,359.00,361.70,349.60,349.60,55600,349.60
2011-08-18,376.50,379.30,354.40,359.00,52000,359.00
