Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,36.94,37.48,35.66,35.93,1403700,36.05
2012-08-02,36.94,37.48,35.60,36.05,2212200,36.05
2012-08-01,37.69,37.69,36.02,36.75,3044900,36.75
2012-07-31,36.30,37.68,36.30,37.47,5176100,37.47
2012-07-27,33.20,34.97,33.00,34.97,4426900,34.97
2012-07-26,32.81,34.14,32.53,33.17,5016400,33.17
2012-07-25,33.24,33.83,32.31,33.24,4692300,33.24
2012-07-24,32.88,34.37,32.82,33.07,5122900,33.07
2012-07-23,33.82,34.00,32.82,33.50,22776600,33.50
2012-07-20,33.50,34.96,33.00,33.94,34655100,33.94
2012-07-19,34.43,34.85,33.75,34.84,3984200,34.84
2012-07-18,32.18,34.20,31.75,33.66,7450000,33.66
2012-07-17,32.50,33.01,31.57,31.57,7064700,31.57
2012-07-16,33.47,33.90,32.30,32.47,6179300,32.47
2012-07-13,32.97,35.06,32.77,33.71,4334300,33.71
2012-07-12,34.01,34.46,32.97,33.15,8743500,33.15
2012-07-11,35.00,36.47,34.10,34.60,6345400,34.60
2012-07-10,35.09,36.19,34.51,35.46,9216700,35.46
2012-07-09,34.88,36.40,34.20,34.24,18509800,34.24
2012-07-06,39.00,39.12,37.12,38.19,5867500,38.19
2012-07-05,40.30,40.50,38.50,39.30,7040100,39.30
2012-07-04,39.50,40.46,39.50,39.82,3453400,39.82
2012-07-03,39.65,40.54,39.14,39.99,5987300,39.99
2012-07-02,39.50,41.80,39.50,39.71,5214800,39.71
2012-06-29,40.73,41.93,39.50,39.50,10347400,39.50
2012-06-28,38.21,40.50,37.11,39.92,6809700,39.92
2012-06-27,38.87,39.11,37.05,38.00,7981400,38.00
2012-06-26,39.35,40.00,38.36,38.49,4980000,38.49
2012-06-25,40.83,42.05,38.69,38.69,6777100,38.69
2012-06-22,42.50,42.53,41.25,41.54,7848600,41.54
2012-06-21,43.99,44.23,42.00,42.00,5212100,42.00
2012-06-20,44.10,45.12,43.93,44.50,5057200,44.50
2012-06-19,43.60,44.52,43.27,44.11,4324900,44.11
2012-06-18,45.10,45.33,42.81,43.55,4117600,43.55
2012-06-15,43.58,45.00,43.50,44.53,8645400,44.53
2012-06-14,42.39,43.50,41.91,42.93,2463400,42.93
2012-06-13,42.20,43.41,41.75,42.88,6390500,42.88
2012-06-12,44.00,44.30,41.96,42.39,7556400,42.39
2012-06-11,47.66,47.80,43.66,43.66,9407900,43.66
2012-06-08,47.66,47.66,44.40,46.30,23671300,46.30
2012-06-07,46.98,48.38,46.32,47.55,4771900,47.55
2012-06-06,46.00,47.06,45.16,45.80,5994600,45.80
2012-06-01,44.08,45.96,44.08,44.60,10805200,44.60
2012-05-31,44.08,45.22,44.08,44.91,5849200,44.91
2012-05-30,43.93,44.75,42.71,44.35,15289400,44.35
2012-05-29,41.89,44.00,41.44,44.00,8084000,44.00
2012-05-28,42.00,42.71,40.86,41.57,5358500,41.57
2012-05-25,41.90,42.68,40.00,40.92,8987600,40.92
2012-05-24,42.00,42.75,40.83,41.78,11660100,41.78
2012-05-23,44.00,44.17,40.58,41.39,6868500,41.39
2012-05-22,43.26,45.89,43.26,45.03,10781000,45.03
2012-05-21,43.50,45.50,42.56,42.56,5257300,42.56
2012-05-18,41.50,43.61,40.60,43.50,13342200,43.50
2012-05-17,43.80,44.97,41.81,42.50,6463800,42.50
2012-05-16,42.96,44.99,41.90,44.08,10429300,44.08
2012-05-14,47.00,47.25,45.64,45.90,7944100,45.90
2012-05-11,46.74,47.99,45.87,47.00,6625000,47.00
2012-05-10,45.04,47.00,44.54,46.10,11749300,46.10
2012-05-09,43.25,45.08,41.00,45.08,20133300,45.08
2012-05-08,46.80,47.92,42.54,42.65,18758000,42.65
2012-05-04,50.50,50.68,46.86,47.10,11116400,47.10
2012-05-03,51.75,52.10,50.20,50.35,3714100,50.35
2012-05-02,52.40,53.00,51.40,51.40,8399400,51.40
2012-05-01,50.50,52.15,50.50,51.95,5309500,51.95
2012-04-30,51.25,53.00,50.35,50.50,6438500,50.50
2012-04-27,50.95,53.35,50.53,51.55,11441900,51.55
2012-04-26,52.00,52.23,50.35,51.65,3671300,51.65
2012-04-25,50.00,52.60,49.75,51.90,9780500,51.90
