Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,801.00,805.00,794.50,796.00,1128000,797.00
2012-08-02,801.00,805.00,794.00,797.00,1816700,797.00
2012-08-01,792.50,802.00,791.00,799.50,2864300,799.50
2012-07-31,798.00,801.50,787.50,790.00,1593100,790.00
2012-07-27,789.50,791.50,777.50,791.50,1769800,791.50
2012-07-26,783.00,788.00,772.50,785.50,1982900,785.50
2012-07-25,762.50,780.50,762.50,780.00,2510900,780.00
2012-07-24,765.50,768.03,759.50,764.50,1666400,764.50
2012-07-23,770.50,771.00,758.00,762.50,2274700,762.50
2012-07-20,786.00,788.00,770.00,772.00,3248500,772.00
2012-07-19,774.50,786.00,770.00,783.50,1965700,783.50
2012-07-18,773.50,780.00,771.50,775.00,3328200,775.00
2012-07-17,784.50,787.50,770.00,781.00,1721800,781.00
2012-07-16,779.00,786.00,776.36,783.00,1563000,783.00
2012-07-13,770.00,782.00,770.00,776.50,1804900,776.50
2012-07-12,763.50,772.08,763.16,769.00,2361600,769.00
2012-07-11,762.50,769.00,762.00,765.50,2553100,765.50
2012-07-10,763.00,767.50,758.50,762.00,2363400,762.00
2012-07-09,754.50,767.00,749.58,758.00,2060000,758.00
2012-07-06,750.00,756.50,750.00,755.50,1444500,755.50
2012-07-05,757.00,757.00,746.00,751.50,1988900,751.50
2012-07-04,755.00,755.58,750.50,754.50,1445600,754.50
2012-07-03,754.00,755.00,749.00,755.00,2328100,755.00
2012-07-02,740.50,750.50,738.00,750.50,3212300,750.50
2012-06-29,742.50,746.50,737.50,738.50,2779000,738.50
2012-06-28,745.00,745.00,720.00,728.50,2215000,728.50
2012-06-27,735.50,744.00,732.50,740.50,1852000,740.50
2012-06-26,730.50,736.00,726.00,730.50,2216000,730.50
2012-06-25,729.50,735.50,725.50,727.50,1658800,727.50
2012-06-22,729.50,736.89,725.50,732.50,2026100,732.50
2012-06-21,740.50,742.12,733.00,737.00,3548100,737.00
2012-06-20,738.00,748.00,735.50,746.50,1913000,746.50
2012-06-19,734.00,748.00,734.00,744.50,2127100,737.10
2012-06-18,743.00,743.00,725.50,732.00,2035500,724.72
2012-06-15,730.50,738.00,725.50,731.50,5204300,724.23
2012-06-14,716.00,727.00,714.85,726.50,2043000,719.28
2012-06-13,713.50,719.50,711.00,719.50,1827000,712.35
2012-06-12,704.00,715.00,704.00,715.00,3786500,707.89
