Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,30.65,31.08,29.22,29.36,113334300,29.39
2012-08-02,30.66,31.08,29.22,29.39,176258300,29.39
2012-08-01,30.10,30.80,30.10,30.70,75533600,30.70
2012-07-31,31.03,31.41,30.35,30.35,98919100,30.35
2012-07-27,29.51,30.55,28.70,29.75,181780200,29.75
2012-07-26,29.54,29.97,28.59,29.14,196775200,29.14
2012-07-25,28.72,29.56,28.56,29.29,106418000,29.29
2012-07-24,29.35,29.53,28.72,28.76,98162700,28.76
2012-07-23,29.52,29.72,28.78,29.29,136525000,29.29
2012-07-20,30.14,30.46,29.76,29.94,171384500,29.94
2012-07-19,29.77,30.45,29.27,30.24,135397700,30.24
2012-07-18,30.24,30.36,29.62,29.77,131353200,29.77
2012-07-17,29.67,30.23,29.66,29.86,70305000,29.86
2012-07-16,30.18,30.28,29.80,29.90,76275100,29.90
2012-07-13,30.44,30.62,30.00,30.20,111908700,30.20
2012-07-12,30.11,30.51,29.90,30.17,104150100,30.17
2012-07-11,29.97,30.81,29.94,30.44,90928400,30.44
2012-07-10,30.26,31.04,30.14,30.74,100265300,30.74
2012-07-09,30.30,30.85,29.89,30.19,218941100,30.19
2012-07-06,30.63,31.01,30.07,30.30,136062300,30.30
2012-07-05,31.68,31.86,30.61,30.82,144808900,30.82
2012-07-04,31.64,31.81,31.21,31.66,64385200,31.66
2012-07-03,31.38,32.07,31.18,31.81,113674500,31.81
2012-07-02,31.23,31.90,30.98,31.49,138113700,31.49
2012-06-29,31.25,32.10,30.10,31.10,293648100,31.10
2012-06-28,31.27,31.43,28.72,29.94,307511600,29.94
2012-06-27,30.34,31.16,29.90,31.16,158781000,31.16
2012-06-26,30.27,30.54,29.60,30.09,162350100,30.09
2012-06-25,31.31,31.59,29.93,30.41,175524300,30.41
2012-06-22,30.76,31.99,30.46,31.39,165449600,31.39
2012-06-21,30.93,32.07,30.47,31.20,158733900,31.20
2012-06-20,30.97,31.69,30.75,31.20,209599100,31.20
2012-06-19,30.47,31.20,29.85,30.90,250801000,30.90
2012-06-18,32.08,32.69,29.70,30.16,314388900,30.16
2012-06-15,30.11,31.59,29.95,31.30,562460700,31.30
2012-06-14,29.57,29.92,29.19,29.75,334398000,29.75
2012-06-13,29.43,29.74,28.80,29.63,207101600,29.63
2012-06-12,28.25,29.16,27.82,29.16,259348900,29.16
2012-06-11,29.19,30.24,28.26,28.50,428248100,28.50
2012-06-08,27.72,28.13,27.20,28.01,209468200,28.01
2012-06-07,27.40,28.44,27.17,28.00,319514500,28.00
2012-06-06,25.85,27.37,25.85,27.05,277589800,27.05
2012-06-01,25.58,25.96,25.00,25.72,199710500,25.72
2012-05-31,25.37,25.95,25.07,25.38,193706100,25.38
2012-05-30,25.76,25.96,24.73,25.30,273389600,25.30
2012-05-29,26.25,26.39,25.45,25.90,170468300,25.90
2012-05-28,26.25,27.10,25.81,26.04,126817400,26.04
2012-05-25,27.02,27.16,25.80,25.80,197539800,25.80
2012-05-24,26.98,27.34,26.41,26.91,183348700,26.91
2012-05-23,26.95,27.32,26.43,26.51,180378000,26.51
2012-05-22,26.66,27.72,26.56,27.61,147941500,27.61
2012-05-21,25.83,26.77,25.70,26.42,283365800,26.42
2012-05-18,26.69,27.59,25.92,25.95,340460600,25.95
2012-05-17,28.81,28.96,27.53,27.65,201678600,27.65
2012-05-16,28.40,29.44,27.83,28.67,202015300,28.67
2012-05-14,30.65,30.67,29.12,29.38,177232200,29.38
2012-05-11,30.86,31.32,30.13,31.08,87018600,31.08
2012-05-10,30.24,31.35,30.01,31.20,149227800,31.20
2012-05-09,31.25,31.41,29.43,29.91,209742000,29.91
2012-05-08,32.28,32.91,30.42,31.08,157721800,31.08
2012-05-04,31.50,33.28,31.42,32.62,196056800,32.62
2012-05-03,32.28,32.71,31.50,31.65,145634700,31.65
2012-05-02,33.83,33.83,31.89,32.08,211948600,32.08
2012-05-01,31.75,33.71,31.36,33.60,240593000,33.60
2012-04-30,31.10,31.74,30.54,31.01,151346900,31.01
2012-04-27,30.84,31.78,30.48,31.19,143907900,31.19
2012-04-26,30.60,31.52,29.90,31.41,202920500,31.41
2012-04-25,30.62,31.27,30.40,30.50,151931500,30.50
2012-04-24,29.51,30.46,29.27,30.35,111004200,30.35
2012-04-23,29.78,30.08,29.02,29.39,107106300,29.39
2012-04-20,29.44,30.44,29.00,30.10,142223100,30.10
2012-04-19,30.36,30.68,29.29,29.29,114488500,29.29
2012-04-18,30.99,31.27,29.90,29.97,122829900,29.97
2012-04-17,29.70,30.95,29.57,30.95,139997700,30.95
2012-04-16,30.50,30.64,28.94,29.71,274974200,29.71
2012-04-13,31.80,32.08,30.73,30.75,148850000,30.75
2012-04-12,30.76,32.02,30.63,31.92,189433100,31.92
2012-04-11,29.63,31.15,29.50,30.59,196894400,30.59
2012-04-10,30.95,31.16,29.80,29.80,214170200,29.80
2012-04-05,31.99,32.41,30.89,31.40,193301100,31.40
