Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,66.50,66.50,66.25,66.25,25100,65.50
2012-08-02,66.50,66.50,65.50,65.50,25100,65.50
2012-08-01,66.25,66.25,66.00,66.00,31100,66.00
2012-07-31,66.24,66.24,66.00,66.00,9100,66.00
2012-07-27,66.25,66.25,65.75,65.75,35900,65.75
2012-07-26,65.75,65.75,65.25,65.25,11300,65.25
2012-07-25,64.50,65.44,64.50,64.75,16000,64.75
2012-07-24,65.00,65.47,64.25,64.25,73900,64.25
2012-07-23,66.47,66.47,65.13,65.32,25000,65.32
2012-07-20,65.75,66.72,65.75,66.00,58300,66.00
2012-07-19,65.75,67.00,65.75,66.00,45300,66.00
2012-07-18,66.00,67.00,65.75,65.75,83700,65.75
2012-07-17,65.75,67.00,65.75,65.75,6100,65.75
2012-07-16,66.25,67.25,66.25,66.25,35800,66.25
2012-07-13,66.25,67.64,66.25,66.50,58600,66.50
2012-07-12,66.25,66.25,66.00,66.25,100400,66.25
2012-07-11,67.25,67.43,66.00,66.00,13900,66.00
2012-07-10,66.75,68.00,66.75,67.00,39500,67.00
2012-07-09,66.75,67.89,66.75,66.75,80500,66.75
2012-07-06,67.25,68.25,66.75,66.75,67800,66.75
2012-07-05,67.25,68.50,67.25,67.25,51000,67.25
2012-07-04,67.25,68.20,67.25,67.25,50500,67.25
2012-07-03,66.75,68.75,66.75,68.75,164700,68.75
2012-07-02,68.25,68.75,66.00,67.50,417000,67.50
2012-06-29,67.00,68.00,65.50,66.50,415500,66.50
2012-06-28,65.50,66.75,65.25,66.00,87300,66.00
2012-06-27,66.75,67.25,65.75,66.00,101100,66.00
2012-06-26,67.50,67.50,66.75,67.50,98800,67.50
2012-06-25,65.00,67.25,64.61,67.25,442900,67.25
2012-06-22,63.51,65.00,63.51,65.00,5600,65.00
2012-06-21,65.00,65.00,63.75,65.00,11200,65.00
2012-06-20,63.75,65.00,63.75,65.00,21700,65.00
2012-06-19,64.29,65.00,64.00,64.50,273600,64.50
2012-06-18,62.00,66.12,60.75,65.75,262300,65.75
2012-06-15,61.75,62.04,60.25,62.00,570600,62.00
2012-06-14,60.00,60.50,60.00,60.50,219100,60.50
2012-06-13,61.75,61.75,60.00,61.00,56400,61.00
2012-06-12,60.00,61.00,60.00,60.00,124400,60.00
2012-06-11,60.75,61.00,61.00,61.00,169100,61.00
2012-06-08,60.00,60.75,60.00,60.00,51900,60.00
2012-06-07,60.25,60.75,60.00,60.00,39300,60.00
2012-06-06,60.00,60.50,60.00,60.00,20600,60.00
2012-06-01,60.50,60.50,60.00,60.00,700,60.00
2012-05-31,61.00,61.23,60.00,60.00,40300,60.00
2012-05-30,59.50,60.75,59.50,59.50,52600,59.50
2012-05-29,60.00,60.00,59.55,59.75,280600,59.75
2012-05-28,59.50,59.83,59.50,59.50,1300,59.50
2012-05-25,59.50,60.25,59.50,59.50,20600,59.50
2012-05-24,59.50,59.51,59.50,59.50,9000,59.50
2012-05-23,60.00,60.00,59.50,59.50,162300,59.50
2012-05-22,59.50,59.50,59.50,59.50,1200,59.50
2012-05-21,60.00,60.00,59.25,59.25,4800,59.25
2012-05-18,60.00,60.00,59.12,59.26,49000,59.26
2012-05-17,59.50,60.00,59.31,60.00,60000,60.00
2012-05-16,60.00,60.00,59.50,60.00,44700,60.00
2012-05-14,59.75,59.75,59.50,59.50,305100,59.50
2012-05-11,59.75,60.49,59.72,60.00,109400,60.00
2012-05-10,59.50,60.49,59.50,60.00,65800,60.00
2012-05-09,59.50,60.50,59.50,59.75,148500,59.75
2012-05-08,59.50,60.75,59.50,59.50,90600,59.50
2012-05-04,59.50,60.50,59.50,59.50,254700,59.50
