Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,7.50,8.00,7.50,7.73,487500,14.50
2008-10-06,16.75,17.00,14.50,14.50,1375800,14.50
2008-10-03,17.00,17.00,16.00,16.75,639500,16.75
2008-10-02,16.25,17.00,16.25,17.00,201700,17.00
2008-10-01,18.50,19.75,16.75,16.75,947300,16.75
2008-09-30,15.75,18.50,15.00,18.50,846200,18.50
2008-09-29,19.50,19.50,16.25,16.25,763700,16.25
2008-09-26,21.75,21.75,19.00,19.00,536200,19.00
2008-09-25,20.50,21.50,20.25,20.25,459400,20.25
2008-09-24,22.00,22.50,21.50,21.75,2083300,21.75
2008-09-23,22.50,23.00,22.00,22.25,749200,22.25
2008-09-22,24.00,24.50,23.25,23.25,320500,23.25
2008-09-19,22.00,25.50,22.00,23.25,714700,23.25
2008-09-18,23.50,24.25,21.25,22.50,571600,22.50
2008-09-17,27.00,27.00,23.75,23.75,2793600,23.75
2008-09-16,29.00,29.00,25.25,26.75,648800,26.75
2008-09-15,26.50,31.50,25.75,30.00,4228300,30.00
2008-09-12,25.00,30.00,25.00,27.00,4103100,27.00
2008-09-11,24.00,25.00,24.00,24.50,699200,24.50
2008-09-10,24.50,25.25,24.50,25.00,1771600,25.00
2008-09-09,24.50,25.00,24.50,25.00,479800,25.00
2008-09-08,24.50,24.50,24.50,24.50,9400,24.50
2008-09-05,24.25,24.25,24.00,24.00,1713700,24.00
2008-09-04,24.75,25.00,24.25,24.25,2047200,24.25
2008-09-03,24.50,25.00,23.75,25.00,5191900,25.00
2008-09-02,23.50,23.75,23.00,23.75,750600,23.75
2008-09-01,23.00,23.00,22.00,22.50,833600,22.50
2008-08-29,23.50,24.25,23.00,23.25,256400,23.25
2008-08-28,24.00,24.25,23.50,23.75,169200,23.75
2008-08-27,24.00,24.00,23.75,23.75,53100,23.75
2008-08-26,25.25,25.25,24.25,24.25,331200,24.25
2008-08-22,25.25,25.50,25.00,25.00,191900,25.00
2008-08-21,23.50,25.50,23.50,25.00,361600,25.00
2008-08-20,23.50,25.50,23.25,24.25,404400,24.25
2008-08-19,23.00,23.25,22.25,22.75,43296600,22.75
2008-08-18,23.00,25.25,22.75,23.00,853200,23.00
2008-08-15,23.00,23.75,22.75,23.00,947400,23.00
2008-08-14,22.50,23.50,22.50,22.75,426200,22.75
2008-08-13,25.00,25.00,22.50,22.75,633300,22.75
2008-08-12,25.50,25.75,24.75,24.75,333200,24.75
2008-08-11,26.00,26.50,25.50,26.00,17705000,26.00
2008-08-08,25.75,26.50,25.50,26.00,152300,26.00
2008-08-07,26.00,26.75,25.00,26.25,504600,26.25
2008-08-06,26.25,27.50,25.00,26.00,1235800,26.00
2008-08-05,23.50,26.00,23.50,25.50,9083800,25.50
2008-08-04,23.00,23.50,22.75,22.75,342000,22.75
2008-08-01,22.75,23.00,22.00,22.00,164500,22.00
2008-07-31,23.50,23.50,22.25,22.50,876700,22.50
2008-07-30,22.50,23.50,22.50,23.00,5957400,23.00
2008-07-29,22.75,23.00,22.25,22.50,2015700,22.50
2008-07-28,24.00,24.00,22.75,22.75,653900,22.75
2008-07-25,24.00,24.25,23.25,23.50,1272400,23.50
2008-07-24,24.50,24.50,23.75,23.75,2381800,23.75
2008-07-23,24.75,24.75,24.50,24.50,892700,24.50
2008-07-22,25.50,26.00,24.75,25.75,499100,25.75
2008-07-21,24.50,26.00,24.50,25.75,187200,25.75
2008-07-18,25.50,25.75,24.50,25.00,899100,25.00
2008-07-17,25.00,25.00,24.25,24.25,449700,24.25
2008-07-16,25.25,27.50,25.00,25.00,481600,25.00
2008-07-15,26.50,26.50,24.25,25.00,343100,25.00
2008-07-14,27.50,27.50,25.75,25.75,20030300,25.75
2008-07-11,28.50,28.75,27.50,27.50,433000,27.50
2008-07-10,30.00,30.00,28.00,28.00,612000,28.00
2008-07-09,30.25,31.50,30.00,30.50,1187100,30.50
2008-07-08,31.50,31.50,28.75,30.00,2060300,30.00
2008-07-07,33.00,33.00,31.75,32.25,3077700,32.25
2008-07-04,28.00,34.00,27.75,34.00,3333500,34.00
2008-07-03,25.50,28.00,25.50,28.25,2032800,28.25
2008-07-02,25.00,26.00,25.00,25.00,813700,25.00
2008-07-01,23.25,24.75,23.25,24.50,1677200,24.50
2008-06-30,23.00,23.50,23.00,23.00,278400,23.00
2008-06-27,23.00,23.75,23.00,23.00,1011100,23.00
2008-06-26,23.25,23.50,23.25,23.25,421800,23.25
2008-06-25,23.00,23.50,22.75,23.25,1298900,23.25
2008-06-24,22.25,23.25,22.25,23.00,2233300,23.00
2008-06-23,23.75,23.75,22.00,22.00,1242900,22.00
2008-06-20,25.50,26.00,23.75,24.00,1295000,24.00
2008-06-19,25.50,26.00,25.00,26.00,610200,26.00
2008-06-18,26.75,26.75,25.50,25.75,1114200,25.75
2008-06-17,27.75,27.75,26.75,27.00,3243800,27.00
2008-06-16,28.00,28.00,27.50,27.75,749700,27.75
2008-06-13,28.00,28.00,27.50,27.50,963200,27.50
2008-06-12,28.00,28.50,27.25,27.75,1333500,27.75
2008-06-11,28.00,28.50,27.50,27.50,373000,27.50
2008-06-10,29.00,29.00,28.00,28.00,1169200,28.00
2008-06-06,28.75,29.00,28.50,28.75,4427000,28.75
2008-06-05,28.50,29.25,28.50,29.00,2948900,29.00
2008-06-04,28.00,28.50,27.75,27.75,3547700,27.75
2008-06-03,29.00,29.00,28.00,28.00,548400,28.00
2008-06-02,28.50,28.75,28.25,28.25,446600,28.25
2008-05-30,29.00,29.00,27.00,28.25,885200,28.25
2008-05-29,29.50,29.50,29.25,29.25,802200,29.25
2008-05-28,29.50,29.75,29.25,29.25,390400,29.25
2008-05-27,29.00,30.00,29.00,29.75,3369500,29.75
2008-05-23,28.75,29.00,28.00,29.00,2172800,29.00
2008-05-22,29.75,30.25,28.25,28.25,1122600,28.25
