Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,64.00,65.75,64.00,64.82,24600,65.37
2012-08-02,64.00,65.75,64.00,65.37,25800,65.37
2012-08-01,65.50,65.75,64.72,65.75,74600,65.75
2012-07-31,66.00,66.00,64.88,65.25,30900,65.25
2012-07-27,64.00,65.00,64.00,64.75,30200,64.75
2012-07-26,65.50,65.50,64.50,65.00,99600,65.00
2012-07-25,64.50,65.50,64.50,65.50,52800,65.50
2012-07-24,65.25,65.50,64.50,64.50,112700,64.50
2012-07-23,65.00,65.00,64.62,64.65,125800,64.65
2012-07-20,66.00,66.00,65.00,65.00,26500,65.00
2012-07-19,66.00,66.50,64.75,66.00,270500,66.00
2012-07-18,66.75,66.75,64.00,66.00,424000,66.00
2012-07-17,66.00,67.00,66.00,67.00,158900,67.00
2012-07-16,66.75,66.75,65.50,66.00,155100,66.00
2012-07-13,64.50,66.25,64.50,66.00,118400,66.00
2012-07-12,64.35,66.75,63.50,66.75,73800,66.75
2012-07-11,64.50,65.00,63.50,64.50,38900,64.50
2012-07-10,65.75,65.75,64.00,64.00,74900,64.00
2012-07-09,66.50,66.67,64.50,64.50,164000,64.50
2012-07-06,67.00,67.00,65.75,65.75,62000,65.75
2012-07-05,65.25,68.00,65.00,66.50,842700,66.50
2012-07-04,65.50,68.00,64.50,68.00,60900,68.00
2012-07-03,63.75,65.75,63.44,65.00,353500,65.00
2012-07-02,62.00,63.50,61.50,63.25,771100,63.25
2012-06-29,61.50,63.00,61.50,63.00,306000,63.00
2012-06-28,61.00,62.00,60.25,62.00,205900,62.00
2012-06-27,60.25,61.00,60.25,60.50,85100,60.50
2012-06-26,58.00,61.00,56.50,60.25,268900,60.25
2012-06-25,59.50,59.50,56.50,56.50,206100,56.50
2012-06-22,57.00,59.00,57.00,59.00,61000,59.00
2012-06-21,57.75,59.50,57.75,59.50,87000,59.50
2012-06-20,59.25,60.00,58.25,60.00,89600,60.00
2012-06-19,58.75,59.25,58.25,59.25,430500,59.25
2012-06-18,58.50,59.00,58.25,59.00,295800,59.00
2012-06-15,58.75,58.75,58.50,58.50,334300,58.50
2012-06-14,60.00,60.00,57.75,58.00,33300,58.00
2012-06-13,59.75,60.00,59.00,59.00,183700,59.00
2012-06-12,58.00,60.00,58.00,60.00,268200,60.00
2012-06-11,57.75,59.50,57.75,59.00,699800,59.00
2012-06-08,60.50,60.50,59.00,59.25,23400,59.25
2012-06-07,59.50,59.50,58.18,59.50,27800,59.50
2012-06-06,59.25,59.25,58.00,58.50,345500,58.50
2012-06-01,60.25,60.25,58.00,58.00,173500,58.00
2012-05-31,60.50,60.50,57.50,57.50,159900,57.50
2012-05-30,59.35,59.35,59.35,59.35,10000,59.35
2012-05-29,59.50,60.03,59.00,60.00,68900,60.00
2012-05-28,60.25,60.25,59.00,59.25,68000,59.25
2012-05-25,59.50,60.25,58.25,60.25,322200,60.25
2012-05-24,59.50,60.25,58.75,60.00,368000,60.00
2012-05-23,60.50,60.50,58.00,60.00,79500,60.00
2012-05-22,60.50,60.50,59.50,59.50,185900,59.50
2012-05-21,61.75,61.75,58.75,60.00,85700,60.00
2012-05-18,62.00,62.00,59.00,59.75,377400,59.75
2012-05-17,59.75,60.75,59.71,59.75,454000,59.75
2012-05-16,59.75,61.00,59.75,59.75,290700,59.75
2012-05-14,60.00,61.00,59.50,59.50,64500,59.50
2012-05-11,62.50,62.50,60.50,61.75,645100,61.75
2012-05-10,62.75,63.25,62.25,62.75,542200,62.75
2012-05-09,62.50,63.38,62.06,62.50,941900,62.50
2012-05-08,62.50,62.75,62.00,62.50,477900,62.50
2012-05-04,62.50,62.75,62.50,62.50,480600,62.50
2012-05-03,62.50,62.88,62.50,62.75,480200,62.75
2012-05-02,64.25,64.25,61.50,62.75,626900,62.75
2012-05-01,63.00,63.50,62.50,63.25,261100,63.25
2012-04-30,64.00,64.25,62.50,63.00,214900,63.00
2012-04-27,62.50,63.50,62.50,63.25,125100,63.25
2012-04-26,64.00,64.25,62.50,62.50,196700,62.50
2012-04-25,62.50,62.75,61.50,62.50,331300,62.50
2012-04-24,63.00,63.50,62.00,62.00,287400,62.00
2012-04-23,63.25,63.25,62.00,62.25,575000,62.25
