Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,224.00,225.10,219.80,219.90,297700,219.40
2012-08-02,224.00,225.10,219.40,219.40,668600,219.40
2012-08-01,218.70,225.50,218.10,225.20,1862400,225.20
2012-07-31,217.70,219.60,213.11,217.00,492600,217.00
2012-07-27,212.90,216.20,211.60,215.70,542100,215.70
2012-07-26,190.00,213.00,188.70,213.00,1899900,213.00
2012-07-25,185.00,187.10,183.50,184.50,958100,184.50
2012-07-24,190.70,190.70,187.80,188.60,250400,188.60
2012-07-23,192.30,192.80,188.10,189.00,439600,189.00
2012-07-20,192.20,194.00,191.70,193.70,314400,193.70
2012-07-19,180.80,193.50,180.73,193.40,1549000,193.40
2012-07-18,178.90,181.00,178.69,180.90,431600,180.90
2012-07-17,180.80,181.30,178.40,179.00,413300,179.00
2012-07-16,178.70,181.00,177.40,179.50,1421400,179.50
2012-07-13,175.70,179.40,175.70,177.00,949300,177.00
2012-07-12,179.90,179.90,176.20,177.20,892500,177.20
2012-07-11,179.30,181.40,179.30,181.30,280800,181.30
2012-07-10,180.50,183.20,179.20,180.70,354300,180.70
2012-07-09,187.20,187.20,180.00,180.50,298100,180.50
2012-07-06,187.90,188.00,184.80,186.40,344900,186.40
2012-07-05,189.10,192.80,186.70,188.00,471300,188.00
2012-07-04,190.00,190.00,188.60,190.00,227400,190.00
2012-07-03,191.50,191.50,186.80,190.00,494600,190.00
2012-07-02,188.00,191.80,186.91,191.80,620400,191.80
2012-06-29,190.80,193.80,186.90,187.10,179400,187.10
2012-06-28,190.80,191.10,185.30,188.80,317700,188.80
2012-06-27,189.40,191.40,188.00,191.40,509000,191.40
2012-06-26,188.10,190.50,188.10,189.30,261800,189.30
2012-06-25,195.40,196.30,189.30,189.90,223900,189.90
2012-06-22,196.60,196.60,193.30,195.50,1084000,195.50
2012-06-21,198.30,201.90,195.60,196.80,371000,196.80
2012-06-20,189.00,201.12,186.30,201.10,345500,201.10
2012-06-19,185.90,188.60,183.80,187.80,210900,187.80
