Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,200.00,205.00,199.25,199.25,77500,200.00
2012-08-02,200.00,205.00,199.25,200.00,91800,200.00
2012-08-01,219.25,221.50,200.00,200.00,353400,200.00
2012-07-31,240.00,240.00,215.00,220.00,1549700,220.00
2012-07-27,240.00,245.00,240.00,245.00,31300,245.00
2012-07-26,240.25,248.00,237.00,246.00,36900,246.00
2012-07-25,240.00,245.00,240.00,245.00,100,245.00
2012-07-24,250.00,250.00,240.25,245.00,36700,245.00
2012-07-23,250.00,250.00,243.20,245.00,268100,245.00
2012-07-20,250.00,250.00,250.00,250.00,69100,250.00
2012-07-19,258.00,259.00,248.25,248.25,4400,248.25
2012-07-18,255.00,255.00,248.00,248.00,171700,248.00
2012-07-17,250.00,257.75,250.00,250.38,286700,250.38
2012-07-16,245.00,248.00,233.32,245.00,53600,245.00
2012-07-13,240.00,244.50,230.00,235.35,324900,235.35
2012-07-12,234.00,240.00,233.00,235.35,147600,235.35
2012-07-11,234.00,234.00,222.00,233.00,29700,233.00
2012-07-10,226.00,234.00,225.25,233.50,5800,233.50
2012-07-09,225.00,228.00,225.00,228.00,6600,228.00
2012-07-06,232.75,233.00,229.00,233.00,11300,233.00
2012-07-05,234.00,234.00,225.00,225.00,32800,225.00
2012-07-04,215.00,233.00,215.00,231.25,10300,231.25
2012-07-03,220.00,220.00,220.00,220.00,100,220.00
2012-07-02,235.00,235.00,220.00,220.33,40400,220.33
2012-06-29,222.25,233.25,222.25,233.25,8200,233.25
2012-06-28,230.00,235.00,230.00,235.00,17000,235.00
2012-06-27,220.00,220.00,220.00,220.00,200,220.00
2012-06-26,220.00,229.50,220.00,221.00,31900,221.00
2012-06-25,220.00,220.50,220.00,220.00,7700,220.00
2012-06-22,226.75,226.75,220.75,220.75,6200,220.75
2012-06-21,217.50,225.00,217.50,220.33,468100,220.33
2012-06-20,219.75,219.75,212.00,214.50,57200,214.50
2012-06-19,212.00,217.25,212.00,212.50,13400,212.50
2012-06-18,211.75,218.75,210.00,212.00,79100,212.00
2012-06-15,220.75,227.00,208.38,208.50,175500,208.50
2012-06-14,220.50,227.75,215.00,215.00,7800,215.00
2012-06-13,224.25,227.25,217.00,227.25,28100,227.25
2012-06-12,225.00,229.50,223.25,225.25,3700,225.25
2012-06-11,231.00,231.50,225.00,225.00,18600,225.00
2012-06-08,234.00,245.00,231.75,231.75,61500,231.75
2012-06-07,223.00,236.25,220.41,236.25,28400,236.25
2012-06-06,218.00,224.25,218.00,224.25,20200,224.25
2012-06-01,215.00,219.50,212.01,218.00,16400,218.00
2012-05-31,200.50,215.00,200.50,214.75,29300,214.75
2012-05-30,207.00,210.00,200.50,200.50,20200,200.50
2012-05-29,202.75,202.75,200.50,200.50,2400,200.50
2012-05-28,199.50,207.00,198.25,207.00,198300,207.00
2012-05-25,200.00,208.25,197.00,200.00,95100,200.00
2012-05-24,201.00,205.00,197.00,205.00,92000,205.00
2012-05-23,210.00,214.75,200.00,205.25,25800,205.25
2012-05-22,210.25,215.00,208.50,210.00,75500,210.00
2012-05-21,220.00,220.62,210.68,215.00,110700,215.00
2012-05-18,225.00,225.00,215.00,220.00,68300,220.00
2012-05-17,235.00,235.00,226.50,226.50,49400,226.50
2012-05-16,239.00,240.00,237.38,240.00,10500,240.00
2012-05-14,242.00,251.75,240.84,245.00,13100,245.00
2012-05-11,240.50,245.25,240.00,245.00,440500,245.00
2012-05-10,247.00,247.00,243.89,247.00,73500,247.00
2012-05-09,245.25,248.25,240.00,247.00,64100,247.00
2012-05-08,254.75,254.75,245.75,250.00,10100,250.00
2012-05-04,250.25,255.00,247.00,247.50,127200,247.50
2012-05-03,246.75,247.75,242.00,247.75,400,247.75
2012-05-02,240.00,250.00,240.00,249.25,108700,249.25
2012-05-01,249.50,250.00,244.75,249.00,28800,249.00
2012-04-30,235.50,245.00,235.50,245.00,32200,245.00
2012-04-27,247.00,254.75,238.75,239.25,212800,239.25
2012-04-26,247.00,247.00,237.50,244.75,482400,244.75
2012-04-25,239.49,240.00,239.49,240.00,59800,240.00
2012-04-24,241.25,241.25,237.75,237.75,5300,237.75
2012-04-23,240.25,245.00,240.00,242.50,445500,242.50
2012-04-20,250.25,250.25,240.50,240.50,45600,240.50
2012-04-19,255.00,257.00,250.50,253.25,78200,253.25
2012-04-18,258.75,258.75,258.75,258.75,500,258.75
2012-04-17,255.00,261.00,255.00,260.00,100,260.00
2012-04-16,261.00,265.00,260.00,262.00,19600,262.00
2012-04-13,265.00,265.00,258.30,263.00,23200,263.00
2012-04-12,260.00,262.75,259.00,262.75,8300,262.75
2012-04-11,257.50,259.75,257.00,259.00,7700,259.00
2012-04-10,265.25,265.25,260.00,260.00,2100,260.00
2012-04-05,265.00,273.00,265.00,266.75,2700,266.75
2012-04-04,269.75,270.28,265.25,265.25,120500,265.25
2012-04-03,270.25,271.25,269.00,270.00,18600,270.00
2012-04-02,275.25,276.00,271.00,271.00,14100,271.00
2012-03-30,280.00,290.00,275.00,275.00,63200,275.00
2012-03-29,270.00,275.00,269.25,269.25,132900,269.25
2012-03-28,272.00,275.00,270.00,270.00,24500,270.00
2012-03-27,275.00,279.50,272.25,274.00,27100,274.00
2012-03-26,272.00,272.00,270.00,272.00,9900,272.00
2012-03-23,269.75,274.50,265.00,274.50,19800,274.50
