Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,390.70,393.12,389.25,391.90,23200,389.00
2012-08-01,389.00,390.00,388.18,389.00,46800,389.00
2012-07-31,391.30,391.30,387.50,389.00,76900,389.00
2012-07-30,388.50,392.00,386.40,392.00,84300,392.00
2012-07-27,386.30,388.60,383.50,388.60,102300,388.60
2012-07-26,378.50,385.00,378.50,385.00,35900,385.00
2012-07-25,380.90,381.90,375.90,380.00,93400,380.00
2012-07-24,378.80,381.70,375.30,375.30,78500,375.30
2012-07-23,382.90,382.95,377.14,378.80,102700,378.80
2012-07-20,389.80,389.80,385.95,388.20,56500,388.20
2012-07-19,385.50,390.30,385.50,390.30,58400,390.30
2012-07-18,384.20,388.70,384.00,387.40,72500,387.40
2012-07-17,385.20,388.80,382.70,386.90,96000,386.90
2012-07-16,385.40,385.40,382.50,383.40,88500,383.40
2012-07-13,382.50,387.40,381.70,387.40,52800,387.40
2012-07-12,382.20,382.20,379.70,382.20,49600,382.20
2012-07-11,383.20,384.50,382.08,384.40,55900,384.40
2012-07-10,383.60,387.40,382.00,382.00,185900,382.00
2012-07-09,385.00,386.60,380.90,380.90,106900,380.90
2012-07-06,386.80,389.20,383.80,383.80,89800,383.80
2012-07-05,384.00,390.00,384.00,386.80,69800,386.80
2012-07-04,385.90,388.00,385.11,388.00,48200,388.00
2012-07-03,379.00,386.90,379.00,386.90,76400,386.90
2012-07-02,377.70,382.00,376.00,381.00,125200,381.00
2012-06-29,372.80,377.50,369.30,376.00,85300,376.00
2012-06-28,370.40,370.40,364.60,370.10,84700,370.10
2012-06-27,363.70,369.80,361.00,368.00,51400,368.00
2012-06-26,365.70,367.50,362.30,365.10,51500,365.10
2012-06-25,365.60,368.29,363.00,363.00,54000,363.00
2012-06-22,368.00,368.59,365.32,368.00,64700,368.00
2012-06-21,368.80,369.90,366.01,368.10,105300,368.10
2012-06-20,363.90,370.00,363.90,370.00,80400,370.00
2012-06-19,364.40,368.50,362.80,368.50,53200,368.50
2012-06-18,366.10,367.54,360.70,360.70,120100,360.70
2012-06-15,362.90,368.66,361.98,362.20,189600,362.20
2012-06-14,368.80,368.86,363.20,363.20,48900,363.20
2012-06-13,368.10,369.00,363.00,367.10,51200,367.10
2012-06-12,371.00,371.02,363.20,363.20,120200,363.20
2012-06-11,372.80,376.00,370.47,373.40,131600,373.40
2012-06-08,373.00,373.00,369.00,369.00,97800,369.00
2012-06-07,365.00,375.00,364.00,375.00,126500,375.00
2012-06-06,364.50,365.00,361.70,364.80,62400,364.80
2012-06-01,362.60,365.00,355.31,356.20,56500,356.20
2012-05-31,363.70,365.00,359.12,361.00,65900,361.00
2012-05-30,363.00,366.23,358.50,360.50,85400,360.50
2012-05-29,364.70,366.20,361.76,362.80,64500,362.80
2012-05-28,363.70,365.60,361.16,362.00,81500,362.00
2012-05-25,364.20,364.20,360.00,360.10,98000,360.10
2012-05-24,360.00,363.00,358.00,361.70,39600,361.70
2012-05-23,362.10,365.50,358.00,358.00,69200,358.00
2012-05-22,365.50,368.32,361.60,364.40,181900,364.40
2012-05-21,363.50,367.00,362.41,363.10,111500,363.10
2012-05-14,366.20,370.20,365.51,368.80,60800,368.80
2012-05-11,369.50,373.00,366.20,373.00,144200,373.00
2012-05-10,367.60,370.90,366.40,370.50,92400,370.50
2012-05-09,371.00,371.72,365.90,366.30,117200,366.30
2012-05-08,375.10,379.38,370.00,370.00,79000,370.00
2012-05-04,382.60,384.79,375.40,375.40,108700,375.40
2012-05-03,384.00,385.90,382.50,384.40,134700,384.40
2012-05-02,384.00,386.00,379.00,379.70,115400,379.70
2012-05-01,378.00,384.50,378.00,384.50,74300,384.50
2012-04-30,380.00,383.40,378.50,378.50,89100,378.50
2012-04-27,378.00,382.80,378.00,382.80,110200,382.80
2012-04-26,380.30,381.90,377.20,378.00,110200,378.00
2012-04-25,375.70,381.20,375.70,377.20,103300,377.20
2012-04-24,372.20,378.30,372.20,376.40,145100,376.40
2012-04-23,379.40,379.40,373.00,374.00,142600,374.00
2012-04-20,378.90,384.70,377.70,383.00,88500,383.00
2012-04-19,380.40,382.61,377.60,379.20,90100,379.20
2012-04-18,382.00,383.00,380.90,382.00,161100,382.00
2012-04-17,377.20,383.00,377.00,382.40,82700,382.40
2012-04-16,379.30,379.80,375.00,376.80,88400,376.80
2012-04-13,382.00,383.70,376.38,377.80,69700,377.80
2012-04-12,371.00,382.80,371.00,382.40,80000,382.40
2012-04-11,371.00,376.80,367.10,374.20,125000,374.20
2012-04-10,374.60,378.22,370.63,370.90,138900,370.90
2012-04-05,373.10,379.50,373.00,374.60,181000,374.60
2012-04-04,381.10,384.90,373.20,376.30,237600,376.30
2012-04-03,383.00,384.39,378.40,378.40,149100,378.40
2012-04-02,375.60,379.90,373.00,378.40,103300,378.40
2012-03-30,380.10,380.10,373.00,374.90,147800,374.90
2012-03-29,376.80,381.59,374.50,374.50,102200,374.50
2012-03-28,383.60,383.60,377.06,377.80,138300,377.80
2012-03-27,394.00,398.50,388.15,388.80,201000,388.80
2012-03-26,383.00,391.80,382.30,389.00,135100,389.00
2012-03-23,390.50,392.69,382.10,383.90,173600,383.90
2012-03-22,391.50,394.60,386.00,390.20,105800,390.20
2012-03-21,391.40,394.89,391.20,392.10,101600,392.10
2012-03-20,394.00,395.00,385.30,393.70,163800,393.70
2012-03-19,394.80,398.70,389.13,398.70,124800,398.70
2012-03-16,389.60,394.80,387.60,394.80,243700,394.80
2012-03-15,398.90,398.90,387.50,391.40,173400,391.40
2012-03-14,391.90,398.80,390.40,395.30,232100,395.30
2012-03-13,385.00,391.50,382.93,391.20,109500,391.20
2012-03-12,381.10,385.00,381.10,383.90,78200,383.90
2012-03-09,380.00,382.30,377.04,380.80,87100,380.80
2012-03-08,381.40,381.40,375.50,377.50,91400,377.50
2012-03-07,374.00,379.00,373.10,376.40,65300,376.40
2012-03-06,382.00,382.00,373.10,375.30,103200,375.30
2012-03-05,384.10,385.30,381.00,381.00,78600,381.00
2012-03-02,383.00,386.00,381.50,384.00,183700,384.00
2012-03-01,384.00,385.00,381.07,383.00,62700,383.00
2012-02-29,384.00,386.07,381.89,382.20,87100,382.20
2012-02-28,386.00,386.25,382.00,383.00,98400,383.00
2012-02-27,383.75,386.00,381.00,383.20,108900,383.20
2012-02-24,386.00,387.10,384.90,386.40,102100,386.40
2012-02-23,384.20,384.90,381.77,384.50,147200,384.50
2012-02-22,380.80,382.50,378.49,382.30,103900,382.30
2012-02-21,378.00,382.10,377.25,380.60,105100,380.60
2012-02-20,379.30,381.00,377.10,380.20,82500,380.20
2012-02-17,378.60,378.60,375.31,377.40,74500,377.40
2012-02-16,375.00,376.22,372.10,374.40,46700,374.40
2012-02-15,377.50,381.40,375.90,376.10,207200,376.10
2012-02-14,373.10,377.50,372.43,375.50,222900,375.50
2012-02-13,370.00,373.30,370.00,373.00,94800,373.00
2012-02-10,363.60,368.69,363.60,368.60,159700,368.60
2012-02-09,370.50,371.00,367.10,368.20,105400,368.20
2012-02-08,367.10,370.60,367.10,367.10,102200,367.10
2012-02-07,363.10,368.00,363.10,365.30,122700,365.30
2012-02-06,360.00,366.60,360.00,366.60,73200,366.60
2012-02-03,359.80,361.33,357.01,360.60,124800,360.60
2012-02-02,358.30,359.80,353.95,359.70,52100,359.70
2012-02-01,346.50,360.00,346.50,360.00,148000,360.00
2012-01-31,347.90,349.13,343.00,343.00,139500,343.00
2012-01-30,348.20,349.90,340.30,344.70,110900,344.70
2012-01-27,353.00,354.59,345.00,345.00,57200,345.00
2012-01-26,349.10,353.60,349.10,350.20,93800,350.20
2012-01-25,349.70,354.00,348.10,348.10,53900,348.10
2012-01-24,350.60,353.99,347.73,348.60,162200,348.60
2012-01-23,353.00,353.79,350.10,350.90,112900,350.90
2012-01-20,353.30,353.30,350.00,350.00,76100,350.00
