Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,915.00,915.00,913.95,913.95,3400,606.00
2008-10-06,630.00,630.00,610.00,606.00,12700,606.00
2008-10-03,640.00,680.00,635.00,680.00,21300,680.00
2008-10-02,645.00,650.50,630.00,635.00,9700,635.00
2008-10-01,630.00,648.50,630.00,645.00,24100,645.00
2008-09-30,615.00,625.00,615.00,625.00,12700,625.00
2008-09-29,662.50,662.50,637.00,641.00,7800,641.00
2008-09-26,665.00,670.00,655.00,662.50,14100,662.50
2008-09-25,674.00,675.00,662.00,675.00,4000,675.00
2008-09-24,670.00,675.00,670.00,675.00,10400,675.00
2008-09-23,670.00,670.00,665.00,665.50,21500,665.50
2008-09-22,685.00,690.00,681.00,681.00,51100,681.00
2008-09-19,695.00,702.00,579.50,579.50,25800,579.50
2008-09-18,675.00,675.00,655.00,655.00,30200,655.00
2008-09-17,690.00,690.00,665.00,665.00,6500,665.00
2008-09-16,680.00,690.00,675.00,680.00,39600,680.00
2008-09-15,705.00,705.00,690.00,695.00,6900,695.00
2008-09-12,723.00,723.00,723.00,723.00,4400,723.00
2008-09-11,725.00,744.00,725.00,717.50,4800,717.50
2008-09-10,730.00,730.00,730.00,730.00,1300,730.00
2008-09-09,744.00,744.00,735.00,735.00,13600,735.00
2008-09-08,742.50,742.50,742.50,742.50,1600,742.50
2008-09-05,725.00,725.00,725.00,717.50,6100,717.50
2008-09-04,730.00,750.00,730.00,735.00,20000,735.00
2008-09-03,729.40,729.40,723.00,723.00,4400,723.00
2008-09-02,727.00,732.50,727.00,732.50,900,732.50
2008-09-01,735.00,740.00,735.00,732.50,9200,732.50
2008-08-29,730.00,735.00,730.00,732.50,4800,732.50
2008-08-28,715.00,735.00,715.00,727.50,27800,727.50
2008-08-27,705.00,705.00,705.00,705.00,7100,705.00
2008-08-26,710.00,710.00,700.00,702.50,16200,702.50
2008-08-22,716.00,722.00,716.00,714.00,4800,714.00
2008-08-21,713.00,713.00,706.00,711.00,8500,711.00
2008-08-20,721.00,721.00,711.00,711.00,21600,711.00
2008-08-19,725.00,725.00,716.00,716.00,7700,716.00
2008-08-18,731.00,731.00,731.00,734.00,5800,734.00
2008-08-15,737.00,740.00,737.00,735.00,12700,735.00
2008-08-14,740.00,740.00,736.00,740.50,3200,740.50
2008-08-13,735.00,740.00,727.00,739.00,13600,739.00
2008-08-12,735.00,740.00,727.00,730.00,12700,730.00
2008-08-11,722.00,722.00,722.00,732.50,7200,732.50
2008-08-08,735.00,735.00,722.50,722.50,4600,722.50
2008-08-07,728.00,732.00,728.00,724.50,4400,724.50
2008-08-06,715.00,730.00,715.00,720.00,19800,720.00
2008-08-05,707.00,710.00,707.00,707.50,5900,707.50
2008-08-04,701.50,707.00,696.00,701.50,4300,701.50
2008-08-01,695.00,695.00,695.00,701.00,10400,701.00
2008-07-31,695.00,710.00,695.00,710.00,14400,710.00
2008-07-30,694.00,708.00,694.00,708.00,21000,708.00
2008-07-29,672.00,672.00,672.00,678.00,8800,678.00
2008-07-28,672.00,672.00,672.00,678.50,6700,678.50
2008-07-25,680.00,680.00,671.00,671.00,13000,671.00
2008-07-24,672.00,685.00,672.00,678.50,13500,678.50
2008-07-23,672.00,690.00,672.00,690.00,22200,690.00
2008-07-22,645.00,665.00,645.00,665.00,9400,665.00
2008-07-21,640.00,655.00,640.00,655.00,26400,655.00
2008-07-18,630.00,635.00,617.50,630.00,10700,630.00
2008-07-17,615.00,630.00,615.00,630.00,14800,630.00
2008-07-16,597.00,610.00,597.00,607.50,25400,607.50
2008-07-15,616.00,616.00,605.50,607.50,16400,607.50
2008-07-14,649.00,649.00,637.50,637.00,15500,637.00
2008-07-11,655.00,655.00,636.00,637.50,14900,637.50
2008-07-10,641.00,641.00,637.00,637.00,6300,637.00
2008-07-09,656.00,665.00,656.00,662.00,12000,662.00
2008-07-08,666.00,670.00,660.00,665.00,55300,665.00
2008-07-07,694.00,694.00,694.00,684.00,23200,684.00
2008-07-04,690.00,700.00,690.00,700.00,11800,700.00
2008-07-03,685.00,685.00,685.00,685.00,16900,685.00
2008-07-02,699.00,700.00,695.00,700.00,13400,700.00
2008-07-01,702.00,702.00,700.00,701.50,7100,701.50
2008-06-30,708.00,708.00,708.00,708.00,7400,708.00
2008-06-27,725.00,730.00,725.00,720.50,31000,720.50
2008-06-26,730.00,736.00,715.00,730.00,28200,730.00
2008-06-25,730.00,735.00,730.00,735.00,7400,735.00
2008-06-24,718.00,718.00,718.00,718.00,3000,718.00
2008-06-23,740.00,740.00,740.00,735.00,4700,735.00
2008-06-20,745.00,745.00,720.00,720.00,10500,720.00
2008-06-19,750.00,765.00,750.00,745.00,37400,745.00
2008-06-18,751.50,765.00,751.00,755.00,43300,755.00
2008-06-17,750.00,775.00,731.00,767.00,21700,767.00
2008-06-16,735.00,751.50,735.00,747.00,36300,747.00
2008-06-13,735.00,735.00,735.00,730.00,12700,730.00
2008-06-12,735.00,740.00,735.00,742.50,12200,742.50
2008-06-11,742.00,755.00,730.00,735.00,18700,735.00
2008-06-10,760.00,760.00,747.00,748.50,6300,748.50
2008-06-09,760.00,765.00,760.00,765.00,43500,765.00
2008-06-06,775.00,780.00,759.00,759.00,17900,759.00
2008-06-05,775.00,775.00,770.00,764.00,10700,764.00
2008-06-04,769.00,775.00,756.00,768.00,9600,768.00
