Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,119.93,120.00,119.00,120.00,5500,120.00
2012-08-02,120.00,120.00,117.94,120.00,12500,120.00
2012-08-01,119.75,120.00,117.87,120.00,41500,120.00
2012-07-31,119.00,120.00,118.75,120.00,153900,120.00
2012-07-27,117.00,120.27,115.50,120.00,76800,120.00
2012-07-26,120.00,121.75,117.00,121.75,60600,121.75
2012-07-25,115.50,120.75,115.50,120.00,24500,120.00
2012-07-24,119.50,119.50,116.00,116.00,13200,116.00
2012-07-23,117.81,117.81,117.19,117.23,7300,117.23
2012-07-20,119.50,120.00,117.50,119.25,26500,119.25
2012-07-19,119.50,121.00,117.50,121.00,44500,121.00
2012-07-18,119.50,121.38,116.00,117.25,254500,117.25
2012-07-17,122.00,122.00,119.00,120.50,371500,120.50
2012-07-16,124.25,124.25,120.66,122.00,52700,122.00
2012-07-13,124.25,125.00,121.50,125.00,124400,125.00
2012-07-12,120.00,122.00,120.00,122.00,10500,122.00
2012-07-11,120.00,122.75,120.00,122.75,64300,122.75
2012-07-10,122.50,122.50,120.00,122.00,38500,122.00
2012-07-09,121.18,123.00,123.00,123.00,2600,123.00
2012-07-06,121.25,122.00,120.00,120.00,64600,120.00
2012-07-05,123.50,123.50,121.00,121.00,110600,121.00
2012-07-04,121.00,124.50,118.59,124.00,37600,124.00
2012-07-03,120.75,121.00,118.75,120.00,61200,120.00
2012-07-02,123.00,123.00,117.25,117.25,71400,117.25
2012-06-29,123.00,124.00,120.00,124.00,39200,124.00
2012-06-28,119.25,125.00,119.18,124.25,46800,124.25
2012-06-27,119.25,123.50,119.25,123.00,54200,123.00
2012-06-26,119.75,120.00,117.00,119.00,50000,119.00
2012-06-25,118.00,120.47,117.25,118.50,76500,118.50
2012-06-22,119.50,121.50,118.50,120.00,44400,120.00
2012-06-21,121.00,121.00,118.75,119.50,77400,119.50
2012-06-20,120.00,123.50,117.00,121.00,252500,121.00
2012-06-19,113.25,119.50,113.12,119.50,155600,119.50
2012-06-18,110.00,114.00,108.79,112.50,332000,112.50
2012-06-15,108.25,113.00,108.12,109.00,374100,109.00
2012-06-14,106.00,109.00,106.00,108.50,28300,108.50
2012-06-13,108.00,108.00,105.00,105.00,31300,105.00
2012-06-12,107.25,108.00,106.15,106.75,79200,106.75
2012-06-11,112.00,114.00,106.50,106.50,202100,106.50
2012-06-08,110.00,113.00,109.50,111.00,53600,111.00
2012-06-07,112.75,115.00,110.00,110.00,51100,110.00
2012-06-06,115.25,115.25,111.00,112.50,70000,112.50
2012-06-01,113.00,115.59,113.00,114.25,8900,114.25
2012-05-31,116.50,116.61,112.75,114.00,230000,114.00
2012-05-30,118.00,118.00,115.00,115.00,32300,115.00
2012-05-29,119.00,120.59,117.00,117.00,52900,117.00
2012-05-28,118.25,118.88,117.50,117.50,17300,117.50
2012-05-25,121.00,121.00,117.00,117.00,35600,117.00
2012-05-24,118.00,119.50,116.75,116.93,80600,116.93
2012-05-23,119.00,119.00,117.75,118.75,8900,118.75
2012-05-22,118.50,121.00,117.00,117.75,70400,117.75
2012-05-21,118.00,118.50,117.00,118.50,37100,118.50
2012-05-18,116.50,118.00,115.25,117.23,243800,117.23
2012-05-17,119.00,119.00,117.00,117.50,268300,117.50
2012-05-16,118.00,119.25,118.00,118.24,58500,118.24
2012-05-14,119.75,121.50,117.61,119.24,180500,119.24
2012-05-11,119.00,120.25,117.94,119.00,83400,119.00
2012-05-10,123.50,123.50,119.50,121.63,925000,121.63
2012-05-09,124.00,124.00,122.28,122.88,158900,122.88
2012-05-08,123.00,126.00,122.25,124.74,228100,124.74
2012-05-04,124.25,126.75,123.00,123.25,34900,123.25
2012-05-03,127.50,128.00,123.50,123.50,467400,123.50
2012-05-02,129.00,129.00,127.00,128.00,1222500,128.00
2012-05-01,128.00,129.60,127.00,129.00,2319200,129.00
2012-04-30,127.25,128.50,127.00,127.00,14200,127.00
2012-04-27,126.25,129.00,125.00,128.75,25700,128.75
2012-04-26,125.00,129.00,124.00,125.50,128200,125.50
2012-04-25,130.25,132.00,127.00,127.00,39700,127.00
2012-04-24,129.00,133.00,127.50,130.75,35900,130.75
2012-04-23,129.00,129.00,127.50,127.75,21400,127.75
2012-04-20,127.00,129.75,126.88,129.75,56500,129.75
2012-04-19,126.00,128.50,125.00,128.50,40700,128.50
2012-04-18,123.75,127.00,122.75,125.25,86600,125.25
2012-04-17,125.75,126.00,120.73,123.00,45600,123.00
2012-04-16,125.50,126.26,123.25,123.25,58900,123.25
2012-04-13,125.25,126.75,124.75,125.50,47200,125.50
2012-04-12,125.50,125.50,122.09,125.50,90200,125.50
2012-04-11,125.00,125.00,122.37,125.00,42800,125.00
2012-04-10,124.50,125.50,122.00,122.75,31700,122.75
2012-04-05,127.00,127.25,124.50,125.00,65100,125.00
2012-04-04,121.75,127.50,121.57,127.50,156800,127.50
2012-04-03,121.50,124.00,118.25,119.00,95800,119.00
2012-04-02,123.75,123.89,121.27,122.00,50400,122.00
2012-03-30,121.75,124.25,121.75,123.00,87100,123.00
2012-03-29,122.25,123.38,121.25,122.00,230500,122.00
2012-03-28,122.00,123.00,119.50,120.00,37800,120.00
2012-03-27,122.50,122.50,115.25,120.75,371400,120.75
2012-03-26,123.00,124.00,122.00,123.50,75400,123.50
2012-03-23,123.00,124.50,122.00,123.00,73300,123.00
2012-03-22,124.25,125.00,122.25,123.25,41900,123.25
2012-03-21,124.25,125.00,121.87,124.50,48700,124.50
2012-03-20,123.25,124.00,122.00,123.75,149700,123.75
2012-03-19,125.25,126.00,123.25,124.00,98300,124.00
2012-03-16,128.75,128.75,124.75,124.75,318600,124.75
2012-03-15,128.75,129.00,127.50,129.00,69200,129.00
2012-03-14,129.00,129.00,127.75,129.00,476300,129.00
2012-03-13,129.00,129.50,128.50,129.26,525100,129.26
2012-03-12,128.00,129.00,126.68,128.65,229700,128.65
2012-03-09,127.00,128.00,126.00,127.50,47800,127.50
2012-03-08,128.00,128.00,125.75,125.75,20700,125.75
2012-03-07,125.75,127.75,125.25,125.25,25200,125.25
2012-03-06,127.50,128.00,125.43,125.75,176900,125.75
2012-03-05,128.25,130.00,128.00,128.25,151400,128.25
2012-03-02,129.00,129.00,126.00,129.00,117900,129.00
2012-03-01,125.25,129.50,124.25,129.00,79300,129.00
2012-02-29,128.00,128.00,125.25,126.25,55700,126.25
2012-02-28,130.25,130.25,125.25,127.00,157200,127.00
2012-02-27,130.00,130.00,128.43,130.00,88500,130.00
2012-02-24,135.00,135.25,133.00,134.50,6389800,134.50
2012-02-23,134.75,136.88,134.00,135.50,182300,135.50
2012-02-22,135.75,137.00,134.00,136.75,66900,136.75
2012-02-21,131.25,136.25,131.25,133.77,311500,133.77
2012-02-20,132.75,133.50,131.00,132.23,97800,132.23
2012-02-17,130.00,134.00,129.59,130.26,186300,130.26
2012-02-16,130.00,130.09,129.25,130.09,339600,130.09
2012-02-15,129.50,130.50,128.25,129.53,206200,129.53
2012-02-14,129.00,130.09,129.00,129.50,12000,129.50
2012-02-13,128.00,130.50,126.20,129.59,85500,129.59
2012-02-10,127.00,128.25,125.65,127.25,85300,127.25
2012-02-09,125.00,126.75,124.25,125.05,192900,125.05
2012-02-08,120.75,123.00,120.56,121.50,61300,121.50
2012-02-07,118.50,120.75,118.50,120.00,28700,120.00
2012-02-06,119.00,121.25,118.75,121.00,57300,121.00
2012-02-03,120.50,122.50,118.93,119.92,116000,119.92
2012-02-02,119.50,119.59,118.75,119.50,35500,119.50
2012-02-01,118.00,119.50,116.50,118.50,134200,118.50
2012-01-31,121.00,121.62,117.00,117.00,101800,117.00
2012-01-30,123.50,124.00,121.43,122.50,28300,122.50
2012-01-27,122.50,124.00,121.50,123.00,14500,123.00
2012-01-26,117.75,127.00,117.75,123.25,310500,123.25
2012-01-25,112.00,117.50,112.00,115.46,494400,115.46
2012-01-24,108.25,111.75,108.25,111.00,69000,111.00
2012-01-23,109.25,110.25,107.50,108.75,65100,108.75
2012-01-20,114.25,114.25,108.75,109.50,98900,109.50
2012-01-19,112.50,115.00,111.00,112.00,62600,112.00
2012-01-18,113.00,115.00,112.00,113.00,514600,113.00
2012-01-17,113.25,113.75,112.50,113.00,53600,113.00
2012-01-16,114.00,114.00,113.53,114.00,17800,114.00
2012-01-13,116.00,116.00,113.00,113.75,158100,113.75
2012-01-12,116.00,116.00,114.94,115.50,49300,115.50
2012-01-11,116.00,117.50,115.75,116.00,138600,116.00
2012-01-10,115.00,116.00,115.00,115.50,31700,115.50
2012-01-09,115.00,116.75,112.00,115.75,78200,115.75
2012-01-06,116.50,117.50,116.00,116.00,103400,116.00
2012-01-05,116.00,117.75,115.00,117.00,395900,117.00
2012-01-04,115.00,115.00,114.81,115.00,28900,115.00
2012-01-03,113.50,115.00,113.50,115.00,830200,115.00
2011-12-30,112.00,113.00,111.50,112.00,34800,112.00
2011-12-29,113.50,113.50,113.50,113.50,300,113.50
2011-12-28,114.00,115.00,112.75,114.25,44700,114.25
2011-12-23,114.25,114.50,113.25,114.00,3500,114.00
2011-12-22,114.25,115.75,113.62,114.50,78800,114.50
2011-12-21,112.50,115.00,112.50,113.75,89200,113.75
