Date,Open,High,Low,Close,Volume,Adj Close
2012-07-31,132.65,132.65,132.65,132.65,2000,132.65
2012-08-02,132.50,144.00,132.50,132.50,000,132.65
2012-08-01,132.50,144.00,132.50,132.50,000,132.65
2012-07-31,132.65,132.65,132.65,132.65,2000,132.65
2012-07-27,132.55,132.55,132.55,132.55,2000,132.55
2012-07-26,132.50,132.50,132.25,132.25,6000,132.25
2012-07-25,130.81,130.50,130.50,130.50,2000,130.50
2012-07-24,132.00,132.13,132.00,132.00,83400,132.00
2012-07-23,131.00,133.43,131.00,133.00,4100,133.00
2012-07-20,133.43,133.43,131.00,131.00,2500,131.00
2012-07-19,132.00,134.00,132.00,134.00,19700,134.00
2012-07-18,133.00,133.00,131.00,132.25,16900,132.25
2012-07-17,133.50,133.50,131.10,131.10,32300,131.10
2012-07-16,130.00,144.00,130.00,130.00,000,130.00
2012-07-13,133.75,133.75,133.75,133.75,300,133.75
2012-07-12,133.00,134.00,130.59,134.00,10300,134.00
2012-07-11,130.25,131.80,130.25,131.80,50200,131.80
2012-07-10,132.00,132.00,128.84,131.00,46500,131.00
2012-07-09,129.00,133.00,129.00,133.00,1600,133.00
2012-07-06,129.50,132.00,129.50,132.00,2500,132.00
2012-07-05,130.00,130.00,129.00,129.00,42200,129.00
2012-07-04,129.25,130.00,129.00,129.00,7900,129.00
2012-07-03,129.06,131.59,129.06,129.06,12100,129.06
2012-07-02,130.00,131.50,129.00,129.00,37000,129.00
2012-06-29,128.77,132.00,128.77,132.00,20600,132.00
2012-06-28,133.00,133.00,133.00,133.00,400,133.00
2012-06-27,128.00,128.00,128.00,128.00,300,128.00
2012-06-26,130.00,130.80,129.00,129.00,109100,129.00
2012-06-25,133.00,133.00,129.50,130.25,14200,130.25
2012-06-22,131.75,131.75,129.00,129.00,87000,129.00
2012-06-21,129.71,132.50,129.71,130.00,38600,130.00
2012-06-20,132.75,132.75,129.00,129.50,17600,129.50
2012-06-19,133.00,133.00,127.00,127.00,45300,127.00
2012-06-18,133.00,133.00,129.00,129.00,71000,129.00
2012-06-15,131.25,132.50,130.00,130.00,163200,130.00
2012-06-14,130.00,132.75,129.00,130.50,547600,130.50
2012-06-13,132.75,133.00,129.00,129.00,8900,129.00
2012-06-12,130.25,133.00,128.00,129.00,24000,129.00
2012-06-11,130.00,131.00,129.50,129.50,14400,129.50
2012-06-08,135.00,135.86,127.00,127.00,27100,127.00
2012-06-07,138.10,138.50,132.00,135.00,41200,135.00
2012-06-06,135.25,135.25,132.76,134.75,51800,134.75
2012-06-01,140.00,141.21,138.68,141.00,104900,135.30
2012-05-31,140.00,140.00,139.23,140.00,21300,134.34
2012-05-30,139.75,144.00,135.00,140.00,46600,134.34
2012-05-29,137.00,141.50,137.00,138.25,64200,132.66
2012-05-28,133.25,141.75,133.25,140.50,42900,134.82
2012-05-25,134.00,137.00,134.00,137.00,56600,131.46
2012-05-24,132.00,135.00,130.00,133.00,41100,127.62
2012-05-23,132.00,135.00,130.00,130.00,6700,124.74
2012-05-22,137.00,137.00,132.62,135.75,9500,130.26
2012-05-21,130.25,135.00,130.00,133.75,26600,128.34
2012-05-18,130.00,133.16,128.00,130.00,38600,124.74
2012-05-17,137.00,137.00,132.47,133.75,5400,128.34
2012-05-16,132.25,135.38,132.25,135.00,5300,129.54
