Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,101.62,101.62,101.00,101.20,60700,101.62
2012-08-01,101.75,102.00,100.50,101.62,139200,101.62
2012-07-31,101.24,101.50,100.51,101.50,91300,101.50
2012-07-30,101.25,101.25,100.62,101.25,55300,101.25
2012-07-27,100.50,101.12,100.50,101.12,114900,101.12
2012-07-26,101.50,101.50,101.12,101.12,27700,101.12
2012-07-25,101.00,101.12,100.00,100.00,17800,100.00
2012-07-24,101.50,101.50,100.00,100.00,40500,100.00
2012-07-23,101.50,101.50,101.30,101.50,42500,101.50
2012-07-20,101.75,101.75,101.00,101.00,88800,101.00
2012-07-19,101.00,101.75,100.38,101.75,58000,101.75
2012-07-18,99.50,101.00,99.50,101.00,53700,101.00
2012-07-17,100.25,100.75,100.00,100.00,36700,100.00
2012-07-16,100.75,100.75,100.00,100.00,37600,100.00
2012-07-13,100.25,100.54,99.50,99.50,24600,99.50
2012-07-12,100.00,101.75,100.00,100.00,162800,100.00
2012-07-11,101.00,101.75,101.00,101.75,79200,101.75
2012-07-10,102.25,103.50,102.00,102.50,119900,102.50
2012-07-09,101.00,102.00,100.75,100.75,59500,100.75
2012-07-06,101.75,102.00,100.50,100.50,96300,100.50
2012-07-05,100.75,101.50,99.50,100.00,78400,100.00
2012-07-04,100.80,101.00,99.00,99.00,67600,99.00
2012-07-03,99.40,101.00,99.00,99.00,123100,99.00
2012-07-02,99.00,101.00,99.00,99.25,181200,99.25
2012-06-29,96.25,100.00,96.25,100.00,213900,100.00
2012-06-28,96.50,97.25,96.25,97.00,51200,97.00
2012-06-27,96.50,96.50,95.75,96.00,98800,96.00
2012-06-26,96.00,96.00,95.50,95.75,162600,95.75
2012-06-25,96.50,96.75,95.75,96.00,160800,96.00
2012-06-22,96.00,96.50,95.50,96.50,131000,96.50
2012-06-21,96.70,97.00,95.50,95.50,45800,95.50
2012-06-20,97.00,97.00,95.75,95.75,50600,95.75
2012-06-19,97.00,97.00,95.75,95.75,44100,95.75
2012-06-18,97.25,97.25,95.50,95.75,92200,95.75
2012-06-15,97.00,97.00,95.50,95.50,212600,95.50
2012-06-14,96.00,97.00,96.00,97.00,224200,97.00
2012-06-13,96.50,97.75,96.00,96.51,141100,96.51
2012-06-12,97.50,97.50,96.25,96.25,281500,96.25
2012-06-11,98.75,98.75,98.50,98.50,90700,98.50
2012-06-08,98.00,98.00,97.70,97.70,62900,97.70
2012-06-07,98.00,98.08,97.00,98.00,199000,98.00
2012-06-06,97.50,97.50,96.75,97.50,158900,97.50
2012-06-01,97.50,97.50,95.50,95.50,121600,95.50
2012-05-31,97.50,97.50,96.25,96.25,169000,96.25
2012-05-30,96.50,98.17,96.50,98.00,140400,98.00
2012-05-29,98.00,98.00,98.00,98.00,98500,98.00
