Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,66.50,67.00,65.00,65.50,25300,65.00
2012-08-02,66.50,67.00,65.00,65.00,28700,65.00
2012-08-01,65.50,67.75,65.00,67.00,181200,67.00
2012-07-31,68.50,70.50,67.25,69.00,120700,69.00
2012-07-27,68.75,70.00,66.00,66.00,166600,66.00
2012-07-26,69.75,69.75,65.00,68.25,174600,68.25
2012-07-25,70.00,71.50,66.50,67.25,178700,67.25
2012-07-24,69.50,69.75,65.25,65.25,198800,65.25
2012-07-23,65.00,71.75,63.28,67.50,449800,67.50
2012-07-20,65.00,71.56,63.94,65.10,402800,65.10
2012-07-19,54.00,64.38,53.86,59.21,1386100,59.21
2012-07-18,53.00,54.50,50.00,53.00,477000,53.00
2012-07-17,52.25,52.25,49.50,51.00,225900,51.00
2012-07-16,54.00,54.40,50.00,51.50,82700,51.50
2012-07-13,55.00,56.00,52.50,52.50,108700,52.50
2012-07-12,53.50,55.00,52.25,52.25,44900,52.25
2012-07-11,56.00,56.69,51.25,51.50,531100,51.50
2012-07-10,59.25,60.50,55.00,55.00,146500,55.00
2012-07-09,62.00,62.00,59.74,59.75,19100,59.75
2012-07-06,62.00,63.00,60.00,60.00,289500,60.00
2012-07-05,63.00,65.00,62.55,64.50,23800,64.50
2012-07-04,63.50,63.50,61.00,62.75,32800,62.75
2012-07-03,67.00,67.00,61.00,64.00,118300,64.00
2012-07-02,67.00,68.91,63.00,64.25,265500,64.25
2012-06-29,69.75,69.75,65.50,69.00,99200,69.00
2012-06-28,74.00,75.00,65.15,67.00,301200,67.00
2012-06-27,66.00,66.78,63.50,64.50,130600,64.50
2012-06-26,67.50,68.25,66.00,66.00,32200,66.00
2012-06-25,71.25,71.25,66.25,69.00,78900,69.00
2012-06-22,69.00,70.09,68.00,68.00,129800,68.00
2012-06-21,69.00,70.00,65.75,66.50,83900,66.50
2012-06-20,70.00,70.00,69.00,69.89,16500,69.89
2012-06-19,69.00,72.00,68.00,71.00,155200,71.00
2012-06-18,69.75,69.90,68.00,68.00,218500,68.00
2012-06-15,65.75,70.00,65.53,68.50,422600,68.50
2012-06-14,69.00,69.00,64.83,65.00,107700,65.00
2012-06-13,67.00,69.00,66.65,67.00,80400,67.00
2012-06-12,73.25,73.25,66.00,67.00,259100,67.00
2012-06-11,79.75,79.75,71.75,72.75,246700,72.75
2012-06-08,78.00,79.00,74.00,75.50,353100,75.50
2012-06-07,76.00,80.50,73.80,78.75,1124300,78.75
2012-06-06,91.00,98.25,67.75,72.14,1148000,72.14
2012-06-01,145.25,147.00,145.00,146.00,15800,146.00
2012-05-31,145.25,148.00,142.03,144.25,47600,144.25
2012-05-30,140.00,141.00,139.25,141.00,7400,141.00
2012-05-29,140.09,140.40,140.09,140.40,2800,140.40
2012-05-28,145.00,145.00,141.75,144.16,600,144.16
2012-05-25,139.50,145.00,136.03,143.75,151100,143.75
2012-05-24,140.00,140.63,135.00,137.25,514900,137.25
2012-05-23,148.75,148.75,141.75,141.75,19900,141.75
2012-05-22,151.75,151.75,143.50,145.00,1405100,145.00
2012-05-21,149.00,149.00,143.75,143.75,120400,143.75
2012-05-18,144.00,146.04,144.00,145.00,79600,145.00
2012-05-17,147.75,149.00,145.00,149.00,69100,149.00
2012-05-16,147.75,150.00,142.79,149.25,130200,149.25
2012-05-14,151.50,151.75,147.00,150.25,83600,150.25
2012-05-11,156.25,158.00,150.00,152.00,66000,152.00
2012-05-10,156.25,159.66,153.00,154.25,34700,154.25
2012-05-09,156.75,156.75,155.00,155.00,203300,155.00
2012-05-08,162.75,163.25,156.00,156.00,62400,156.00
2012-05-04,163.75,168.00,159.00,160.50,2982100,160.50
2012-05-03,158.00,164.00,158.00,162.25,198700,162.25
2012-05-02,155.00,158.75,152.75,158.50,84900,158.50
2012-05-01,152.00,154.25,150.00,154.25,356200,154.25
2012-04-30,154.75,154.75,148.25,150.00,41000,150.00
2012-04-27,147.00,158.50,144.00,149.50,147600,149.50
2012-04-26,153.50,153.76,142.25,146.25,8173700,146.25
2012-04-25,144.00,156.00,144.00,153.50,335900,153.50
2012-04-24,153.50,153.50,145.00,145.00,123300,145.00
2012-04-23,155.00,157.00,148.00,148.00,90600,148.00
2012-04-20,164.00,164.00,157.00,161.45,78500,161.45
2012-04-19,163.75,163.75,160.00,161.50,41700,161.50
2012-04-18,163.00,164.15,157.25,160.00,68200,160.00
2012-04-17,161.25,162.75,158.25,160.00,257800,160.00
2012-04-16,164.00,165.75,156.00,161.00,175500,161.00
2012-04-13,164.00,165.50,163.00,164.00,453200,164.00
2012-04-12,163.00,165.50,162.50,165.50,80800,165.50
2012-04-11,168.00,168.00,164.00,165.46,1209500,165.46
2012-04-10,172.50,173.50,169.00,169.75,80300,169.75
2012-04-05,175.00,175.00,170.70,173.75,13700,173.75
2012-04-04,176.25,178.50,171.50,174.00,145600,174.00
2012-04-03,180.75,183.59,176.00,177.00,51600,177.00
2012-04-02,181.75,182.75,176.00,181.75,45700,181.75
2012-03-30,179.25,185.00,178.25,180.25,63300,180.25
2012-03-29,178.50,178.50,171.75,178.25,61900,178.25
2012-03-28,178.50,179.75,173.75,177.75,85800,177.75
2012-03-27,179.75,179.75,175.25,179.50,35600,179.50
2012-03-26,176.50,177.00,174.81,177.00,34600,177.00
2012-03-23,172.75,177.00,168.63,176.75,103200,176.75
2012-03-22,170.25,170.25,166.50,167.50,32800,167.50
2012-03-21,170.00,172.75,166.00,171.00,38900,171.00
2012-03-20,163.25,170.00,160.94,161.00,171100,161.00
2012-03-19,164.50,167.25,164.50,164.50,24700,164.50
2012-03-16,167.00,168.66,160.53,164.50,90200,164.50
2012-03-15,170.00,172.00,165.00,167.50,185500,167.50
