Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,267.75,273.50,267.75,271.00,6500,267.00
2012-08-02,267.75,273.50,267.00,267.00,16500,267.00
2012-08-01,272.50,272.50,266.56,271.00,150300,271.00
2012-07-31,267.25,273.00,266.56,269.50,44200,269.50
2012-07-27,265.00,272.25,265.00,270.00,282100,270.00
2012-07-26,273.00,273.00,269.88,270.00,69100,270.00
2012-07-25,273.75,277.00,273.50,277.00,30400,277.00
2012-07-24,273.25,273.25,267.75,271.00,26700,271.00
2012-07-23,269.00,275.20,268.00,268.00,1200,268.00
2012-07-20,272.00,275.00,271.75,273.00,22700,273.00
2012-07-19,272.00,275.00,272.00,275.00,438300,275.00
2012-07-18,277.00,280.00,275.00,275.50,198300,275.50
2012-07-17,279.00,280.00,275.00,280.00,238000,280.00
2012-07-16,279.50,279.53,276.50,277.25,14400,277.25
2012-07-13,275.00,280.00,275.00,280.00,44400,280.00
2012-07-12,275.00,277.00,275.00,277.00,77700,277.00
2012-07-11,277.00,277.50,274.00,276.00,126600,276.00
2012-07-10,276.00,279.12,276.00,276.75,66200,276.75
2012-07-09,278.50,279.00,272.50,279.00,64300,279.00
2012-07-06,273.75,277.25,268.88,275.00,167900,275.00
2012-07-05,602.00,275.00,266.33,275.00,53500,275.00
2012-07-04,269.75,270.00,262.62,270.00,52200,270.00
2012-07-03,260.75,265.00,259.00,265.00,40900,265.00
2012-07-02,262.00,264.75,259.00,261.00,74500,261.00
2012-06-29,264.00,264.25,260.00,264.00,60800,264.00
2012-06-28,258.50,264.00,258.25,264.00,25000,264.00
2012-06-27,260.25,261.56,258.25,258.50,132400,258.50
2012-06-26,260.00,262.00,257.81,261.00,84100,261.00
2012-06-25,260.00,261.00,256.25,260.00,272200,260.00
2012-06-22,255.00,258.00,255.00,257.50,170800,257.50
2012-06-21,259.75,261.75,256.60,259.00,37000,259.00
2012-06-20,262.00,262.00,255.75,258.00,43900,258.00
2012-06-19,258.50,261.75,258.50,260.00,32300,260.00
2012-06-18,259.25,262.00,258.40,260.00,12500,260.00
2012-06-15,258.00,262.00,255.00,260.00,333300,260.00
2012-06-14,259.00,262.00,257.21,260.25,64800,260.25
2012-06-13,255.00,262.75,255.00,260.50,19900,260.50
2012-06-12,258.00,264.50,257.22,261.00,50000,261.00
2012-06-11,258.50,260.00,256.00,260.00,126400,260.00
2012-06-08,259.75,259.75,256.42,258.00,26300,258.00
2012-06-07,258.75,260.00,255.00,258.75,153900,258.75
2012-06-06,256.75,259.38,254.25,257.00,28500,257.00
2012-06-01,258.00,258.00,255.00,256.00,228900,256.00
2012-05-31,259.50,261.25,257.75,257.75,176700,257.75
2012-05-30,261.00,261.25,257.75,257.75,51200,257.75
2012-05-29,266.50,266.50,260.00,262.50,175600,262.50
2012-05-28,261.75,266.25,259.00,261.75,45100,261.75
2012-05-25,265.00,265.00,259.50,264.50,35600,264.50
2012-05-24,265.75,269.00,264.00,265.50,259200,265.50
2012-05-23,261.00,265.50,260.00,264.75,50000,264.75
2012-05-22,264.00,264.28,260.00,262.50,747400,262.50
2012-05-21,264.00,264.00,260.62,263.25,183500,263.25
2012-05-18,265.00,265.00,261.25,263.00,191900,263.00
2012-05-17,265.25,270.00,265.00,265.00,200400,265.00
2012-05-16,267.50,271.00,266.50,270.25,86100,270.25
2012-05-14,265.00,270.75,263.50,266.37,69200,266.37
2012-05-11,265.50,270.75,264.00,270.75,56700,270.75
2012-05-10,263.00,263.00,262.00,263.00,13100,263.00
2012-05-09,259.75,267.25,257.91,262.00,145500,262.00
2012-05-08,261.50,264.00,260.00,262.75,65600,262.75
2012-05-04,260.00,263.25,258.25,261.75,84000,261.75
2012-05-03,261.75,267.86,261.57,265.00,221700,265.00
2012-05-02,266.50,267.25,258.50,267.25,42000,267.25
2012-05-01,259.00,265.00,256.68,265.00,221100,265.00
2012-04-30,257.00,264.25,253.84,261.50,64900,261.50
2012-04-27,252.50,259.75,252.50,257.50,126100,257.50
2012-04-26,257.50,257.50,251.88,253.75,51700,253.75
2012-04-25,253.00,255.25,250.50,252.50,61000,252.50
2012-04-24,248.00,257.25,248.00,253.00,40200,253.00
2012-04-23,250.50,252.00,248.00,250.00,773800,250.00
2012-04-20,252.50,257.00,250.00,250.00,229100,250.00
2012-04-19,250.00,258.75,250.00,253.50,219000,253.50
2012-04-18,255.25,257.25,250.25,255.00,137000,255.00
2012-04-17,249.50,258.14,249.50,254.25,1440100,254.25
2012-04-16,253.00,258.00,249.25,253.00,54600,253.00
2012-04-13,249.50,254.74,249.25,252.25,57500,252.25
2012-04-12,249.75,255.75,249.75,250.25,68500,250.25
2012-04-11,250.00,252.75,246.25,248.75,89300,248.75
2012-04-10,254.00,254.51,246.25,250.35,190100,250.35
2012-04-05,255.75,256.52,253.00,254.46,169000,254.46
2012-04-04,262.50,262.50,254.00,260.00,1003900,260.00
2012-04-03,264.00,264.00,257.50,259.96,655500,259.96
2012-04-02,255.25,267.00,251.19,265.00,449300,265.00
2012-03-30,260.75,260.75,252.35,255.50,75200,255.50
2012-03-29,250.00,257.25,250.00,256.25,59400,256.25
2012-03-28,253.00,254.75,250.75,252.14,140800,252.14
2012-03-27,251.25,262.00,250.25,252.50,317900,252.50
2012-03-26,250.00,256.63,249.05,252.00,343700,252.00
2012-03-23,252.50,253.00,247.00,248.25,872700,248.25
2012-03-22,246.75,255.25,246.75,250.25,8039300,250.25
2012-03-21,254.00,255.00,248.00,248.00,82600,248.00
2012-03-20,254.75,263.00,247.50,254.75,211400,254.75
2012-03-19,258.50,258.50,251.50,251.75,303200,251.75
2012-03-16,256.00,256.89,252.25,254.00,309000,254.00
2012-03-15,251.25,254.00,251.00,251.25,597800,251.25
2012-03-14,254.25,257.97,251.25,252.25,311900,252.25
2012-03-13,254.25,258.75,254.25,258.00,119100,258.00
2012-03-12,246.25,254.50,246.25,254.00,241600,254.00
2012-03-09,247.75,249.50,246.50,248.00,112700,248.00
