Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,83.25,87.00,83.25,87.00,275300,87.00
2012-08-02,83.25,87.00,83.25,87.00,280300,87.00
2012-08-01,85.75,86.00,85.00,86.00,338400,86.00
2012-07-31,85.75,86.00,84.25,85.00,1993500,85.00
2012-07-27,86.25,86.75,85.00,85.50,181900,85.50
2012-07-26,86.00,86.00,85.00,86.00,285700,86.00
2012-07-25,86.00,86.50,85.00,85.75,1244100,85.75
2012-07-24,87.00,87.00,85.00,85.00,5800,85.00
2012-07-23,85.25,86.00,85.25,86.00,58900,86.00
2012-07-20,85.25,87.25,85.00,86.00,598300,86.00
2012-07-19,85.00,85.50,83.75,85.50,548900,85.50
2012-07-18,82.00,84.78,82.00,83.50,4244300,83.50
2012-07-17,82.00,84.75,81.25,82.00,33000,82.00
2012-07-16,82.50,82.50,82.25,82.25,654700,82.25
2012-07-13,82.00,82.00,80.00,81.75,751700,81.75
2012-07-12,82.50,84.75,82.00,82.00,1583800,82.00
2012-07-11,83.00,85.00,82.25,82.50,847200,82.50
2012-07-10,82.50,84.00,82.50,82.50,1377300,82.50
2012-07-09,83.00,85.00,83.00,85.00,167500,85.00
2012-07-06,83.00,83.00,83.00,83.00,24300,83.00
2012-07-05,83.00,85.00,83.00,85.00,143300,85.00
2012-07-04,83.70,83.70,83.70,83.70,2300,83.70
2012-07-03,83.00,83.50,82.00,83.00,839200,83.00
2012-07-02,85.00,85.00,82.00,82.00,1051500,82.00
2012-06-29,84.00,85.50,82.28,85.50,62000,85.50
2012-06-28,82.50,84.00,82.25,82.50,35600,82.50
2012-06-27,84.00,84.50,83.50,83.50,1312200,83.50
2012-06-26,85.00,86.25,84.75,86.25,296600,86.25
2012-06-25,85.50,85.52,85.00,85.00,28100,85.00
2012-06-22,86.00,87.50,86.00,86.00,517900,86.00
2012-06-21,86.00,87.25,86.00,87.25,9500,87.25
2012-06-20,85.50,86.50,85.25,85.25,76600,85.25
2012-06-19,88.00,90.25,87.00,87.50,134800,85.20
2012-06-18,91.75,91.75,89.00,89.00,423500,86.66
2012-06-15,90.00,91.75,90.00,90.00,1138600,87.63
2012-06-14,91.75,93.00,90.00,91.00,34200,88.61
2012-06-13,90.00,92.00,89.75,90.00,95000,87.63
2012-06-12,90.75,91.00,89.47,91.00,40400,88.61
2012-06-11,89.35,90.00,89.00,90.00,997200,87.63
2012-06-08,89.00,90.00,88.06,90.00,20800,87.63
2012-06-07,87.00,87.00,86.50,87.00,10100,84.71
2012-06-06,86.00,87.00,82.00,87.00,1576700,84.71
2012-06-01,83.00,86.00,82.00,86.00,174800,83.74
2012-05-31,86.25,86.25,83.95,85.00,2037400,82.77
2012-05-30,85.00,85.00,83.00,83.00,24700,80.82
2012-05-29,83.00,85.00,83.00,85.00,62900,82.77
2012-05-28,86.00,86.00,84.00,85.75,10400,83.50
2012-05-25,86.50,86.50,84.00,85.50,170000,83.25
2012-05-24,83.50,85.50,83.50,84.00,4100,81.79
2012-05-23,84.25,86.00,83.50,85.25,52200,83.01
2012-05-22,87.75,87.75,84.00,84.00,426500,81.79
2012-05-21,87.25,87.25,86.00,86.00,14100,83.74
2012-05-18,87.00,87.00,84.00,85.00,80700,82.77
2012-05-17,85.00,87.50,85.00,87.00,8100,84.71
2012-05-16,84.25,87.25,84.25,84.50,25800,82.28
2012-05-14,86.00,86.00,84.00,84.00,57400,81.79
2012-05-11,87.25,89.00,86.50,89.00,1600,86.66
2012-05-10,88.00,89.00,87.00,88.00,134000,85.69
2012-05-09,89.00,89.00,87.25,89.00,15500,86.66
2012-05-08,89.25,89.75,88.00,88.00,2115900,85.69
2012-05-04,88.00,90.00,88.00,88.00,17900,85.69
2012-05-03,89.00,89.75,88.00,88.00,11800,85.69
2012-05-02,88.00,90.00,88.00,90.00,92500,87.63
2012-05-01,90.50,90.50,89.25,89.62,34800,87.27
2012-04-30,90.50,90.50,88.00,89.50,32400,87.15
2012-04-27,90.75,92.00,87.25,90.50,98100,88.12
2012-04-26,90.00,90.75,88.50,90.50,49900,88.12
2012-04-25,88.50,89.50,87.50,89.50,421400,87.15
2012-04-24,88.00,88.00,87.25,87.50,2036700,85.20
2012-04-23,88.00,88.00,87.50,87.50,212000,85.20
2012-04-20,88.00,88.00,87.25,88.00,10100,85.69
2012-04-19,88.00,90.00,87.25,90.00,11900,87.63
2012-04-18,89.00,90.00,87.25,87.50,1398800,85.20
2012-04-17,90.00,90.00,87.00,87.50,37000,85.20
2012-04-16,90.00,90.00,87.50,87.50,93400,85.20
2012-04-13,90.50,90.50,89.25,90.50,23800,88.12
2012-04-12,88.50,91.00,88.50,89.75,1775400,87.39
2012-04-11,88.50,90.25,88.50,88.50,49300,86.17
2012-04-10,92.00,92.00,89.50,89.50,52900,87.15
2012-04-05,92.00,92.00,90.25,90.25,2167200,87.88
2012-04-04,90.00,92.00,90.00,91.75,22500,89.34
2012-04-03,92.50,92.75,92.00,92.00,69000,89.58
2012-04-02,94.00,94.00,91.25,93.00,18100,90.56
2012-03-30,90.00,94.00,90.00,92.75,147000,90.31
2012-03-29,93.25,93.25,90.00,90.00,102500,87.63
2012-03-28,92.00,92.75,90.00,91.75,414200,89.34
2012-03-27,93.75,93.75,92.00,92.00,5700,89.58
2012-03-26,94.00,94.00,90.00,92.75,99400,90.31
2012-03-23,93.00,94.00,91.50,94.00,339900,91.53
2012-03-22,92.50,93.00,90.00,93.00,139200,90.56
2012-03-21,89.25,91.50,89.25,90.00,1134600,87.63
2012-03-20,92.25,92.25,89.00,89.22,304200,86.87
2012-03-19,90.00,93.00,89.00,89.00,199600,86.66
2012-03-16,88.00,89.68,87.00,88.00,178500,85.69
2012-03-15,88.50,90.00,88.00,88.00,467100,85.69
2012-03-14,91.00,91.00,88.64,88.64,594100,86.31
2012-03-13,89.00,90.00,89.00,89.00,116900,86.66
2012-03-12,89.00,89.00,88.00,88.00,14300,85.69
2012-03-09,87.00,89.00,87.00,89.00,11000,86.66
2012-03-08,87.00,89.00,87.00,89.00,24300,86.66
2012-03-07,87.00,88.75,87.00,87.00,800,84.71
2012-03-06,87.25,88.25,87.00,87.00,7400,84.71
2012-03-05,88.00,88.00,86.00,86.00,400,83.74
2012-03-02,86.50,87.75,86.00,87.75,3500,85.44
2012-03-01,86.00,87.53,86.00,86.00,16500,83.74
2012-02-29,87.00,88.00,85.83,86.00,1070900,83.74
2012-02-28,86.00,86.00,85.00,85.75,145900,83.50
2012-02-27,88.00,88.00,85.25,85.75,298800,83.50
2012-02-24,87.00,88.50,87.00,88.00,531600,85.69
2012-02-23,89.00,89.00,86.00,88.00,191200,85.69
2012-02-22,86.25,88.00,86.25,87.75,230300,85.44
2012-02-21,87.00,87.50,86.75,87.50,581500,85.20
2012-02-20,87.00,88.00,87.00,88.00,46800,85.69
2012-02-17,87.00,87.00,87.00,87.00,000,84.71
2012-02-16,90.50,91.00,87.00,87.00,1349900,84.71
2012-02-15,91.50,92.75,90.00,90.00,110900,87.63
2012-02-14,93.00,93.00,92.00,92.00,10500,89.58
2012-02-13,94.00,94.50,92.73,93.75,1201100,91.29
2012-02-10,90.00,93.00,90.00,93.00,691000,90.56
2012-02-09,87.00,91.25,87.00,90.00,126800,87.63
2012-02-08,87.25,88.44,84.25,86.00,276800,83.74
2012-02-07,88.00,88.72,88.00,88.50,64600,86.17
2012-02-06,89.75,91.25,89.00,89.00,103200,86.66
2012-02-03,85.50,91.75,85.50,89.84,3219100,87.48
2012-02-02,84.50,84.50,83.50,83.75,72700,81.55
2012-02-01,81.75,84.25,81.75,82.75,54600,80.57
2012-01-31,82.50,82.79,80.75,82.00,325100,79.84
2012-01-30,83.25,83.25,82.25,82.25,46100,80.09
2012-01-27,84.00,84.31,79.25,80.00,14208300,77.90
2012-01-26,83.75,84.50,82.00,82.00,231000,79.84
2012-01-25,83.50,85.50,83.50,84.50,19100,82.28
2012-01-24,85.00,85.00,85.00,85.00,500,82.77
2012-01-23,86.00,86.00,83.50,83.50,42400,81.31
2012-01-20,87.00,88.00,85.00,85.00,729900,82.77
2012-01-19,85.00,88.00,85.00,86.75,33900,84.47
2012-01-18,86.25,89.50,85.00,85.00,160100,82.77
2012-01-17,88.00,89.58,87.00,87.00,21400,84.71
2012-01-16,88.50,88.75,88.50,88.50,304500,86.17
2012-01-13,88.00,89.63,88.00,88.00,20800,85.69
2012-01-12,87.00,88.00,86.00,87.00,245400,84.71
2012-01-11,85.25,90.00,85.00,90.00,103600,87.63
2012-01-10,87.00,88.12,86.50,86.50,106600,84.23
2012-01-09,87.50,87.89,85.61,87.50,4200,85.20
2012-01-06,87.00,89.14,86.00,86.00,57500,83.74
2012-01-05,83.50,90.50,83.50,83.50,000,81.31
2012-01-04,89.00,90.00,86.20,90.00,9300,87.63
2012-01-03,89.00,89.00,87.00,89.00,77200,86.66
2011-12-30,86.00,86.00,85.00,85.00,3500,82.77
2011-12-29,86.50,89.00,86.00,86.00,37500,83.74
2011-12-28,87.50,87.50,85.50,86.50,37600,84.23
2011-12-23,87.00,87.00,86.00,86.00,8500,83.74
2011-12-22,84.25,87.00,84.25,87.00,5100,84.71
2011-12-21,86.00,87.50,84.75,84.75,197600,82.52
2011-12-20,89.50,89.50,86.75,87.50,60400,85.20
2011-12-19,89.75,89.75,87.00,87.00,212700,84.71
2011-12-16,90.00,90.00,88.25,88.25,4600,85.93
2011-12-15,89.00,89.00,87.00,87.00,46700,84.71
2011-12-14,87.50,89.75,87.00,87.25,237000,84.96
2011-12-13,88.00,89.75,87.00,87.00,161900,84.71
2011-12-12,87.25,90.00,87.00,87.00,30200,84.71
2011-12-09,88.00,89.84,87.25,89.00,421500,86.66
2011-12-08,89.75,90.00,88.00,88.00,47000,85.69
2011-12-07,88.25,89.53,87.50,87.50,127500,85.20
2011-12-06,87.25,89.44,84.50,88.00,1424500,85.69
2011-12-05,89.75,89.91,88.25,89.00,142400,86.66
2011-12-02,89.50,89.75,87.00,87.00,36100,84.71
2011-12-01,89.00,90.50,88.00,88.00,61600,85.69
2011-11-30,89.75,90.50,86.00,90.00,579400,87.63
2011-11-29,88.00,90.00,87.00,90.00,58200,87.63
2011-11-28,89.00,90.00,89.00,89.00,47400,86.66
