Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,391.10,391.50,384.00,384.90,1509600,386.50
2012-08-02,391.10,391.50,384.00,386.50,2350900,386.50
2012-08-01,384.20,391.00,382.06,390.30,1204400,390.30
2012-07-31,391.90,393.30,383.50,383.50,1716200,383.50
2012-07-27,384.40,387.50,380.50,387.30,2224200,387.30
2012-07-26,376.80,382.50,374.50,381.70,2271400,381.70
2012-07-25,381.10,383.30,377.40,377.90,1531700,377.90
2012-07-24,388.40,388.80,381.30,381.60,1411200,381.60
2012-07-23,397.50,397.50,384.20,386.80,1524900,386.80
2012-07-20,402.70,409.40,400.50,400.50,2204400,400.50
2012-07-19,399.00,403.40,398.40,401.90,1814300,401.90
2012-07-18,397.00,399.00,392.01,399.00,1260800,399.00
2012-07-17,400.80,400.80,393.20,395.90,1444800,395.90
2012-07-16,398.60,400.65,395.20,398.90,1238700,398.90
2012-07-13,394.20,398.50,391.60,397.80,1002600,397.80
2012-07-12,394.60,394.97,392.00,392.20,1056400,392.20
2012-07-11,404.40,404.50,395.80,396.50,1391500,396.50
2012-07-10,404.60,406.30,398.90,405.00,1557400,405.00
2012-07-09,394.10,403.90,393.30,403.90,1929800,403.90
2012-07-06,395.30,396.43,392.99,393.50,1082800,393.50
2012-07-05,397.10,401.10,395.20,395.80,1427900,395.80
2012-07-04,397.30,399.08,393.00,397.00,1486100,397.00
2012-07-03,398.90,402.40,392.20,395.60,2204000,395.60
2012-07-02,386.30,389.40,384.60,388.30,1333900,388.30
2012-06-29,381.10,388.50,380.80,385.30,2760800,385.30
2012-06-28,374.80,377.00,369.80,373.80,1257100,373.80
2012-06-27,370.70,373.80,366.70,373.70,1715300,373.70
2012-06-26,369.00,372.20,367.40,370.10,1751300,370.10
2012-06-25,368.20,372.20,367.30,368.10,1413500,368.10
2012-06-22,375.00,376.60,369.30,370.80,1369400,370.80
2012-06-21,374.00,381.50,371.10,379.00,1564300,379.00
2012-06-20,369.80,376.90,366.70,375.90,1459700,375.90
2012-06-19,368.00,372.80,367.20,370.60,1055600,370.60
2012-06-18,373.00,375.60,363.57,368.00,1183100,368.00
2012-06-15,368.00,368.40,363.90,364.30,2979300,364.30
2012-06-14,369.10,371.60,362.50,364.70,1733200,364.70
2012-06-13,378.00,380.00,366.50,369.40,1642300,369.40
2012-06-12,378.40,379.70,372.80,376.20,1769200,376.20
2012-06-11,387.80,389.00,375.60,376.70,1652200,376.70
2012-06-08,377.60,379.40,371.80,379.40,1750500,379.40
2012-06-07,374.60,383.50,370.70,377.80,2067700,377.80
2012-06-06,372.50,376.60,367.90,372.60,2035000,372.60
2012-06-01,379.70,381.30,365.30,366.60,2442000,366.60
2012-05-31,381.30,382.30,374.30,377.61,2360100,377.61
2012-05-30,385.40,385.40,377.20,378.50,1620600,378.50
2012-05-29,384.10,390.90,384.10,388.30,978400,388.30
2012-05-28,381.80,386.60,381.20,383.10,611500,383.10
2012-05-25,380.20,382.60,375.26,378.00,1014600,378.00
2012-05-24,381.20,381.30,374.00,379.30,1035800,379.30
2012-05-23,382.90,384.80,375.90,376.20,1380500,376.20
2012-05-22,382.10,388.20,381.00,387.80,1665000,387.80
2012-05-21,376.00,383.88,372.60,378.40,1751900,378.40
2012-05-18,380.60,381.90,375.10,375.40,1578900,375.40
2012-05-17,386.90,390.60,383.80,383.80,1143100,383.80
2012-05-16,388.00,393.20,385.10,388.10,1752300,388.10
2012-05-14,394.20,395.70,385.40,388.70,1252300,388.70
2012-05-11,390.70,397.60,386.30,397.50,1695600,397.50
2012-05-10,389.60,392.60,383.80,390.50,1379400,390.50
2012-05-09,391.10,393.54,382.63,386.50,1622000,386.50
2012-05-08,400.00,401.30,389.94,390.50,2235300,390.50
2012-05-04,412.10,412.10,397.60,399.90,2554900,399.90
2012-05-03,408.00,413.90,408.00,413.00,1680900,413.00
2012-05-02,413.10,414.10,404.80,408.00,2574000,408.00
2012-05-01,410.20,413.60,405.52,413.50,794200,413.50
2012-04-30,413.50,414.20,407.80,408.50,3333800,408.50
2012-04-27,404.90,414.10,402.30,413.00,2055100,413.00
2012-04-26,410.00,410.60,403.00,407.80,1655100,407.80
2012-04-25,405.80,410.40,404.80,410.00,1565500,410.00
2012-04-24,403.60,406.70,401.30,403.80,1725800,403.80
2012-04-23,406.10,406.50,397.45,400.00,2594700,400.00
2012-04-20,407.90,407.90,403.20,407.10,2588000,407.10
2012-04-19,406.90,409.90,404.80,407.30,2817400,407.30
2012-04-18,409.80,411.20,402.50,404.50,2633400,404.50
2012-04-17,403.30,412.30,402.40,411.80,2776400,411.80
2012-04-16,398.50,405.80,398.50,404.00,1521300,404.00
2012-04-13,405.20,408.29,399.10,400.40,1816000,400.40
2012-04-12,394.90,408.90,394.90,406.90,2243400,406.90
2012-04-11,392.30,397.30,389.50,394.80,2287100,394.80
2012-04-10,395.70,397.90,391.80,392.70,1930700,392.70
2012-04-05,397.40,401.80,393.40,397.20,1799200,397.20
2012-04-04,411.50,411.70,396.90,398.50,2221900,398.50
2012-04-03,411.20,415.60,410.90,410.90,1946300,410.90
2012-04-02,404.30,412.00,404.20,412.00,2739000,412.00
2012-03-30,398.30,406.33,397.71,403.90,3804400,403.90
2012-03-29,398.10,401.50,396.00,398.60,5568100,398.60
2012-03-28,397.80,406.80,396.04,398.00,4534500,398.00
2012-03-27,397.90,401.30,395.00,399.20,3601700,399.20
2012-03-26,393.40,396.60,389.80,395.70,1475000,395.70
2012-03-23,389.40,392.10,387.50,390.90,1680200,390.90
2012-03-22,395.70,397.00,386.40,387.70,2679800,387.70
2012-03-21,400.10,401.49,393.20,396.10,2501300,396.10
2012-03-20,404.00,404.00,396.60,399.40,2014500,399.40
2012-03-19,409.00,409.00,403.60,404.60,5042100,404.60
2012-03-16,403.50,409.50,402.58,408.30,2355700,408.30
2012-03-15,401.50,404.70,400.20,402.80,2161700,402.80
2012-03-14,402.10,404.20,398.90,400.30,2325600,400.30
2012-03-13,403.30,408.70,400.70,406.98,1976600,399.68
2012-03-12,402.00,404.70,398.00,399.40,1551100,392.24
2012-03-09,399.10,402.00,396.10,399.90,2248700,392.73
