Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,490.00,490.00,477.70,479.00,82300,482.46
2012-08-02,490.00,490.95,477.00,482.46,135000,482.46
2012-08-01,480.80,483.30,475.50,481.30,89500,481.30
2012-07-31,504.50,504.50,462.00,478.80,178700,478.80
2012-07-27,489.70,491.50,486.20,490.40,81600,490.40
2012-07-26,475.80,486.10,475.80,485.40,91200,485.40
2012-07-25,475.20,479.70,471.00,477.00,125500,477.00
2012-07-24,471.40,474.00,467.30,473.60,102100,473.60
2012-07-23,481.70,488.90,469.30,472.30,64300,472.30
2012-07-20,490.20,490.90,478.60,483.00,76400,483.00
2012-07-19,489.90,493.40,485.20,489.80,134500,489.80
2012-07-18,490.00,494.60,485.00,488.30,84400,488.30
2012-07-17,490.00,493.60,484.30,490.00,65800,490.00
2012-07-16,490.70,515.50,484.60,491.00,61300,491.00
2012-07-13,485.00,491.80,482.90,489.50,91100,489.50
2012-07-12,486.40,486.40,479.70,486.40,82800,486.40
2012-07-11,488.10,491.00,482.20,490.80,72600,490.80
2012-07-10,485.20,489.40,478.60,488.50,45000,488.50
2012-07-09,490.40,493.50,480.90,481.60,183800,481.60
2012-07-06,489.20,494.10,483.60,490.00,236300,490.00
2012-07-05,496.20,497.70,470.60,487.40,62200,487.40
2012-07-04,495.40,496.30,491.40,492.00,58900,492.00
2012-07-03,492.50,496.30,487.40,494.50,144200,494.50
2012-07-02,481.00,492.70,477.98,489.60,109000,489.60
2012-06-29,486.00,486.00,478.00,479.00,153700,479.00
2012-06-28,469.00,490.00,469.00,475.00,145000,475.00
2012-06-27,466.50,469.40,461.30,467.20,258100,467.20
2012-06-26,464.00,466.70,462.30,463.50,97400,463.50
2012-06-25,471.00,475.70,464.00,464.70,71800,464.70
2012-06-22,468.30,471.90,467.90,471.20,98100,471.20
2012-06-21,473.30,478.70,472.60,473.00,1124100,473.00
2012-06-20,467.30,482.20,465.70,477.50,507200,477.50
2012-06-19,468.50,472.70,466.80,468.00,160900,468.00
2012-06-18,470.10,471.00,464.10,465.00,100900,465.00
2012-06-15,461.90,470.28,461.90,470.00,542800,470.00
2012-06-14,460.80,464.80,454.80,460.90,129700,460.90
2012-06-13,458.80,462.10,451.00,455.40,179500,455.40
2012-06-12,461.10,461.10,452.90,457.80,114900,457.80
2012-06-11,469.00,475.90,459.80,460.00,110000,460.00
2012-06-08,461.70,466.30,458.60,461.80,76600,461.80
2012-06-07,459.30,471.60,459.20,466.30,141400,466.30
2012-06-06,458.10,461.20,452.20,460.30,88800,460.30
2012-06-01,465.90,467.30,450.00,455.60,243600,455.60
2012-05-31,464.50,471.70,463.50,465.90,357400,465.90
2012-05-30,466.90,470.60,461.00,462.00,180200,462.00
2012-05-29,466.70,473.00,466.44,468.50,151300,468.50
2012-05-28,470.90,470.90,464.50,466.00,211900,466.00
2012-05-25,464.40,472.40,460.20,462.50,209900,462.50
2012-05-24,471.00,472.40,461.30,467.20,141900,467.20
2012-05-23,470.00,472.40,462.20,462.50,207200,462.50
2012-05-22,466.70,477.90,466.70,471.10,230200,471.10
2012-05-21,457.60,465.05,455.30,465.00,203200,465.00
2012-05-18,468.00,470.00,458.10,460.00,136200,460.00
2012-05-17,482.90,488.90,470.00,473.50,176800,473.50
2012-05-16,481.70,486.70,479.09,483.60,170900,483.60
2012-05-14,485.30,489.10,476.70,479.20,217400,479.20
2012-05-11,493.00,495.60,485.00,491.40,154400,491.40
2012-05-10,491.50,493.85,486.20,493.80,135900,493.80
2012-05-09,492.90,496.20,480.70,488.80,575700,488.80
2012-05-08,500.00,506.50,491.18,491.30,321900,491.30
2012-05-04,499.30,504.50,496.40,499.95,440900,499.95
2012-05-03,504.00,510.00,494.70,502.00,325800,502.00
2012-05-02,494.60,496.00,485.00,492.70,422800,492.70
2012-05-01,483.90,492.00,483.90,489.70,138800,489.70
2012-04-30,487.30,490.00,485.80,485.80,815900,485.80
2012-04-27,475.50,487.50,470.10,485.00,152900,485.00
2012-04-26,477.20,484.30,474.10,478.70,93300,478.70
2012-04-25,477.00,485.20,476.20,480.10,130000,480.10
2012-04-24,475.80,479.70,472.40,473.60,263000,473.60
2012-04-23,482.20,482.20,470.80,474.30,186800,474.30
2012-04-20,484.00,484.00,476.20,481.50,215700,481.50
2012-04-19,482.70,492.10,481.20,481.20,205000,481.20
2012-04-18,487.00,489.70,478.40,480.00,266200,480.00
2012-04-17,477.10,486.60,477.00,485.40,126800,485.40
2012-04-16,478.00,485.60,474.51,477.40,209200,477.40
2012-04-13,477.50,484.50,477.40,480.10,143700,480.10
2012-04-12,476.00,485.40,476.00,484.80,151800,484.80
2012-04-11,470.80,478.60,470.30,478.10,163900,478.10
2012-04-10,472.30,477.30,464.61,472.80,318000,472.80
2012-04-05,474.30,477.60,469.80,474.50,130500,474.50
2012-04-04,481.70,481.70,471.90,473.70,204700,473.70
2012-04-03,482.30,487.00,481.90,481.90,143000,481.90
2012-04-02,485.40,485.40,476.60,478.25,1035700,478.25
2012-03-30,480.50,484.00,474.60,480.50,212100,480.50
2012-03-29,485.00,487.40,476.70,481.30,292000,481.30
2012-03-28,489.30,490.70,484.40,484.40,128200,484.40
2012-03-27,495.20,495.70,491.00,491.00,138300,491.00
2012-03-26,487.50,495.80,485.19,491.00,120900,491.00
2012-03-23,486.20,496.30,480.20,487.30,140200,487.30
2012-03-22,485.00,494.30,482.70,484.60,208600,484.60
2012-03-21,486.20,494.90,478.70,484.60,243200,484.60
2012-03-20,505.00,510.50,496.00,499.90,351000,485.48
2012-03-19,512.00,515.00,506.00,508.50,73400,493.83
2012-03-16,505.50,514.50,501.00,513.00,249200,498.20
2012-03-15,508.00,516.50,500.50,506.00,166500,491.40
2012-03-14,505.00,516.00,505.00,510.00,154700,495.29
2012-03-13,495.80,506.50,490.50,501.00,211500,486.55
2012-03-12,494.00,497.10,487.30,495.00,191800,480.72
2012-03-09,492.50,499.60,491.10,492.60,100300,478.39
2012-03-08,483.50,495.80,483.50,494.10,105900,479.85
2012-03-07,481.30,487.50,477.40,484.00,234100,470.04
2012-03-06,487.40,493.00,474.10,477.80,338800,464.02
2012-03-05,489.20,494.50,489.20,492.00,64400,477.81
2012-03-02,489.00,493.80,478.60,492.50,124800,478.29
2012-03-01,483.80,492.50,483.00,491.00,342700,476.84
2012-02-29,484.10,488.00,475.10,483.90,423100,469.94
2012-02-28,484.30,486.10,474.80,485.00,136600,471.01
2012-02-27,480.50,485.10,475.70,482.50,141200,468.58
2012-02-24,499.80,499.80,485.10,488.00,131300,473.92
2012-02-23,489.00,498.50,486.30,489.30,191400,475.19
2012-02-22,490.10,500.00,475.90,491.60,552300,477.42
2012-02-21,492.10,494.00,482.40,488.00,263200,473.92
2012-02-20,490.00,492.20,482.30,489.20,137600,475.09
2012-02-17,487.10,487.60,483.40,486.00,180700,471.98
2012-02-16,482.40,487.20,480.10,485.00,111100,471.01
2012-02-15,483.50,492.30,478.38,486.30,219400,472.27
2012-02-14,471.50,487.00,471.20,479.90,456100,466.06
2012-02-13,471.50,473.00,467.32,472.60,444800,458.97
2012-02-10,467.50,471.00,459.80,467.60,139100,454.11
2012-02-09,466.50,470.10,465.40,468.00,133200,454.50
2012-02-08,467.50,471.00,463.80,464.60,69500,451.20
2012-02-07,472.50,472.50,462.60,465.00,209900,451.59
2012-02-06,469.60,471.90,464.70,470.00,143400,456.44
2012-02-03,456.50,469.50,454.90,468.00,308800,454.50
2012-02-02,458.10,461.80,448.40,455.00,321400,441.88
2012-02-01,442.40,462.70,439.90,457.00,226300,443.82
2012-01-31,440.00,450.50,434.40,445.00,220200,432.16
2012-01-30,436.30,441.10,435.20,440.00,256700,427.31
2012-01-27,434.10,444.10,434.10,436.80,314800,424.20
2012-01-26,432.50,441.60,432.50,438.00,223900,425.37
2012-01-25,432.00,433.40,424.80,430.00,157800,417.60
2012-01-24,435.50,437.50,424.00,430.80,175000,418.37
2012-01-23,440.30,449.20,430.09,438.30,143000,425.66
2012-01-20,425.10,441.50,425.10,438.80,321300,426.14
2012-01-19,412.00,427.90,412.00,422.50,236500,410.31
2012-01-18,397.30,411.90,395.30,409.30,175500,397.49
2012-01-17,399.00,400.00,393.10,397.30,131700,385.84
2012-01-16,392.10,395.00,381.14,394.30,73900,382.93
2012-01-13,392.20,399.50,392.20,393.70,107500,382.34
2012-01-12,389.60,392.30,384.00,389.60,293700,378.36
2012-01-11,390.60,395.70,388.70,391.00,155900,379.72
2012-01-10,395.00,395.01,388.70,392.00,424100,380.69
2012-01-09,392.90,404.20,392.80,393.00,47300,381.66
2012-01-06,390.00,396.45,390.00,393.50,124800,382.15
2012-01-05,403.50,403.50,391.20,393.50,186900,382.15
2012-01-04,408.50,410.40,401.10,403.70,237900,392.05
2012-01-03,410.10,410.10,400.30,407.00,282000,395.26
2011-12-30,407.10,407.70,388.80,406.50,62400,394.77
2011-12-29,405.00,409.50,404.00,408.00,85400,396.23
2011-12-28,390.50,407.40,390.50,405.50,164200,393.80
2011-12-23,394.00,398.10,391.50,392.30,62000,380.98
2011-12-22,386.60,398.00,386.60,393.10,173800,381.76
2011-12-21,387.40,402.70,386.70,391.50,256800,380.21
2011-12-20,386.10,391.70,385.30,389.90,149800,378.65
2011-12-19,389.20,391.60,384.00,388.10,111100,376.90
2011-12-16,392.50,398.50,387.30,392.70,410800,381.37
2011-12-15,382.70,394.70,382.70,389.00,392200,377.78
2011-12-14,395.00,399.40,388.30,390.40,435300,379.14
2011-12-13,406.40,407.90,391.10,398.70,286600,387.20
2011-12-12,408.70,420.60,406.60,406.60,138100,394.87
2011-12-09,410.00,424.50,404.00,414.90,216600,402.93
2011-12-08,427.00,431.50,411.20,413.60,172000,401.67
2011-12-07,425.30,437.40,421.00,423.40,262400,411.19
2011-12-06,424.80,427.50,420.70,422.90,117500,410.70
2011-12-05,428.30,429.80,417.40,426.60,279200,414.29
2011-12-02,423.00,430.00,421.20,426.20,232400,413.91
2011-12-01,432.00,432.60,420.30,421.50,209600,409.34
2011-11-30,394.00,430.00,394.00,430.00,422300,417.60
2011-11-29,392.00,400.00,388.00,398.00,571200,386.52
2011-11-28,388.20,391.40,385.10,391.40,230500,380.11
2011-11-25,381.10,386.60,376.30,385.80,552600,374.67
2011-11-24,379.00,387.20,377.70,384.10,501800,373.02
2011-11-23,376.00,384.50,375.40,380.00,508800,369.04
2011-11-22,375.00,386.10,368.60,380.00,599000,369.04
2011-11-21,381.00,387.00,369.50,371.20,117400,360.49
2011-11-18,393.00,393.10,382.40,384.90,127600,373.80
2011-11-17,401.00,402.30,384.50,397.00,74300,385.55
2011-11-16,403.00,409.20,395.50,404.30,166400,392.64
2011-11-15,400.00,405.00,385.00,405.00,197200,393.32
2011-11-14,406.00,410.30,394.30,400.50,141800,388.95
2011-11-11,400.00,407.80,397.30,403.70,101500,392.05
2011-11-10,395.10,405.60,384.00,398.90,125900,387.39
2011-11-09,411.40,413.00,398.10,401.50,140500,389.92
2011-11-08,407.20,413.53,405.00,407.50,232400,395.75
2011-11-07,409.90,418.50,405.10,411.90,100000,400.02
2011-11-04,435.00,435.00,398.60,419.30,574100,407.20
2011-11-03,417.20,433.00,410.00,433.00,300700,420.51
2011-11-02,425.70,450.90,425.70,435.10,111600,422.55
2011-11-01,448.20,448.20,418.70,429.40,275300,417.01
2011-10-31,443.00,457.90,439.20,445.90,192400,433.04
2011-10-28,445.00,451.90,435.50,449.90,96300,436.92
2011-10-27,432.10,463.20,432.10,445.00,125700,432.16
2011-10-26,431.50,437.60,419.10,428.20,115500,415.85
2011-10-25,447.00,447.00,423.50,434.00,44100,421.48
2011-10-24,421.90,435.10,412.67,434.20,103600,421.68
2011-10-21,413.00,425.70,413.00,423.40,42300,411.19
2011-10-20,414.30,418.78,407.61,413.10,49100,401.18
2011-10-19,420.00,426.30,410.00,413.30,62000,401.38
