Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,141.40,144.60,140.40,141.70,147700,141.90
2012-08-02,141.40,144.60,140.40,141.90,235500,141.90
2012-08-01,142.40,142.80,141.20,141.80,425200,141.80
2012-07-31,141.70,142.70,140.00,142.00,1176800,142.00
2012-07-27,141.20,143.10,138.30,140.10,1801300,140.10
2012-07-26,134.50,141.20,134.00,141.20,2118300,141.20
2012-07-25,135.30,135.30,133.00,133.90,115400,133.90
2012-07-24,128.00,133.10,128.00,132.80,330500,132.80
2012-07-23,130.80,132.20,129.80,131.30,413300,131.30
2012-07-20,133.80,133.80,127.76,133.10,195200,133.10
2012-07-19,132.50,135.40,132.10,133.89,397000,133.89
2012-07-18,132.10,134.00,131.00,132.44,513100,132.44
2012-07-17,133.30,134.00,131.30,131.30,165800,131.30
2012-07-16,131.40,135.25,131.40,135.25,472500,135.25
2012-07-13,133.30,137.40,133.30,135.00,474300,135.00
2012-07-12,133.80,133.80,132.40,133.80,557100,133.80
2012-07-11,133.00,134.10,130.40,134.10,1383600,134.10
2012-07-10,130.60,133.10,129.70,131.40,624900,131.40
2012-07-09,132.00,132.00,130.00,130.80,486600,130.80
2012-07-06,132.30,132.30,128.10,130.70,536700,130.70
2012-07-05,129.69,129.69,125.50,129.01,415700,129.01
2012-07-04,132.70,132.70,128.80,131.60,1706200,131.60
2012-07-03,127.60,129.90,127.50,129.90,382200,129.90
2012-07-02,125.10,127.00,125.10,126.90,387700,126.90
2012-06-29,126.60,128.00,124.60,125.20,795300,125.20
2012-06-28,124.20,126.20,123.25,125.00,627300,125.00
2012-06-27,121.90,123.70,120.81,123.42,193200,123.42
2012-06-26,121.60,123.00,120.50,122.06,148200,122.06
2012-06-25,122.30,123.50,122.00,122.20,360900,122.20
2012-06-22,122.00,126.00,119.04,122.50,833500,122.50
2012-06-21,117.00,120.20,116.30,119.50,306500,119.50
2012-06-20,118.60,118.83,116.10,118.10,290500,118.10
2012-06-19,115.30,119.40,115.30,117.89,406600,117.89
2012-06-18,114.93,116.30,114.00,116.00,250500,116.00
2012-06-15,114.20,115.20,113.00,113.00,1117600,113.00
2012-06-14,114.50,114.90,112.94,113.90,1712300,113.90
