Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,984.00,987.50,970.11,970.50,55200,982.00
2012-08-01,978.00,986.00,978.00,982.00,49100,982.00
2012-07-31,990.50,990.50,978.00,978.00,74100,978.00
2012-07-30,979.50,986.00,978.00,983.00,31300,983.00
2012-07-27,966.00,977.00,963.00,977.00,94800,977.00
2012-07-26,951.50,965.50,949.11,960.00,80600,960.00
2012-07-25,951.00,954.17,946.50,951.50,139800,951.50
2012-07-24,954.50,960.00,949.00,951.00,55200,951.00
2012-07-23,966.50,969.00,953.00,954.50,68300,954.50
2012-07-20,984.00,984.00,973.00,974.50,69800,974.50
2012-07-19,979.00,988.00,977.11,984.00,112100,984.00
2012-07-18,976.00,978.50,971.00,978.50,43900,978.50
2012-07-17,975.00,979.00,968.00,971.00,90900,971.00
2012-07-16,971.00,976.00,967.00,973.50,57800,973.50
2012-07-13,960.00,971.00,956.00,971.00,92000,971.00
2012-07-12,960.00,965.00,950.50,960.00,46600,960.00
2012-07-11,962.00,963.00,956.32,963.00,84600,963.00
2012-07-10,966.00,971.50,964.50,968.50,60200,968.50
2012-07-09,972.00,972.00,961.00,961.00,75900,961.00
2012-07-06,973.50,973.50,962.00,969.50,59000,969.50
2012-07-05,975.00,980.00,965.50,965.50,76900,965.50
2012-07-04,977.00,977.00,970.00,974.00,82300,974.00
2012-07-03,970.00,985.50,966.50,982.00,53800,982.00
2012-07-02,954.00,974.50,954.00,974.50,92600,974.50
2012-06-29,957.00,959.50,949.85,957.00,46500,957.00
2012-06-28,948.00,951.50,938.00,939.50,33000,939.50
2012-06-27,934.50,948.00,933.00,948.00,50200,948.00
2012-06-26,937.00,940.00,934.50,940.00,49400,940.00
2012-06-25,943.00,947.49,932.00,935.00,57700,935.00
2012-06-22,947.00,951.40,943.50,943.50,46700,943.50
2012-06-21,955.00,960.50,948.61,953.00,43700,953.00
2012-06-20,948.00,958.00,942.00,957.00,63000,957.00
2012-06-19,937.00,950.50,935.00,950.50,87200,950.50
2012-06-18,930.50,939.50,925.28,930.50,84600,930.50
2012-06-15,933.50,935.00,918.77,919.00,236700,919.00
2012-06-14,931.50,933.00,920.00,921.50,57600,921.50
2012-06-13,935.50,941.00,924.00,931.50,80300,931.50
2012-06-12,949.00,949.00,925.50,928.00,74200,928.00
2012-06-11,956.00,963.33,942.00,942.00,50300,942.00
2012-06-08,947.00,953.00,933.72,951.50,53800,951.50
2012-06-07,917.00,951.50,917.00,951.50,141900,951.50
2012-06-06,914.00,921.00,908.94,920.50,67100,920.50
2012-06-01,925.00,925.56,907.00,907.00,55700,907.00
2012-05-31,932.00,934.88,919.50,921.50,52200,921.50
2012-05-30,935.50,935.50,920.00,920.00,47100,920.00
2012-05-29,936.00,939.00,929.51,935.50,61500,935.50
2012-05-28,931.00,937.50,925.00,933.00,32900,933.00
2012-05-25,925.00,933.62,917.00,917.00,81000,917.00
2012-05-24,926.50,933.50,917.45,933.50,62500,933.50
2012-05-23,935.00,935.00,916.50,916.50,121900,916.50
2012-05-22,936.50,944.50,930.00,937.50,133100,937.50
2012-05-21,936.00,944.39,930.00,934.00,109400,934.00
2012-05-14,969.50,973.00,961.50,971.50,72900,971.50
2012-05-11,970.50,983.00,963.00,983.00,69700,983.00
2012-05-10,970.00,980.00,967.50,970.00,94800,970.00
2012-05-09,972.50,975.00,957.50,966.00,120000,966.00
2012-05-08,997.00,999.90,971.00,973.00,102700,973.00
2012-05-04,1026.00,1026.00,996.00,996.00,86800,996.00
2012-05-03,1030.00,1035.00,1020.00,1024.00,111400,1024.00
2012-05-02,1029.00,1036.00,1023.00,1035.00,266900,1035.00
2012-05-01,1002.00,1029.00,1002.00,1029.00,158500,1029.00
2012-04-30,1010.00,1015.00,1003.00,1004.00,51700,1004.00
2012-04-27,995.00,1015.00,993.50,1015.00,80100,1015.00
2012-04-26,999.50,1007.00,992.38,1002.00,57100,1002.00
2012-04-25,993.50,1003.00,991.00,1003.00,57900,1003.00
2012-04-24,983.50,992.00,983.50,991.50,71100,991.50
2012-04-23,999.50,1004.89,977.50,982.50,135700,982.50
2012-04-20,1001.00,1007.00,1000.00,1002.00,119900,1002.00
2012-04-19,1004.00,1011.40,1001.00,1004.00,116700,1004.00
2012-04-18,1007.00,1012.00,1001.00,1007.00,112400,1007.00
2012-04-17,991.50,1013.00,987.51,1012.00,76800,1012.00
2012-04-16,1000.00,1000.00,988.00,991.00,131900,991.00
2012-04-13,1001.00,1008.49,995.00,997.50,60500,997.50
2012-04-12,994.00,1006.63,987.00,1001.00,140700,1001.00
2012-04-11,988.50,989.00,978.00,985.00,157500,985.00
2012-04-10,992.00,999.35,979.00,979.00,133200,979.00
2012-04-05,1005.00,1014.89,996.00,1003.00,216800,1003.00
2012-04-04,1029.00,1029.00,1001.00,1003.00,199000,1003.00
2012-04-03,1038.00,1055.00,1038.00,1041.00,166100,1041.00
2012-04-02,1035.00,1041.00,1024.00,1040.00,190800,1040.00
2012-03-30,1034.00,1042.00,1030.00,1030.00,132600,1030.00
2012-03-29,1047.00,1047.00,1027.00,1031.00,256000,1031.00
2012-03-28,1064.00,1064.00,1042.00,1045.00,119400,1045.00
2012-03-27,1068.00,1070.00,1057.00,1059.00,67700,1059.00
2012-03-26,1055.00,1066.00,1048.00,1061.00,82000,1061.00
2012-03-23,1058.00,1062.00,1044.00,1048.00,115700,1048.00
2012-03-22,1057.00,1060.00,1047.94,1054.00,126400,1054.00
2012-03-21,1061.00,1062.89,1053.00,1061.00,83100,1061.00
2012-03-20,1066.00,1067.00,1049.00,1053.00,98700,1053.00
2012-03-19,1061.00,1074.00,1052.00,1072.00,109900,1072.00
2012-03-16,1051.00,1064.00,1047.00,1064.00,208800,1064.00
2012-03-15,1064.00,1064.00,1050.00,1053.00,125500,1053.00
2012-03-14,1055.00,1070.00,1055.00,1064.00,103500,1064.00
2012-03-13,1035.00,1054.00,1035.00,1054.00,87200,1054.00
2012-03-12,1021.00,1035.00,1019.57,1031.00,106100,1031.00
2012-03-09,1021.00,1029.00,1019.00,1025.00,128400,1025.00
2012-03-08,1017.00,1029.00,1015.00,1019.00,190100,1019.00
2012-03-07,998.00,1009.00,998.00,1009.00,91200,1009.00
2012-03-06,1013.00,1015.89,992.00,998.00,222700,998.00
2012-03-05,1021.00,1022.00,1011.00,1014.00,112500,1014.00
2012-03-02,1020.00,1025.89,1018.00,1022.00,149700,1022.00
2012-03-01,1014.00,1024.00,1009.50,1019.00,73000,1019.00
2012-02-29,1017.00,1020.19,1007.00,1012.00,67500,1012.00
2012-02-28,1013.00,1018.00,1007.00,1017.00,142300,1017.00
2012-02-27,1003.00,1010.89,997.00,1003.00,85700,1003.00
2012-02-24,1006.00,1011.00,1005.84,1009.00,215100,1009.00
2012-02-23,1004.00,1011.00,1000.00,1007.40,166700,1007.40
2012-02-22,1007.00,1009.00,1001.00,1006.00,100300,1006.00
2012-02-21,1010.00,1011.49,997.67,1001.00,98300,1001.00
2012-02-20,1000.00,1007.00,996.00,1002.00,68300,1002.00
2012-02-17,991.50,994.00,985.11,991.00,147400,991.00
2012-02-16,991.00,991.00,981.00,986.50,120200,986.50
2012-02-15,1002.00,1002.00,995.00,1000.00,79500,1000.00
2012-02-14,998.50,1001.00,991.50,993.00,125100,993.00
2012-02-13,992.00,1001.00,982.11,997.50,66600,997.50
2012-02-10,989.00,990.50,981.00,985.50,109000,985.50
