Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,119.75,120.00,118.25,118.25,6600,120.00
2012-08-02,120.00,120.00,118.25,120.00,4400,120.00
2012-08-01,117.59,117.59,117.59,117.59,1000,117.59
2012-07-31,120.00,121.00,118.00,118.00,10100,118.00
2012-07-27,118.00,120.00,118.00,120.00,13100,120.00
2012-07-26,117.34,119.75,117.00,119.75,21300,119.75
2012-07-25,118.50,120.00,118.00,118.00,29400,118.00
2012-07-24,118.00,119.45,115.78,116.00,22700,116.00
2012-07-23,115.00,118.75,115.00,118.75,17700,118.75
2012-07-20,115.00,118.25,115.00,115.00,19400,115.00
2012-07-19,115.37,116.06,115.00,115.00,3800,115.00
2012-07-18,115.75,116.50,114.49,114.50,44200,114.50
2012-07-17,119.00,119.00,115.00,115.00,26900,115.00
2012-07-16,119.50,119.50,117.00,117.00,32000,117.00
2012-07-13,120.69,120.69,120.69,120.69,3000,120.69
2012-07-12,119.00,119.25,118.25,118.25,9500,118.25
2012-07-11,122.00,122.00,119.00,120.18,43300,120.18
2012-07-10,122.00,122.75,121.99,122.25,30400,122.25
2012-07-09,122.00,124.25,122.00,124.00,15700,124.00
2012-07-06,122.69,122.69,122.69,122.69,300,122.69
2012-07-05,123.09,124.10,122.44,122.44,4900,122.44
2012-07-04,123.50,124.63,122.00,122.00,8600,122.00
2012-07-03,124.19,124.19,122.75,123.46,1000,123.46
2012-07-02,122.00,125.78,120.50,122.75,52400,122.75
2012-06-29,122.20,124.00,122.20,122.25,32500,122.25
2012-06-28,120.00,122.81,118.32,118.50,76600,118.50
2012-06-27,122.50,124.32,121.00,121.00,19800,121.00
2012-06-26,123.00,125.00,122.50,125.00,8900,125.00
2012-06-25,123.50,123.68,121.21,122.50,68000,122.50
2012-06-22,124.50,124.50,122.00,122.00,23400,122.00
2012-06-21,118.25,123.75,118.25,121.00,28900,121.00
2012-06-20,119.00,122.75,117.66,120.00,29100,120.00
2012-06-19,108.00,119.00,108.00,119.00,100500,119.00
2012-06-18,105.50,109.00,104.00,109.00,561800,109.00
2012-06-15,97.50,105.00,95.00,104.50,156200,104.50
2012-06-14,94.25,96.75,94.00,96.75,308600,96.75
2012-06-13,97.00,97.00,93.00,95.00,84400,95.00
2012-06-12,95.25,98.25,95.00,95.50,3100,95.50
2012-06-11,97.75,99.19,95.00,95.00,44500,95.00
2012-06-08,96.00,96.00,92.50,95.75,8200,95.75
2012-06-07,94.00,95.53,92.00,95.50,139100,95.50
2012-06-06,93.00,95.00,92.25,93.00,62000,93.00
2012-06-01,93.50,97.75,93.50,95.00,65700,95.00
2012-05-31,95.00,97.31,88.09,94.00,779600,94.00
2012-05-30,95.25,98.25,95.25,96.00,85300,96.00
2012-05-29,97.00,99.94,96.00,96.50,83400,96.50
2012-05-28,97.00,101.25,97.00,97.00,95900,97.00
2012-05-25,96.00,98.50,96.00,98.00,47000,98.00
2012-05-24,101.75,102.19,92.00,97.00,98900,97.00
2012-05-23,102.00,103.75,101.00,101.00,25500,101.00
2012-05-22,105.00,107.25,100.00,103.50,61400,103.50
2012-05-21,105.25,111.63,105.25,106.00,84300,106.00
2012-05-18,106.00,111.75,106.00,106.00,72200,106.00
2012-05-17,115.50,116.88,110.00,110.00,101500,110.00
2012-05-16,124.50,125.72,110.50,111.00,141300,111.00
2012-05-14,125.00,126.06,121.25,123.50,29600,123.50
2012-05-11,123.25,125.00,118.40,121.00,24800,121.00
2012-05-10,117.75,121.00,117.75,118.75,31200,118.75
2012-05-09,121.50,121.56,112.50,112.50,17100,112.50
2012-05-08,122.50,125.75,121.25,121.25,28500,121.25
2012-05-04,126.50,126.50,123.00,123.00,34800,123.00
2012-05-03,124.00,124.50,124.00,124.00,25900,124.00
2012-05-02,125.00,125.00,120.00,120.00,25600,120.00
2012-05-01,125.00,125.00,122.00,122.00,191100,122.00
2012-04-30,120.25,123.43,118.47,121.00,22400,121.00
2012-04-27,122.00,122.00,121.00,122.00,12200,122.00
2012-04-26,122.00,124.41,120.50,121.00,49800,121.00
2012-04-25,119.00,121.74,119.00,119.00,25500,119.00
2012-04-24,115.25,121.75,115.25,118.75,40800,118.75
2012-04-23,118.00,121.47,117.50,118.00,25400,118.00
2012-04-20,117.39,117.65,117.50,117.50,24800,117.50
2012-04-19,118.00,120.00,115.50,115.50,85100,115.50
2012-04-18,120.00,120.00,117.88,119.00,71400,119.00
2012-04-17,119.75,120.00,119.00,120.00,5900,120.00
2012-04-16,122.00,124.10,119.50,119.50,28000,119.50
2012-04-13,122.25,124.00,121.37,124.00,30700,124.00
2012-04-12,121.50,123.63,121.00,121.00,19000,121.00
2012-04-11,124.00,125.00,120.00,122.00,341200,122.00
2012-04-10,121.75,124.00,118.18,119.00,78800,119.00
2012-04-05,121.00,121.25,119.25,119.25,37800,119.25
2012-04-04,122.00,123.69,120.50,121.75,60900,121.75
2012-04-03,121.75,123.52,120.25,121.00,58300,121.00
2012-04-02,124.25,127.75,120.39,123.00,74100,123.00
2012-03-30,123.00,123.00,121.25,123.00,48900,123.00
2012-03-29,124.00,126.00,122.00,123.00,114300,123.00
2012-03-28,128.00,128.00,120.00,126.00,128900,126.00
2012-03-27,126.50,127.31,122.22,125.00,128300,125.00
2012-03-26,128.00,128.00,125.00,128.00,44500,128.00
2012-03-23,129.25,130.00,127.00,128.00,59900,128.00
2012-03-22,130.00,131.50,129.00,129.25,8200,129.25
2012-03-21,129.75,133.75,129.46,131.00,11800,131.00
2012-03-20,134.00,134.15,129.00,129.75,46600,129.75
2012-03-19,129.25,134.88,128.50,128.75,125200,128.75
2012-03-16,132.00,132.00,127.00,131.50,69600,131.50
2012-03-15,133.25,134.75,132.00,132.00,8500,132.00
2012-03-14,134.75,134.75,132.50,132.50,26700,132.50
2012-03-13,130.00,131.75,129.75,130.00,81800,130.00
2012-03-12,129.25,132.00,129.00,130.00,74700,130.00
2012-03-09,128.25,133.85,128.25,131.25,17900,131.25
2012-03-08,130.00,130.00,128.00,128.00,8300,128.00
2012-03-07,130.25,132.20,128.00,128.00,68200,128.00
2012-03-06,132.25,135.00,129.46,130.00,45700,130.00
2012-03-05,133.25,134.03,132.04,133.00,51200,133.00
2012-03-02,135.22,135.47,134.75,134.75,31900,134.75
2012-03-01,136.50,136.50,131.00,131.00,28000,131.00
2012-02-29,131.90,134.61,131.75,131.75,4600,131.75
2012-02-28,132.00,134.88,131.00,131.50,11800,131.50
2012-02-27,133.25,135.66,132.50,132.50,56400,132.50
2012-02-24,134.50,135.00,132.33,134.00,40100,134.00
2012-02-23,133.50,135.03,130.43,131.00,45100,131.00
2012-02-22,133.00,137.00,133.00,133.00,16400,133.00
2012-02-21,134.00,139.31,132.50,132.50,15000,132.50
2012-02-20,135.50,141.99,133.75,133.75,31100,133.75
2012-02-17,141.00,144.41,135.75,136.00,39900,136.00
2012-02-16,142.00,146.88,140.00,140.25,28300,140.25
2012-02-15,145.00,149.38,142.00,143.00,36500,143.00
2012-02-14,142.50,147.75,139.95,147.75,7800,147.75
2012-02-13,142.50,142.50,142.50,142.50,13800,142.50
2012-02-10,133.25,135.75,133.00,135.75,9700,135.75
2012-02-09,134.44,135.75,134.50,134.50,8900,134.50
2012-02-08,130.00,132.00,129.00,132.00,39100,132.00
2012-02-07,128.00,129.00,126.06,129.00,8400,129.00
2012-02-06,126.86,128.50,126.86,127.64,5100,127.64
2012-02-03,125.00,129.18,124.00,127.00,89500,127.00
2012-02-02,124.00,126.00,124.00,124.25,9600,124.25
2012-02-01,125.00,125.75,124.00,125.00,31400,125.00
2012-01-31,121.25,125.00,121.00,121.25,15300,121.25
2012-01-30,121.53,121.53,121.34,121.34,11800,121.34
2012-01-27,127.50,128.25,122.00,122.00,19700,122.00
2012-01-26,124.00,129.25,123.31,125.75,49100,125.75
2012-01-25,120.00,120.00,116.32,120.00,366800,120.00
2012-01-24,120.50,122.00,119.00,120.00,74500,120.00
2012-01-23,118.50,120.40,117.00,120.00,26600,120.00
2012-01-20,116.00,117.74,115.75,115.75,4900,115.75
2012-01-19,116.00,117.96,115.00,117.50,87600,117.50
2012-01-18,117.00,118.50,116.00,118.50,12200,118.50
2012-01-17,110.50,117.25,110.50,114.00,55500,114.00
2012-01-16,110.50,119.50,110.50,111.00,1768100,111.00
2012-01-13,110.50,115.41,110.50,111.25,45000,111.25
2012-01-12,113.00,113.75,110.62,111.00,31400,111.00
2012-01-11,116.00,117.75,113.25,116.00,32100,116.00
2012-01-10,116.00,117.50,115.71,117.25,9600,117.25
2012-01-09,117.00,119.60,116.00,118.16,14800,118.16
2012-01-06,119.25,122.40,118.12,119.00,12800,119.00
2012-01-05,119.00,120.00,118.00,118.00,14700,118.00
2012-01-04,121.75,121.75,119.00,120.00,9300,120.00
2012-01-03,122.00,122.00,120.75,121.50,6100,121.50
2011-12-30,119.00,119.45,118.00,118.00,10100,118.00
2011-12-29,119.00,119.00,117.57,119.00,14000,119.00
2011-12-28,125.00,125.00,119.00,120.00,10400,120.00
2011-12-23,124.11,124.11,124.11,124.11,100,124.11
2011-12-22,124.75,125.00,120.97,124.17,8000,124.17
2011-12-21,122.00,124.25,119.39,121.75,14400,121.75
2011-12-20,120.00,121.25,117.50,119.00,14000,119.00
2011-12-19,123.00,123.00,119.14,119.75,33100,119.75
2011-12-16,128.00,130.25,120.00,124.00,116600,124.00
2011-12-15,129.50,130.00,127.00,127.75,9000,127.75
2011-12-14,130.00,134.41,126.75,128.50,20800,128.50
2011-12-13,130.25,135.28,130.00,130.50,9300,130.50
2011-12-12,127.25,134.75,127.25,130.25,16100,130.25
2011-12-09,128.00,131.50,126.20,129.75,4100,129.75
