Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,279.00,279.00,275.60,276.20,492200,276.40
2012-08-02,279.00,279.00,275.60,276.40,668300,276.40
2012-08-01,274.30,279.90,273.30,278.40,1006000,278.40
2012-07-31,274.50,276.10,270.40,271.40,490300,271.40
2012-07-27,272.00,275.00,270.20,275.00,558100,275.00
2012-07-26,266.80,271.50,265.98,269.90,602000,269.90
2012-07-25,264.00,269.50,264.00,267.70,503000,267.70
2012-07-24,265.00,267.20,263.00,265.40,460000,265.40
2012-07-23,269.20,272.26,262.50,264.40,360000,264.40
2012-07-20,269.90,272.30,268.10,270.00,635900,270.00
2012-07-19,271.50,274.60,270.30,270.40,1013500,270.40
2012-07-18,264.30,272.20,264.30,271.10,870100,271.10
2012-07-17,266.80,271.00,264.30,265.60,782600,265.60
2012-07-16,266.10,269.30,265.15,267.30,351400,267.30
2012-07-13,261.60,265.20,260.90,265.00,550400,265.00
2012-07-12,263.80,263.80,260.00,261.70,467600,261.70
2012-07-11,267.00,269.60,262.60,264.70,642900,264.70
2012-07-10,267.90,274.30,267.50,268.00,1301900,268.00
2012-07-09,269.40,271.20,267.40,268.30,557900,268.30
2012-07-06,273.50,273.50,269.00,270.40,528200,270.40
2012-07-05,270.30,275.00,268.40,271.70,991800,271.70
2012-07-04,267.20,269.10,265.13,269.10,573700,269.10
2012-07-03,264.10,266.90,260.19,266.90,433500,266.90
2012-07-02,260.10,264.20,259.10,262.70,617400,262.70
2012-06-29,258.00,264.10,257.50,260.20,620300,260.20
2012-06-28,259.30,260.40,252.50,253.90,593900,253.90
2012-06-27,258.90,260.30,256.30,258.90,535400,258.90
2012-06-26,261.50,263.00,257.30,257.40,682400,257.40
2012-06-25,263.00,264.70,260.89,260.90,754300,260.90
2012-06-22,268.00,269.42,261.90,264.90,863900,264.90
2012-06-21,270.10,272.80,266.80,271.60,723100,271.60
2012-06-20,268.60,271.80,262.97,271.30,1148000,271.30
2012-06-19,272.70,276.10,268.80,274.40,765300,274.40
2012-06-18,267.50,274.00,264.50,273.90,1250400,273.90
2012-06-15,282.90,285.00,263.04,263.20,2408300,263.20
2012-06-14,281.80,283.00,278.20,282.00,620400,282.00
2012-06-13,282.30,284.30,278.30,281.10,700100,281.10
2012-06-12,282.40,286.00,280.50,281.90,1307900,281.90
2012-06-11,287.20,287.20,280.70,281.80,1088700,281.80
2012-06-08,278.90,284.20,277.20,282.60,745400,282.60
2012-06-07,273.00,280.10,271.99,279.00,774000,279.00
2012-06-06,276.90,277.80,269.00,271.90,961000,271.90
2012-06-01,286.50,287.50,272.90,274.60,1141200,274.60
2012-05-31,286.50,288.30,283.10,285.80,2098700,285.80
2012-05-30,289.90,292.10,284.30,285.50,986600,285.50
2012-05-29,282.50,290.90,282.30,290.00,1033300,290.00
2012-05-28,279.70,282.50,278.40,281.40,482000,281.40
2012-05-25,279.10,281.30,276.60,280.40,813300,280.40
2012-05-24,277.90,280.30,275.00,278.50,493600,278.50
2012-05-23,276.80,278.90,274.90,276.40,668700,276.40
2012-05-22,274.80,281.40,273.90,279.10,916400,279.10
