Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,352.00,361.75,351.00,351.00,5500,356.75
2012-08-01,352.56,356.75,352.00,356.75,15600,356.75
2012-07-31,350.75,354.75,350.75,354.75,38700,354.75
2012-07-30,353.00,353.00,346.11,352.75,13700,352.75
2012-07-27,350.00,353.00,350.00,353.00,1500,353.00
2012-07-26,345.51,351.50,345.00,345.90,18300,345.90
2012-07-25,348.75,349.00,345.00,345.00,9500,345.00
2012-07-24,347.75,348.00,346.76,346.76,27500,346.76
2012-07-23,344.75,347.75,341.11,347.50,5900,347.50
2012-07-20,343.00,347.80,342.11,347.00,4500,347.00
2012-07-19,344.50,349.75,344.50,344.50,6800,344.50
2012-07-18,338.25,348.00,338.00,347.75,10200,347.75
2012-07-17,338.25,348.74,338.25,338.25,25000,338.25
2012-07-16,341.61,348.75,337.00,348.74,23100,348.74
2012-07-13,340.00,346.74,340.00,340.00,4900,340.00
2012-07-12,340.00,340.00,338.00,338.00,2600,338.00
2012-07-11,340.50,346.49,340.00,340.50,21000,340.50
2012-07-10,340.00,346.74,340.00,340.00,27700,340.00
2012-07-09,340.00,346.99,340.00,340.00,7200,340.00
2012-07-06,342.00,346.74,340.00,340.00,3600,340.00
2012-07-05,346.75,346.75,338.00,342.00,14800,342.00
2012-07-04,346.00,346.75,338.25,338.25,15100,338.25
2012-07-03,340.75,345.75,338.00,345.75,15200,345.75
2012-07-02,342.00,343.00,335.00,343.00,43400,343.00
2012-06-29,338.00,341.75,333.51,338.00,6900,338.00
2012-06-28,334.75,337.75,333.25,333.25,9800,333.25
2012-06-27,334.00,337.75,332.00,334.11,19600,334.11
2012-06-26,336.25,340.75,335.50,336.25,40900,336.25
2012-06-25,341.75,343.74,335.00,336.00,14000,336.00
2012-06-22,337.25,343.74,336.00,336.00,14700,336.00
2012-06-21,342.00,345.00,338.00,342.00,20500,342.00
2012-06-20,340.00,344.75,338.00,344.75,22200,344.75
2012-06-19,344.50,344.75,344.50,344.50,6700,344.50
2012-06-18,346.75,346.75,340.00,346.75,66400,346.75
2012-06-15,343.75,351.75,340.11,351.75,17700,351.75
2012-06-14,340.00,340.00,338.00,338.00,17700,338.00
2012-06-13,343.75,343.75,335.25,335.25,1100,335.25
2012-06-12,343.89,343.89,336.50,336.50,13100,336.50
2012-06-11,344.89,344.89,337.36,337.36,1600,337.36
2012-06-08,334.75,337.75,334.75,337.75,1500,337.75
2012-06-07,338.00,342.02,334.36,342.02,16300,342.02
2012-06-06,338.00,339.26,338.00,338.00,8500,338.00
2012-06-01,336.25,336.25,335.36,336.25,11600,336.25
2012-05-31,336.11,342.24,336.11,336.36,3700,336.36
2012-05-30,343.98,343.98,336.50,341.90,9200,341.90
2012-05-29,338.40,342.98,338.33,341.70,8800,341.70
2012-05-28,336.00,341.50,335.25,335.25,5000,335.25
2012-05-25,342.25,342.25,335.00,335.00,10700,335.00
2012-05-24,342.25,342.25,342.25,342.25,20300,342.25
2012-05-23,343.00,343.00,343.00,343.00,3300,343.00
2012-05-22,339.25,343.00,338.00,339.25,18900,339.25
2012-05-21,342.75,342.75,336.01,337.67,10100,337.67
2012-05-14,350.00,351.50,350.00,351.50,23400,351.50
2012-05-11,351.75,352.00,342.25,352.00,44900,352.00
2012-05-10,351.64,351.64,343.86,349.89,4400,349.89
2012-05-09,352.25,352.25,344.00,345.73,36200,345.73
2012-05-08,353.00,356.75,350.38,350.38,12300,350.38
2012-05-04,353.50,356.00,351.51,353.00,18700,353.00
2012-05-03,351.00,356.64,351.00,356.00,10300,356.00
2012-05-02,352.75,356.00,349.25,349.25,22500,349.25
2012-05-01,351.00,354.90,348.26,354.90,11600,354.90
2012-04-30,354.64,354.64,348.95,348.95,29900,348.95
2012-04-27,352.75,353.00,346.76,351.00,17100,351.00
2012-04-26,350.75,352.50,348.00,352.50,25700,352.50
2012-04-25,344.00,350.00,343.61,344.86,19800,344.86
2012-04-24,348.75,350.75,341.25,342.00,24800,342.00
2012-04-23,344.00,348.75,341.00,344.27,29400,344.27
2012-04-20,344.00,348.00,342.50,345.40,28500,345.40
2012-04-19,346.00,347.00,340.00,340.00,52300,340.00
2012-04-18,346.00,347.00,340.76,347.00,22500,347.00
2012-04-17,340.50,346.68,340.50,346.00,40000,346.00
2012-04-16,344.30,345.59,344.30,345.59,17200,345.59
