Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,663.98,671.00,656.00,657.00,4100,661.00
2012-08-01,657.50,665.50,654.50,661.00,37700,661.00
2012-07-31,659.50,662.00,656.00,660.50,38700,660.50
2012-07-30,658.50,666.00,651.79,666.00,54400,666.00
2012-07-27,648.00,658.50,646.00,658.50,68600,658.50
2012-07-26,630.50,646.50,629.00,643.00,44600,643.00
2012-07-25,630.00,642.00,628.65,630.00,92200,630.00
2012-07-24,639.50,643.00,632.00,632.50,74700,632.50
2012-07-23,652.00,652.00,635.50,638.00,64600,638.00
2012-07-20,663.00,663.00,651.00,659.00,28300,659.00
2012-07-19,655.00,663.00,655.00,663.00,55100,663.00
2012-07-18,652.00,655.50,647.00,655.50,20000,655.50
2012-07-17,656.00,658.00,647.00,647.00,42200,647.00
2012-07-16,653.00,658.50,648.50,656.00,30100,656.00
2012-07-13,649.50,657.00,646.25,656.00,36500,656.00
2012-07-12,647.00,651.50,641.00,647.00,35500,647.00
2012-07-11,654.50,657.00,649.55,654.00,39900,654.00
2012-07-10,653.00,659.25,649.60,655.00,53400,655.00
2012-07-09,654.00,656.50,649.50,653.00,72700,653.00
2012-07-06,657.00,657.00,651.50,655.00,34300,655.00
2012-07-05,660.50,663.50,654.50,657.00,36900,657.00
2012-07-04,657.50,660.50,654.00,660.50,18000,660.50
2012-07-03,648.00,660.50,648.00,660.50,25600,660.50
2012-07-02,640.00,655.00,640.00,655.00,54300,655.00
2012-06-29,637.00,646.00,635.50,640.00,49300,640.00
2012-06-28,635.50,636.00,626.83,629.00,27300,629.00
2012-06-27,626.00,633.50,625.50,630.00,26900,630.00
2012-06-26,622.00,627.89,622.00,624.50,42500,624.50
2012-06-25,627.50,632.12,622.00,622.00,35300,622.00
2012-06-22,630.00,634.76,625.90,628.00,49100,628.00
2012-06-21,638.00,639.50,631.30,632.00,89600,632.00
2012-06-20,633.00,645.00,633.00,645.00,53800,645.00
2012-06-19,629.00,638.00,626.00,638.00,39800,638.00
2012-06-18,629.00,629.00,619.50,621.00,50200,621.00
2012-06-15,623.00,629.92,619.63,620.00,131200,620.00
2012-06-14,627.00,629.00,617.50,623.00,35200,623.00
2012-06-13,626.00,628.50,620.00,623.50,29900,623.50
2012-06-12,624.00,624.50,617.00,621.00,33300,621.00
2012-06-11,631.50,634.15,621.50,622.00,43300,622.00
2012-06-08,630.00,630.00,619.00,628.50,23100,628.50
2012-06-07,616.00,632.00,616.00,632.00,54700,632.00
2012-06-06,611.00,618.00,605.33,618.00,38200,618.00
2012-06-01,611.00,617.00,602.50,602.50,32900,602.50
2012-05-31,611.50,619.50,609.00,609.00,41500,609.00
2012-05-30,623.00,623.00,609.00,612.50,65400,612.50
2012-05-29,626.00,627.00,617.50,627.00,41600,627.00
2012-05-28,618.50,626.00,617.00,620.00,62100,620.00
2012-05-25,615.50,616.28,609.00,610.00,51500,610.00
2012-05-24,611.50,615.28,606.00,612.00,34500,612.00
2012-05-23,620.00,620.30,603.50,604.00,47700,604.00
2012-05-22,619.00,626.22,611.50,621.00,113000,621.00
2012-05-21,610.00,619.00,610.00,613.00,110000,613.00
2012-05-14,630.00,630.50,624.00,627.50,92400,627.50
2012-05-11,630.00,639.50,628.00,639.50,91400,639.50
2012-05-10,632.00,639.00,629.50,635.00,73900,635.00
2012-05-09,634.50,636.00,624.50,636.00,30600,636.00
2012-05-08,639.00,641.40,627.00,627.00,63600,627.00
2012-05-04,648.50,652.05,638.00,640.00,97600,640.00
2012-05-03,656.50,658.99,651.00,651.00,70700,651.00
2012-05-02,655.00,656.00,649.38,654.50,51600,654.50
2012-05-01,644.50,655.00,643.51,655.00,32100,655.00
2012-04-30,654.50,654.50,645.00,645.00,37900,645.00
2012-04-27,642.50,653.03,642.50,653.00,31100,653.00
2012-04-26,650.00,653.00,643.76,646.50,40500,646.50
2012-04-25,646.00,652.50,644.00,648.00,55800,648.00
2012-04-24,638.89,651.00,638.89,651.00,70200,651.00
2012-04-23,648.50,648.50,637.50,638.50,51100,638.50
2012-04-20,650.00,655.29,645.50,650.00,52800,650.00
2012-04-19,654.50,655.00,647.50,650.00,69400,650.00
2012-04-18,649.50,654.50,646.50,654.50,67000,654.50
2012-04-17,643.00,652.50,639.50,649.00,80900,649.00
2012-04-16,641.00,646.50,639.00,645.00,140900,645.00
2012-04-13,650.00,650.00,637.50,639.50,99200,639.50
2012-04-12,638.00,652.50,636.50,651.50,51400,651.50
2012-04-11,637.50,644.00,632.50,644.00,97800,644.00
2012-04-10,647.00,652.99,634.50,644.50,163400,644.50
2012-04-05,653.00,654.99,643.00,649.50,46500,649.50
2012-04-04,668.50,669.22,646.50,648.50,97400,648.50
2012-04-03,665.00,668.49,663.00,664.00,78700,664.00
2012-04-02,650.50,665.00,649.00,663.00,112900,663.00
2012-03-30,654.50,657.15,651.00,651.50,106200,651.50
2012-03-29,657.00,657.50,648.00,648.50,57500,648.50
2012-03-28,660.00,664.50,657.01,662.00,119100,662.00
2012-03-27,670.00,670.00,662.02,665.00,66500,665.00
2012-03-26,663.00,667.04,658.10,659.00,107100,659.00
2012-03-23,662.00,662.00,652.00,659.50,67100,659.50
2012-03-22,661.50,661.50,656.00,657.00,73300,657.00
2012-03-21,664.00,668.50,662.60,668.50,112000,668.50
2012-03-20,666.50,666.50,659.74,660.50,73300,660.50
2012-03-19,671.50,673.00,662.00,673.00,98000,673.00
2012-03-16,669.50,672.00,664.00,671.50,166100,671.50
2012-03-15,672.50,672.50,666.00,668.00,58200,668.00
2012-03-14,674.50,676.00,669.77,674.00,99100,674.00
2012-03-13,663.00,674.00,658.00,674.00,106200,674.00
2012-03-12,655.50,662.65,655.50,659.50,63300,659.50
2012-03-09,661.00,665.50,658.50,659.50,94300,659.50
2012-03-08,655.00,669.00,655.00,669.00,87100,669.00
2012-03-07,643.50,653.50,643.50,653.50,63300,653.50
2012-03-06,657.00,659.50,649.00,654.00,65200,654.00
2012-03-05,660.00,663.50,657.50,657.50,44400,657.50
2012-03-02,663.00,667.25,661.00,665.50,41100,665.50
2012-03-01,660.50,667.49,660.10,665.00,80700,665.00
2012-02-29,660.50,668.00,659.00,659.50,30800,659.50
2012-02-28,664.50,669.99,662.00,669.00,44200,669.00
2012-02-27,668.50,668.99,659.14,668.00,98800,668.00
2012-02-24,672.00,673.00,669.26,670.00,74600,670.00
2012-02-23,669.00,675.90,667.00,673.00,62700,673.00
2012-02-22,664.50,670.00,662.00,670.00,112600,670.00
2012-02-21,665.00,666.00,659.50,665.00,111000,665.00
2012-02-20,660.00,665.50,657.50,663.00,127400,663.00
2012-02-17,657.00,660.00,655.00,658.00,40300,658.00
2012-02-16,651.50,655.00,646.50,655.00,53400,655.00
2012-02-15,652.00,657.00,649.00,657.00,98700,657.00
2012-02-14,647.50,654.50,646.00,650.50,45000,650.50
2012-02-13,649.00,654.50,646.50,654.50,41900,654.50
2012-02-10,644.00,649.00,643.51,648.00,31800,648.00
2012-02-09,650.00,656.00,648.00,648.00,29000,648.00
2012-02-08,648.50,656.00,648.50,649.00,24700,649.00
2012-02-07,650.00,653.00,646.50,651.50,51200,651.50
2012-02-06,644.50,651.00,644.50,651.00,32000,651.00
2012-02-03,640.00,650.00,639.00,649.50,87400,649.50
2012-02-02,644.50,645.49,639.50,645.00,40500,645.00
2012-02-01,638.50,645.00,637.00,644.50,70600,644.50
2012-01-31,628.50,636.00,628.00,629.00,81900,629.00
2012-01-30,634.00,634.00,626.00,628.00,38100,628.00
2012-01-27,639.00,642.50,631.11,636.00,30700,636.00
2012-01-26,637.00,644.89,637.00,639.50,56400,639.50
2012-01-25,643.00,643.00,636.00,636.50,27600,636.50
2012-01-24,641.50,643.00,637.00,639.50,32400,639.50
2012-01-23,639.00,646.50,635.51,646.50,39700,646.50
2012-01-20,642.00,642.00,634.50,634.50,33100,634.50
2012-01-19,629.00,645.00,629.00,636.50,76100,636.50
2012-01-18,622.00,635.91,622.00,633.50,59200,633.50
2012-01-17,633.00,635.00,625.50,629.50,28700,629.50
2012-01-16,628.00,632.00,622.00,629.00,57900,629.00
2012-01-13,630.00,633.00,621.50,623.00,101100,623.00
2012-01-12,631.00,633.00,623.52,628.50,33400,628.50
2012-01-11,629.50,630.00,625.50,628.00,61600,628.00
2012-01-09,628.00,628.90,619.00,619.00,38300,619.00
2012-01-06,625.10,630.00,622.50,628.00,35600,628.00
2012-01-05,622.00,630.50,621.00,622.00,46800,622.00
2012-01-04,636.00,638.00,624.00,629.00,29600,629.00
2012-01-03,628.50,637.00,622.00,636.00,34300,636.00
2011-12-30,620.00,624.62,614.00,621.00,15700,621.00
2011-12-29,612.00,617.00,611.50,617.00,4900,617.00
2011-12-28,615.00,618.00,610.58,611.00,25800,611.00
2011-12-23,615.00,615.00,609.50,615.00,4900,615.00
2011-12-22,605.50,615.00,605.50,609.00,32100,609.00
2011-12-21,603.50,610.00,599.00,599.00,19400,599.00
2011-12-20,598.00,608.99,595.18,607.00,69400,607.00
2011-12-19,600.00,608.00,600.00,605.00,170300,605.00
2011-12-16,606.50,612.21,606.00,607.00,68700,607.00
2011-12-15,605.00,609.50,602.11,605.50,52100,605.50
2011-12-14,602.00,611.00,600.50,605.00,54400,605.00
