Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,78.50,78.50,77.36,78.24,147300,77.00
2012-08-01,77.50,78.50,77.00,77.00,134000,77.00
2012-07-31,77.40,77.50,77.11,77.50,126900,77.50
2012-07-30,77.25,77.50,77.00,77.00,160500,77.00
2012-07-27,76.50,77.37,76.50,77.00,165600,77.00
2012-07-26,77.50,77.50,76.50,77.50,38600,77.50
2012-07-25,77.25,77.40,76.50,76.50,235000,76.50
2012-07-24,76.50,77.25,76.50,77.25,36000,77.25
2012-07-23,77.00,77.50,76.00,76.00,186200,76.00
2012-07-20,77.00,77.75,77.00,77.00,116600,77.00
2012-07-19,77.69,77.75,77.00,77.00,205600,77.00
2012-07-18,78.03,78.03,76.94,77.00,167600,77.00
2012-07-17,77.25,77.62,76.65,77.00,98800,77.00
2012-07-16,77.25,77.75,76.50,76.50,164400,76.50
2012-07-13,78.00,78.00,76.50,77.00,113900,77.00
2012-07-12,76.75,77.50,76.75,76.75,112000,76.75
2012-07-11,78.00,78.25,76.75,77.00,204900,77.00
2012-07-10,77.25,77.25,76.75,77.00,93900,77.00
2012-07-09,77.00,77.65,76.75,76.75,139000,76.75
2012-07-06,77.25,77.50,76.75,76.75,78400,76.75
2012-07-05,77.00,77.75,76.75,76.75,35700,76.75
2012-07-04,77.50,77.77,76.75,76.75,93600,76.75
2012-07-03,77.69,77.88,76.75,76.75,102800,76.75
2012-07-02,78.00,78.25,76.50,76.75,146500,76.75
2012-06-29,76.90,77.60,76.54,77.38,80300,77.38
2012-06-28,76.95,77.50,76.00,77.50,111100,77.50
2012-06-27,76.55,76.50,76.50,76.50,96700,76.50
2012-06-26,78.00,78.00,76.50,77.11,228900,77.11
2012-06-25,77.00,77.00,76.25,76.25,263000,76.25
2012-06-22,77.50,78.00,77.01,77.01,58100,77.01
2012-06-21,77.83,78.25,77.51,77.75,87800,77.75
2012-06-20,78.50,78.50,77.50,77.50,58400,77.50
2012-06-19,78.25,78.25,77.00,78.25,252100,78.25
2012-06-18,78.25,79.00,77.00,77.25,189900,77.25
2012-06-15,77.00,79.25,75.95,76.00,275900,76.00
2012-06-14,77.50,78.10,77.00,77.00,129900,77.00
2012-06-13,77.50,79.00,77.00,77.00,180800,77.00
2012-06-12,78.85,77.50,77.50,77.50,158200,77.50
2012-06-11,77.80,79.50,77.55,79.50,75000,79.50
2012-06-08,79.50,79.50,77.75,79.50,106000,79.50
2012-06-07,79.50,79.50,77.50,79.50,213000,79.50
2012-06-06,79.50,79.50,77.31,79.50,188100,79.50
2012-06-01,79.50,79.50,77.00,78.35,110900,78.35
2012-05-31,77.25,79.50,77.25,78.50,41900,78.50
2012-05-30,77.25,79.50,77.00,78.70,94400,78.70
2012-05-29,78.70,79.50,77.00,79.50,157500,79.50
2012-05-28,78.50,79.05,77.70,77.70,61300,77.70
2012-05-25,77.64,78.70,77.50,77.80,118700,77.80
2012-05-24,78.60,78.70,78.60,78.70,59400,78.70
2012-05-23,79.50,79.50,77.00,77.00,40500,77.00
2012-05-22,79.00,79.00,77.31,79.00,86300,79.00
2012-05-21,78.30,78.50,77.69,78.50,83700,78.50
2012-05-14,80.00,80.50,78.40,80.25,599900,78.79
2012-05-11,77.80,80.00,77.80,80.00,213600,78.55
2012-05-10,79.50,79.75,78.25,79.75,283900,78.30
2012-05-09,78.75,80.05,78.00,78.25,203200,76.83
2012-05-08,78.50,80.10,78.43,80.00,235400,78.55
2012-05-04,79.25,80.25,78.00,78.00,145900,76.58
2012-05-03,79.00,80.50,77.69,79.00,404800,77.56
2012-05-02,78.00,79.00,78.00,79.00,212900,77.56
2012-05-01,78.75,79.00,77.33,79.00,492700,77.56
2012-04-30,77.00,78.50,77.00,78.25,61500,76.83
2012-04-27,76.75,78.50,76.75,78.50,113300,77.07
2012-04-26,77.75,78.50,77.50,77.50,139500,76.09
2012-04-25,78.25,78.25,77.50,78.25,83500,76.83
2012-04-24,78.00,78.50,77.25,77.50,160300,76.09
2012-04-23,78.00,78.81,77.50,78.60,202500,77.17
2012-04-20,78.00,78.75,77.75,78.00,97100,76.58
2012-04-19,77.50,78.75,77.20,78.29,147500,76.87
2012-04-18,78.00,78.75,77.50,78.50,124600,77.07
2012-04-17,77.25,78.20,77.25,77.55,404900,76.14
2012-04-16,77.25,78.00,77.00,78.00,185400,76.58
2012-04-13,79.50,79.50,77.25,78.50,416100,77.07
2012-04-12,78.25,78.90,76.75,78.89,290500,77.46
2012-04-11,78.25,78.25,77.00,77.75,124600,76.34
2012-04-10,77.75,77.81,76.50,76.50,333800,75.11
2012-04-05,77.75,77.75,76.25,77.22,104600,75.82
2012-04-04,77.50,77.50,75.25,77.00,815700,75.60
2012-04-03,77.40,77.50,77.50,77.50,119300,76.09
2012-04-02,76.00,77.40,76.00,76.50,82500,75.11
2012-03-30,77.00,77.80,76.50,76.50,166700,75.11
2012-03-29,78.00,78.00,76.70,77.75,371500,76.34
2012-03-28,77.00,78.00,76.75,78.00,142500,76.58
2012-03-27,77.00,78.00,76.85,78.00,406100,76.58
2012-03-26,76.75,76.90,76.56,76.90,309300,75.50
2012-03-23,77.00,77.00,76.00,77.00,449800,75.60
2012-03-22,77.00,77.00,76.00,77.00,222200,75.60
2012-03-21,76.50,76.75,76.00,76.75,178500,75.35
2012-03-20,76.00,76.44,76.00,76.08,185100,74.70
2012-03-19,75.25,76.00,75.00,75.50,231700,74.13
2012-03-16,75.50,76.00,75.25,75.25,217800,73.88
2012-03-15,75.25,75.50,75.00,75.50,194000,74.13
2012-03-14,75.25,75.25,75.00,75.25,101300,73.88
2012-03-13,75.25,75.25,75.00,75.25,210800,73.88
2012-03-12,75.00,75.25,75.00,75.25,152900,73.88
2012-03-09,75.25,75.25,74.50,75.00,195500,73.64
2012-03-08,75.25,75.25,74.25,74.50,185300,73.15
2012-03-07,75.00,75.25,74.27,75.00,142900,73.64
2012-03-06,74.50,75.12,74.25,74.30,140400,72.95
2012-03-05,75.00,75.25,73.80,75.00,132100,73.64
2012-03-02,75.00,75.25,74.32,74.55,70200,73.19
2012-03-01,73.75,75.25,73.75,75.25,196500,73.88
2012-02-29,74.50,74.50,73.75,73.75,162700,72.41
2012-02-28,74.50,74.50,73.62,74.50,86600,73.15
2012-02-27,74.00,74.50,72.00,74.45,232700,73.10
2012-02-24,73.50,74.00,72.50,73.99,215500,72.64
2012-02-23,73.25,73.50,72.75,73.00,69800,71.67
2012-02-22,72.00,73.11,72.00,72.81,204300,71.49
2012-02-21,72.00,72.75,72.00,72.00,138700,70.69
2012-02-20,72.00,72.75,72.00,72.00,83600,70.69
2012-02-17,72.02,72.50,72.00,72.00,204300,70.69
2012-02-16,73.00,73.00,72.00,72.50,134500,71.18
2012-02-15,73.50,73.75,72.00,72.00,262100,70.69
2012-02-14,74.50,74.50,74.10,74.44,116500,71.71
2012-02-13,74.50,74.50,74.00,74.38,220600,71.65
2012-02-10,74.50,74.50,74.00,74.38,142100,71.65
2012-02-09,74.00,74.50,73.90,74.50,262300,71.77
2012-02-08,73.50,74.50,73.50,74.50,66100,71.77
2012-02-07,74.38,74.50,74.00,74.50,313300,71.77
2012-02-06,74.50,74.50,74.00,74.00,87900,71.29
2012-02-03,74.50,74.50,73.92,74.29,37100,71.57
2012-02-02,74.49,74.50,73.90,74.50,115100,71.77
2012-02-01,74.75,74.75,74.00,74.38,214000,71.65
2012-01-31,74.75,74.75,74.25,74.74,305100,72.00
2012-01-30,74.98,74.98,74.25,74.73,155700,71.99
2012-01-27,75.00,75.00,74.30,74.75,120200,72.01
2012-01-26,74.75,74.75,74.21,74.59,89300,71.86
2012-01-25,74.75,74.75,74.00,74.75,125300,72.01
2012-01-24,74.75,74.75,74.15,74.75,190900,72.01
2012-01-23,75.25,75.25,73.35,74.75,238200,72.01
2012-01-20,75.50,75.50,74.72,74.75,317800,72.01
2012-01-19,75.25,75.50,75.25,75.47,133100,72.70
2012-01-18,75.38,75.50,75.26,75.28,83500,72.52
2012-01-17,75.50,75.60,75.19,75.28,285500,72.52
2012-01-16,75.04,75.44,75.02,75.44,75300,72.67
2012-01-13,75.25,75.50,75.03,75.03,156300,72.28
2012-01-12,75.50,75.50,75.26,75.50,98300,72.73
2012-01-11,75.50,75.50,75.25,75.47,191800,72.70
2012-01-09,75.49,75.50,75.28,75.50,132400,72.73
2012-01-06,75.44,75.50,75.25,75.49,256000,72.72
2012-01-05,75.35,75.50,75.25,75.47,131800,72.70
2012-01-04,75.34,75.50,75.25,75.28,149600,72.52
2012-01-03,75.50,75.50,75.03,75.34,107400,72.58
2011-12-30,75.50,75.50,75.35,75.35,11100,72.59
2011-12-29,75.00,75.50,75.00,75.50,102600,72.73
2011-12-28,75.00,75.00,74.75,75.00,64500,72.25
2011-12-23,74.95,74.95,74.75,74.95,14000,72.20
2011-12-22,75.00,75.00,74.54,75.00,140500,72.25
2011-12-21,75.00,75.00,74.75,75.00,264800,72.25
2011-12-20,75.00,76.00,74.82,75.00,181800,72.25
2011-12-19,74.25,75.00,74.25,74.75,775100,72.01
2011-12-16,74.79,75.00,74.25,74.25,617800,71.53
2011-12-15,74.50,75.00,74.00,74.16,82200,71.44
2011-12-14,75.00,75.00,74.80,75.00,112300,72.25
2011-12-13,74.50,74.60,74.00,74.00,34200,71.29
2011-12-12,74.50,75.00,74.50,74.60,128200,71.87
2011-12-09,74.50,75.00,74.50,74.50,155900,71.77
2011-12-08,75.00,75.00,74.75,74.75,293800,72.01
2011-12-07,75.00,75.00,74.75,74.75,56700,72.01
2011-12-06,74.00,74.75,74.00,74.17,25700,71.45
2011-12-05,74.81,74.88,74.00,74.00,19800,71.29
2011-12-02,73.67,74.38,73.62,73.62,46600,70.93
2011-12-01,74.25,74.25,73.00,73.50,84600,70.81
2011-11-30,74.00,74.10,73.64,73.64,51000,70.94
2011-11-28,74.00,74.00,73.18,73.50,79000,70.81
2011-11-25,73.50,74.12,73.50,73.80,132000,71.10
2011-11-24,73.50,73.75,73.50,73.75,47300,71.05
