Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,986.50,986.50,981.00,981.00,700,970.00
2012-08-01,970.00,1100.00,970.00,970.00,000,970.00
2012-07-31,1015.00,1021.00,1015.00,1015.00,2900,1015.00
2012-07-30,1000.00,1000.00,992.51,994.51,4300,994.51
2012-07-27,1005.00,1005.00,1005.00,1005.00,000,1005.00
2012-07-26,1030.00,1030.00,1030.00,1030.00,8400,1030.00
2012-07-25,982.00,995.00,982.00,982.00,200,982.00
2012-07-24,984.01,997.90,984.01,986.00,3100,986.00
2012-07-23,982.00,982.00,982.00,982.00,3100,982.00
2012-07-20,993.50,1017.00,993.50,995.00,7800,995.00
2012-07-19,993.00,1027.90,993.00,1000.00,5800,1000.00
2012-07-18,993.00,997.90,993.00,993.00,5800,993.00
2012-07-17,1000.00,1016.00,993.00,998.00,4200,998.00
2012-07-16,1011.00,1012.00,1010.00,1010.00,800,1010.00
2012-07-13,1011.00,1012.00,1010.00,1010.00,4300,1010.00
2012-07-12,1020.00,1020.00,1020.00,1020.00,8000,1020.00
2012-07-11,1050.00,1050.00,1042.00,1042.00,4000,1042.00
2012-07-10,1040.00,1062.00,1040.00,1042.00,7900,1042.00
2012-07-09,1040.00,1057.00,1040.00,1040.00,2400,1040.00
2012-07-06,1040.00,1060.00,1040.00,1045.00,900,1045.00
2012-07-05,1040.00,1060.00,1040.00,1045.00,4200,1045.00
2012-07-04,1050.00,1056.00,1050.00,1050.00,5400,1050.00
2012-07-03,1068.00,1068.00,1050.00,1057.00,7200,1057.00
2012-07-02,1050.00,1065.00,1026.00,1060.00,11800,1060.00
2012-06-29,1048.00,1055.00,1036.01,1055.00,8400,1055.00
2012-06-28,1040.00,1050.00,1038.00,1045.00,7000,1045.00
2012-06-27,1040.00,1059.89,1040.00,1050.00,4100,1050.00
2012-06-26,1030.00,1039.00,1029.00,1039.00,10600,1039.00
2012-06-25,1030.00,1039.00,1025.00,1039.00,6800,1039.00
2012-06-22,1020.00,1039.00,1020.00,1039.00,8100,1039.00
2012-06-21,1010.81,1040.00,1010.81,1040.00,800,1040.00
2012-06-20,1039.00,1039.00,1005.81,1016.00,9800,1016.00
2012-06-19,1010.00,1035.00,1010.00,1035.00,16200,1035.00
2012-06-18,930.50,1030.00,930.50,1025.00,7300,1025.00
2012-06-15,945.00,964.08,920.50,963.50,39800,963.50
2012-06-14,945.00,945.00,920.50,945.00,5000,945.00
2012-06-13,944.50,945.21,926.00,945.00,1700,945.00
2012-06-12,920.50,935.00,920.00,935.00,15100,935.00
2012-06-11,935.00,944.91,923.00,923.00,14800,923.00
2012-06-08,920.00,944.49,920.00,930.00,9900,930.00
2012-06-07,927.50,932.50,920.00,920.00,16900,920.00
2012-06-06,916.00,930.00,913.00,913.00,38800,913.00
2012-06-01,944.49,944.49,944.49,944.49,700,944.49
2012-05-31,925.00,948.50,920.00,925.00,10100,925.00
2012-05-30,925.00,935.00,920.00,920.00,4300,920.00
2012-05-29,930.00,950.00,930.00,930.00,15300,930.00
2012-05-28,940.00,945.00,940.00,940.00,1100,940.00
2012-05-25,955.00,958.00,945.00,945.00,10300,945.00
2012-05-24,940.00,949.00,940.00,940.00,400,940.00
2012-05-23,935.50,950.00,929.00,929.00,5500,929.00
2012-05-22,945.00,959.99,940.00,940.00,9500,940.00
