Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,99.10,99.10,98.40,99.00,49900,98.75
2012-08-01,98.80,99.00,98.20,98.75,280700,98.75
2012-07-31,98.15,99.00,98.10,98.65,305000,98.65
2012-07-30,98.25,98.75,98.05,98.65,116000,98.65
2012-07-27,98.50,98.50,98.10,98.20,155900,98.20
2012-07-26,98.00,98.43,97.80,98.40,274000,98.40
2012-07-25,98.90,98.90,98.00,98.00,306000,98.00
2012-07-24,98.28,99.98,97.80,98.90,657400,98.90
2012-07-23,97.50,98.40,97.50,98.40,250200,98.40
2012-07-20,98.40,98.40,97.50,98.10,2627600,98.10
2012-07-19,97.50,98.40,97.50,98.40,275100,98.40
2012-07-18,97.75,98.10,97.20,97.80,168300,97.80
2012-07-17,97.75,98.00,97.00,97.00,283400,97.00
2012-07-16,97.50,97.75,97.20,97.70,338700,97.70
2012-07-13,97.50,97.50,96.93,97.50,444400,97.50
2012-07-12,97.00,97.00,96.75,97.00,481000,97.00
2012-07-11,97.20,97.45,96.75,97.00,1140800,97.00
2012-07-10,98.45,98.45,98.00,98.20,213100,98.20
2012-07-09,98.00,98.50,98.00,98.40,410400,98.40
2012-07-06,98.50,98.50,98.15,98.50,120200,98.50
2012-07-05,98.50,98.50,98.30,98.30,151100,98.30
2012-07-04,98.48,98.50,98.18,98.50,118300,98.50
2012-07-03,98.45,98.50,97.70,98.50,179200,98.50
2012-07-02,98.25,98.50,97.92,98.50,133000,98.50
2012-06-29,98.30,98.50,97.60,98.50,164800,98.50
2012-06-28,98.20,98.44,97.60,97.60,289400,97.60
2012-06-27,97.95,98.40,97.36,98.40,225800,98.40
2012-06-26,98.00,98.00,97.30,97.80,139800,97.80
2012-06-25,98.00,98.50,97.20,97.20,323200,97.20
2012-06-22,97.45,97.90,96.60,97.90,196700,97.90
2012-06-21,97.00,97.00,96.50,97.00,203800,97.00
2012-06-20,97.00,97.00,96.50,96.50,172600,96.50
2012-06-19,96.55,97.45,96.50,96.50,178600,96.50
2012-06-18,97.00,97.00,96.50,96.50,188300,96.50
2012-06-15,97.65,98.40,95.98,96.00,878600,96.00
2012-06-14,98.00,98.50,97.50,98.40,152000,98.40
2012-06-13,99.00,99.00,97.60,97.60,212200,97.60
2012-06-12,99.50,99.50,98.05,98.05,243600,98.05
2012-06-11,99.20,99.80,98.50,99.00,241300,99.00
2012-06-08,99.40,99.50,98.45,99.50,259000,99.50
2012-06-07,98.10,99.40,98.10,99.40,156100,99.40
2012-06-06,98.50,99.25,98.23,99.20,80300,99.20
2012-06-01,97.50,98.50,97.50,98.50,159800,98.50
2012-05-31,98.00,98.25,96.73,97.50,182100,97.50
2012-05-30,97.80,98.45,97.55,97.60,152400,97.60
2012-05-29,97.50,98.25,97.40,98.10,233300,98.10
2012-05-28,98.00,98.00,97.60,97.65,82600,97.65
2012-05-25,97.20,97.95,97.05,97.50,196600,97.50
2012-05-24,96.80,97.25,96.70,97.00,120600,97.00
2012-05-23,96.60,97.00,96.20,96.80,326800,96.80
2012-05-22,98.60,99.35,96.20,96.20,618300,96.20
2012-05-21,98.30,99.45,98.25,98.30,230200,98.30
2012-05-14,99.05,100.00,99.05,100.00,280500,100.00
2012-05-11,98.85,99.90,98.85,99.90,176200,99.90
2012-05-10,98.85,99.80,98.85,99.80,109300,99.80
2012-05-09,99.45,100.00,98.50,100.00,303800,100.00
2012-05-08,99.15,99.65,98.50,99.25,159400,99.25
2012-05-04,99.40,100.00,99.40,99.70,123900,99.70
2012-05-03,100.00,100.10,99.40,100.10,242000,100.10
2012-05-02,100.10,100.50,99.34,100.50,281400,100.50
2012-05-01,99.20,100.10,99.20,100.10,33600,100.10
2012-04-30,100.50,100.50,99.25,99.50,287700,99.50
2012-04-27,99.55,100.30,99.50,99.50,159300,99.50
2012-04-26,99.95,100.20,99.60,100.10,882300,100.10
2012-04-25,99.75,100.20,99.75,99.90,301600,99.90
2012-04-24,100.50,100.50,99.60,99.75,267800,99.75
2012-04-23,100.20,100.70,99.70,99.80,115900,99.80
2012-04-20,99.30,100.50,99.30,100.50,237400,100.50
2012-04-19,99.20,100.00,99.20,100.00,309500,100.00
2012-04-18,99.75,100.00,99.25,100.00,257600,100.00
2012-04-17,99.25,100.50,99.25,100.50,219700,100.50
2012-04-16,99.00,99.90,99.00,99.60,270000,99.60
2012-04-13,99.60,99.75,99.25,99.25,198100,99.25
2012-04-12,99.65,99.67,99.20,99.44,1734700,99.44
2012-04-11,98.75,99.70,98.75,99.70,124200,99.70
2012-04-10,99.50,99.65,98.75,99.05,134200,99.05
2012-04-05,98.90,99.70,98.90,99.70,126400,99.70
2012-04-04,99.25,99.70,98.55,99.70,242600,99.70
2012-04-03,99.70,99.70,98.80,99.25,94200,99.25
2012-04-02,99.19,99.70,98.30,99.70,291300,99.70
2012-03-30,99.50,99.50,98.30,99.50,328000,99.50
2012-03-29,99.75,99.75,99.00,99.10,173300,99.10
2012-03-28,99.70,99.75,99.15,99.20,117800,99.20
2012-03-27,99.75,99.75,99.20,99.75,122300,99.75
2012-03-26,99.75,99.75,99.15,99.25,91000,99.25
2012-03-23,99.75,99.75,99.30,99.75,570200,99.75
2012-03-22,99.45,99.75,99.10,99.75,220100,99.75
2012-03-21,99.75,99.75,99.15,99.50,235100,99.50
2012-03-20,99.75,99.75,99.00,99.12,378300,99.12
2012-03-19,99.75,99.75,99.11,99.75,488700,99.75
2012-03-16,99.75,99.75,99.00,99.75,3438200,99.75
2012-03-15,99.75,99.75,99.00,99.75,83500,99.75
2012-03-14,99.75,99.75,99.50,99.75,161200,99.75
2012-03-13,99.75,99.75,99.36,99.75,89400,99.75
2012-03-12,99.75,99.75,99.36,99.75,61800,99.75
2012-03-09,99.62,99.70,99.00,99.50,211300,99.50
2012-03-08,99.75,99.75,98.95,99.00,282400,99.00
2012-03-07,99.75,99.75,98.60,99.75,86900,99.75
2012-03-06,100.00,100.28,99.50,99.75,153800,99.75
2012-03-05,101.00,101.00,100.00,100.50,111600,100.50
2012-03-02,99.75,100.99,99.75,100.50,108000,100.50
2012-03-01,100.75,101.00,99.50,100.50,134600,100.50
