Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,211.20,214.30,209.20,210.10,422400,210.40
2012-08-02,211.20,214.30,208.90,210.40,580400,210.40
2012-08-01,211.30,211.50,209.80,210.20,475500,210.20
2012-07-31,215.90,215.90,210.90,210.90,635500,210.90
2012-07-27,208.10,213.80,204.90,213.30,1271400,213.30
2012-07-26,207.00,217.00,207.00,213.00,989700,213.00
2012-07-25,211.30,213.73,209.20,211.50,1273400,211.50
2012-07-24,211.60,212.80,210.20,211.00,610100,211.00
2012-07-23,220.60,225.00,212.00,212.00,1123700,212.00
2012-07-20,222.90,223.60,218.56,220.00,676900,220.00
2012-07-19,219.40,222.42,218.60,222.40,732800,222.40
2012-07-18,221.70,223.46,216.60,218.30,1006900,218.30
2012-07-17,223.60,224.00,218.00,221.80,943000,221.80
2012-07-16,218.00,224.20,215.08,224.20,529600,224.20
2012-07-13,220.80,220.80,215.00,219.50,586800,219.50
2012-07-12,215.30,215.82,214.90,216.50,787200,216.50
2012-07-11,217.20,218.24,215.00,217.00,1075700,217.00
2012-07-10,215.50,218.80,215.50,218.50,630100,218.50
2012-07-09,213.70,215.70,213.20,215.70,556400,215.70
2012-07-06,214.10,214.80,211.40,214.00,391400,214.00
2012-07-05,214.50,215.90,207.90,213.70,464600,213.70
2012-07-04,219.37,219.37,214.40,215.50,644400,215.50
2012-07-03,216.50,217.23,211.70,216.00,887800,216.00
2012-07-02,214.70,215.00,211.20,214.10,795500,214.10
2012-06-29,209.10,214.30,207.40,214.20,1155900,214.20
2012-06-28,205.10,208.34,202.10,204.20,1208700,204.20
2012-06-27,203.40,205.10,200.80,205.10,413200,205.10
2012-06-26,201.10,204.20,201.10,202.60,720200,202.60
2012-06-25,202.00,203.00,200.60,201.20,1006400,201.20
2012-06-22,204.50,205.00,202.06,202.40,872900,202.40
2012-06-21,207.40,208.11,205.30,205.50,1144800,205.50
2012-06-20,198.80,208.72,198.01,208.70,1632200,208.70
2012-06-19,193.30,199.00,193.00,199.00,1663700,199.00
2012-06-18,193.50,194.70,184.50,194.00,2516300,194.00
2012-06-15,181.10,194.22,181.10,194.10,3177200,194.10
2012-06-14,179.80,181.40,177.90,180.90,947800,180.90
2012-06-13,180.20,182.10,176.50,180.00,990900,180.00
2012-06-12,185.20,185.20,178.90,180.70,1293700,180.70
2012-06-11,185.00,189.18,184.30,184.30,1049400,184.30
2012-06-08,181.90,183.20,178.80,181.40,1036700,181.40
2012-06-07,185.40,185.40,181.30,183.80,1096400,183.80
2012-06-06,184.30,186.88,180.90,184.00,1250300,184.00
2012-06-01,190.00,190.00,182.40,183.10,980200,183.10
2012-05-31,187.70,190.70,187.00,188.20,2434000,188.20
2012-05-30,190.10,190.40,186.10,186.10,1430300,186.10
2012-05-29,193.20,193.90,188.00,190.70,642600,190.70
2012-05-28,192.30,195.20,187.23,192.60,1223300,192.60
2012-05-25,192.30,193.90,191.10,191.70,961900,191.70
2012-05-24,189.50,192.60,188.20,191.60,921000,191.60
2012-05-23,193.70,193.70,187.70,187.70,1223700,187.70
2012-05-22,195.70,198.71,192.50,194.50,986600,194.50
2012-05-21,194.40,197.20,192.20,194.20,910700,194.20
2012-05-18,195.10,198.90,193.00,196.30,931400,196.30
2012-05-17,200.00,200.90,195.80,197.10,1385900,197.10
2012-05-16,200.50,202.80,197.40,200.30,1065200,200.30
2012-05-14,213.20,213.20,206.50,206.80,844600,206.80
2012-05-11,212.80,216.10,212.30,215.60,535600,215.60
2012-05-10,212.70,214.80,210.30,212.90,781600,212.90
2012-05-09,216.50,216.50,208.60,210.50,1336100,210.50
2012-05-08,221.10,222.88,213.45,213.50,1432800,213.50
2012-05-04,226.50,226.60,219.50,219.50,1917000,219.50
2012-05-03,223.00,227.50,220.50,226.50,1799800,226.50
2012-05-02,222.80,229.38,218.70,221.70,1335000,221.70
2012-05-01,216.00,222.60,216.00,221.50,851200,221.50
2012-04-30,216.70,217.80,213.80,216.70,1347000,216.70
2012-04-27,208.30,218.50,205.60,216.90,2076000,216.90
2012-04-26,211.70,212.12,208.80,208.80,1175400,208.80
2012-04-25,211.30,212.70,208.60,210.50,2086900,210.50
2012-04-24,214.20,217.70,212.60,216.60,1098400,216.60
2012-04-23,217.70,223.90,212.50,212.60,1207800,212.60
2012-04-20,222.90,223.54,218.60,219.40,1338900,219.40
2012-04-19,229.80,229.80,222.80,223.50,1384300,223.50
2012-04-18,231.40,231.50,227.57,228.20,1085800,228.20
