Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,200.50,201.40,200.50,201.40,10400,204.50
2012-08-01,204.04,204.50,200.68,204.50,21800,204.50
2012-07-31,201.00,204.00,199.00,203.00,165100,203.00
2012-07-30,199.25,200.62,199.25,200.50,24100,200.50
2012-07-27,198.50,199.65,197.25,198.00,21400,198.00
2012-07-26,199.50,199.97,199.50,199.97,6400,199.97
2012-07-25,197.00,199.97,196.00,196.00,35300,196.00
2012-07-24,197.90,197.50,197.50,197.50,8900,197.50
2012-07-23,198.90,199.50,198.69,199.50,16600,199.50
2012-07-20,203.00,203.64,202.00,202.00,10800,202.00
2012-07-19,206.60,206.60,203.26,204.20,27900,204.20
2012-07-18,205.50,206.24,203.12,205.75,17000,205.75
2012-07-17,205.75,205.75,203.00,204.75,36100,204.75
2012-07-16,206.80,206.80,203.94,206.00,9900,206.00
2012-07-13,204.50,206.75,204.50,206.75,24300,206.75
2012-07-12,207.00,207.00,204.45,207.00,32900,207.00
2012-07-11,209.00,209.00,208.25,209.00,87800,209.00
2012-07-10,208.00,209.00,205.75,209.00,18800,209.00
2012-07-09,206.00,207.00,204.18,207.00,46000,207.00
2012-07-06,207.50,210.00,207.00,210.00,30500,210.00
2012-07-05,209.00,210.99,208.00,209.00,35300,209.00
2012-07-04,207.92,210.99,207.92,210.99,18100,210.99
2012-07-03,203.50,209.00,202.13,208.00,247000,208.00
2012-07-02,203.00,205.00,200.73,203.00,188000,203.00
2012-06-29,197.00,202.50,197.00,202.50,147000,202.50
2012-06-28,193.50,195.50,193.50,195.50,164600,195.50
2012-06-27,191.50,193.75,191.50,193.50,41200,193.50
2012-06-26,191.10,192.89,191.10,192.89,5500,192.89
2012-06-25,193.50,194.00,191.25,191.25,62600,191.25
2012-06-22,192.50,193.75,188.35,193.50,165000,193.50
2012-06-21,191.00,193.00,191.00,191.25,16300,191.25
2012-06-20,196.00,196.00,192.16,193.26,20900,193.26
2012-06-19,191.00,194.30,191.00,194.25,7400,194.25
2012-06-18,195.00,195.00,190.00,190.00,31600,190.00
2012-06-15,193.00,196.75,192.89,196.75,233500,196.75
2012-06-14,193.95,194.80,193.69,194.80,8400,194.80
2012-06-13,193.00,193.50,192.26,193.50,346700,193.50
2012-06-12,192.25,195.25,192.25,195.00,22900,195.00
2012-06-11,194.01,196.25,192.75,196.00,45100,196.00
2012-06-08,198.00,198.00,193.19,193.19,14600,193.19
2012-06-07,196.00,198.00,192.44,198.00,28700,198.00
2012-06-06,191.50,196.00,190.26,196.00,39600,196.00
2012-06-01,188.50,192.50,187.86,190.00,43400,190.00
2012-05-31,191.00,192.75,188.50,191.00,24700,191.00
2012-05-30,192.74,192.74,192.74,192.74,13000,192.74
2012-05-29,189.40,193.80,191.00,191.00,33600,191.00
2012-05-28,191.40,191.60,187.10,189.00,18900,189.00
2012-05-25,190.65,190.65,188.33,190.65,9900,190.65
2012-05-24,188.25,191.25,188.00,191.25,13100,191.25
2012-05-23,188.75,190.50,186.50,186.50,132400,186.50
2012-05-22,189.25,192.60,188.75,192.00,103500,192.00
2012-05-21,189.00,190.99,187.00,190.99,38300,190.99
2012-05-14,190.50,191.00,187.00,187.00,84300,187.00
2012-05-11,191.32,193.15,189.50,189.50,24100,189.50
2012-05-10,190.00,193.00,188.05,193.00,103300,193.00
2012-05-09,194.25,194.89,188.75,190.00,355100,190.00
2012-05-08,201.75,201.90,195.00,199.00,28400,199.00
2012-05-04,199.26,197.00,197.00,197.00,26000,197.00
2012-05-03,205.50,205.50,203.49,205.00,26900,205.00
2012-05-02,202.50,206.95,202.50,202.50,16400,202.50
2012-05-01,204.23,204.24,200.76,204.24,11500,204.24
2012-04-30,201.00,204.24,201.00,203.49,78000,203.49
2012-04-27,200.25,204.25,200.00,200.00,43800,200.00
2012-04-26,207.50,209.30,200.25,200.25,76900,200.25
2012-04-25,210.00,210.00,205.28,205.28,18400,205.28
2012-04-24,205.50,210.00,204.50,210.00,45500,210.00
2012-04-23,206.00,211.22,205.00,205.00,72800,205.00
2012-04-20,210.26,214.74,208.52,212.99,21700,212.99
2012-04-19,212.50,214.99,210.25,214.20,32400,214.20
2012-04-18,212.50,214.99,212.50,214.14,44300,214.14
2012-04-17,215.00,215.00,212.50,212.61,9300,212.61
2012-04-16,215.75,217.00,212.50,216.89,14500,216.89
2012-04-13,218.75,221.74,216.00,216.00,38400,216.00
2012-04-12,217.50,221.70,217.50,221.45,18600,221.45
2012-04-11,217.31,220.95,216.35,220.95,33400,220.95
2012-04-10,222.14,222.15,216.25,216.25,37300,216.25
2012-04-05,219.75,224.28,219.00,220.00,57700,220.00
2012-04-04,224.24,224.24,219.01,219.50,35000,219.50
2012-04-03,224.49,224.50,224.50,224.50,11700,224.50
2012-04-02,222.00,224.49,220.00,220.00,42000,220.00
2012-03-30,224.50,224.50,222.00,222.00,4700,222.00
2012-03-29,223.00,223.70,218.86,222.75,40700,222.75
2012-03-28,224.00,224.28,219.50,223.89,39300,223.89
2012-03-27,219.72,224.49,219.50,219.50,10200,219.50
2012-03-26,224.28,224.28,220.85,223.70,6600,223.70
2012-03-23,224.50,224.50,220.50,224.50,26700,224.50
2012-03-22,227.80,227.80,222.25,224.50,39300,224.50
2012-03-21,222.25,228.00,222.25,228.00,25200,228.00
2012-03-20,226.20,226.20,221.45,225.00,45400,225.00
2012-03-19,230.00,230.00,222.25,223.75,43900,223.75
2012-03-16,230.00,230.20,227.00,230.00,53900,230.00
2012-03-15,228.00,232.49,227.11,231.00,88500,231.00
2012-03-14,232.00,233.50,231.49,233.50,25100,233.50
2012-03-13,230.00,232.00,230.00,232.00,13000,232.00
2012-03-12,230.00,230.00,227.25,230.00,7500,230.00
2012-03-09,225.00,230.00,224.00,230.00,47800,230.00
2012-03-08,219.75,222.65,219.75,219.75,7500,219.75
2012-03-07,222.75,223.00,222.00,222.67,14200,222.67
2012-03-06,221.00,224.49,218.75,220.00,13100,220.00
2012-03-05,228.75,231.25,222.73,224.49,31600,224.49
2012-03-02,231.78,231.90,231.78,231.90,8200,231.90
2012-03-01,233.50,233.56,230.00,233.15,46000,233.15
2012-02-29,235.00,236.69,232.00,232.00,45500,232.00
2012-02-28,234.38,244.00,234.00,235.00,37000,235.00
2012-02-27,235.00,239.40,230.01,232.38,82000,232.38
2012-02-24,238.00,240.74,237.01,239.74,11800,239.74
2012-02-23,239.50,240.30,239.00,240.30,17700,240.30
2012-02-22,237.00,239.49,237.00,239.39,41800,239.39
2012-02-21,239.49,239.50,238.01,239.25,18200,239.25
2012-02-20,240.00,240.49,237.25,239.49,83700,239.49
2012-02-17,236.00,240.39,236.00,239.75,46500,239.75
2012-02-16,235.50,236.00,233.50,236.00,35600,236.00
2012-02-15,233.75,236.64,232.50,234.50,78100,234.50
2012-02-14,229.50,230.74,229.50,230.25,20300,230.25
2012-02-13,225.75,228.90,225.75,228.50,86000,228.50
2012-02-10,223.00,228.40,222.08,223.00,29700,223.00
2012-02-09,225.00,229.00,223.01,226.25,61600,226.25
2012-02-08,229.00,229.00,223.01,226.25,46900,226.25
2012-02-07,224.00,229.00,222.00,229.00,47100,229.00
2012-02-06,226.50,228.78,223.60,227.99,96200,227.99
2012-02-03,225.50,225.99,223.25,225.62,43900,225.62
2012-02-02,225.50,225.50,220.85,225.25,24900,225.25
2012-02-01,220.48,224.23,218.60,224.23,16400,224.23
2012-01-31,216.50,221.00,216.50,220.84,38600,220.84
2012-01-30,221.00,222.00,215.50,216.40,155300,216.40
2012-01-27,220.00,222.00,219.00,221.67,100900,221.67
2012-01-26,221.00,221.00,219.30,219.30,9600,219.30
2012-01-25,220.80,220.80,215.50,218.30,74000,218.30
2012-01-24,221.00,221.00,215.50,221.00,39900,221.00
2012-01-23,214.00,220.43,213.00,218.90,17200,218.90
2012-01-20,219.00,219.57,216.00,218.50,99100,218.50
2012-01-19,215.00,219.00,213.00,219.00,23800,219.00
2012-01-18,215.00,215.00,211.26,214.60,26400,214.60
2012-01-17,211.00,214.50,211.00,214.50,53200,214.50
2012-01-16,205.74,205.75,204.20,205.75,31500,205.75
2012-01-13,203.50,206.50,201.15,205.74,121200,205.74
2012-01-12,203.00,204.45,202.93,203.50,21500,203.50
2012-01-11,203.50,205.50,202.85,204.40,41500,204.40
2012-01-09,197.00,198.99,197.00,198.99,62800,198.99
2012-01-06,195.52,197.99,195.52,197.99,6100,197.99
2012-01-05,195.50,199.50,194.50,198.00,47400,198.00
2012-01-04,198.32,199.06,195.11,199.06,45500,199.06
2012-01-03,195.01,199.81,195.01,198.74,15000,198.74
2011-12-30,195.00,196.90,195.00,195.00,40000,195.00
2011-12-29,192.00,194.65,192.00,194.00,11800,194.00
2011-12-28,189.00,194.40,189.00,192.50,25600,192.50
2011-12-23,193.00,194.81,193.00,193.50,7300,193.50
2011-12-22,193.24,193.24,191.50,191.50,7600,191.50
2011-12-21,190.00,191.82,188.77,189.50,21500,189.50
2011-12-20,187.00,187.25,184.00,184.50,51000,184.50
2011-12-19,186.00,191.82,184.21,188.00,72500,188.00
2011-12-16,192.00,193.90,190.00,190.00,27400,190.00
2011-12-15,189.57,190.10,189.57,190.10,11100,190.10
2011-12-14,194.00,194.00,185.00,186.00,73500,186.00
2011-12-13,195.00,201.52,194.50,194.50,62500,194.50
2011-12-12,199.00,204.89,194.51,198.39,21200,198.39
2011-12-09,207.89,207.89,202.25,202.25,1300,202.25
2011-12-08,208.00,210.95,206.00,206.00,14800,206.00
2011-12-07,215.00,215.00,211.00,213.60,10500,213.60
2011-12-06,209.00,209.99,205.00,209.90,26700,209.90
2011-12-05,210.00,210.00,205.00,205.00,3400,205.00
2011-12-02,205.50,209.99,205.50,207.30,33200,207.30
2011-12-01,203.30,207.40,203.30,204.00,19200,204.00
2011-11-30,204.00,205.70,199.71,202.40,19100,202.40
2011-11-28,205.00,206.05,205.00,205.00,26700,205.00
2011-11-25,195.00,203.40,195.00,199.00,37500,199.00
2011-11-24,195.94,198.70,195.94,196.95,14400,196.95
2011-11-23,201.00,201.99,195.00,196.00,18500,196.00
2011-11-22,206.00,206.00,202.10,205.90,7700,205.90
2011-11-21,207.52,207.52,201.60,206.29,8800,206.29
2011-11-18,210.90,210.90,205.49,205.60,2100,205.60
2011-11-17,208.00,213.40,207.00,211.40,18400,211.40
2011-11-16,213.50,213.62,213.50,213.50,23900,213.50
2011-11-15,212.50,213.50,208.00,208.00,8300,208.00
2011-11-14,209.50,215.99,208.84,215.99,8100,215.99
2011-11-11,212.00,215.00,207.50,210.00,78400,210.00
2011-11-10,210.00,214.00,208.00,211.00,25800,211.00
2011-11-09,219.25,219.25,212.55,214.00,206100,214.00
2011-11-08,221.00,221.74,214.55,221.74,13400,221.74
2011-11-07,220.20,220.99,214.75,217.55,12600,217.55
2011-11-04,216.44,220.50,216.44,220.35,6700,220.35
2011-11-03,220.00,220.90,215.00,215.00,24900,215.00
2011-11-02,217.94,222.00,217.94,222.00,8200,222.00
2011-11-01,215.93,218.00,215.00,218.00,36600,218.00
2011-10-31,220.00,222.00,219.25,221.00,54900,221.00
2011-10-28,218.50,221.50,218.50,220.50,13800,220.50
2011-10-27,219.00,222.50,218.60,222.50,16800,222.50
2011-10-26,213.00,215.00,213.00,215.00,10300,215.00
2011-10-25,212.50,213.84,210.00,210.25,4600,210.25
2011-10-24,213.00,214.00,212.71,214.00,33200,214.00
2011-10-21,214.00,214.50,213.00,213.00,12300,213.00
2011-10-20,213.00,214.75,211.00,211.00,71900,211.00
2011-10-19,214.00,216.70,214.00,216.00,17600,216.00
2011-10-18,217.00,217.00,214.00,215.00,21400,215.00
2011-10-17,219.00,221.00,217.50,218.25,31000,218.25
2011-10-14,214.50,218.00,214.50,218.00,49500,218.00
2011-10-13,218.00,218.00,214.00,214.00,131100,214.00
2011-10-12,215.25,215.75,212.00,215.75,2200,215.75
2011-10-11,215.25,215.93,212.46,215.93,19400,215.93
2011-10-10,216.75,217.00,216.75,217.00,12600,217.00
2011-10-07,215.00,216.74,212.00,212.00,2800,212.00
2011-10-06,215.00,215.00,212.46,215.00,16900,215.00
2011-10-05,209.96,209.96,209.96,209.96,1700,209.96
2011-10-04,209.00,211.65,207.21,208.00,10200,208.00
2011-10-03,206.00,212.00,201.25,212.00,54100,212.00
2011-09-30,213.50,213.50,211.75,211.96,22100,211.96
2011-09-29,214.00,215.00,211.72,215.00,11300,215.00
2011-09-28,209.21,212.22,209.21,212.22,7700,212.22
2011-09-27,208.50,215.00,208.50,215.00,11800,215.00
2011-09-26,205.00,209.00,204.75,205.25,30600,205.25
2011-09-23,209.50,211.50,207.25,209.23,18100,209.23
2011-09-22,217.75,217.75,208.50,211.00,168100,211.00
2011-09-21,215.75,222.64,215.75,221.75,9100,221.75
2011-09-20,222.50,222.50,217.25,220.75,9200,220.75
2011-09-19,222.00,222.00,215.25,215.25,8900,215.25
