Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,362.00,363.50,355.00,360.25,8300,363.50
2012-08-02,362.00,363.50,355.00,363.50,12200,363.50
2012-08-01,359.00,362.72,359.00,361.00,2900,361.00
2012-07-31,359.00,362.50,358.75,362.50,19700,362.50
2012-07-27,350.00,359.31,346.50,358.50,55400,358.50
2012-07-26,354.75,354.75,351.00,351.00,1100,351.00
2012-07-25,352.00,360.00,351.50,360.00,33700,360.00
2012-07-24,360.00,360.00,353.50,353.50,63700,353.50
2012-07-23,354.45,355.00,350.98,355.00,1400,355.00
2012-07-20,350.25,353.50,350.25,352.00,2400,352.00
2012-07-19,349.25,357.00,349.25,357.00,17700,357.00
2012-07-18,357.00,360.60,349.50,349.50,32100,349.50
2012-07-17,358.00,358.72,352.50,352.50,21900,352.50
2012-07-16,358.00,360.86,357.00,358.00,11200,358.00
2012-07-13,359.00,364.00,358.00,358.00,206600,358.00
2012-07-12,362.00,362.00,362.00,362.00,32100,362.00
2012-07-11,360.50,365.83,358.00,363.00,3000,363.00
2012-07-10,363.25,365.00,358.00,358.00,700,358.00
2012-07-09,359.00,363.50,359.00,359.00,8200,359.00
2012-07-06,358.00,368.00,356.30,364.75,44700,364.75
2012-07-05,365.50,367.50,356.00,360.00,24200,360.00
2012-07-04,358.00,365.00,358.00,365.00,6300,365.00
2012-07-03,364.00,364.01,358.00,363.00,34900,363.00
2012-07-02,365.00,365.00,360.00,360.00,31600,360.00
2012-06-29,370.25,371.00,365.00,365.00,34500,365.00
2012-06-28,365.00,375.00,365.00,375.00,7400,375.00
2012-06-27,365.00,371.50,365.00,368.50,248400,368.50
2012-06-26,365.00,370.50,365.00,370.50,1700,370.50
2012-06-25,365.00,372.25,365.00,365.00,12800,365.00
2012-06-22,369.50,378.00,365.00,365.00,12300,365.00
2012-06-21,377.25,379.25,370.62,379.25,4200,379.25
2012-06-20,380.00,380.00,374.50,380.00,29900,380.00
2012-06-19,367.75,378.00,367.75,378.00,15200,378.00
2012-06-18,375.00,375.00,370.50,371.00,9900,371.00
2012-06-15,369.25,378.48,366.25,378.25,180000,378.25
2012-06-14,362.75,369.50,362.75,369.50,27100,369.50
2012-06-13,356.00,368.00,356.00,368.00,98200,368.00
2012-06-12,360.00,367.22,358.00,361.00,32200,361.00
2012-06-11,360.00,366.94,360.00,360.00,21200,360.00
2012-06-08,363.00,372.75,363.00,363.00,701500,363.00
2012-06-07,367.25,371.00,367.25,369.00,196700,369.00
2012-06-06,357.75,365.00,357.75,360.00,43000,360.00
2012-06-01,350.75,361.75,350.75,360.00,30200,360.00
2012-05-31,363.75,363.75,351.50,355.00,303400,355.00
2012-05-30,360.00,361.00,351.00,360.00,54300,360.00
2012-05-29,370.00,375.52,355.00,355.00,33000,355.00
2012-05-28,372.25,380.00,370.00,380.00,41300,380.00
2012-05-25,369.50,376.54,369.50,373.50,54000,373.50
2012-05-24,362.00,374.00,362.00,373.34,261600,373.34
2012-05-23,360.00,368.75,360.00,362.00,26500,362.00
2012-05-22,375.00,380.00,362.75,362.75,53600,362.75
2012-05-21,363.00,375.20,363.00,373.25,39000,373.25
2012-05-18,370.00,377.00,370.00,377.00,116500,377.00
2012-05-17,368.00,375.00,366.50,375.00,130400,375.00
2012-05-16,370.00,375.74,370.00,373.00,165900,373.00
2012-05-14,365.00,370.03,363.31,365.00,12600,365.00
2012-05-11,367.00,378.16,362.00,370.00,18100,370.00
2012-05-10,362.75,368.75,362.00,367.25,35300,367.25
2012-05-09,370.00,374.38,365.29,374.38,26900,374.38
2012-05-08,373.00,376.89,367.00,376.25,59900,376.25
2012-05-04,375.00,375.00,369.50,370.00,325600,370.00
2012-05-03,367.75,379.25,367.75,379.25,63400,379.25
2012-05-02,367.75,370.91,367.75,369.13,30100,369.13
2012-05-01,369.00,369.25,366.75,369.00,80900,369.00
2012-04-30,365.00,370.00,360.94,370.00,31200,370.00
2012-04-27,367.50,367.75,360.75,366.00,12100,366.00
2012-04-26,360.25,368.28,354.00,360.00,16000,360.00
2012-04-25,364.00,365.35,360.00,364.25,108300,364.25
2012-04-24,364.00,364.12,360.00,364.00,18800,364.00
2012-04-23,360.25,367.75,360.00,362.00,32500,362.00
2012-04-20,370.00,370.00,366.50,368.00,31200,368.00
2012-04-19,356.25,372.00,356.25,372.00,170100,372.00
2012-04-18,370.00,371.00,370.00,370.25,133900,370.25
2012-04-17,370.00,371.84,369.00,369.00,15800,369.00
2012-04-16,372.00,372.79,368.86,369.50,39600,369.50
2012-04-13,371.50,372.75,365.98,372.00,13600,372.00
2012-04-12,360.25,369.25,360.00,368.00,66000,368.00
2012-04-11,360.50,364.75,358.00,360.00,33000,360.00
2012-04-10,372.00,373.00,366.00,371.00,36300,358.00
2012-04-05,368.00,372.00,366.50,372.00,35700,358.96
2012-04-04,368.00,369.70,367.50,368.00,12300,355.11
2012-04-03,360.25,369.00,360.25,366.00,97300,353.18
2012-04-02,360.00,367.18,359.78,361.25,28900,348.59
2012-03-30,367.00,371.00,360.00,360.00,54900,347.39
2012-03-29,373.00,373.80,365.00,365.00,87600,352.21
2012-03-28,375.00,381.30,373.00,374.00,85200,360.89
2012-03-27,373.00,380.75,368.00,375.00,32000,361.86
2012-03-26,357.25,369.00,357.25,365.00,412600,352.21
2012-03-23,357.00,359.25,348.29,355.00,1878500,342.56
2012-03-22,364.00,364.00,355.00,359.00,157700,346.42
2012-03-21,350.00,363.05,349.12,359.00,438800,346.42
2012-03-20,340.00,349.00,340.00,348.00,14500,335.81
2012-03-19,343.00,345.38,340.00,340.00,9000,328.09
2012-03-16,355.50,355.50,344.00,345.00,47200,332.91
2012-03-15,353.00,353.00,350.00,350.00,18100,337.74
2012-03-14,353.00,353.00,351.22,353.00,7000,340.63
2012-03-13,353.00,356.82,346.23,352.00,19700,339.67
2012-03-12,352.00,355.70,350.88,354.00,41300,341.60
2012-03-09,352.97,353.25,351.00,353.25,36900,340.87
2012-03-08,357.00,357.00,351.00,351.25,18300,338.94
2012-03-07,356.75,357.00,350.00,355.00,1496900,342.56
2012-03-06,350.00,357.13,350.00,353.50,11400,341.11
2012-03-05,344.75,351.00,344.75,350.00,60100,337.74
2012-03-02,345.00,352.03,335.00,341.25,75900,329.29
2012-03-01,365.00,366.00,346.50,346.50,245100,334.36
2012-02-29,362.00,368.38,356.64,360.75,12800,348.11
2012-02-28,360.25,364.75,359.75,359.75,766100,347.14
2012-02-27,359.75,364.00,356.00,360.00,150400,347.39
2012-02-24,359.75,359.75,357.00,359.00,55700,346.42
2012-02-23,355.00,359.50,355.00,357.00,45500,344.49
2012-02-22,350.75,357.53,350.00,357.00,540500,344.49
2012-02-21,357.00,359.59,355.00,355.00,47800,342.56
2012-02-20,358.50,362.00,355.00,358.00,58100,345.46
