Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,284.20,300.00,284.20,296.00,33200,296.00
2012-08-02,284.20,300.00,284.20,296.00,56000,296.00
2012-08-01,300.00,300.00,291.03,298.70,65400,298.70
2012-07-31,298.60,300.50,295.20,295.20,106700,295.20
2012-07-27,298.70,306.05,298.70,300.70,129500,300.70
2012-07-26,294.30,323.10,291.90,311.70,58500,311.70
2012-07-25,299.90,303.00,294.00,298.00,66400,298.00
2012-07-24,287.90,312.00,287.90,305.00,62700,305.00
2012-07-23,296.90,298.30,286.20,295.00,72600,295.00
2012-07-20,327.60,327.60,297.70,302.10,163100,302.10
2012-07-19,296.50,320.40,296.50,317.60,58400,317.60
2012-07-18,324.50,324.50,306.80,311.00,95500,311.00
2012-07-17,313.70,321.20,310.80,315.10,40300,315.10
2012-07-16,315.50,320.80,314.70,317.10,79800,317.10
2012-07-13,315.70,321.60,308.00,314.60,79200,314.60
2012-07-12,321.80,321.80,313.25,321.80,59600,321.80
2012-07-11,316.10,325.70,313.60,316.70,43200,316.70
2012-07-10,312.10,325.50,312.10,322.20,99300,322.20
2012-07-09,339.20,345.20,317.10,317.10,99400,317.10
2012-07-06,351.10,359.30,348.50,358.00,104200,358.00
2012-07-05,329.80,354.00,329.80,354.00,100100,354.00
2012-07-04,334.30,334.80,327.20,333.90,24100,333.90
2012-07-03,328.40,332.10,321.80,332.10,88600,332.10
2012-07-02,317.80,346.60,316.40,334.30,117000,334.30
2012-06-29,307.60,325.30,307.60,323.50,145900,323.50
2012-06-28,305.60,305.60,292.00,300.00,126200,300.00
2012-06-27,300.70,309.30,300.70,309.30,102100,309.30
2012-06-26,295.80,300.02,290.70,294.60,129600,294.60
2012-06-25,310.00,310.00,295.80,295.80,74600,295.80
2012-06-22,301.60,310.60,301.60,304.70,90600,304.70
2012-06-21,322.90,322.90,307.10,311.40,111800,311.40
2012-06-20,326.30,338.30,324.10,329.10,63000,329.10
2012-06-19,316.90,326.60,312.60,322.10,50400,322.10
2012-06-18,337.00,341.00,314.20,316.90,141200,316.90
2012-06-15,306.70,347.50,300.10,332.30,603700,332.30
2012-06-14,301.20,306.10,297.20,301.10,94600,301.10
2012-06-13,294.00,303.90,294.00,300.50,95600,300.50
2012-06-12,309.20,312.10,294.90,294.90,150500,294.90
2012-06-11,327.60,333.80,306.30,306.30,148000,306.30
2012-06-08,313.00,326.25,310.10,326.10,164900,326.10
2012-06-07,307.50,329.30,301.68,313.00,185000,313.00
2012-06-06,276.00,305.80,272.40,305.80,435600,305.80
2012-06-01,277.20,277.20,265.40,269.00,268000,269.00
2012-05-31,293.80,297.50,274.30,277.20,392000,277.20
2012-05-30,319.40,319.40,289.90,289.90,176500,289.90
2012-05-29,320.10,322.10,315.80,319.40,73600,319.40
2012-05-28,328.70,328.70,313.60,313.60,57300,313.60
2012-05-25,319.70,328.80,313.20,313.60,278400,313.60
2012-05-24,322.60,325.60,316.60,322.30,170600,322.30
2012-05-23,330.10,330.10,314.00,316.30,484500,316.30
2012-05-22,331.00,338.90,328.30,338.00,209700,338.00
2012-05-21,329.50,333.00,319.70,324.00,376100,324.00
2012-05-18,327.70,334.40,324.30,326.50,265300,326.50
2012-05-17,345.40,345.40,329.10,335.02,325000,335.02
