Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,11.00,11.00,11.00,11.00,1900,16.03
2011-06-13,16.33,16.50,16.00,16.03,2304200,16.03
2011-06-10,15.97,16.20,15.65,16.00,5271200,16.00
2011-06-09,15.65,15.88,15.60,15.75,3809400,15.75
2011-06-08,15.57,15.88,15.50,15.75,1460100,15.75
2011-06-07,15.53,15.79,15.11,15.79,1198500,15.79
2011-06-06,14.88,14.88,14.88,14.88,110000,14.88
2011-06-03,15.52,15.75,15.50,15.75,66100,15.75
2011-06-02,15.68,15.68,15.35,15.35,39300,15.35
2011-06-01,15.50,15.80,15.25,15.25,184700,15.25
2011-05-31,15.90,15.90,15.85,15.85,28300,15.85
2011-05-27,15.33,15.45,15.00,15.45,479200,15.45
2011-05-26,15.75,15.75,15.38,15.54,171700,15.54
2011-05-25,15.82,15.82,15.77,15.80,29500,15.80
2011-05-24,15.90,15.90,15.46,15.80,410500,15.80
2011-05-23,15.45,16.00,15.42,16.00,298500,16.00
2011-05-20,15.25,15.75,15.25,15.75,1044700,15.75
2011-05-19,15.30,15.45,15.26,15.26,550900,15.26
2011-05-18,14.77,15.22,15.00,15.00,629900,15.00
2011-05-17,14.90,14.90,14.50,14.50,231600,14.50
2011-05-16,14.65,14.70,14.50,14.50,155200,14.50
2011-05-13,14.65,14.70,14.65,14.70,10000,14.70
2011-05-12,14.80,14.80,14.65,14.65,19900,14.65
2011-05-11,14.25,14.90,14.25,14.90,374000,14.90
2011-05-10,14.28,14.50,14.28,14.50,36300,14.50
2011-05-09,14.30,14.54,14.28,14.50,434200,14.50
2011-05-06,14.36,14.59,14.25,14.30,317900,14.30
2011-05-05,14.31,14.60,14.25,14.60,840100,14.60
2011-05-04,13.90,14.39,13.75,14.25,4377100,14.25
2011-05-03,13.35,13.88,13.35,13.38,198200,13.38
2011-04-28,13.50,13.50,13.50,13.50,13200,13.50
2011-04-27,13.40,13.89,13.35,13.35,199000,13.35
2011-04-26,13.57,13.89,13.57,13.89,268900,13.89
2011-04-21,13.56,13.90,13.56,13.90,59300,13.90
2011-04-20,13.55,13.82,13.55,13.56,158100,13.56
2011-04-19,13.48,13.80,13.48,13.80,149600,13.80
2011-04-18,13.62,13.80,13.62,13.80,329400,13.80
2011-04-15,13.37,13.60,13.32,13.48,702000,13.48
2011-04-14,13.50,13.50,13.28,13.37,234600,13.37
2011-04-13,13.52,13.52,13.25,13.38,872200,13.38
2011-04-12,13.45,13.89,13.40,13.40,1839100,13.40
2011-04-11,12.88,13.50,12.88,13.00,252800,13.00
2011-04-08,12.96,13.35,12.88,12.88,158600,12.88
2011-04-07,13.05,13.05,13.00,13.00,457700,13.00
2011-04-06,13.19,13.19,13.00,13.00,469500,13.00
2011-04-05,13.25,13.25,12.90,13.15,396600,13.15
2011-04-04,13.00,13.05,12.80,12.95,1194000,12.95
2011-04-01,12.92,13.00,12.83,12.83,1023200,12.83
2011-03-31,12.82,12.82,12.80,12.80,401400,12.80
2011-03-30,12.41,13.00,12.41,13.00,3136000,13.00
