Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,575.50,580.00,503.00,523.00,3264300,522.00
2012-08-02,575.50,580.00,503.00,522.00,4273200,522.00
2012-08-01,580.50,584.91,569.00,582.50,952200,582.50
2012-07-31,596.00,602.50,582.00,582.00,791300,582.00
2012-07-27,626.00,626.00,595.00,600.28,563000,600.28
2012-07-26,600.50,624.00,590.50,621.00,926800,621.00
2012-07-25,600.00,609.00,592.50,598.00,1165100,598.00
2012-07-24,599.50,606.31,584.00,585.00,561200,585.00
2012-07-23,612.00,612.00,582.50,596.50,432400,596.50
2012-07-20,620.00,622.00,608.67,615.00,547000,615.00
2012-07-19,629.50,629.50,618.50,623.00,462000,623.00
2012-07-18,627.00,631.50,619.50,626.50,680400,626.50
2012-07-17,614.50,637.50,614.00,625.00,1398100,625.00
2012-07-16,606.50,618.50,605.00,615.00,732700,615.00
2012-07-13,599.00,610.00,597.00,609.50,555400,609.50
2012-07-12,590.50,599.00,588.50,597.00,571000,597.00
2012-07-11,583.50,596.00,583.50,594.50,519800,594.50
2012-07-10,586.00,593.00,582.50,590.50,619500,590.50
2012-07-09,593.00,595.00,578.50,584.50,389000,584.50
2012-07-06,601.50,606.50,587.00,593.00,446200,593.00
2012-07-05,600.50,608.50,596.98,603.00,1026300,603.00
2012-07-04,600.00,607.00,590.00,600.00,612200,600.00
2012-07-03,600.00,607.50,595.11,599.50,928700,599.50
2012-07-02,581.50,599.50,580.00,595.00,907900,595.00
2012-06-29,576.00,583.50,564.00,580.00,1222000,580.00
2012-06-28,565.00,573.50,554.73,560.50,1437300,560.50
2012-06-27,569.00,586.00,557.01,565.16,2202600,565.16
2012-06-26,590.50,600.50,577.50,577.50,1368100,577.50
2012-06-25,613.50,617.00,584.00,590.50,913600,590.50
2012-06-22,615.00,621.24,604.00,615.00,664400,615.00
2012-06-21,637.00,638.00,616.00,625.50,741700,625.50
2012-06-20,637.00,650.00,632.56,635.50,793500,635.50
2012-06-19,626.50,638.50,621.50,635.50,636500,635.50
2012-06-18,650.00,655.00,619.50,626.00,788800,626.00
2012-06-15,618.50,648.00,614.00,637.50,3067600,637.50
2012-06-14,610.00,618.00,600.50,610.00,444000,610.00
2012-06-13,600.50,615.00,598.50,607.50,715400,607.50
2012-06-12,612.50,626.00,602.00,604.00,1184000,604.00
2012-06-11,625.00,646.00,603.94,604.50,1246800,604.50
2012-06-08,594.50,622.00,580.00,615.00,1584200,615.00
2012-06-07,590.00,601.00,581.50,595.00,703900,595.00
2012-06-06,557.00,589.50,557.00,586.00,929000,586.00
2012-06-01,581.00,586.79,545.00,557.00,740000,557.00
2012-05-31,577.00,586.00,568.00,582.00,497700,582.00
2012-05-30,592.00,598.00,567.50,571.00,622600,571.00
2012-05-29,590.00,605.50,582.00,598.50,473300,598.50
2012-05-28,585.00,585.95,571.00,583.00,293900,583.00
2012-05-25,580.50,590.50,562.50,570.00,512700,570.00
2012-05-24,580.50,589.03,573.36,582.50,609200,582.50
2012-05-23,580.00,595.00,573.00,573.00,1518600,573.00
2012-05-22,565.50,584.00,562.00,571.50,845200,571.50
2012-05-21,577.50,590.00,557.84,560.00,630200,560.00
2012-05-18,576.00,587.81,553.50,575.00,1038700,575.00
2012-05-17,585.00,622.00,581.33,590.00,1647600,590.00
2012-05-16,541.00,582.00,515.00,579.00,3347300,579.00
2012-05-14,529.00,531.97,498.10,504.57,894500,504.57
2012-05-11,532.00,536.00,521.00,536.00,742700,536.00
2012-05-10,519.50,540.00,513.50,532.50,986300,532.50
2012-05-09,550.50,554.00,499.30,518.00,1740700,518.00
2012-05-08,551.00,566.00,536.00,551.00,1020500,551.00
2012-05-04,565.00,567.82,546.00,548.00,740900,548.00
2012-05-03,564.00,587.00,563.00,569.00,967100,569.00
2012-05-02,580.00,580.00,560.50,567.00,1084500,567.00
2012-05-01,573.00,579.45,568.78,575.00,463300,575.00
2012-04-30,583.50,594.50,565.00,577.00,1139400,577.00
2012-04-27,585.00,586.95,570.50,578.00,663800,578.00
2012-04-26,578.50,592.00,577.12,586.00,982100,586.00
2012-04-25,573.50,580.80,571.33,580.00,876000,580.00
