Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,2.24,2.24,2.18,2.20,1021800,2.20
2012-08-02,2.20,2.24,2.18,2.20,3391700,2.20
2012-08-01,2.22,2.25,2.20,2.20,1583100,2.20
2012-07-31,2.22,2.25,2.20,2.22,742400,2.22
2012-07-27,2.22,2.25,2.15,2.21,1929500,2.21
2012-07-26,2.25,2.30,2.10,2.15,1112800,2.15
2012-07-25,2.25,2.28,2.12,2.12,3062000,2.12
2012-07-24,2.23,2.30,2.21,2.25,1710400,2.25
2012-07-23,2.23,2.31,2.23,2.25,814600,2.25
2012-07-20,2.21,2.30,2.21,2.23,3874000,2.23
2012-07-19,2.27,2.35,2.20,2.20,6645000,2.20
2012-07-18,2.35,2.36,2.23,2.25,7895400,2.25
2012-07-17,2.50,2.50,2.35,2.35,2680800,2.35
2012-07-16,2.35,2.45,2.34,2.35,1670700,2.35
2012-07-13,2.35,2.40,2.33,2.35,2689500,2.35
2012-07-12,2.35,2.35,2.35,2.35,1632400,2.35
2012-07-11,2.39,2.42,2.33,2.35,2305700,2.35
2012-07-10,2.50,2.50,2.35,2.38,2349400,2.38
2012-07-09,2.45,2.50,2.36,2.40,1828000,2.40
2012-07-06,2.36,2.44,2.36,2.37,2129900,2.37
2012-07-05,2.45,2.45,2.35,2.36,1190800,2.36
2012-07-04,2.35,2.44,2.35,2.37,2021800,2.37
2012-07-03,2.35,2.43,2.35,2.37,1110400,2.37
2012-07-02,2.35,2.48,2.35,2.45,2453800,2.45
2012-06-29,2.45,2.65,2.30,2.35,2796100,2.35
2012-06-28,2.35,2.40,2.25,2.25,1036800,2.25
2012-06-27,2.30,2.40,2.30,2.40,1599500,2.40
2012-06-26,2.39,2.40,2.29,2.29,1201500,2.29
2012-06-25,2.39,2.39,2.30,2.38,86000,2.38
2012-06-22,2.39,2.40,2.30,2.36,1213100,2.36
2012-06-21,2.44,2.44,2.30,2.39,672300,2.39
2012-06-20,2.30,2.40,2.26,2.26,3990500,2.26
2012-06-19,2.40,2.51,2.25,2.26,2923200,2.26
2012-06-18,2.50,2.96,2.30,2.33,6009200,2.33
2012-06-15,2.95,3.00,2.25,2.30,23624600,2.30
2012-06-14,2.26,2.94,2.26,2.60,3238100,2.60
2012-06-13,2.65,2.65,2.28,2.48,7700000,2.48
2012-06-12,2.75,2.80,2.38,2.38,3264400,2.38
2012-06-11,2.81,3.10,2.72,2.72,1949700,2.72
2012-06-08,3.00,3.00,2.80,2.80,4913300,2.80
2012-06-07,3.10,3.10,2.74,2.76,2171700,2.76
2012-06-06,3.09,3.09,2.78,2.78,2021800,2.78
2012-06-01,3.09,3.09,2.75,2.90,3707000,2.90
2012-05-31,2.75,2.94,2.70,2.70,2273900,2.70
2012-05-30,2.89,3.02,2.70,2.77,2239300,2.77
2012-05-29,2.90,3.07,2.84,2.84,2657300,2.84
2012-05-28,2.97,3.20,2.90,2.90,653400,2.90
2012-05-25,3.10,3.22,2.95,3.07,2548800,3.07
2012-05-24,3.15,3.32,3.10,3.18,1417300,3.18
2012-05-23,3.30,3.45,3.20,3.20,1182700,3.20
2012-05-22,3.30,3.48,3.30,3.45,3297100,3.45
2012-05-21,3.54,3.71,3.30,3.30,1060500,3.30
2012-05-18,3.80,3.80,3.50,3.50,679100,3.50
2012-05-17,3.60,3.86,3.60,3.60,691300,3.60
2012-05-16,3.86,3.90,3.71,3.75,3442700,3.75
2012-05-14,4.10,4.14,3.90,4.00,10096100,4.00
2012-05-11,4.00,4.28,3.89,4.08,4044600,4.08
2012-05-10,3.71,3.91,3.65,3.80,2130800,3.80
2012-05-09,3.86,3.98,3.78,3.94,663700,3.94
2012-05-08,4.00,4.00,3.85,3.86,813900,3.86
2012-05-04,4.04,4.04,3.86,3.93,3411100,3.93
2012-05-03,3.95,4.03,3.95,4.03,712500,4.03
2012-05-02,4.00,4.05,3.95,3.95,518500,3.95
2012-05-01,4.00,4.04,3.95,3.99,703200,3.99
2012-04-30,4.07,4.07,3.95,3.99,1023500,3.99
2012-04-27,4.06,4.07,3.96,4.00,2627500,4.00
2012-04-26,4.15,4.20,4.04,4.05,324100,4.05
2012-04-25,4.20,4.27,4.12,4.20,2006100,4.20
2012-04-24,4.10,4.28,4.09,4.20,2361700,4.20
2012-04-23,4.30,4.30,3.99,4.00,2956000,4.00
2012-04-20,4.40,4.40,4.20,4.31,1181300,4.31
2012-04-19,4.20,4.39,4.16,4.16,2647600,4.16
2012-04-18,5.05,5.08,4.00,4.30,12672500,4.30
2012-04-17,5.95,6.40,5.05,5.05,25940500,5.05
2012-04-16,4.00,6.10,4.00,5.80,45208000,5.80
2012-04-13,3.60,4.15,3.56,4.11,8878900,4.11
2012-04-12,3.05,3.60,2.84,3.52,12383400,3.52
2012-04-11,2.90,3.05,2.85,2.94,943600,2.94
2012-04-10,2.95,3.01,2.92,3.00,2790200,3.00
2012-04-05,3.00,3.01,2.90,2.94,1095700,2.94
2012-04-04,3.00,3.00,2.90,2.96,3610800,2.96
2012-04-03,3.00,3.10,3.00,3.07,579200,3.07
2012-04-02,3.10,3.25,3.01,3.07,1139000,3.07
2012-03-30,3.15,3.15,3.06,3.10,259000,3.10
2012-03-29,3.15,3.15,3.00,3.14,1147600,3.14
2012-03-28,3.15,3.15,3.01,3.14,976200,3.14
2012-03-27,3.10,3.30,3.00,3.10,3770200,3.10
2012-03-26,3.29,3.29,3.10,3.16,367900,3.16
2012-03-23,3.15,3.25,3.12,3.25,1418800,3.25
2012-03-22,3.30,3.30,3.19,3.25,3493800,3.25
2012-03-21,3.30,3.37,3.19,3.25,6306100,3.25
2012-03-20,3.20,3.36,3.18,3.30,16160900,3.30
2012-03-19,3.20,3.37,3.00,3.20,8825500,3.20
2012-03-16,3.10,3.16,2.95,3.16,841900,3.16
2012-03-15,3.05,3.10,2.92,3.05,441100,3.05
2012-03-14,2.95,3.06,2.95,3.01,1104600,3.01
2012-03-13,3.00,3.06,2.95,3.06,335500,3.06
2012-03-12,3.05,3.10,3.00,3.10,652300,3.10
2012-03-09,3.15,3.23,3.07,3.19,1161600,3.19
2012-03-08,3.15,3.20,3.05,3.06,2503800,3.06
2012-03-07,2.95,3.15,2.87,3.15,2708000,3.15
2012-03-06,3.10,3.10,2.60,2.87,5821800,2.87
2012-03-05,3.15,3.30,3.00,3.04,1890600,3.04
2012-03-02,3.30,3.30,3.09,3.25,591200,3.25
2012-03-01,3.20,3.25,2.97,3.20,1206400,3.20
2012-02-29,3.15,3.23,3.10,3.10,839400,3.10
2012-02-28,3.25,3.25,3.11,3.15,355300,3.15
2012-02-27,3.05,3.19,2.86,3.10,1197000,3.10
2012-02-24,3.00,3.05,2.95,2.95,1554200,2.95
2012-02-23,2.95,3.01,2.91,2.99,1072500,2.99
2012-02-22,2.95,3.01,2.92,2.95,315800,2.95
2012-02-21,3.10,3.10,2.96,2.96,469900,2.96
2012-02-20,3.00,3.10,2.90,3.03,3398200,3.03
2012-02-17,2.95,2.96,2.85,2.90,946800,2.90
2012-02-16,2.95,3.00,2.85,2.89,875700,2.89
2012-02-15,3.00,3.07,2.90,3.04,1074000,3.04
2012-02-14,3.25,3.25,2.90,2.98,3979000,2.98
2012-02-13,3.15,3.22,3.14,3.14,1201800,3.14
2012-02-10,3.28,3.29,3.15,3.22,3445800,3.22
2012-02-09,3.50,3.54,3.25,3.39,614900,3.39
2012-02-08,3.35,3.50,3.28,3.30,431400,3.30
2012-02-07,3.40,3.41,3.26,3.38,485200,3.38
2012-02-06,3.33,3.35,3.25,3.26,164800,3.26
2012-02-03,3.36,3.38,3.26,3.35,302700,3.35
2012-02-02,3.26,3.54,3.25,3.40,634000,3.40
2012-02-01,3.70,3.70,3.25,3.54,1826500,3.54
2012-01-31,3.10,3.43,3.10,3.25,11378000,3.25
2012-01-30,3.15,3.15,3.08,3.08,2027600,3.08
2012-01-27,3.20,3.20,3.08,3.15,614200,3.15
2012-01-26,3.15,3.25,3.12,3.17,2788500,3.17
2012-01-25,3.15,3.18,3.08,3.15,1026500,3.15
2012-01-24,3.08,3.14,3.08,3.13,1140600,3.13
