Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,127.00,127.00,125.62,125.62,40500,126.00
2012-08-01,126.35,126.00,126.00,126.00,8300,126.00
2012-07-31,125.75,126.75,124.70,126.75,50400,126.75
2012-07-30,124.00,125.50,122.75,125.50,163600,125.50
2012-07-27,123.50,124.00,122.00,122.00,50200,122.00
2012-07-26,121.51,123.38,121.51,123.00,33300,123.00
2012-07-25,123.25,123.88,122.00,122.00,56800,122.00
2012-07-24,122.50,124.17,122.00,122.00,16000,122.00
2012-07-23,124.00,125.49,122.00,122.00,93600,122.00
2012-07-20,125.50,126.67,124.75,124.75,35400,124.75
2012-07-19,125.00,126.45,125.00,125.50,17000,125.50
2012-07-18,125.65,125.65,124.10,125.00,162900,125.00
2012-07-17,125.75,126.00,124.71,126.00,66000,126.00
2012-07-16,124.25,126.15,124.00,124.00,47400,124.00
2012-07-13,124.08,125.52,124.50,124.50,24900,124.50
2012-07-12,124.40,126.00,123.25,123.25,55900,123.25
2012-07-11,126.00,126.00,125.00,125.00,199300,125.00
2012-07-10,125.50,125.71,124.00,125.25,21400,125.25
2012-07-09,126.25,126.25,124.18,125.50,53900,125.50
2012-07-06,124.25,125.91,124.00,124.00,36300,124.00
2012-07-05,125.31,125.31,124.25,124.25,27900,124.25
2012-07-04,125.50,125.50,123.75,123.75,16000,123.75
2012-07-03,124.25,124.75,123.25,123.25,42800,123.25
2012-07-02,122.25,123.19,122.00,122.00,43700,122.00
2012-06-29,121.75,122.69,121.75,122.50,55100,122.50
2012-06-28,120.50,121.19,120.50,121.00,54200,121.00
2012-06-27,119.75,120.85,119.75,120.75,92300,120.75
2012-06-26,119.42,119.60,118.43,119.59,23700,119.59
2012-06-25,120.00,120.00,118.25,118.25,558000,118.25
2012-06-22,119.75,119.82,118.50,118.50,19400,118.50
2012-06-21,121.00,121.00,119.25,119.25,44700,119.25
2012-06-20,120.75,120.75,120.00,120.75,248500,120.75
2012-06-19,120.50,120.65,119.25,120.25,44900,120.25
2012-06-18,119.50,121.00,119.00,120.00,13700,120.00
2012-06-15,119.25,119.25,117.00,117.00,54100,117.00
2012-06-14,117.25,119.50,117.25,119.25,48400,119.25
2012-06-13,117.94,117.94,117.26,117.26,2800,117.26
2012-06-12,117.50,119.07,117.25,117.25,30500,117.25
2012-06-11,118.25,119.65,117.25,117.25,29200,117.25
2012-06-08,119.00,119.00,116.75,119.00,2300,119.00
2012-06-07,119.00,119.75,118.18,119.00,35900,119.00
2012-06-06,118.75,120.00,116.60,120.00,10000,120.00
2012-06-01,117.00,118.50,116.50,117.25,196000,117.25
2012-05-31,115.75,117.25,114.25,116.00,156500,116.00
2012-05-30,116.00,116.00,114.25,115.00,226400,115.00
2012-05-29,116.75,117.25,116.75,116.75,86200,116.75
2012-05-28,115.75,116.04,115.50,116.00,73600,116.00
2012-05-25,114.50,115.75,114.50,115.25,53900,115.25
2012-05-24,116.00,117.00,115.75,117.00,49400,117.00
2012-05-23,114.75,115.65,113.75,113.75,63000,113.75
2012-05-22,116.00,116.73,115.80,116.45,43700,116.45
2012-05-21,115.75,116.50,115.03,116.50,46900,116.50
2012-05-14,118.50,118.50,117.75,118.50,73300,118.50
2012-05-11,118.50,120.75,118.25,120.75,110600,120.75
2012-05-10,119.00,120.75,118.75,120.75,10100,120.75
2012-05-09,118.50,119.39,117.50,117.50,54000,117.50
2012-05-08,118.75,121.85,118.75,119.50,207800,119.50
2012-05-04,121.00,122.60,119.00,119.00,107600,119.00
2012-05-03,122.50,122.99,121.00,121.00,65800,121.00
2012-05-02,121.75,122.99,120.75,120.75,54200,120.75
2012-05-01,122.25,122.74,120.70,122.50,30500,122.50
2012-04-30,121.00,122.87,120.72,122.25,67100,122.25
2012-04-27,121.50,122.00,121.01,121.50,108800,121.50
2012-04-26,122.00,122.00,119.50,119.50,32400,119.50
2012-04-25,121.25,122.00,120.25,122.00,238700,122.00
2012-04-24,119.75,120.39,118.50,118.50,78600,118.50
2012-04-23,120.25,121.69,119.50,119.50,58000,119.50
2012-04-20,122.00,122.00,120.62,121.00,110000,121.00
2012-04-19,122.00,124.00,122.00,124.00,63500,124.00
2012-04-18,123.00,123.75,122.11,122.11,10700,122.11
2012-04-17,122.75,123.40,121.75,122.50,151800,122.50
2012-04-16,123.50,124.00,122.76,124.00,100800,124.00
2012-04-13,122.50,123.75,122.50,123.75,22800,123.75
2012-04-12,121.50,123.50,121.50,123.50,36400,123.50
2012-04-11,121.50,121.74,121.10,121.50,35400,121.50
2012-04-10,121.75,122.49,121.75,122.25,19300,122.25
2012-04-05,122.75,123.75,121.75,123.50,78300,123.50
2012-04-04,124.00,124.00,122.00,122.00,47200,122.00
2012-04-03,124.00,125.50,122.60,125.50,205500,125.50
2012-04-02,124.00,124.00,123.00,123.00,13500,123.00
2012-03-30,123.00,124.00,121.85,124.00,69000,124.00
2012-03-29,123.00,123.00,121.75,121.75,53700,121.75
2012-03-28,123.25,124.82,122.75,122.75,27200,122.75
2012-03-27,125.75,125.75,123.00,123.00,43800,123.00
2012-03-26,124.00,124.35,122.75,122.75,85000,122.75
2012-03-23,123.50,124.00,122.88,124.00,92200,124.00
2012-03-22,123.78,124.00,124.00,124.00,68800,124.00
2012-03-21,122.00,123.64,122.00,122.00,32600,122.00
2012-03-20,123.00,123.50,120.75,120.75,90100,120.75
2012-03-19,124.83,124.85,123.61,124.01,41100,124.01
2012-03-16,123.75,126.25,123.75,124.00,72700,124.00
2012-03-15,124.75,126.50,124.00,126.50,42100,126.50
2012-03-14,124.75,126.69,124.75,126.00,96400,126.00
2012-03-13,126.00,126.03,125.82,126.00,19300,126.00
2012-03-12,124.50,124.50,124.15,124.50,33800,124.50
2012-03-09,125.50,125.50,123.90,125.50,33300,125.50
2012-03-08,124.50,125.41,123.25,123.25,57400,123.25
2012-03-07,123.00,123.25,123.00,123.00,6400,123.00
2012-03-06,122.25,122.63,120.25,121.00,96400,121.00
2012-03-05,122.81,123.19,122.60,123.19,68000,123.19
2012-03-02,123.47,124.12,122.31,122.31,19000,122.31
2012-03-01,123.75,124.00,121.56,123.75,18500,123.75
2012-02-29,122.25,123.61,122.25,122.75,2771700,122.75
2012-02-28,122.00,122.90,121.75,122.50,15900,122.50
2012-02-27,120.83,120.93,120.36,120.36,18500,120.36
2012-02-24,120.50,121.99,120.50,120.50,66900,120.50
2012-02-23,122.00,122.00,121.33,122.00,31400,122.00
2012-02-22,120.83,122.12,120.83,121.33,26500,121.33
2012-02-21,120.58,122.50,120.58,122.50,37200,122.50
2012-02-20,119.72,121.75,119.72,121.25,101200,121.25
2012-02-17,121.00,121.36,119.50,120.50,83900,120.50
2012-02-16,119.30,119.81,118.76,119.81,24000,119.81
2012-02-15,120.00,121.49,120.00,120.50,235700,120.50
2012-02-14,119.00,119.50,118.50,118.50,62300,118.50
2012-02-13,119.00,119.75,117.50,119.50,299400,119.50
2012-02-10,117.75,119.00,117.26,118.00,100400,118.00
2012-02-09,119.50,119.75,117.26,119.75,47400,119.75
2012-02-08,118.50,119.75,117.82,119.00,101800,119.00
2012-02-07,117.00,119.64,117.00,119.50,68600,119.50
2012-02-06,118.00,119.14,117.44,119.14,68100,119.14
2012-02-03,118.50,118.90,117.00,118.90,33400,118.90
2012-02-02,118.00,118.56,117.25,118.56,34200,118.56
2012-02-01,117.50,117.92,116.17,117.00,104800,117.00
2012-01-31,117.50,118.00,115.25,115.90,171300,115.90
2012-01-30,117.50,118.65,115.00,115.50,117000,115.50
2012-01-27,116.00,118.50,116.00,117.70,56700,117.70
2012-01-26,116.50,116.69,116.50,116.50,26700,116.50
2012-01-25,116.00,117.69,116.00,116.00,61900,116.00
2012-01-24,116.18,117.56,116.01,116.01,38900,116.01
2012-01-23,115.50,117.78,115.50,116.00,69600,116.00
2012-01-20,117.45,117.85,115.21,115.21,12000,115.21
2012-01-19,115.50,117.00,115.12,117.00,39300,117.00
2012-01-18,114.00,116.00,112.37,116.00,56100,116.00
2012-01-17,113.50,114.75,113.50,114.25,105900,114.25
2012-01-16,111.25,113.15,111.00,111.75,197000,111.75
2012-01-13,112.00,113.65,112.00,112.00,142600,112.00
2012-01-12,112.90,112.90,112.00,112.00,36400,112.00
2012-01-11,114.14,114.20,111.00,111.00,106400,111.00
2012-01-09,113.31,113.31,110.60,110.60,800,110.60
2012-01-06,110.00,112.49,110.00,112.00,19000,112.00
2012-01-05,110.00,111.75,109.75,109.75,25600,109.75
2012-01-04,111.15,112.35,111.15,112.35,18100,112.35
2012-01-03,110.72,113.65,110.72,113.65,2200,113.65
2011-12-30,112.00,112.25,110.50,111.50,34500,111.50
2011-12-29,110.10,110.50,110.10,110.50,24200,110.50
2011-12-28,108.75,110.47,108.75,110.47,1800,110.47
2011-12-23,111.65,111.65,111.65,111.65,100,111.65
2011-12-22,110.00,110.00,108.35,110.00,14500,110.00
2011-12-21,109.00,109.00,108.10,109.00,48200,109.00
2011-12-20,109.25,109.25,107.93,109.00,36800,109.00
2011-12-19,107.00,108.25,105.83,108.00,79700,108.00
2011-12-16,107.80,109.25,109.25,109.25,9600,109.25
2011-12-15,107.00,108.50,106.35,107.25,13100,107.25
2011-12-14,108.50,108.89,106.76,108.00,60300,108.00
2011-12-13,105.25,108.75,105.00,108.75,142300,108.75
2011-12-12,108.50,111.42,104.00,104.00,55400,104.00
2011-12-09,109.86,108.75,108.75,108.75,12800,108.75
2011-12-08,110.50,113.84,110.25,110.25,5300,110.25
2011-12-07,110.75,114.25,110.25,110.25,67500,110.25
2011-12-06,110.50,112.96,110.50,110.50,23300,110.50
2011-12-05,115.25,115.25,112.00,112.00,3900,112.00
2011-12-02,114.50,115.25,113.50,113.50,10800,113.50
2011-12-01,115.15,115.75,113.41,113.50,20200,113.50
2011-11-30,110.00,113.00,110.00,113.00,65800,113.00
2011-11-28,111.50,111.50,110.50,111.50,72300,111.50
2011-11-25,110.75,110.75,109.25,109.25,16700,109.25
2011-11-24,110.25,111.49,110.25,110.25,33100,110.25
2011-11-23,110.50,111.49,110.00,110.00,65300,110.00
2011-11-22,111.50,112.50,111.30,111.30,29900,111.30
2011-11-21,110.50,111.40,110.50,110.50,105200,110.50
2011-11-18,111.00,112.00,111.00,111.25,55200,111.25
2011-11-17,113.65,113.65,112.00,113.00,5100,113.00
2011-11-16,111.84,112.34,111.84,112.34,19900,112.34
2011-11-15,113.40,113.40,111.61,112.12,32500,112.12
2011-11-14,111.86,112.61,111.50,112.61,8500,112.61
2011-11-11,111.46,112.50,109.50,112.00,34200,112.00
2011-11-10,108.25,112.75,108.25,112.50,46400,112.50
2011-11-09,111.25,113.75,111.25,111.28,7600,111.28
2011-11-08,113.00,113.00,113.00,113.00,5400,113.00
2011-11-07,111.75,112.00,109.75,112.00,26100,112.00
2011-11-04,112.25,113.25,111.76,113.25,24000,113.25
2011-11-03,112.00,112.00,110.00,111.00,25500,111.00
2011-11-02,112.25,115.00,111.76,115.00,28700,115.00
