Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,711.00,711.00,680.00,680.00,20800,670.50
2012-08-02,711.00,711.00,670.50,670.50,32100,670.50
2012-08-01,696.50,709.38,696.50,705.00,2600,705.00
2012-07-31,707.50,725.00,698.00,698.50,23400,698.50
2012-07-27,691.00,728.00,691.00,728.00,19100,728.00
2012-07-26,670.50,700.00,670.50,700.00,29600,700.00
2012-07-25,712.00,712.00,699.50,701.00,18300,701.00
2012-07-24,706.00,717.00,705.00,705.00,12800,705.00
2012-07-23,708.00,718.50,706.00,708.00,34000,708.00
2012-07-20,715.00,715.00,710.00,711.00,11500,711.00
2012-07-19,718.50,720.50,710.00,710.00,59200,710.00
2012-07-18,709.50,720.00,705.50,720.00,24300,720.00
2012-07-17,713.50,715.00,705.50,709.50,12200,709.50
2012-07-16,714.00,715.00,707.50,713.50,19100,713.50
2012-07-13,719.00,720.00,709.50,710.00,31500,710.00
2012-07-12,711.00,719.50,708.00,719.50,21100,719.50
2012-07-11,708.00,720.00,706.17,716.00,23500,716.00
2012-07-10,707.00,722.50,705.00,711.50,27300,711.50
2012-07-09,705.00,710.00,703.50,710.00,40400,710.00
2012-07-06,707.50,715.00,705.00,705.00,11000,705.00
2012-07-05,705.50,712.00,705.50,712.00,10300,712.00
2012-07-04,711.00,715.00,707.50,715.00,27300,715.00
2012-07-03,704.00,718.00,701.78,718.00,40600,718.00
2012-07-02,695.00,712.00,695.00,708.50,21400,708.50
2012-06-29,704.90,709.50,702.00,704.00,12000,704.00
2012-06-28,700.00,705.00,693.00,704.00,87900,704.00
2012-06-27,693.00,702.00,690.00,697.00,32500,697.00
2012-06-26,700.00,709.00,700.00,707.00,74900,707.00
2012-06-25,711.50,714.00,700.00,700.00,56300,700.00
2012-06-22,716.00,716.00,707.50,707.50,83500,707.50
2012-06-21,698.00,713.00,690.00,713.00,62100,713.00
2012-06-20,737.50,737.50,701.00,722.00,108100,722.00
2012-06-19,706.50,739.50,706.50,739.50,84700,739.50
2012-06-18,714.50,714.50,689.88,713.00,93600,713.00
2012-06-15,734.50,763.50,698.08,698.50,549600,698.50
2012-06-14,710.00,744.50,705.00,740.00,102300,740.00
2012-06-13,700.50,720.00,700.50,713.00,27100,713.00
2012-06-12,725.00,730.00,711.00,715.00,31000,715.00
2012-06-11,710.50,725.00,705.91,725.00,91000,725.00
2012-06-08,701.00,726.00,691.50,707.00,110000,707.00
2012-06-07,697.00,703.50,681.00,703.50,110400,703.50
2012-06-06,640.00,701.00,640.00,698.00,94400,698.00
2012-06-01,603.00,643.00,603.00,642.00,53400,642.00
2012-05-31,607.00,620.00,607.00,614.00,97600,614.00
2012-05-30,612.50,620.00,603.00,620.00,63000,620.00
2012-05-29,600.50,618.50,595.12,617.00,121500,617.00
2012-05-28,610.00,630.50,605.50,606.00,67600,606.00
2012-05-25,612.00,625.00,612.00,620.00,71000,620.00
2012-05-24,614.00,635.00,614.00,615.00,150100,615.00
2012-05-23,609.00,620.95,602.50,605.00,65600,605.00
2012-05-22,634.50,641.50,608.00,611.50,76300,611.50
2012-05-21,627.50,642.50,623.00,627.32,136700,627.32
2012-05-18,625.00,641.50,625.00,629.50,55800,629.50
2012-05-17,634.00,637.00,628.00,632.50,35900,632.50
2012-05-16,636.50,636.50,625.50,630.00,37800,630.00
2012-05-14,640.00,640.00,629.50,635.00,73300,635.00
2012-05-11,641.00,652.00,630.50,638.00,78700,638.00
2012-05-10,635.50,648.00,635.50,648.00,114400,648.00
2012-05-09,645.50,645.50,624.00,635.00,78600,635.00
2012-05-08,654.00,654.00,624.00,640.00,80400,640.00
2012-05-04,650.00,650.00,638.00,647.00,63100,647.00
2012-05-03,650.00,650.00,642.50,648.00,66100,648.00
2012-05-02,665.00,665.00,641.00,646.50,84700,646.50
2012-05-01,635.00,663.00,635.00,663.00,14700,663.00
2012-04-30,654.50,661.40,636.50,639.50,18900,639.50
2012-04-27,655.00,669.50,642.00,651.50,37600,651.50
2012-04-26,641.00,652.00,633.50,652.00,110400,652.00
2012-04-25,645.00,645.00,630.00,645.00,29800,645.00
2012-04-24,635.00,640.00,623.00,636.00,31000,636.00
2012-04-23,637.50,646.50,623.00,628.50,68900,628.50
2012-04-20,647.50,652.84,629.50,645.00,14100,645.00
2012-04-19,655.00,657.00,644.50,654.00,39500,654.00
2012-04-18,645.00,655.00,640.00,650.00,108700,650.00
2012-04-17,640.50,650.00,640.00,650.00,49100,650.00
2012-04-16,643.50,650.50,640.00,647.00,33300,647.00
2012-04-13,653.00,653.00,641.00,641.00,19200,641.00
2012-04-12,640.50,664.00,640.00,649.00,30600,649.00
2012-04-11,643.00,650.00,631.50,643.50,41000,643.50
2012-04-10,660.00,660.00,637.00,647.00,140700,647.00
2012-04-05,670.00,670.00,655.00,655.00,60300,655.00
2012-04-04,638.00,677.00,636.00,670.00,113700,670.00
2012-04-03,637.50,637.62,634.50,634.50,89700,634.50
2012-04-02,619.50,639.50,617.66,639.50,59900,639.50
2012-03-30,600.50,622.00,594.06,622.00,50200,622.00
2012-03-29,617.00,619.00,603.00,608.50,12900,608.50
2012-03-28,606.00,619.00,602.50,617.50,19800,617.50
2012-03-27,603.00,613.50,595.00,607.50,9200,607.50
2012-03-26,621.50,621.50,596.50,596.50,9100,596.50
2012-03-23,612.00,620.00,599.50,604.50,20400,604.50
2012-03-22,616.50,616.50,602.00,611.50,41000,611.50
2012-03-21,610.00,617.50,610.00,617.50,33700,617.50
2012-03-20,634.50,634.55,598.00,610.00,120700,610.00
2012-03-19,610.00,638.00,608.00,638.00,41500,638.00
2012-03-16,597.00,610.00,595.50,610.00,117300,610.00
2012-03-15,598.00,604.40,593.50,599.50,92900,599.50
2012-03-14,605.00,613.10,598.00,600.00,68600,600.00
2012-03-13,583.00,606.50,580.50,606.50,173400,606.50
2012-03-12,574.50,581.50,574.00,577.50,4000,577.50
2012-03-09,575.00,579.75,570.50,573.50,197600,573.50
2012-03-08,580.00,580.00,575.00,575.50,23000,575.50
2012-03-07,580.00,580.00,573.98,580.00,2700,580.00
2012-03-06,575.00,579.00,572.18,574.50,21300,574.50
2012-03-05,575.50,579.50,574.87,575.00,85500,575.00
2012-03-02,575.50,582.00,575.50,577.00,119900,577.00
2012-03-01,580.00,582.00,571.05,581.00,37500,581.00
2012-02-29,580.00,582.00,575.00,580.00,46700,580.00
2012-02-28,579.50,580.00,575.00,580.00,28200,580.00
2012-02-27,584.50,584.50,575.00,575.00,22500,575.00
2012-02-24,581.50,593.00,570.50,593.00,73000,593.00
2012-02-23,582.50,585.00,574.00,582.00,26600,582.00
2012-02-22,584.50,585.50,579.00,583.00,74400,583.00
2012-02-21,578.50,584.00,571.65,579.50,70100,579.50
2012-02-20,575.50,579.00,569.00,573.00,170200,573.00
2012-02-17,568.00,581.00,568.00,577.50,31900,577.50
2012-02-16,575.00,585.35,565.00,565.00,19000,565.00
2012-02-15,578.50,582.00,575.00,576.00,79300,576.00
2012-02-14,578.50,578.50,572.65,575.50,61600,575.50
2012-02-13,573.00,578.00,563.00,575.50,74900,575.50
2012-02-10,560.50,570.00,560.50,565.00,410400,565.00
2012-02-09,578.50,578.50,555.50,555.50,177500,555.50
2012-02-08,569.50,571.00,555.60,565.01,651200,565.01
2012-02-07,567.50,574.00,564.50,567.50,270400,567.50
2012-02-06,568.50,576.00,565.00,568.39,41700,568.39
2012-02-03,580.00,580.00,570.34,575.00,38700,575.00
2012-02-02,570.00,591.00,564.00,574.20,173300,574.20
2012-02-01,554.00,570.50,550.80,570.50,44100,570.50
2012-01-31,550.00,560.00,550.00,553.00,18800,553.00
2012-01-30,550.00,553.00,540.20,552.00,38000,552.00
2012-01-27,569.50,570.00,542.50,542.50,61000,542.50
2012-01-26,563.50,570.00,551.50,560.00,251700,560.00
2012-01-25,568.00,585.00,561.00,585.00,49600,585.00
2012-01-24,565.50,585.00,560.50,565.00,39400,565.00
2012-01-23,587.00,587.00,571.70,583.50,21000,583.50
2012-01-20,584.50,586.50,568.00,571.00,7900,571.00
2012-01-19,560.00,585.00,551.46,585.00,66300,585.00
2012-01-18,560.00,560.00,550.00,552.00,29800,552.00
2012-01-17,557.00,557.00,550.00,550.00,4300,550.00
2012-01-16,545.00,550.96,545.00,545.00,11400,545.00
2012-01-13,550.50,557.50,545.10,550.00,23400,550.00
2012-01-12,547.00,547.00,527.65,540.00,515300,540.00
2012-01-11,565.50,570.00,525.00,550.00,51000,550.00
2012-01-10,560.00,572.00,556.50,565.00,12900,565.00
2012-01-09,554.00,572.85,550.00,550.00,23400,550.00
2012-01-06,565.00,571.50,560.00,570.00,15100,570.00
2012-01-05,555.00,565.00,550.00,565.00,15900,565.00
2012-01-04,555.00,560.75,555.00,555.00,9300,555.00
2012-01-03,550.00,560.00,534.60,550.00,8000,550.00
2011-12-30,550.00,552.00,545.00,552.00,9600,552.00
2011-12-29,545.00,550.00,540.00,550.00,28300,550.00
2011-12-28,555.50,555.50,538.29,538.50,3500,538.50
2011-12-23,550.00,557.75,541.00,550.00,38600,550.00
2011-12-22,530.50,546.25,525.00,540.00,19200,540.00
2011-12-21,538.00,546.00,532.50,535.00,10300,535.00
2011-12-20,525.00,542.50,520.60,530.00,15800,530.00
2011-12-19,525.00,530.00,510.88,530.00,4500,530.00
2011-12-16,511.50,525.00,511.50,520.00,10900,520.00
2011-12-15,530.00,530.00,514.50,520.00,6800,520.00
2011-12-14,510.00,530.00,510.00,525.00,16600,525.00
2011-12-13,510.50,520.00,510.00,510.00,1500,510.00
2011-12-12,510.00,520.00,505.25,510.00,8200,510.00
2011-12-09,515.00,515.00,504.59,510.00,14300,510.00
2011-12-08,496.25,514.23,496.25,505.00,5600,505.00
2011-12-07,505.00,510.00,505.00,510.00,8600,510.00
2011-12-06,510.00,510.00,500.00,500.00,2200,500.00
2011-12-05,500.00,512.00,500.00,512.00,18700,512.00
2011-12-02,490.00,508.00,490.00,502.00,45400,502.00
2011-12-01,487.00,509.50,487.00,492.00,30900,492.00
2011-11-30,506.98,507.26,495.00,495.00,3100,495.00
2011-11-29,504.50,505.00,495.00,500.00,6400,500.00
2011-11-28,500.04,504.50,491.00,499.00,19400,499.00
2011-11-25,485.00,497.00,485.00,485.00,13400,485.00
2011-11-24,479.25,492.00,475.00,475.00,141900,475.00
2011-11-23,485.00,491.50,479.00,479.00,1500,479.00
2011-11-22,480.00,489.00,480.00,480.00,5900,480.00
2011-11-21,485.25,485.25,480.00,480.00,2800,480.00
2011-11-18,486.00,495.00,479.00,495.00,1200,495.00
2011-11-17,479.25,490.00,479.00,490.00,2900,490.00
2011-11-16,484.00,484.50,480.00,480.00,9300,480.00
2011-11-15,492.00,492.61,484.00,484.00,1300,484.00
2011-11-14,480.00,492.15,480.00,484.00,600,484.00
2011-11-11,483.25,493.51,480.25,483.00,2800,483.00
2011-11-10,486.00,489.60,477.04,485.00,21100,485.00
2011-11-09,500.00,500.00,486.00,486.00,22100,486.00
