Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,125.00,125.00,123.36,123.36,30900,124.20
2012-08-01,124.50,125.00,124.20,124.20,54000,124.20
2012-07-31,121.75,124.50,121.15,123.65,227400,123.65
2012-07-30,121.11,121.11,120.36,120.50,27700,120.50
2012-07-27,121.30,121.30,120.00,120.11,72800,120.11
2012-07-26,121.50,121.50,120.30,120.30,228400,120.30
2012-07-25,122.00,122.00,120.00,120.00,78100,120.00
2012-07-24,121.25,122.00,121.24,122.00,48400,122.00
2012-07-23,119.75,121.00,119.74,120.49,41800,120.49
2012-07-20,120.50,121.99,119.75,119.75,141500,119.75
2012-07-19,120.95,121.00,120.90,120.90,58300,120.90
2012-07-18,120.00,120.81,118.75,120.00,84100,120.00
2012-07-17,120.50,120.50,116.75,119.75,226700,119.75
2012-07-16,117.00,120.50,117.00,118.12,250900,118.12
2012-07-13,117.00,117.68,116.50,117.68,87300,117.68
2012-07-12,117.25,118.00,115.50,115.75,146600,115.75
2012-07-11,118.72,118.75,118.00,118.00,53300,118.00
2012-07-10,119.00,120.50,118.50,118.50,141300,118.50
2012-07-09,119.00,120.00,118.49,118.50,39200,118.50
2012-07-06,120.74,120.75,118.50,118.50,37700,118.50
2012-07-05,118.31,120.47,118.50,118.50,58500,118.50
2012-07-04,117.61,119.99,117.50,117.50,58000,117.50
2012-07-03,115.75,119.00,115.50,117.50,151700,117.50
2012-07-02,114.00,115.75,114.00,114.50,105300,114.50
2012-06-29,113.10,114.00,113.10,113.25,26800,113.25
2012-06-28,113.00,113.50,112.28,113.50,34900,113.50
2012-06-27,111.00,112.75,110.50,111.50,179300,111.50
2012-06-26,111.00,111.00,110.35,110.50,26200,110.50
2012-06-25,112.00,112.40,110.38,110.38,81300,110.38
2012-06-22,111.50,111.99,111.50,111.95,42200,111.95
2012-06-21,112.00,112.40,111.50,111.50,47000,111.50
2012-06-20,112.25,112.75,112.25,112.68,42500,112.68
2012-06-19,112.50,114.99,112.00,113.40,104600,113.40
2012-06-18,113.75,114.00,112.75,113.25,63100,113.25
2012-06-15,114.00,114.75,112.50,112.75,154200,112.75
2012-06-14,114.78,114.78,113.00,113.00,59100,113.00
2012-06-13,113.25,115.00,112.50,115.00,26600,115.00
2012-06-12,113.25,115.00,113.25,114.50,109900,114.50
2012-06-11,115.00,115.50,113.50,115.50,34100,115.50
2012-06-08,114.50,114.50,113.00,114.50,25600,114.50
2012-06-07,114.50,114.50,113.10,114.50,63100,114.50
2012-06-06,113.50,114.00,112.80,114.00,15200,114.00
2012-06-01,113.55,113.99,112.93,113.50,21600,113.50
2012-05-31,113.50,113.50,112.75,113.25,58700,113.25
2012-05-30,113.13,113.86,113.03,113.03,46000,113.03
2012-05-29,113.50,114.00,112.50,114.00,156500,114.00
2012-05-28,111.00,114.00,110.75,113.75,186500,113.75
2012-05-25,111.00,111.00,110.25,111.00,37800,111.00
2012-05-24,111.00,111.50,110.30,111.50,47200,111.50
2012-05-23,110.25,110.25,109.00,109.00,33400,109.00
2012-05-22,110.50,112.00,109.83,109.88,64500,109.88
2012-05-21,109.50,110.25,109.50,110.11,99400,110.11
2012-05-14,110.00,111.69,109.25,109.50,108900,109.50
2012-05-11,112.25,112.25,110.50,110.50,108400,110.50
2012-05-10,114.25,114.25,112.50,113.75,266400,113.75
2012-05-09,112.25,114.50,112.25,114.25,106300,114.25
