Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,15.25,15.75,15.00,15.75,20500,15.25
2012-08-02,15.25,15.75,15.00,15.25,97900,15.25
2012-08-01,15.25,15.75,15.03,15.75,79400,15.75
2012-07-31,15.50,15.50,15.06,15.25,390000,15.25
2012-07-27,15.00,15.25,15.00,15.25,226000,15.25
2012-07-26,14.75,15.25,14.75,15.25,704800,15.25
2012-07-25,15.50,15.50,14.75,15.00,407100,15.00
2012-07-24,15.25,15.50,15.00,15.00,336200,15.00
2012-07-23,15.75,15.94,15.00,15.25,1464200,15.25
2012-07-20,15.25,16.20,15.25,16.00,1816200,16.00
2012-07-19,15.00,15.75,15.00,15.50,767500,15.50
2012-07-18,14.50,15.00,14.50,14.50,1311200,14.50
2012-07-17,15.00,15.10,14.50,14.50,438100,14.50
2012-07-16,14.50,15.00,14.21,14.75,1144800,14.75
2012-07-13,14.75,15.00,14.00,14.75,671000,14.75
2012-07-12,14.75,14.75,14.75,14.75,258600,14.75
2012-07-11,14.25,14.75,14.25,14.75,200700,14.75
2012-07-10,14.25,14.75,13.79,14.75,3153400,14.75
2012-07-09,13.75,14.25,13.75,14.25,255200,14.25
2012-07-06,14.00,14.25,14.00,14.00,149800,14.00
2012-07-05,14.00,14.25,13.75,14.25,376100,14.25
2012-07-04,14.00,14.25,14.00,14.25,215500,14.25
2012-07-03,14.50,14.75,14.00,14.25,1082900,14.25
2012-07-02,14.50,14.88,14.00,14.25,1418400,14.25
2012-06-29,14.00,14.75,14.00,14.75,3457000,14.75
2012-06-28,14.25,14.25,14.00,14.25,1122600,14.25
2012-06-27,14.00,14.32,13.80,14.25,2430900,14.25
2012-06-26,14.00,14.32,14.00,14.00,106600,14.00
2012-06-25,14.00,14.25,14.00,14.00,206300,14.00
2012-06-22,14.25,14.50,14.00,14.00,3855500,14.00
2012-06-21,14.25,14.51,14.00,14.50,1027800,14.50
2012-06-20,14.00,14.50,13.36,14.50,735800,14.50
2012-06-19,13.50,13.76,13.25,13.75,3677200,13.75
2012-06-18,14.00,14.00,13.25,13.50,872000,13.50
2012-06-15,13.75,14.00,13.25,13.75,2057700,13.75
2012-06-14,13.75,14.69,13.75,13.75,349400,13.75
2012-06-13,14.00,14.50,13.75,13.75,477700,13.75
2012-06-12,14.00,14.50,14.00,14.50,571100,14.50
2012-06-11,14.00,14.42,14.00,14.25,174900,14.25
2012-06-08,14.00,14.25,14.00,14.00,45100,14.00
2012-06-07,14.75,14.75,14.00,14.50,1165200,14.50
2012-06-06,13.75,14.75,13.50,14.75,2050600,14.75
2012-06-01,14.03,14.25,13.25,13.50,993100,13.50
2012-05-31,14.00,14.50,13.50,14.50,1892800,14.50
2012-05-30,14.00,14.00,13.50,14.00,365100,14.00
2012-05-29,13.75,14.00,13.50,13.50,352100,13.50
2012-05-28,14.50,14.60,13.50,13.50,831200,13.50
2012-05-25,14.25,14.25,13.75,14.00,231200,14.00
2012-05-24,13.75,14.20,13.75,13.75,336100,13.75
2012-05-23,13.75,14.50,13.75,13.75,723900,13.75
2012-05-22,14.75,14.75,13.75,13.75,358400,13.75
2012-05-21,14.50,14.75,14.00,14.75,1104600,14.75
2012-05-18,14.25,14.75,14.00,14.00,2283000,14.00
2012-05-17,14.50,14.75,14.25,14.50,1814600,14.50
2012-05-16,14.25,14.50,14.25,14.25,4278900,14.25
2012-05-14,14.75,15.00,14.50,14.75,3338400,14.75
2012-05-11,14.50,15.00,14.25,15.00,2637200,15.00
2012-05-10,14.75,14.94,14.25,14.50,2703700,14.50
2012-05-09,14.75,15.00,14.25,14.25,804500,14.25
2012-05-08,14.75,15.00,14.75,14.75,1909900,14.75
2012-05-04,14.75,14.91,14.50,14.75,2358600,14.75
2012-05-03,14.80,15.25,14.50,15.00,2235000,15.00
2012-05-02,15.50,15.50,14.66,15.00,2237600,15.00
2012-05-01,14.50,15.50,14.50,15.25,2034500,15.25
2012-04-30,15.00,15.25,14.50,14.75,1627100,14.75
2012-04-27,13.50,15.05,13.50,14.75,4835500,14.75
2012-04-26,13.70,14.00,13.50,14.00,869500,14.00
2012-04-25,13.50,13.75,13.30,13.75,1087700,13.75
