Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,120.20,120.20,114.10,114.97,594200,114.50
2012-08-02,120.20,120.20,113.97,114.50,614700,114.50
2012-08-01,120.50,121.58,116.84,118.10,839200,118.10
2012-07-31,130.00,130.40,119.36,120.00,525100,120.00
2012-07-27,127.60,131.60,124.00,131.60,301500,131.60
2012-07-26,121.20,125.80,120.30,124.60,256800,124.60
2012-07-25,120.00,123.11,119.80,121.50,175000,121.50
2012-07-24,118.20,122.62,118.20,120.20,192100,120.20
2012-07-23,120.00,122.80,118.50,119.20,608700,119.20
2012-07-20,125.70,129.80,124.60,124.60,166900,124.60
2012-07-19,123.90,127.50,123.00,127.10,539700,127.10
2012-07-18,126.00,126.00,123.20,124.50,218300,124.50
2012-07-17,127.40,130.60,122.90,123.60,373000,123.60
2012-07-16,123.70,129.96,123.70,128.20,389500,128.20
2012-07-13,123.60,127.00,122.00,125.20,365300,125.20
2012-07-12,124.00,126.21,122.00,123.50,497000,123.50
2012-07-11,126.40,126.40,123.00,124.50,393500,124.50
2012-07-10,123.50,127.80,123.00,124.40,287400,124.40
2012-07-09,128.00,128.00,124.00,124.20,312800,124.20
2012-07-06,128.50,129.20,125.00,126.60,501600,126.60
2012-07-05,126.40,128.90,124.60,128.00,709100,128.00
2012-07-04,122.60,126.70,121.92,124.00,352700,124.00
2012-07-03,119.80,122.50,119.70,122.00,450500,122.00
2012-07-02,120.20,123.35,118.60,121.20,430700,121.20
2012-06-29,123.50,126.60,119.10,120.70,480400,120.70
2012-06-28,119.40,122.30,118.00,121.30,581800,121.30
2012-06-27,119.10,122.80,119.00,120.40,365000,120.40
2012-06-26,118.30,126.26,118.30,119.30,692300,119.30
2012-06-25,123.10,126.80,118.50,118.50,656000,118.50
2012-06-22,125.70,126.60,122.80,123.00,261400,123.00
2012-06-21,125.00,129.80,121.70,127.30,589500,127.30
2012-06-20,124.90,127.00,124.32,126.90,1276100,126.90
2012-06-19,123.60,127.70,122.10,125.40,586800,125.40
2012-06-18,126.90,126.90,120.18,124.10,504600,124.10
2012-06-15,121.30,126.00,119.70,123.50,1295300,123.50
2012-06-14,123.20,126.00,115.93,121.80,864000,121.80
2012-06-13,127.40,129.90,122.10,123.20,444400,123.20
2012-06-12,125.70,131.00,125.10,127.40,355900,127.40
2012-06-11,136.00,137.00,127.10,127.10,280900,127.10
2012-06-08,137.00,137.00,132.60,133.10,356900,133.10
2012-06-07,136.90,139.20,132.23,136.50,423600,136.50
2012-06-06,127.70,135.80,127.70,135.60,469900,135.60
2012-06-01,132.40,133.24,124.60,127.40,464200,127.40
2012-05-31,130.20,136.80,130.10,132.70,1254300,132.70
2012-05-30,135.60,135.60,128.20,130.40,536200,130.40
2012-05-29,124.60,131.30,124.60,130.00,775800,130.00
2012-05-28,130.30,132.34,124.00,127.10,445200,127.10
