Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,73.00,73.12,69.25,70.19,956100,69.75
2012-08-02,73.00,73.18,69.25,69.75,1015300,69.75
2012-08-01,72.00,76.50,70.75,71.50,2128700,71.50
2012-07-31,71.25,72.00,69.75,72.00,1362500,72.00
2012-07-27,66.25,68.93,65.75,67.75,2965500,67.75
2012-07-26,66.25,70.50,64.86,67.75,2262900,67.75
2012-07-25,61.00,66.25,60.75,66.00,2666300,66.00
2012-07-24,69.75,71.75,61.65,62.00,4288900,62.00
2012-07-23,78.50,78.50,69.50,69.75,2136600,69.75
2012-07-20,81.00,83.58,77.50,77.50,1282500,77.50
2012-07-19,86.75,86.75,80.00,80.25,1106300,80.25
2012-07-18,82.50,86.75,82.50,84.00,365700,84.00
2012-07-17,86.50,87.00,85.06,85.25,164500,85.25
2012-07-16,86.50,88.25,85.00,86.00,912900,86.00
2012-07-13,86.00,87.75,86.00,86.25,514500,86.25
2012-07-12,86.00,86.57,85.00,86.25,807000,86.25
2012-07-11,89.00,89.25,85.75,86.25,944000,86.25
2012-07-10,85.25,88.75,85.00,88.25,1075800,88.25
2012-07-09,88.00,88.25,84.88,85.25,657200,85.25
2012-07-06,89.50,92.28,87.50,88.60,979700,88.60
2012-07-05,88.00,89.00,86.75,88.25,885600,88.25
2012-07-04,88.50,89.00,87.25,88.50,636900,88.50
2012-07-03,88.50,88.90,86.50,88.00,757500,88.00
2012-07-02,86.75,89.50,84.50,87.75,1465600,87.75
2012-06-29,86.50,86.50,85.12,85.50,770000,85.50
2012-06-28,88.00,88.00,84.50,85.75,614800,85.75
2012-06-27,88.00,88.75,85.00,87.25,618900,87.25
2012-06-26,90.75,93.00,86.75,87.00,569000,87.00
2012-06-25,96.00,97.02,89.50,90.00,1756200,90.00
2012-06-22,92.50,98.50,92.25,97.00,1067000,97.00
2012-06-21,95.25,96.97,93.08,94.00,945100,94.00
2012-06-20,87.50,97.25,87.28,97.25,1583600,97.25
2012-06-19,88.50,90.00,86.25,88.75,1054000,88.75
2012-06-18,90.25,91.75,83.76,89.75,1601300,89.75
2012-06-15,81.00,92.25,81.00,87.50,4768900,87.50
2012-06-14,86.25,86.25,80.00,80.00,1372100,80.00
2012-06-13,90.50,93.50,83.75,85.25,1853800,85.25
2012-06-12,87.00,93.00,75.75,91.00,5199400,91.00
2012-06-11,89.00,92.26,86.00,86.25,1815800,86.25
2012-06-08,96.75,96.75,85.00,85.50,3207200,85.50
2012-06-07,101.50,101.50,95.32,96.25,1474800,96.25
2012-06-06,102.25,105.25,97.03,101.25,1766900,101.25
2012-06-01,110.50,110.75,101.32,102.25,1777100,102.25
2012-05-31,113.25,115.80,107.40,109.00,1450700,109.00
2012-05-30,118.00,120.00,113.75,114.00,827400,114.00
2012-05-29,115.00,119.75,111.79,119.50,983900,119.50
2012-05-28,120.00,120.31,113.50,113.75,719000,113.75
2012-05-25,121.00,123.00,115.22,116.00,1051400,116.00
2012-05-24,123.25,128.50,118.50,120.25,1074900,120.25
2012-05-23,128.50,129.25,120.75,123.00,1345800,123.00
2012-05-22,114.00,130.50,112.95,130.25,1781000,130.25
2012-05-21,109.50,114.67,103.80,112.75,3546900,112.75
2012-05-18,119.00,119.20,108.00,108.50,2909800,108.50
2012-05-17,127.50,127.50,117.56,120.25,1739500,120.25
2012-05-16,128.25,130.00,110.50,126.50,3995100,126.50
2012-05-14,132.00,135.00,128.00,134.25,2262400,134.25
