Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1296.00,1307.00,1283.00,1287.00,63800,1281.00
2012-08-02,1296.00,1307.00,1281.00,1281.00,108500,1281.00
2012-08-01,1286.00,1301.00,1283.00,1294.00,115400,1294.00
2012-07-31,1300.00,1308.00,1286.00,1286.00,167300,1286.00
2012-07-27,1310.00,1314.00,1296.00,1304.00,363000,1304.00
2012-07-26,1285.00,1301.00,1275.00,1300.00,501200,1300.00
2012-07-25,1270.00,1309.00,1270.00,1286.00,428300,1286.00
2012-07-24,1192.00,1318.00,1192.00,1297.00,1194400,1297.00
2012-07-23,1211.00,1217.12,1173.00,1205.85,149900,1205.85
2012-07-20,1251.00,1251.00,1212.00,1220.00,170600,1220.00
2012-07-19,1204.00,1234.12,1200.00,1234.00,172300,1234.00
2012-07-18,1203.00,1213.00,1193.00,1209.00,156100,1209.00
2012-07-17,1217.00,1217.00,1195.00,1205.00,158400,1205.00
2012-07-16,1214.00,1239.00,1206.00,1213.00,184800,1213.00
2012-07-13,1197.00,1220.00,1197.00,1218.00,188900,1218.00
2012-07-12,1199.00,1200.00,1193.00,1198.00,266500,1198.00
2012-07-11,1179.00,1200.00,1163.00,1199.00,412700,1199.00
2012-07-10,1186.00,1200.00,1179.00,1183.00,352300,1183.00
2012-07-09,1204.00,1209.00,1179.00,1187.50,443000,1187.50
2012-07-06,1229.00,1229.00,1189.00,1199.00,209500,1199.00
2012-07-05,1235.00,1235.00,1200.00,1203.00,243000,1203.00
2012-07-04,1236.00,1238.25,1227.00,1234.00,42800,1234.00
2012-07-03,1234.00,1246.00,1230.00,1236.00,151200,1236.00
2012-07-02,1219.00,1237.00,1212.00,1234.00,138400,1234.00
2012-06-29,1214.00,1225.00,1209.00,1215.00,119800,1215.00
2012-06-28,1205.00,1212.00,1192.00,1198.00,110700,1198.00
2012-06-27,1195.00,1203.00,1192.00,1201.00,131700,1201.00
2012-06-26,1195.00,1203.00,1189.00,1195.00,118500,1195.00
2012-06-25,1189.00,1202.00,1177.00,1191.00,210100,1191.00
2012-06-22,1188.00,1200.70,1180.00,1190.00,208500,1190.00
2012-06-21,1195.00,1198.00,1186.00,1198.00,1262400,1198.00
2012-06-20,1178.00,1196.36,1163.00,1196.00,220900,1196.00
2012-06-19,1149.00,1177.00,1149.00,1170.00,150200,1170.00
2012-06-18,1164.00,1164.00,1139.00,1150.00,181100,1150.00
2012-06-15,1137.00,1149.00,1129.00,1145.00,629700,1145.00
2012-06-14,1118.00,1133.00,1115.00,1133.00,126000,1133.00
2012-06-13,1114.00,1122.00,1104.00,1120.00,152200,1120.00
2012-06-12,1125.00,1126.26,1101.00,1106.00,144500,1106.00
2012-06-11,1129.00,1136.00,1118.00,1119.00,240700,1119.00
2012-06-08,1100.00,1113.00,1093.00,1106.00,293800,1106.00
2012-06-07,1114.00,1123.00,1094.00,1098.00,399400,1098.00
2012-06-06,1097.00,1114.00,1089.00,1104.00,362500,1104.00
2012-06-01,1083.00,1091.00,1078.00,1080.00,182500,1080.00
2012-05-31,1093.00,1099.00,1078.00,1090.00,298600,1090.00
2012-05-30,1096.00,1096.00,1083.00,1085.00,230500,1085.00
2012-05-29,1093.00,1097.19,1088.00,1097.00,144900,1097.00
2012-05-28,1098.00,1099.00,1084.00,1095.00,126600,1095.00
2012-05-25,1072.00,1084.00,1064.00,1078.00,173900,1078.00
2012-05-24,1072.00,1077.00,1066.00,1072.20,372700,1072.20
2012-05-23,1077.00,1081.00,1069.00,1069.00,202600,1069.00
2012-05-22,1084.00,1092.00,1069.00,1085.00,215000,1085.00
2012-05-21,1086.00,1088.00,1069.00,1070.00,157100,1070.00
2012-05-18,1081.00,1102.00,1066.00,1084.00,240700,1084.00
2012-05-17,1114.00,1115.00,1080.00,1084.00,205400,1084.00
2012-05-16,1108.00,1125.00,1095.00,1105.00,258500,1105.00
2012-05-14,1161.00,1162.00,1147.00,1155.00,175600,1155.00
2012-05-11,1165.00,1166.12,1147.00,1166.00,179700,1166.00
2012-05-10,1155.00,1166.00,1149.05,1165.00,517000,1165.00
2012-05-09,1169.00,1171.00,1140.00,1150.00,296700,1150.00
2012-05-08,1199.00,1199.00,1158.00,1164.38,411500,1164.38
2012-05-04,1204.00,1206.00,1185.00,1195.78,381600,1195.78
2012-05-03,1202.00,1210.00,1190.00,1204.00,255900,1204.00
2012-05-02,1180.00,1205.00,1170.00,1200.00,677200,1200.00
2012-05-01,1153.00,1175.00,1153.00,1168.00,69900,1168.00
2012-04-30,1163.00,1184.00,1154.00,1156.00,227700,1156.00
2012-04-27,1147.00,1168.00,1136.32,1157.00,200100,1157.00
2012-04-26,1126.00,1156.00,1121.00,1151.00,147200,1151.00
2012-04-25,1142.00,1148.00,1117.00,1120.00,142800,1120.00
2012-04-24,1140.00,1151.00,1132.00,1138.00,218500,1138.00
2012-04-23,1165.00,1168.00,1128.00,1134.00,235000,1134.00
2012-04-20,1153.00,1170.00,1146.00,1169.00,134700,1169.00
2012-04-19,1162.00,1162.00,1141.00,1149.00,244900,1149.00
2012-04-18,1157.00,1164.00,1142.00,1150.00,223800,1150.00
2012-04-17,1133.00,1161.00,1132.00,1154.00,254400,1154.00
2012-04-16,1138.00,1142.70,1119.00,1129.00,386900,1129.00
2012-04-13,1147.00,1162.00,1142.00,1142.00,371100,1142.00
2012-04-12,1144.00,1157.00,1132.00,1148.00,284400,1148.00
2012-04-11,1135.00,1155.00,1135.00,1141.00,258700,1141.00
2012-04-10,1135.00,1148.00,1128.00,1132.00,170000,1132.00
2012-04-05,1136.00,1147.00,1131.30,1141.00,127700,1141.00
2012-04-04,1164.00,1164.00,1130.00,1138.94,336500,1138.94
2012-04-03,1163.00,1175.00,1163.00,1171.00,172900,1171.00
2012-04-02,1146.00,1165.00,1137.00,1165.00,197200,1165.00
2012-03-30,1143.00,1151.00,1135.00,1146.00,265400,1146.00
2012-03-29,1167.00,1169.07,1132.00,1137.00,220400,1137.00
2012-03-28,1181.00,1187.00,1164.00,1171.00,489200,1171.00
2012-03-27,1179.00,1188.00,1174.00,1181.00,337400,1181.00
2012-03-26,1168.00,1175.00,1159.00,1173.00,123000,1173.00
2012-03-23,1158.00,1171.00,1153.00,1162.00,207400,1162.00
2012-03-22,1160.00,1166.00,1153.00,1155.00,321800,1155.00
2012-03-21,1169.00,1175.00,1157.00,1165.00,276700,1165.00
2012-03-20,1159.00,1168.00,1147.00,1163.00,289800,1163.00
2012-03-19,1148.00,1166.00,1136.00,1160.00,524400,1160.00
2012-03-16,1149.00,1167.00,1146.54,1147.00,1797800,1147.00
2012-03-15,1154.00,1162.00,1143.00,1150.00,500500,1150.00
2012-03-14,1144.00,1164.00,1137.00,1151.00,344100,1151.00
2012-03-13,1140.00,1145.00,1128.00,1136.00,268500,1136.00
2012-03-12,1136.00,1139.00,1127.00,1134.00,186000,1134.00
2012-03-09,1133.00,1144.00,1129.00,1136.00,159600,1136.00
2012-03-08,1119.00,1139.00,1119.00,1137.00,266100,1137.00
2012-03-07,1110.00,1129.00,1097.55,1116.00,259300,1116.00
2012-03-06,1127.00,1127.00,1106.00,1106.00,762600,1106.00
2012-03-05,1124.00,1132.20,1112.00,1126.00,318800,1126.00
2012-03-02,1140.00,1140.00,1123.00,1130.00,119700,1130.00
2012-03-01,1125.00,1146.00,1120.75,1139.00,350500,1139.00
2012-02-29,1156.00,1156.00,1123.00,1130.00,317800,1130.00
2012-02-28,1100.00,1159.00,1095.00,1122.00,1203500,1122.00
2012-02-27,1080.00,1083.00,1064.00,1073.00,170700,1073.00
2012-02-24,1086.00,1088.00,1070.00,1074.00,221500,1074.00
2012-02-23,1061.00,1085.00,1061.00,1085.00,326600,1085.00
2012-02-22,1060.00,1066.00,1050.30,1065.00,394600,1065.00
2012-02-21,1044.00,1056.00,997.99,1054.00,224300,1054.00
2012-02-20,1031.00,1052.00,1021.30,1049.00,242500,1049.00
2012-02-17,996.00,1034.00,994.00,1015.28,589200,1015.28
2012-02-16,974.00,994.00,974.00,984.73,601500,984.73
2012-02-15,985.50,994.00,969.00,980.00,314000,980.00
2012-02-14,989.50,992.50,977.50,980.00,142000,980.00
2012-02-13,976.00,991.00,970.50,989.50,199300,989.50
2012-02-10,966.50,972.50,959.00,969.50,149300,969.50
2012-02-09,967.00,979.50,964.00,966.00,155800,966.00
2012-02-08,988.50,988.50,969.00,970.00,94900,970.00
2012-02-07,983.50,991.50,976.54,988.00,136800,988.00
2012-02-06,979.00,994.00,974.00,985.00,139100,985.00
2012-02-03,985.50,997.50,976.00,984.00,268300,984.00
2012-02-02,979.00,990.00,974.00,989.00,204200,989.00
2012-02-01,960.00,984.00,950.00,979.00,195200,979.00
2012-01-31,958.50,964.00,946.00,959.00,298400,959.00
2012-01-30,950.50,957.00,943.50,957.00,222000,957.00
2012-01-27,966.50,973.00,954.50,954.50,147900,954.50
2012-01-26,970.50,975.00,960.50,969.00,167000,969.00
2012-01-25,978.00,984.00,966.50,966.50,107900,966.50
2012-01-24,975.00,979.50,965.50,975.50,157700,975.50
2012-01-23,1002.00,1004.00,979.00,980.00,147900,980.00
2012-01-20,1016.00,1022.00,986.00,999.00,227200,999.00
2012-01-19,1014.00,1028.00,1010.00,1016.60,226200,1016.60
2012-01-18,1001.00,1015.00,994.50,1002.44,277500,1002.44
2012-01-17,1003.00,1007.00,995.56,1001.99,242900,1001.99
2012-01-16,982.50,989.50,977.00,987.50,153900,987.50
2012-01-13,998.50,1003.04,985.00,985.00,148200,985.00
2012-01-12,960.00,1005.00,959.00,995.50,621600,995.50
2012-01-11,944.00,960.50,943.50,949.50,152200,949.50
2012-01-10,941.50,948.50,927.00,942.00,275500,942.00
2012-01-09,934.50,938.50,930.50,933.00,304500,933.00
2012-01-06,916.50,948.00,915.50,935.00,354300,935.00
2012-01-05,949.00,959.00,915.00,915.00,174300,915.00
2012-01-04,942.50,958.70,942.50,952.00,107500,952.00
2012-01-03,948.00,953.00,933.00,942.50,205600,942.50
2011-12-30,943.50,948.00,930.50,941.00,66100,941.00
2011-12-29,950.50,950.50,938.50,939.00,107800,939.00
2011-12-28,920.50,951.59,916.50,951.50,182200,951.50
2011-12-23,936.50,943.00,919.00,924.50,92800,924.50
2011-12-22,944.50,954.00,935.50,935.50,119100,935.50
2011-12-21,949.50,954.00,935.50,940.00,111500,940.00
2011-12-20,935.00,947.00,934.00,947.00,134900,947.00
2011-12-19,929.00,955.50,908.50,937.50,324100,937.50
2011-12-16,952.50,952.50,917.50,917.50,877700,917.50
2011-12-15,944.00,952.50,930.50,950.00,243900,950.00
2011-12-14,946.00,953.00,940.50,943.50,244000,943.50
2011-12-13,950.00,954.00,940.42,945.03,325100,945.03
2011-12-12,961.00,967.24,949.00,949.00,639200,949.00
2011-12-09,969.50,983.00,960.00,960.00,227500,960.00
2011-12-08,997.00,997.00,976.00,977.50,275300,977.50
2011-12-07,987.00,1001.00,980.00,991.00,424800,991.00
2011-12-06,987.50,995.50,984.00,984.00,170900,984.00
2011-12-05,1001.00,1010.00,991.00,991.00,208200,991.00
2011-12-02,1000.00,1010.00,993.00,997.00,294100,997.00
2011-12-01,1009.00,1009.00,980.00,994.00,396900,994.00
2011-11-30,981.50,1016.00,980.00,1004.00,581000,1004.00
2011-11-29,982.50,1000.00,970.00,998.00,390600,998.00
