Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,178.70,180.20,174.00,174.70,335400,174.00
2012-08-02,178.70,180.20,173.50,174.00,486500,174.00
2012-08-01,178.30,178.30,175.70,178.00,355100,178.00
2012-07-31,176.70,179.30,174.50,177.90,1127300,177.90
2012-07-27,168.40,172.90,167.70,172.20,1027900,172.20
2012-07-26,166.20,169.60,165.00,166.70,493600,166.70
2012-07-25,165.80,169.40,164.10,165.70,788200,165.70
2012-07-24,169.20,169.80,165.60,165.60,507500,165.60
2012-07-23,170.30,170.80,167.50,168.80,285900,168.80
2012-07-20,173.80,174.80,171.20,172.80,356000,172.80
2012-07-19,171.20,175.60,170.20,174.40,436600,174.40
2012-07-18,169.70,171.40,167.40,171.40,356500,171.40
2012-07-17,171.70,172.20,166.60,169.80,523300,169.80
2012-07-16,170.20,171.82,169.20,171.80,525000,171.80
2012-07-13,167.30,170.76,167.30,170.10,789800,170.10
2012-07-12,168.60,169.70,165.90,167.40,365000,167.40
2012-07-11,171.30,172.40,168.69,170.00,562000,170.00
2012-07-10,170.90,173.81,169.60,172.40,547500,172.40
2012-07-09,173.20,173.80,169.30,170.50,623000,170.50
2012-07-06,178.20,178.20,172.70,172.70,1996200,172.70
2012-07-05,180.20,180.20,176.90,177.50,1075000,177.50
2012-07-04,181.00,181.00,178.00,179.80,390600,179.80
2012-07-03,177.00,180.90,175.20,180.90,604500,180.90
2012-07-02,173.80,178.20,173.20,176.00,1271100,176.00
2012-06-29,176.00,176.50,173.10,173.20,1344500,173.20
2012-06-28,176.00,177.20,170.10,172.90,953000,172.90
2012-06-27,177.20,177.40,174.40,176.40,553900,176.40
2012-06-26,172.40,177.10,172.00,177.00,2234500,177.00
2012-06-25,174.10,176.50,171.00,172.60,833600,172.60
2012-06-22,175.50,175.70,172.30,175.70,686700,175.70
2012-06-21,175.00,177.80,172.30,176.00,698800,176.00
2012-06-20,168.80,175.80,166.90,175.80,1763800,175.80
2012-06-19,164.80,168.60,163.40,165.00,1163800,165.00
2012-06-18,168.90,171.80,162.20,163.40,2225900,163.40
2012-06-15,158.80,164.80,158.50,164.50,2544400,164.50
2012-06-14,154.00,162.90,150.20,158.80,2316200,158.80
2012-06-13,157.60,158.00,153.20,153.20,2178100,153.20
2012-06-12,162.10,164.10,154.70,157.74,3229700,157.74
2012-06-11,163.30,164.60,158.00,159.20,1551300,159.20
2012-06-08,163.70,170.00,159.40,161.00,5214000,161.00
2012-06-07,163.60,172.84,163.00,165.70,1647800,165.70
2012-06-06,160.10,169.20,160.10,162.70,1219700,162.70
2012-06-01,159.60,165.20,157.20,158.90,669800,158.90
2012-05-31,164.90,166.00,158.80,159.00,1577700,159.00
2012-05-30,169.90,169.90,163.30,163.30,1908800,163.30
2012-05-29,171.70,172.70,169.20,170.00,4205400,170.00
2012-05-28,172.00,172.00,168.30,169.80,2000700,169.80
2012-05-25,170.50,172.00,166.10,168.90,2140500,168.90
2012-05-24,172.00,173.50,168.70,170.84,603900,170.84
2012-05-23,176.10,176.10,166.40,170.60,1443100,170.60
2012-05-22,180.70,182.60,178.50,181.06,1118000,181.06
2012-05-21,177.90,183.00,177.90,179.60,665600,179.60
2012-05-18,180.20,183.50,177.10,180.50,653600,180.50
2012-05-17,183.20,186.60,181.80,182.40,470800,182.40
2012-05-16,184.50,186.70,181.70,185.10,632300,185.10
2012-05-14,191.90,192.50,188.80,189.00,639800,189.00
2012-05-11,193.70,194.40,191.70,194.00,764400,194.00
2012-05-10,190.60,198.50,187.61,195.00,724500,195.00
2012-05-09,192.80,192.88,185.80,189.10,1247300,189.10
2012-05-08,198.10,199.30,190.10,191.10,1157700,191.10
2012-05-04,208.00,208.91,196.60,197.50,1757700,197.50
2012-05-03,215.10,217.70,206.70,208.50,898000,208.50
2012-05-02,219.70,220.80,212.20,215.70,834700,215.70
2012-05-01,213.50,219.90,213.50,219.90,701900,219.90
2012-04-30,213.40,216.40,210.80,214.70,680800,214.70
2012-04-27,203.10,213.50,201.20,212.50,1082700,212.50
2012-04-26,203.80,205.70,200.10,204.30,1487000,204.30
2012-04-25,204.30,207.00,201.50,202.20,2058000,202.20
2012-04-24,204.70,206.80,201.20,203.40,797200,203.40
2012-04-23,210.10,211.00,200.70,202.70,1095900,202.70
2012-04-20,213.60,216.20,210.80,210.80,1129000,210.80
2012-04-19,209.70,215.70,209.70,213.50,667100,213.50
2012-04-18,210.20,211.00,205.70,208.70,691800,208.70
2012-04-17,205.50,212.20,204.20,210.00,891800,210.00
2012-04-16,209.50,213.50,205.50,205.60,941900,205.60
2012-04-13,207.90,213.20,205.20,206.40,536000,206.40
2012-04-12,204.20,210.80,204.20,208.80,619200,208.80
2012-04-11,201.40,206.80,201.40,204.00,1077900,204.00
2012-04-10,206.00,206.83,201.30,202.70,1823000,202.70
2012-04-05,207.60,211.20,206.00,207.20,496400,207.20
2012-04-04,215.50,215.50,203.80,206.90,1237000,206.90
2012-04-03,219.80,222.10,216.10,216.60,502800,216.60
2012-04-02,214.70,219.20,212.50,218.80,533100,218.80
2012-03-30,211.00,215.10,210.90,214.60,1085400,214.60
2012-03-29,212.70,214.10,207.20,210.00,904100,210.00
2012-03-28,217.30,218.70,212.80,213.00,1481400,213.00
2012-03-27,223.90,223.90,216.80,217.50,1083400,217.50
2012-03-26,217.00,224.70,216.80,222.60,778900,222.60
2012-03-23,216.50,219.10,213.20,216.60,668600,216.60
2012-03-22,218.00,219.00,215.60,216.70,1369300,216.70
2012-03-21,218.00,223.40,216.30,219.10,1478700,219.10
2012-03-20,218.90,219.40,216.50,217.10,742600,217.10
2012-03-19,217.50,220.80,215.90,220.00,628500,220.00
2012-03-16,216.60,222.90,216.60,218.00,2260400,218.00
2012-03-15,222.00,225.00,217.20,220.90,2562000,220.90
2012-03-14,216.70,229.50,215.80,228.80,1542900,228.80
2012-03-13,212.50,225.31,211.94,215.40,1096200,215.40
2012-03-12,212.50,214.00,208.90,210.60,931900,210.60
2012-03-09,217.20,217.40,210.00,216.20,902900,216.20
2012-03-08,210.10,216.60,210.10,216.50,455900,216.50
2012-03-07,207.00,210.30,206.40,209.20,655400,209.20
2012-03-06,214.90,214.90,202.40,206.80,1261700,206.80
2012-03-05,221.50,221.70,214.00,215.50,748700,215.50
2012-03-02,218.80,226.30,217.00,223.00,787100,223.00
2012-03-01,218.80,222.60,217.50,218.00,2116300,218.00
2012-02-29,218.60,221.00,217.40,218.10,1243200,218.10
2012-02-28,219.20,222.54,217.90,218.33,927200,218.33
2012-02-27,224.90,225.10,217.70,218.33,2015000,218.33
2012-02-24,220.50,228.10,218.00,219.70,1003500,219.70
2012-02-23,215.70,223.80,215.70,216.80,1147300,216.80
2012-02-22,217.10,218.90,214.80,215.80,638000,215.80
2012-02-21,221.60,221.60,216.00,216.00,333100,216.00
2012-02-20,221.50,224.00,217.21,220.80,342100,220.80
2012-02-17,216.40,220.53,216.40,217.50,308000,217.50
2012-02-16,213.50,214.90,212.60,214.70,521600,214.70
2012-02-15,218.30,222.00,214.80,216.10,657700,216.10
2012-02-14,218.60,221.40,216.00,216.50,596800,216.50
2012-02-13,216.80,220.84,216.40,219.70,540400,219.70
2012-02-10,212.40,216.90,212.40,216.40,526700,216.40
2012-02-09,211.90,216.10,210.90,214.30,360200,214.30
2012-02-08,207.50,212.80,204.47,212.00,1406500,212.00
2012-02-07,210.40,210.40,204.90,206.50,388600,206.50
2012-02-06,208.60,211.60,205.09,209.40,566300,209.40
2012-02-03,218.00,218.05,205.53,210.00,1066000,210.00
2012-02-02,217.20,221.90,216.70,218.40,701000,218.40
2012-02-01,207.40,216.90,206.00,216.20,1038100,216.20
2012-01-31,207.30,208.30,205.00,206.80,734600,206.80
2012-01-30,210.30,213.20,204.80,205.80,886600,205.80
2012-01-27,208.50,213.99,208.50,211.10,547800,211.10
2012-01-26,206.70,211.20,206.00,210.00,1563800,210.00
2012-01-25,203.00,206.70,202.00,205.80,1046200,205.80
2012-01-24,205.70,205.70,198.23,201.80,357700,201.80
2012-01-23,206.00,211.10,204.68,207.00,410800,207.00
2012-01-20,204.90,208.70,203.40,205.90,479600,205.90
2012-01-19,199.30,205.40,197.70,203.80,827900,203.80
2012-01-18,196.50,200.00,195.00,199.10,557900,199.10
2012-01-17,190.40,197.90,189.70,195.80,1716200,195.80
2012-01-16,185.30,189.10,184.01,188.50,392000,188.50
2012-01-13,186.20,188.00,183.10,185.60,1508800,185.60
2012-01-12,189.00,192.22,187.80,190.50,846500,190.50
2012-01-11,186.70,192.60,186.70,189.80,473800,189.80
2012-01-10,190.00,193.00,188.20,189.50,584900,189.50
