Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,152.25,152.25,148.75,148.75,2100,82.25
2009-01-20,83.25,83.25,83.25,82.25,12600,82.25
2009-01-19,83.00,83.00,83.00,83.00,4400,83.00
2009-01-16,83.75,83.75,81.00,81.00,39500,81.00
2009-01-15,79.00,79.00,79.00,82.25,23400,82.25
2009-01-14,83.00,84.50,82.25,84.50,39300,84.50
2009-01-13,81.50,81.50,81.50,82.75,59900,82.75
2009-01-12,82.25,82.25,82.25,84.00,141000,84.00
2009-01-09,85.50,85.50,85.50,86.25,34600,86.25
2009-01-08,88.00,88.00,85.50,85.50,100300,85.50
2009-01-07,89.00,89.00,87.25,89.25,21200,89.25
2009-01-06,93.00,93.00,91.00,90.50,107700,90.50
2009-01-05,90.25,91.00,90.25,92.50,109100,92.50
2009-01-02,88.50,88.50,87.00,87.00,83500,87.00
2008-12-31,85.50,85.50,85.00,86.00,37600,86.00
2008-12-30,81.50,84.00,81.50,84.50,72600,84.50
2008-12-29,80.00,80.75,80.00,80.00,30400,80.00
2008-12-24,79.00,79.00,79.00,79.50,34400,79.50
2008-12-23,80.00,80.00,80.00,80.25,2300,80.25
2008-12-22,79.00,79.00,79.00,80.00,135700,80.00
2008-12-19,82.50,83.00,81.25,82.75,52900,82.75
2008-12-18,79.25,80.00,79.25,81.00,52900,81.00
2008-12-17,79.00,79.00,79.00,79.00,5700,79.00
2008-12-16,78.00,80.50,78.00,80.00,42200,80.00
2008-12-15,78.00,78.00,78.00,80.00,13800,80.00
2008-12-12,75.00,76.00,75.00,77.00,180200,77.00
2008-12-11,80.50,80.50,80.50,77.75,19500,77.75
2008-12-10,79.75,79.75,79.75,79.75,10800,79.75
2008-12-09,76.00,76.00,76.00,76.00,700,76.00
2008-12-08,74.50,74.50,74.50,74.50,23900,74.50
2008-12-05,72.25,73.00,72.25,73.00,14300,73.00
2008-12-04,71.00,71.00,71.00,71.75,62200,71.75
2008-12-03,67.00,69.00,67.00,70.50,45000,70.50
2008-12-02,66.00,67.00,66.00,66.50,122300,66.50
2008-12-01,66.00,66.00,66.00,66.00,13600,66.00
2008-11-28,66.00,66.00,66.00,66.00,6800,66.00
2008-11-27,66.00,66.00,65.50,67.00,38900,67.00
2008-11-26,66.50,66.50,66.50,66.50,1700,66.50
2008-11-25,69.00,69.00,65.00,67.00,90400,67.00
2008-11-24,70.00,70.50,70.00,70.50,48900,70.50
2008-11-21,67.75,67.75,67.75,68.50,23900,68.50
2008-11-20,72.50,72.50,69.00,68.75,60300,68.75
2008-11-19,76.25,76.25,76.25,76.25,36600,76.25
2008-11-18,76.50,76.50,75.00,75.00,60000,75.00
2008-11-17,78.00,78.00,78.00,78.75,5500,78.75
2008-11-14,80.00,80.00,80.00,79.75,42900,79.75
2008-11-13,79.50,79.50,79.50,79.50,12100,79.50
2008-11-12,80.25,80.25,80.25,80.25,1400,80.25
2008-11-11,84.25,84.25,80.00,80.75,122900,80.75
2008-11-10,84.75,86.00,84.75,85.50,58800,85.50
2008-11-07,80.00,80.00,80.00,80.25,34000,80.25
2008-11-06,79.00,79.00,77.00,78.25,70600,78.25
2008-11-05,83.00,85.50,81.50,81.50,92400,81.50
2008-11-04,76.00,83.00,76.00,83.25,57800,83.25
2008-11-03,75.00,75.50,75.00,74.50,160100,74.50
2008-10-31,70.25,72.50,70.00,70.00,174600,70.00
2008-10-30,70.25,70.25,70.25,70.25,56900,70.25
2008-10-29,68.50,68.50,68.50,68.50,10000,68.50
2008-10-28,68.50,68.50,68.50,68.50,9300,68.50
2008-10-27,65.00,65.00,64.00,66.25,36000,66.25
2008-10-24,76.00,76.00,69.00,71.25,74000,71.25
2008-10-23,78.00,79.75,76.00,79.75,55300,79.75
2008-10-22,78.50,78.50,78.50,79.25,32400,79.25
2008-10-21,80.25,82.00,80.25,82.00,68700,82.00
2008-10-20,81.00,81.00,81.00,81.00,6600,81.00
2008-10-17,82.50,82.50,82.50,81.25,79300,81.25
2008-10-16,82.50,82.50,78.75,81.00,48900,81.00
2008-10-15,84.00,84.00,83.50,83.50,15400,83.50
2008-10-14,87.00,87.00,87.00,87.00,64300,87.00
2008-10-13,80.00,81.00,79.75,81.00,32100,81.00
2008-10-10,79.25,79.25,77.00,77.00,49200,77.00
2008-10-09,87.00,89.00,85.50,87.00,18800,87.00
2008-10-08,86.00,89.50,83.25,85.75,96600,85.75
2008-10-07,91.75,92.75,91.75,92.75,27700,92.75
2008-10-06,93.00,93.00,89.00,90.75,23100,90.75
2008-10-03,94.00,94.00,94.00,97.25,69500,97.25
2008-10-02,97.00,98.00,97.00,96.50,32900,96.50
2008-10-01,96.50,97.75,96.50,97.50,176300,97.50
2008-09-30,94.50,94.50,94.50,95.25,94200,95.25
