Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,327.00,330.50,327.00,330.50,48400,330.50
2012-08-02,327.00,330.50,327.00,330.50,165700,330.50
2012-08-01,327.75,329.75,326.00,328.75,88600,328.75
2012-07-31,325.75,330.00,324.75,330.00,251700,330.00
2012-07-27,324.00,325.50,323.00,325.50,155800,325.50
2012-07-26,318.25,324.75,318.00,324.25,194000,324.25
2012-07-25,324.00,325.50,322.25,325.50,244500,325.50
2012-07-24,321.75,324.88,321.75,324.00,114800,324.00
2012-07-23,319.00,322.84,315.73,322.00,152700,322.00
2012-07-20,317.25,323.75,317.00,322.75,130900,322.75
2012-07-19,317.25,325.00,317.25,320.00,260000,320.00
2012-07-18,325.00,325.00,318.25,320.00,60900,320.00
2012-07-17,322.00,325.00,320.50,321.00,200000,321.00
2012-07-16,318.75,321.00,316.30,319.00,162100,319.00
2012-07-13,315.00,321.75,315.00,317.48,535200,317.48
2012-07-12,316.25,318.00,316.00,316.00,189000,316.00
2012-07-11,317.75,319.00,316.72,317.00,152300,317.00
2012-07-10,313.50,317.45,312.50,315.00,83900,315.00
2012-07-09,317.75,317.75,313.75,313.75,98600,313.75
2012-07-06,318.00,318.50,314.75,314.75,138800,314.75
2012-07-05,317.50,319.50,314.25,317.00,140700,317.00
2012-07-04,318.75,318.75,313.80,316.00,66000,316.00
2012-07-03,315.00,319.25,313.75,316.25,104000,316.25
2012-07-02,320.00,320.09,314.00,315.00,137600,315.00
2012-06-29,317.50,320.75,315.50,320.00,105100,320.00
2012-06-28,316.00,316.50,314.50,315.00,99400,315.00
2012-06-27,313.25,316.15,313.00,316.00,63200,316.00
2012-06-26,315.00,317.05,313.00,313.00,99600,313.00
2012-06-25,314.00,318.25,311.72,316.50,124100,316.50
2012-06-22,315.00,315.50,313.25,314.00,54500,314.00
2012-06-21,315.00,317.00,310.00,315.50,205700,315.50
2012-06-20,316.75,316.75,313.50,313.50,123900,313.50
2012-06-19,317.00,317.00,312.00,315.00,123300,315.00
2012-06-18,315.50,317.00,314.33,316.00,51100,316.00
2012-06-15,314.75,320.00,314.00,320.00,397900,320.00
2012-06-14,315.00,317.00,314.00,314.00,156100,314.00
2012-06-13,315.00,317.00,314.50,314.50,43000,314.50
2012-06-12,315.00,317.00,315.00,316.50,56500,316.50
2012-06-11,314.00,317.00,314.00,314.00,59400,314.00
2012-06-08,313.00,315.29,313.00,314.25,137000,314.25
2012-06-07,317.75,318.00,312.86,313.00,96200,313.00
2012-06-06,312.00,318.00,312.00,312.00,166400,312.00
2012-06-01,317.75,317.75,312.00,313.75,60000,313.75
2012-05-31,317.00,317.00,312.50,314.25,254800,314.25
2012-05-30,315.25,317.25,314.50,315.00,36500,315.00
2012-05-29,314.50,317.80,313.00,316.00,33700,316.00
2012-05-28,316.50,316.50,314.50,315.00,46900,315.00
2012-05-25,315.00,317.00,314.38,315.00,67800,315.00
2012-05-24,315.00,316.25,314.92,315.00,47700,315.00
2012-05-23,317.00,317.00,313.00,315.00,83000,315.00
2012-05-22,317.00,317.00,314.00,315.50,77900,315.50
2012-05-21,315.75,315.75,313.00,314.50,54400,314.50
2012-05-18,315.00,317.48,305.00,305.00,127600,305.00
2012-05-17,325.00,327.75,324.25,325.25,38700,325.25
2012-05-16,328.00,328.00,324.25,325.00,85900,325.00
2012-05-14,325.75,328.07,324.57,326.75,99800,326.75
2012-05-11,327.50,330.00,326.00,330.00,76900,330.00
2012-05-10,327.50,328.50,326.00,327.75,79000,327.75
2012-05-09,327.25,329.90,326.00,327.75,108600,327.75
2012-05-08,327.50,332.25,326.00,326.75,210800,326.75
2012-05-04,328.50,330.82,325.75,326.00,69600,326.00
2012-05-03,328.00,332.75,328.00,329.51,177400,329.51
2012-05-02,333.25,334.00,326.25,328.25,120700,328.25
2012-05-01,334.00,334.00,330.00,333.00,58300,333.00
2012-04-30,332.75,334.00,331.30,334.00,67300,334.00
2012-04-27,331.00,334.00,330.00,330.00,82500,330.00
2012-04-26,334.00,334.70,328.48,333.00,54600,333.00
2012-04-25,333.75,335.00,331.50,333.00,94300,333.00
2012-04-24,335.00,335.00,332.75,333.50,31800,333.50
2012-04-23,331.75,336.00,328.50,336.00,74600,336.00
2012-04-20,330.00,334.75,329.00,334.75,241500,334.75
2012-04-19,329.00,330.00,328.50,329.00,70200,329.00
2012-04-18,329.00,331.00,326.50,329.51,202200,329.51
2012-04-17,327.00,329.00,325.00,329.00,90800,329.00
2012-04-16,329.00,329.00,324.25,325.50,104000,325.50
2012-04-13,328.00,329.00,327.50,327.75,83800,327.75
2012-04-12,327.00,329.00,324.02,328.00,93200,328.00
2012-04-11,322.00,327.50,322.00,326.00,143500,326.00
2012-04-10,326.50,333.00,323.08,328.00,130700,328.00
2012-04-05,329.50,330.50,326.00,330.00,91100,330.00
2012-04-04,328.50,339.12,327.50,339.12,388600,339.12
2012-04-03,320.00,334.12,320.00,334.12,342500,334.12
2012-04-02,320.00,323.00,317.00,322.25,95100,322.25
2012-03-30,315.25,326.64,314.00,326.64,154300,326.64
2012-03-29,317.00,325.23,312.69,325.23,246700,325.23
2012-03-28,312.50,315.00,310.00,313.75,128500,313.75
2012-03-27,314.75,315.00,310.00,311.00,71400,311.00
2012-03-26,315.00,315.50,311.18,313.50,89600,313.50
2012-03-23,315.00,319.75,310.00,312.00,150000,312.00
2012-03-22,317.75,317.75,314.00,315.00,118100,315.00
2012-03-21,315.00,317.40,315.00,315.25,148100,315.25
2012-03-20,319.00,319.00,313.87,317.00,123800,317.00
2012-03-19,318.00,321.75,316.00,318.00,65900,318.00
2012-03-16,319.75,323.50,317.31,317.75,183500,317.75
2012-03-15,320.50,321.25,319.00,319.75,64600,319.75
2012-03-14,323.75,324.00,318.00,322.00,118200,322.00
2012-03-13,321.50,322.50,319.75,322.00,183500,322.00
2012-03-12,322.00,324.52,320.00,320.00,99300,320.00
2012-03-09,320.25,322.85,320.25,321.25,109500,321.25
2012-03-08,323.00,327.75,318.21,323.00,136300,323.00
2012-03-07,320.00,327.75,320.00,325.00,204800,325.00
2012-03-06,342.75,351.68,333.25,341.25,573800,332.00
2012-03-05,342.00,343.00,338.00,338.25,111600,329.08
2012-03-02,336.25,343.29,336.25,337.91,178500,328.75
2012-03-01,331.00,339.50,331.00,339.00,80900,329.81
2012-02-29,333.00,334.85,330.50,333.00,65000,323.97
2012-02-28,330.50,333.50,330.50,333.50,35300,324.46
2012-02-27,333.00,335.00,331.00,333.00,404400,323.97
2012-02-24,333.25,335.00,329.88,333.00,149000,323.97
2012-02-23,331.25,334.50,328.50,328.50,122200,319.60
2012-02-22,323.00,333.77,323.00,333.00,165400,323.97
2012-02-21,321.50,329.75,317.50,328.00,130300,319.11
2012-02-20,322.00,322.00,318.00,321.50,64700,312.79
2012-02-17,324.75,325.00,320.73,324.00,43900,315.22
2012-02-16,323.00,326.75,321.58,325.00,73300,316.19
2012-02-15,329.75,331.50,326.75,327.00,202400,318.14
2012-02-14,330.50,335.00,330.50,333.00,101900,323.97
2012-02-13,333.00,335.00,331.84,335.00,81200,325.92
2012-02-10,332.50,333.00,328.25,333.00,51400,323.97
2012-02-09,331.00,335.00,330.95,333.00,68000,323.97
2012-02-08,327.75,331.00,327.75,331.00,63400,322.03
2012-02-07,329.00,331.00,327.25,331.00,61500,322.03
2012-02-06,330.00,335.00,327.56,330.00,71200,321.05
2012-02-03,330.00,330.50,327.00,328.00,44600,319.11
2012-02-02,329.75,330.95,325.00,330.00,154800,321.05
2012-02-01,326.75,330.00,322.50,329.50,101300,320.57
2012-01-31,327.00,327.35,320.00,326.00,86200,317.16
2012-01-30,323.75,326.75,321.00,326.00,107100,317.16
2012-01-27,326.75,326.75,322.00,325.00,54100,316.19
2012-01-26,324.00,327.00,324.00,325.00,82100,316.19
2012-01-25,320.00,324.00,317.00,321.50,135100,312.79
2012-01-24,319.50,320.00,317.85,319.50,51100,310.84
2012-01-23,317.00,319.50,316.75,319.50,95000,310.84
