Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,38.00,38.91,37.57,37.57,32500,39.00
2012-08-02,38.00,39.00,37.57,39.00,62000,39.00
2012-08-01,39.50,39.50,37.55,39.50,117900,39.50
2012-07-31,37.25,39.46,37.00,37.00,89600,37.00
2012-07-27,38.25,39.65,38.25,38.75,119700,38.75
2012-07-26,39.15,39.40,39.10,39.10,194700,39.10
2012-07-25,37.95,39.35,37.50,37.50,89600,37.50
2012-07-24,37.25,39.42,37.00,37.00,54900,37.00
2012-07-23,38.00,39.60,37.25,37.50,123200,37.50
2012-07-20,38.25,39.80,38.00,38.00,107500,38.00
2012-07-19,38.00,40.00,38.00,38.00,104600,38.00
2012-07-18,38.25,41.08,37.75,37.75,150200,37.75
2012-07-17,38.75,40.70,38.00,38.00,197300,38.00
2012-07-16,38.50,40.93,38.50,38.50,228500,38.50
2012-07-13,37.75,40.00,37.50,37.50,41500,37.50
2012-07-12,38.75,40.09,38.75,38.00,62900,38.00
2012-07-11,37.00,38.00,36.50,36.50,81800,36.50
2012-07-10,36.75,38.70,36.50,37.25,65600,37.25
2012-07-09,36.50,38.78,36.50,37.00,121200,37.00
2012-07-06,36.75,39.00,36.50,37.50,206800,37.50
2012-07-05,37.50,38.63,36.25,37.75,191400,37.75
2012-07-04,37.50,38.73,37.50,38.00,75100,38.00
2012-07-03,38.00,39.00,37.50,38.00,111100,38.00
2012-07-02,41.50,42.00,37.50,37.50,238100,37.50
2012-06-29,42.50,42.50,41.50,42.00,83800,42.00
2012-06-28,43.00,43.00,41.30,42.00,196000,42.00
2012-06-27,43.00,43.75,40.50,40.50,126400,40.50
2012-06-26,42.00,43.95,41.25,43.00,59600,43.00
2012-06-25,44.00,44.00,42.25,42.75,88100,42.75
2012-06-22,41.50,43.50,41.50,43.06,74600,43.06
2012-06-21,43.75,43.75,41.50,42.50,114100,42.50
2012-06-20,43.00,45.50,42.10,44.75,318600,44.75
2012-06-19,40.00,42.50,39.10,42.50,205800,42.50
2012-06-18,39.00,39.75,38.25,39.70,92800,39.70
2012-06-15,37.00,38.50,35.57,37.75,553900,37.75
2012-06-14,38.50,38.50,36.25,36.50,63500,36.50
2012-06-13,38.50,38.75,36.24,38.75,171700,38.75
2012-06-12,37.50,38.50,36.25,36.25,99800,36.25
2012-06-11,37.25,38.88,36.75,36.75,90900,36.75
2012-06-08,37.00,38.40,36.50,37.00,143400,37.00
2012-06-07,39.00,40.70,37.00,37.00,139200,37.00
2012-06-06,39.50,41.65,39.00,39.00,78800,39.00
2012-06-01,41.70,41.70,39.25,41.62,53300,41.62
2012-05-31,40.88,41.70,40.88,41.70,18100,41.70
2012-05-30,42.25,42.50,39.00,39.50,68300,39.50
2012-05-29,41.00,41.90,40.00,40.25,62800,40.25
2012-05-28,41.00,42.50,40.50,41.00,82300,41.00
2012-05-25,41.00,42.00,40.25,41.50,84300,41.50
2012-05-24,40.25,41.62,40.00,40.00,105500,40.00
2012-05-23,36.75,40.00,36.75,39.50,164600,39.50
2012-05-22,37.00,37.90,37.00,37.86,38400,37.86
2012-05-21,36.75,37.00,34.88,37.00,142400,37.00
2012-05-18,38.00,38.00,34.00,36.00,235100,36.00
2012-05-17,37.50,38.25,35.65,38.00,199500,38.00
