Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,277.20,278.90,274.70,277.00,101100,158.00
2009-12-15,158.00,158.00,158.00,158.00,000,158.00
2009-12-14,158.00,158.00,158.00,158.00,000,158.00
2009-12-11,158.00,158.00,158.00,158.00,000,158.00
2009-12-10,158.00,158.00,158.00,158.00,000,158.00
2009-12-09,158.00,158.00,158.00,158.00,000,158.00
2009-12-08,158.00,158.00,158.00,158.00,000,158.00
2009-12-07,158.00,158.00,158.00,158.00,000,158.00
2009-12-04,158.00,158.00,158.00,158.00,000,158.00
2009-12-03,158.00,158.00,158.00,158.00,000,158.00
2009-12-02,158.00,158.00,158.00,158.00,000,158.00
2009-12-01,158.00,158.00,158.00,158.00,000,158.00
2009-11-30,158.00,158.00,158.00,158.00,000,158.00
2009-11-27,158.00,158.00,158.00,158.00,000,158.00
2009-11-26,158.00,158.00,158.00,158.00,000,158.00
2009-11-25,158.00,158.00,158.00,158.00,000,158.00
2009-11-24,158.00,158.00,158.00,158.00,000,158.00
2009-11-23,158.00,158.00,158.00,158.00,000,158.00
2009-11-20,158.00,158.00,158.00,158.00,000,158.00
2009-11-19,158.00,158.00,158.00,158.00,000,158.00
2009-11-18,158.00,158.00,158.00,158.00,000,158.00
2009-11-17,158.00,158.00,158.00,158.00,000,158.00
2009-11-16,158.00,158.00,158.00,158.00,000,158.00
2009-11-13,158.00,158.00,158.00,158.00,000,158.00
2009-11-12,158.00,158.00,158.00,158.00,000,158.00
2009-11-11,158.00,158.00,158.00,158.00,000,158.00
2009-11-10,158.00,158.00,158.00,158.00,000,158.00
2009-11-09,158.00,158.00,158.00,158.00,000,158.00
2009-11-06,158.00,158.00,158.00,158.00,000,158.00
2009-11-05,158.00,158.00,158.00,158.00,000,158.00
2009-11-04,158.00,158.00,158.00,158.00,000,158.00
2009-11-03,158.00,158.00,158.00,158.00,000,158.00
2009-11-02,158.00,158.00,158.00,158.00,000,158.00
2009-10-30,158.00,158.00,158.00,158.00,000,158.00
2009-10-29,158.00,158.00,158.00,158.00,000,158.00
2009-10-28,158.00,158.00,158.00,158.00,000,158.00
2009-10-27,158.00,158.00,158.00,158.00,000,158.00
2009-10-26,158.00,158.00,158.00,158.00,000,158.00
2009-10-23,158.00,158.00,158.00,158.00,000,158.00
2009-10-22,158.00,158.00,158.00,158.00,000,158.00
2009-10-21,158.00,158.00,158.00,158.00,000,158.00
2009-10-20,158.00,158.00,158.00,158.00,000,158.00
2009-10-19,158.00,158.00,158.00,158.00,000,158.00
2009-10-16,158.00,158.00,158.00,158.00,000,158.00
2009-10-15,158.00,158.00,158.00,158.00,000,158.00
2009-10-14,158.00,158.00,158.00,158.00,000,158.00
2009-10-13,158.00,158.00,158.00,158.00,000,158.00
2009-10-12,158.00,158.00,158.00,158.00,000,158.00
2009-10-09,158.00,158.00,158.00,158.00,000,158.00
2009-10-08,158.00,158.00,158.00,158.00,000,158.00
2009-10-07,158.00,158.00,158.00,158.00,000,158.00
2009-10-06,158.00,158.00,158.00,158.00,000,158.00
2009-10-05,158.00,158.00,158.00,158.00,000,158.00
2009-10-02,158.00,158.00,158.00,158.00,000,158.00
2009-10-01,158.00,158.00,158.00,158.00,000,158.00
2009-09-30,158.00,158.00,158.00,158.00,000,158.00
2009-09-29,158.00,158.00,158.00,158.00,000,158.00
2009-09-28,158.00,158.00,158.00,158.00,000,158.00
2009-09-25,158.00,158.00,158.00,158.00,000,158.00
2009-09-24,158.00,158.00,158.00,158.00,000,158.00
2009-09-23,158.00,158.00,158.00,158.00,000,158.00
2009-09-22,158.00,158.00,158.00,158.00,000,158.00
2009-09-21,158.00,158.00,158.00,158.00,000,158.00
2009-09-18,158.00,158.00,158.00,158.00,000,158.00
2009-09-17,158.00,158.00,158.00,158.00,000,158.00
2009-09-16,158.00,158.00,158.00,158.00,000,158.00
2009-09-15,158.00,158.00,158.00,158.00,000,158.00
2009-09-14,158.00,158.00,158.00,158.00,000,158.00
2009-09-11,158.00,158.00,158.00,158.00,000,158.00
2009-09-10,158.00,158.00,158.00,158.00,000,158.00
2009-09-09,158.00,158.00,158.00,158.00,000,158.00
