Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,181.14,181.44,178.25,178.25,200,178.25
2012-08-02,178.25,181.75,178.25,178.25,8900,178.25
2012-08-01,179.75,180.00,173.25,177.86,227300,177.86
2012-07-31,174.00,179.75,173.00,173.00,50500,173.00
2012-07-27,176.25,176.25,175.75,175.75,3500,175.75
2012-07-26,179.00,187.20,179.00,185.00,393900,185.00
2012-07-25,182.25,183.23,180.00,180.00,82600,180.00
2012-07-24,188.75,188.75,182.25,183.00,3000,183.00
2012-07-23,182.25,182.25,182.25,182.25,400,182.25
2012-07-20,182.25,187.36,182.00,182.00,2700,182.00
2012-07-19,188.00,188.00,182.25,187.25,25700,187.25
2012-07-18,182.75,182.75,182.75,182.75,1300,182.75
2012-07-17,182.00,184.00,180.00,183.00,108600,183.00
2012-07-16,179.50,180.00,179.50,180.00,10400,180.00
2012-07-13,185.75,185.75,179.25,180.00,12700,180.00
2012-07-12,178.75,178.62,178.50,178.50,5300,178.50
2012-07-11,180.50,183.00,178.50,178.50,23900,178.50
2012-07-10,182.00,182.00,178.50,178.50,10900,178.50
2012-07-09,189.75,190.00,182.25,184.75,19200,184.75
2012-07-06,186.75,188.50,180.06,188.50,579200,188.50
2012-07-05,182.00,182.00,180.00,181.00,679300,181.00
2012-07-04,184.00,184.00,181.00,182.25,849000,182.25
2012-07-03,182.00,185.12,182.00,183.00,100,183.00
2012-07-02,180.25,183.40,180.00,181.00,157500,181.00
2012-06-29,180.25,182.25,180.00,181.69,155400,181.69
2012-06-28,180.25,188.00,180.25,188.00,14100,188.00
2012-06-27,178.50,183.50,178.50,180.00,8800,180.00
2012-06-26,181.05,181.05,180.00,180.00,500,180.00
2012-06-25,184.00,184.89,180.78,181.00,8000,181.00
2012-06-22,184.25,188.50,183.39,188.50,15800,188.50
2012-06-21,178.50,183.75,178.50,183.75,6100,183.75
2012-06-20,178.50,183.00,178.50,180.00,14400,180.00
2012-06-19,179.25,181.95,179.00,180.75,43000,180.75
2012-06-18,180.00,181.50,180.00,180.00,319000,180.00
2012-06-15,180.00,192.25,170.65,170.75,390500,170.75
2012-06-14,184.00,184.00,180.50,180.50,11300,180.50
2012-06-13,180.25,183.25,178.63,181.00,19100,181.00
2012-06-12,191.25,191.25,180.25,180.50,18300,180.50
2012-06-11,189.50,193.00,189.50,193.00,2600,193.00
