Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,421.50,427.50,410.80,413.00,663500,412.70
2012-08-02,421.50,427.50,410.80,412.70,934300,412.70
2012-08-01,425.30,425.30,414.80,420.90,786700,420.90
2012-07-31,434.10,437.00,424.90,433.25,754000,433.25
2012-07-27,423.50,425.80,406.50,420.40,1103400,420.40
2012-07-26,400.40,423.00,396.90,421.70,1974800,421.70
2012-07-25,383.50,416.90,383.00,400.80,2939700,400.80
2012-07-24,384.05,391.62,286.60,380.90,2339700,380.90
2012-07-23,396.20,396.20,378.70,383.90,1506400,383.90
2012-07-20,411.90,421.80,398.00,400.50,1168600,400.50
2012-07-19,414.80,421.10,413.80,416.80,937600,416.80
2012-07-18,431.50,431.77,412.60,415.60,1623900,415.60
2012-07-17,442.50,442.50,425.40,428.50,1091100,428.50
2012-07-16,458.60,458.60,439.80,439.90,1099300,439.90
2012-07-13,429.80,464.60,427.90,461.60,1600200,461.60
2012-07-12,431.80,438.60,419.70,425.00,985500,425.00
2012-07-11,447.00,454.22,434.20,438.10,843000,438.10
2012-07-10,453.90,464.50,449.69,452.10,1009300,452.10
2012-07-09,456.40,461.90,449.15,455.50,838900,455.50
2012-07-06,479.20,479.20,452.70,458.80,1275700,458.80
2012-07-05,480.00,495.00,473.90,477.60,1207300,477.60
2012-07-04,474.50,483.70,474.50,479.90,1204500,479.90
2012-07-03,472.90,485.10,470.00,477.50,1239100,477.50
2012-07-02,459.00,475.00,454.60,472.50,1727600,472.50
2012-06-29,453.30,460.90,447.63,455.60,1208900,455.60
2012-06-28,449.50,451.50,429.00,437.40,1777700,437.40
2012-06-27,454.10,460.00,435.00,447.00,994400,447.00
2012-06-26,461.10,466.50,455.80,457.40,1267100,457.40
2012-06-25,464.90,476.90,457.50,460.00,1737900,460.00
2012-06-22,462.00,464.40,454.00,455.30,1256300,455.30
2012-06-21,477.80,487.20,463.80,471.20,1822600,471.20
2012-06-20,487.50,498.50,478.30,482.50,1810500,482.50
2012-06-19,475.70,487.20,471.30,485.30,1294300,485.30
2012-06-18,494.00,494.00,452.40,472.20,2636000,472.20
2012-06-15,475.80,494.80,468.70,494.50,3527400,494.50
2012-06-14,429.40,471.20,420.20,469.90,5448000,469.90
2012-06-13,413.00,415.60,403.20,410.90,1211600,410.90
2012-06-12,409.50,412.40,399.40,407.90,1342900,407.90
2012-06-11,440.40,440.40,408.70,410.90,1394800,410.90
2012-06-08,418.10,429.20,412.00,425.70,1958900,425.70
2012-06-07,428.00,437.70,415.10,424.50,2574300,424.50
2012-06-06,395.00,431.50,392.00,425.60,3484900,425.60
2012-06-01,368.00,390.00,358.80,388.10,2581100,388.10
2012-05-31,364.60,378.70,359.90,367.00,1936200,367.00
2012-05-30,382.90,382.90,359.50,361.70,1912300,361.70
2012-05-29,383.90,390.00,377.90,386.70,1360900,386.70
2012-05-28,378.40,386.30,376.50,377.90,676000,377.90
2012-05-25,383.10,386.90,370.40,372.30,1331400,372.30
2012-05-24,389.90,390.10,378.30,384.70,1530700,384.70
2012-05-23,413.00,413.00,378.60,380.50,2273400,380.50
2012-05-22,418.30,422.20,415.10,418.60,1694500,418.60
2012-05-21,391.50,412.40,391.20,411.60,2271200,411.60
2012-05-18,393.00,401.00,388.00,391.60,1514800,391.60
2012-05-17,400.90,404.30,387.73,400.70,1636700,400.70
2012-05-16,381.90,405.83,363.70,399.50,3546000,399.50
2012-05-14,423.80,423.80,408.20,412.10,1016600,412.10
2012-05-11,434.00,434.00,415.70,431.00,1268700,431.00
2012-05-10,419.90,444.10,416.30,436.20,1972500,436.20
2012-05-09,425.80,427.02,405.90,414.60,1666600,414.60
2012-05-08,430.10,439.49,422.00,423.80,2153000,423.80
2012-05-04,450.70,454.00,426.50,430.20,2695200,430.20
2012-05-03,462.00,466.20,451.50,453.80,1272800,453.80
2012-05-02,476.80,482.05,459.30,462.20,1507400,462.20
2012-05-01,479.60,479.60,466.10,478.10,1111100,478.10
2012-04-30,487.90,492.00,475.50,476.80,1123000,476.80
2012-04-27,464.00,489.76,463.00,488.20,2043100,488.20
2012-04-26,472.00,481.10,466.30,470.60,2126700,470.60
2012-04-25,453.60,476.64,451.50,470.80,2928600,470.80
2012-04-24,460.60,465.50,450.00,451.80,3166900,451.80
2012-04-23,471.40,473.00,457.30,460.60,1926500,460.60
2012-04-20,481.00,481.00,471.40,474.50,1616500,474.50
2012-04-19,499.50,504.00,478.20,478.50,2138600,478.50
2012-04-18,504.00,507.50,496.20,496.80,1304200,496.80
2012-04-17,487.60,505.50,480.30,503.00,1893300,503.00
2012-04-16,503.00,523.00,488.30,489.80,1704800,489.80
2012-04-13,522.50,529.24,503.00,506.50,1606000,506.50
2012-04-12,517.00,537.00,506.50,524.50,2541400,524.50
2012-04-11,486.00,507.50,486.00,501.50,1765000,501.50
2012-04-10,511.00,512.16,485.00,486.20,1845000,486.20
2012-04-05,515.00,524.76,499.50,516.00,2104900,516.00
2012-04-04,546.00,547.89,503.50,515.00,4157000,515.00
2012-04-03,563.00,563.50,547.00,551.00,2222000,551.00
2012-04-02,565.00,574.00,544.50,560.50,3354800,560.50
2012-03-30,590.00,604.00,550.65,557.00,3601100,557.00
2012-03-29,610.00,610.08,580.50,585.00,3397800,585.00
2012-03-28,646.00,670.00,615.03,621.00,3515700,621.00
2012-03-27,631.00,632.66,616.00,620.00,1354200,620.00
2012-03-26,619.00,630.50,608.11,616.85,1439400,616.85
2012-03-23,610.50,621.32,600.00,614.00,1236700,614.00
2012-03-22,623.00,623.71,601.50,607.50,1307100,607.50
2012-03-21,619.50,632.14,614.00,629.50,1071700,629.50
2012-03-20,626.50,630.00,604.50,615.00,1667400,615.00
2012-03-19,635.00,639.96,624.50,630.50,875300,630.50
2012-03-16,632.00,645.00,622.02,636.50,2239600,636.50
2012-03-15,628.00,640.50,624.50,630.00,1202800,630.00
2012-03-14,671.50,672.00,622.50,625.00,1621000,625.00
2012-03-13,677.00,677.60,661.00,666.50,893900,666.50
2012-03-12,642.50,675.00,642.50,672.00,1311700,672.00
2012-03-09,652.50,664.37,633.50,652.00,980200,652.00
2012-03-08,638.00,665.90,637.50,650.50,947900,650.50
2012-03-07,627.00,643.60,625.00,635.00,1060700,635.00
2012-03-06,655.00,667.98,616.00,625.50,1943600,625.50
2012-03-05,683.00,693.00,656.50,659.00,1777900,659.00
2012-03-02,681.00,696.00,659.00,693.00,1916700,693.00
2012-03-01,715.00,716.00,675.50,675.50,2189400,675.50
2012-02-29,747.50,753.50,716.00,718.24,1452200,718.24
2012-02-28,737.00,745.00,725.50,744.00,1047100,744.00
2012-02-27,732.50,738.50,718.75,736.00,941800,736.00
2012-02-24,750.00,757.50,725.07,731.50,1064500,731.50
2012-02-23,740.50,774.50,738.50,749.00,2541800,749.00
2012-02-22,738.00,753.00,728.00,737.50,3047300,737.50
2012-02-21,708.00,743.00,703.50,738.50,1577500,738.50
2012-02-20,701.00,718.50,692.50,696.50,954900,696.50
2012-02-17,688.00,712.83,687.48,698.50,1443800,698.50
2012-02-16,678.50,680.50,652.00,680.00,1538100,680.00
2012-02-15,700.50,704.00,682.00,684.50,1134700,684.50
2012-02-14,713.00,717.00,688.00,693.00,906800,693.00
2012-02-13,719.50,727.89,710.00,716.00,842300,716.00
2012-02-10,742.50,810.00,706.00,716.20,2592300,716.20
2012-02-09,757.00,761.55,736.50,743.50,1239300,743.50
2012-02-08,778.50,784.00,750.50,754.00,802200,754.00
2012-02-07,771.00,774.51,744.00,774.00,1699700,774.00
2012-02-06,801.50,805.50,765.00,772.00,1089600,772.00
2012-02-03,802.00,811.50,796.00,808.50,1590500,808.50
2012-02-02,792.00,826.66,789.00,813.00,2486300,813.00
2012-02-01,760.00,788.00,760.00,777.57,1491500,777.57
2012-01-31,745.50,772.00,742.00,756.50,1599900,756.50
2012-01-30,748.00,761.00,737.00,740.50,1509700,740.50
2012-01-27,765.00,777.00,738.50,758.00,1538000,758.00
2012-01-26,725.81,791.00,722.00,772.00,4841800,772.00
2012-01-25,688.50,699.50,681.00,696.50,1180300,696.50
2012-01-24,694.50,696.85,672.50,687.50,776600,687.50
2012-01-23,698.00,700.32,689.00,697.00,610100,697.00
2012-01-20,698.00,700.50,680.00,689.50,518000,689.50
2012-01-19,684.50,698.97,653.50,698.00,944600,698.00
2012-01-18,684.50,699.39,669.00,689.00,771500,689.00
2012-01-17,694.00,705.50,678.50,680.46,654000,680.46
2012-01-16,677.50,682.00,666.00,681.00,473000,681.00
2012-01-13,692.00,692.00,664.50,678.50,342300,678.50
2012-01-12,680.00,709.00,678.83,683.50,677200,683.50
2012-01-11,679.00,697.00,674.50,680.50,571300,680.50
2012-01-10,670.50,690.00,670.50,677.50,644200,677.50
2012-01-09,676.00,680.00,659.00,665.00,399600,665.00
2012-01-06,651.00,672.95,645.50,671.00,839300,671.00
2012-01-05,649.00,675.00,647.50,653.50,972900,653.50
2012-01-04,653.00,658.05,636.50,644.50,611000,644.50
2012-01-03,629.50,654.50,624.00,654.50,909000,654.50
2011-12-30,603.00,621.00,602.00,615.00,192600,615.00
