Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,24.70,24.70,22.50,22.50,29500,22.50
2012-08-02,23.00,23.00,22.50,22.50,50500,22.50
2012-08-01,22.75,25.00,22.75,25.00,37700,25.00
2012-07-31,23.30,23.00,23.00,23.00,27100,23.00
2012-07-27,24.50,24.50,23.67,24.50,8400,24.50
2012-07-26,23.50,24.50,23.50,24.00,160400,24.00
2012-07-25,24.00,24.70,24.00,24.50,91200,24.50
2012-07-24,25.00,25.50,23.50,23.50,41400,23.50
2012-07-23,23.75,25.00,23.75,25.00,13800,25.00
2012-07-20,25.10,23.75,23.75,23.75,46400,23.75
2012-07-19,25.25,25.25,24.05,25.25,18200,25.25
2012-07-18,24.50,26.00,24.38,24.75,64900,24.75
2012-07-17,25.25,25.50,24.75,24.75,280500,24.75
2012-07-16,25.00,25.25,23.31,25.25,10100,25.25
2012-07-13,24.00,25.25,23.50,23.70,58800,23.70
2012-07-12,24.00,25.25,23.75,23.75,38200,23.75
2012-07-11,25.00,25.25,23.50,25.25,63600,25.25
2012-07-10,23.50,25.50,23.50,24.50,277700,24.50
2012-07-09,24.00,25.50,23.50,23.50,110300,23.50
2012-07-06,25.25,25.25,24.00,25.00,91000,25.00
2012-07-05,24.25,24.50,23.17,24.00,70900,24.00
2012-07-04,22.00,24.50,21.67,24.50,501900,24.50
2012-07-03,19.75,22.00,19.75,22.00,75300,22.00
2012-07-02,22.50,24.04,19.50,20.25,416000,20.25
2012-06-29,19.00,22.31,18.00,22.00,2890800,22.00
2012-06-28,36.25,36.25,34.25,34.75,111200,34.75
2012-06-27,36.00,37.56,35.25,35.50,225800,35.50
2012-06-26,36.00,37.19,36.00,36.00,21900,36.00
2012-06-25,36.50,36.50,36.50,36.50,21600,36.50
2012-06-22,37.25,38.71,36.50,36.50,113500,36.50
2012-06-21,37.00,38.38,37.00,37.00,42900,37.00
2012-06-20,37.00,39.00,37.00,37.50,20400,37.50
2012-06-19,37.25,38.34,36.75,36.75,47900,36.75
2012-06-18,38.00,40.00,37.00,37.00,40900,37.00
2012-06-15,39.50,40.25,35.98,36.00,238900,36.00
2012-06-14,40.50,41.25,40.00,40.00,101900,40.00
2012-06-13,40.50,41.25,40.50,41.00,26700,41.00
2012-06-12,43.00,43.25,38.25,40.00,148000,40.00
2012-06-11,42.50,43.00,41.75,41.75,17500,41.75
2012-06-08,42.00,42.50,41.00,42.50,44600,42.50
2012-06-07,41.00,42.00,39.25,42.00,27200,42.00
2012-06-06,39.50,41.12,38.50,41.00,62400,41.00
2012-06-01,42.50,44.50,39.75,39.75,183700,39.75
2012-05-31,44.50,46.25,40.25,42.50,2214300,42.50
2012-05-30,47.00,47.00,45.31,45.50,47000,45.50
2012-05-29,45.00,46.00,45.00,45.50,232800,45.50
2012-05-28,44.50,47.00,44.50,44.80,242100,44.80
2012-05-25,45.00,46.97,44.50,45.25,242400,45.25
2012-05-24,45.25,46.75,45.00,45.00,142000,45.00
2012-05-23,45.25,47.25,44.50,45.00,84000,45.00
2012-05-22,47.75,48.50,45.25,45.25,276600,45.25
2012-05-21,48.00,48.50,48.00,48.50,192100,48.50
2012-05-18,46.50,46.85,45.00,46.00,107000,46.00
2012-05-17,48.00,50.00,46.75,49.00,128000,49.00
2012-05-16,50.00,51.50,48.78,49.25,69900,49.25
2012-05-14,51.25,52.75,50.90,52.75,103600,52.75
2012-05-11,51.00,54.00,51.00,54.00,42900,54.00
2012-05-10,53.75,53.75,51.25,52.00,57900,52.00
2012-05-09,51.75,53.50,51.25,51.75,67300,51.75
2012-05-08,53.50,53.50,51.00,51.00,10800,51.00
2012-05-04,54.00,54.08,52.75,53.90,124700,53.90
