Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,625.50,631.00,617.50,621.00,282000,622.00
2012-08-02,625.50,631.00,617.50,622.00,419200,622.00
2012-08-01,614.00,628.50,613.00,624.50,530300,624.50
2012-07-31,624.00,624.00,611.50,615.50,776300,615.50
2012-07-27,639.50,640.50,628.25,637.50,516600,637.50
2012-07-26,609.50,632.00,607.26,632.00,525000,632.00
2012-07-25,615.50,619.50,600.50,606.00,788800,606.00
2012-07-24,623.00,629.10,615.00,617.00,647400,617.00
2012-07-23,643.00,648.17,611.50,618.00,1001300,618.00
2012-07-20,662.00,664.50,651.50,651.50,1570000,651.50
2012-07-19,648.00,664.00,647.46,662.00,869200,662.00
2012-07-18,643.50,651.50,642.00,644.50,508200,644.50
2012-07-17,654.00,654.00,640.42,640.50,557300,640.50
2012-07-16,635.50,649.00,630.00,648.00,783800,648.00
2012-07-13,627.50,636.50,627.17,635.00,381800,635.00
2012-07-12,621.50,629.00,621.50,625.00,846100,625.00
2012-07-11,626.00,638.95,615.50,622.50,475500,622.50
2012-07-10,631.50,637.00,627.50,630.50,848900,630.50
2012-07-09,625.50,638.50,625.50,631.00,931100,631.00
2012-07-06,640.00,640.00,630.00,638.50,649900,638.50
2012-07-05,629.50,641.00,626.00,638.50,1228400,638.50
2012-07-04,621.00,626.00,614.50,626.00,1154500,626.00
2012-07-03,634.00,647.00,619.00,621.50,1483900,621.50
2012-07-02,612.50,636.00,611.00,635.00,1364000,635.00
2012-06-29,586.00,614.00,583.00,609.00,1289300,609.00
2012-06-28,588.50,589.00,566.00,570.00,936100,570.00
2012-06-27,590.00,590.00,580.50,587.50,832200,587.50
2012-06-26,587.00,592.00,585.00,587.50,1084700,587.50
2012-06-25,600.50,607.00,589.00,589.00,830100,589.00
2012-06-22,600.00,605.50,592.00,603.50,1307400,603.50
2012-06-21,608.00,619.00,603.50,608.50,648200,608.50
2012-06-20,596.00,614.50,588.50,614.00,764400,614.00
2012-06-19,592.50,597.26,585.50,593.50,973700,593.50
2012-06-18,593.50,594.50,578.40,590.00,1137300,590.00
2012-06-15,569.50,589.50,568.50,580.00,2202300,580.00
2012-06-14,567.00,568.72,550.00,567.50,928800,567.50
2012-06-13,575.00,584.50,558.00,570.50,1022400,570.50
2012-06-12,589.50,593.45,567.00,576.50,1862600,576.50
2012-06-11,600.00,606.41,589.00,591.50,1231900,591.50
2012-06-08,580.50,594.00,573.50,592.00,1243100,592.00
2012-06-07,555.00,588.50,552.33,586.50,1163300,586.50
2012-06-06,533.00,553.50,531.00,553.00,1479200,553.00
2012-06-01,565.50,570.00,521.50,532.00,2697800,532.00
2012-05-31,565.00,575.00,562.00,568.00,1195500,568.00
2012-05-30,569.50,572.32,560.00,565.00,950100,565.00
2012-05-29,569.50,575.56,557.50,575.50,1332300,575.50
2012-05-28,555.00,572.00,552.00,568.00,590800,568.00
2012-05-25,560.00,562.00,542.50,550.50,853200,550.50
2012-05-24,561.50,563.00,549.00,558.50,600400,558.50
2012-05-23,562.56,567.00,555.00,556.00,832400,556.00
2012-05-22,554.00,575.00,554.00,572.00,1065000,572.00
2012-05-21,551.00,554.50,545.00,548.50,815100,548.50
2012-05-18,557.50,557.50,538.00,550.00,1977700,550.00
2012-05-17,572.00,576.50,555.50,563.50,1130000,563.50
2012-05-16,542.00,574.50,534.30,570.00,1325300,570.00
2012-05-14,587.50,590.50,569.00,574.50,925300,574.50
2012-05-11,588.50,595.50,583.00,590.06,759700,590.06
2012-05-10,572.50,596.00,572.00,590.00,1555700,590.00
2012-05-09,560.50,565.50,554.95,564.00,1378100,564.00
2012-05-08,594.00,595.00,561.00,563.50,1376600,563.50
2012-05-04,625.50,625.50,589.00,589.50,1444900,589.50
2012-05-03,633.50,636.50,624.50,626.00,872900,626.00
2012-05-02,632.50,638.00,627.50,632.50,922800,632.50
2012-05-01,629.00,632.01,619.50,628.00,697700,628.00
2012-04-30,641.00,645.94,625.50,628.50,764800,628.50
2012-04-27,633.50,644.00,627.50,640.00,713600,640.00
2012-04-26,628.00,639.50,628.00,638.50,777300,638.50
2012-04-25,629.00,635.00,623.50,625.00,1866800,625.00
2012-04-24,619.50,630.50,618.00,625.50,1308500,625.50
2012-04-23,640.00,642.00,615.50,618.00,1023600,618.00
2012-04-20,648.00,648.20,637.50,641.00,1320900,641.00
2012-04-19,639.50,652.00,636.50,650.00,1374700,650.00
2012-04-18,641.50,641.50,622.50,634.50,1129200,634.50
2012-04-17,624.00,643.00,618.00,640.50,1404400,640.50
2012-04-16,637.50,637.76,621.00,626.00,1477800,626.00
2012-04-13,637.00,651.50,632.00,639.50,1489900,639.50
2012-04-12,630.00,642.00,622.00,637.00,1780400,637.00
2012-04-11,613.50,637.50,612.17,633.78,1551700,633.78
2012-04-10,620.00,628.50,615.00,615.00,1015900,615.00
2012-04-05,620.00,632.50,616.50,628.00,897100,628.00
