Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,332.50,345.75,332.50,339.89,761600,339.89
2012-06-26,335.25,343.50,332.00,335.34,309400,335.34
2012-06-25,342.50,346.50,332.75,336.85,552600,336.85
2012-06-22,338.00,347.00,327.25,330.91,539900,330.91
2012-06-21,347.50,349.75,342.00,347.23,424900,347.23
2012-06-20,351.00,352.50,343.75,347.35,942200,347.35
2012-06-19,330.00,352.50,330.00,345.19,12396600,345.19
2012-06-18,338.25,340.00,334.25,335.90,491000,335.90
2012-06-15,334.00,344.00,333.00,338.52,617300,338.52
2012-06-14,340.00,342.25,331.25,334.17,1134900,334.17
2012-06-13,344.25,348.25,334.50,334.50,611100,334.50
2012-06-12,350.00,358.50,343.50,345.00,736100,345.00
2012-06-11,356.00,362.50,352.25,359.63,774100,359.63
2012-06-08,351.75,358.75,342.33,356.39,587200,356.39
2012-06-07,354.25,359.00,347.00,354.50,599100,354.50
2012-06-06,330.00,355.25,330.00,349.33,1152200,349.33
2012-06-01,347.00,347.50,333.25,338.57,775800,338.57
2012-05-31,354.00,357.75,340.25,348.39,1195000,348.39
2012-05-30,356.75,359.00,353.00,355.00,706100,355.00
2012-05-29,359.00,364.25,353.50,359.81,690200,359.81
2012-05-28,361.50,365.00,358.00,361.59,511100,361.59
2012-05-25,358.00,364.75,353.25,357.54,540000,357.54
2012-05-24,363.25,363.25,352.75,355.75,3899100,355.75
2012-05-23,356.50,362.25,355.25,357.82,792900,357.82
2012-05-22,361.75,363.03,357.25,361.14,642300,361.14
2012-05-21,353.00,369.50,352.50,364.99,561900,364.99
2012-05-18,361.75,361.75,354.50,358.50,679000,358.50
2012-05-17,375.00,375.00,360.25,367.64,734400,367.64
2012-05-16,372.75,372.75,360.25,364.25,807200,364.25
2012-05-14,379.25,379.25,364.00,373.38,2415700,373.38
2012-05-11,384.25,386.75,372.75,378.75,1232500,378.75
2012-05-10,382.25,390.25,377.25,383.68,1744700,383.68
2012-05-09,381.25,385.00,371.00,377.25,1650400,377.25
2012-05-08,381.25,393.75,376.00,377.00,1327900,377.00
2012-05-04,391.50,392.62,378.25,384.75,1199100,384.75
2012-05-03,388.50,398.25,379.38,393.50,1628700,393.50
2012-05-02,370.00,399.75,370.00,385.05,2477900,385.05
2012-05-01,365.00,375.00,365.00,371.18,721600,371.18
2012-04-30,373.50,373.50,367.37,370.64,650900,370.64
2012-04-27,367.50,375.00,367.00,372.52,884200,372.52
2012-04-26,372.00,375.00,337.97,369.28,1071800,369.28
2012-04-25,380.25,380.25,366.00,370.15,1796500,370.15
2012-04-24,360.00,383.55,360.00,379.50,1712300,379.50
2012-04-23,369.25,380.25,360.00,369.52,1953300,369.52
2012-04-20,344.50,378.61,344.25,370.69,3546900,370.69
2012-04-19,345.00,353.00,337.97,346.50,3755300,346.50
2012-04-18,342.00,347.75,330.00,344.19,2239600,344.19
2012-04-17,347.00,355.64,316.66,337.80,6962000,337.80
2012-04-16,355.00,365.65,350.39,350.39,2913000,350.39
2012-04-13,354.00,360.00,348.75,355.75,954300,355.75
2012-04-12,355.25,359.75,352.75,357.25,1906300,357.25
2012-04-11,350.00,359.00,347.00,355.89,1338700,355.89
2012-04-10,354.00,361.25,352.25,352.39,1003500,352.39
2012-04-05,354.00,362.00,347.75,351.00,1559800,351.00
2012-04-04,362.25,364.50,349.50,357.94,975700,357.94
2012-04-03,365.50,370.50,362.25,365.00,577300,365.00
2012-04-02,366.25,367.50,359.25,362.09,291900,362.09
2012-03-30,363.00,368.00,358.00,365.73,403500,365.73
2012-03-29,357.50,361.50,355.00,357.57,1131800,357.57
2012-03-28,362.75,368.75,350.51,365.00,14760200,365.00
2012-03-27,355.50,368.25,355.50,360.69,1118100,360.69
2012-03-26,355.00,360.00,352.52,354.75,788400,354.75
2012-03-23,347.50,354.75,341.70,351.25,1574900,351.25
2012-03-21,352.50,355.25,345.00,346.50,3796000,346.50
2012-03-20,355.00,355.75,334.15,350.10,554800,350.10
2012-03-19,350.00,360.00,344.62,352.39,1401700,352.39
2012-03-16,336.75,349.50,331.00,336.50,2155700,336.50
2012-03-15,331.00,344.00,325.75,334.15,1945900,334.15
2012-03-14,324.25,334.75,321.25,332.50,925800,332.50
2012-03-13,324.75,330.00,320.50,328.90,978400,328.90
2012-03-12,312.00,332.98,312.00,326.55,1421200,326.55
2012-03-09,315.00,317.00,306.25,312.54,537300,312.54
2012-03-08,303.00,313.75,301.00,310.96,429500,310.96
2012-03-07,300.00,305.00,293.25,303.24,309400,303.24
2012-03-06,310.25,312.50,297.70,305.37,361100,305.37
2012-03-05,307.25,316.25,305.50,311.97,377700,311.97
2012-03-02,302.00,311.25,302.00,309.07,399900,309.07
2012-03-01,301.00,310.00,300.00,303.25,615700,303.25
2012-02-29,306.50,309.05,301.50,305.99,362800,305.99
2012-02-28,305.50,309.75,305.25,307.88,339700,307.88
2012-02-27,307.50,309.00,301.25,308.02,554700,308.02
2012-02-24,314.00,314.00,299.50,305.22,2424100,305.22
2012-02-23,318.00,318.00,301.25,305.61,1713500,305.61
2012-02-22,319.50,320.00,312.00,317.63,388500,317.63
2012-02-21,314.50,319.00,310.70,317.85,213700,317.85
2012-02-20,308.25,313.25,304.75,307.04,802100,307.04
2012-02-17,313.00,317.00,302.50,305.25,387700,305.25
2012-02-16,315.00,315.00,305.25,309.25,365700,309.25
2012-02-15,317.00,317.25,307.25,315.36,741300,315.36
2012-02-14,310.00,319.50,310.00,314.97,588500,314.97
2012-02-13,310.00,316.50,305.75,311.75,437200,311.75
2012-02-10,307.75,313.25,305.00,308.80,427300,308.80
2012-02-09,310.75,315.50,306.25,312.01,294400,312.01
2012-02-08,312.50,315.50,311.25,312.42,216500,312.42
2012-02-07,318.00,321.25,312.00,320.64,334400,320.64
2012-02-06,310.00,324.00,305.00,320.01,931200,320.01
2012-02-03,306.50,314.25,305.25,307.60,433400,307.60
2012-02-02,300.00,312.50,300.00,303.35,414400,303.35
2012-02-01,297.00,304.75,293.40,299.16,862600,299.16
2012-01-31,300.00,300.00,291.75,299.25,744200,299.25
2012-01-30,290.00,300.00,285.00,296.01,1564700,296.01
2012-01-27,299.00,299.00,288.75,295.88,710200,295.88
2012-01-26,303.00,303.00,295.25,297.54,256700,297.54
2012-01-25,304.25,305.79,297.75,299.39,645700,299.39
2012-01-24,321.00,324.75,292.00,295.65,935800,295.65
2012-01-23,304.75,313.75,302.75,311.45,2055800,311.45
2012-01-20,304.00,304.75,292.25,301.00,4313700,301.00
2012-01-19,302.00,306.75,293.75,297.06,994300,297.06
2012-01-18,297.25,305.50,297.25,301.58,1160400,301.58
2012-01-17,304.25,304.25,295.50,299.91,495200,299.91
2012-01-16,298.00,303.00,291.00,296.91,1260600,296.91
2012-01-13,297.00,300.25,291.00,300.25,1780800,300.25
2012-01-12,282.00,298.25,282.00,297.13,2207600,297.13
2012-01-11,286.50,295.00,276.25,283.50,13083300,283.50
2012-01-10,285.00,286.75,279.50,285.91,1199100,285.91
2012-01-09,289.50,290.00,277.50,284.25,1425400,284.25
2012-01-06,291.50,296.75,287.00,291.00,2201700,291.00
2012-01-05,282.00,293.25,278.25,291.78,14744500,291.78
2012-01-04,285.00,289.00,262.25,278.31,2947700,278.31
2012-01-03,281.50,291.75,281.50,286.71,3163000,286.71
2011-12-30,267.75,284.25,267.75,282.00,228800,282.00
2011-12-29,268.50,273.00,259.00,266.09,768400,266.09
2011-12-28,243.00,284.00,243.00,266.87,1381700,266.87
2011-12-23,233.50,234.75,230.75,231.44,399900,231.44
2011-12-22,221.75,231.75,221.75,229.76,250100,229.76
2011-12-21,229.50,229.50,219.50,223.07,484000,223.07
2011-12-20,221.00,231.00,217.75,228.43,781500,228.43
2011-12-19,226.00,229.25,221.00,224.13,195400,224.13
2011-12-16,228.00,233.00,224.50,230.00,272400,230.00
2011-12-15,226.00,232.50,221.50,227.70,994800,227.70
2011-12-14,225.00,230.00,220.75,223.71,3212500,223.71
2011-12-13,231.25,233.00,223.00,225.02,643600,225.02
2011-12-12,229.25,233.00,225.75,230.06,564700,230.06
2011-12-09,226.00,236.75,226.00,235.13,326800,235.13
2011-12-08,240.00,242.75,226.25,226.25,655300,226.25
2011-12-07,239.00,244.75,236.25,241.00,327800,241.00
2011-12-06,248.00,252.25,238.50,242.96,416600,242.96
2011-12-05,242.75,255.00,239.25,252.75,855100,252.75
2011-12-02,237.00,251.50,233.25,243.64,813700,243.64
2011-12-01,235.00,239.25,232.00,233.81,4741200,233.81
2011-11-30,236.00,239.75,230.25,236.28,1816500,236.28
2011-11-29,236.75,240.25,229.50,235.19,559700,235.19
2011-11-28,232.00,243.75,225.00,232.92,2162700,232.92
2011-11-25,226.50,232.00,224.38,224.74,761300,224.74
2011-11-24,215.50,233.00,215.33,226.17,941700,226.17
2011-11-23,218.00,220.25,210.00,215.50,1023500,215.50
2011-11-22,221.75,230.00,218.75,223.21,287800,223.21
2011-11-21,230.25,230.75,221.25,227.45,773000,227.45
2011-11-18,236.00,238.82,229.00,236.45,512100,236.45
2011-11-17,242.00,240.14,232.75,240.14,924700,240.14
2011-11-16,247.00,254.77,234.00,238.62,2896300,238.62
2011-11-15,250.50,257.75,248.80,254.77,673400,254.77
2011-11-14,255.75,261.50,248.00,250.19,518200,250.19
2011-11-11,250.25,263.25,250.25,257.36,656200,257.36
2011-11-10,258.00,258.00,247.75,253.19,341200,253.19
2011-11-09,276.00,289.75,254.75,256.25,878200,256.25
2011-11-08,271.75,281.00,270.00,274.75,626700,274.75
2011-11-07,270.00,274.75,266.50,273.05,625800,273.05
2011-11-04,265.50,280.50,265.50,275.32,470600,275.32
2011-11-03,260.00,282.00,258.75,279.50,702700,279.50
2011-11-02,261.50,270.00,257.00,264.38,542300,264.38
2011-11-01,271.25,271.25,258.25,262.75,832400,262.75
2011-10-31,269.25,275.00,263.25,265.70,768900,265.70
2011-10-28,266.75,275.00,263.25,268.47,399300,268.47
2011-10-27,255.00,274.25,255.00,270.86,1766700,270.86
2011-10-26,252.25,262.00,246.00,257.84,1090600,257.84
2011-10-25,239.00,254.25,237.00,246.90,1610300,246.90
2011-10-24,246.50,246.50,235.00,239.24,1384600,239.24
2011-10-21,243.50,245.75,239.75,243.16,668500,243.16
2011-10-20,255.00,256.50,240.25,250.14,1519400,250.14
2011-10-19,256.25,264.50,255.00,257.52,449200,257.52
2011-10-18,268.75,268.75,258.00,259.58,1174400,259.58
2011-10-17,267.25,273.25,263.25,265.14,826800,265.14
2011-10-14,268.00,276.75,257.75,266.65,759300,266.65
2011-10-13,265.25,277.00,260.00,271.72,1226300,271.72
2011-10-12,255.00,274.25,255.00,266.34,1891100,266.34
2011-10-11,248.00,264.00,248.00,259.07,552300,259.07
2011-10-10,243.00,246.25,238.00,242.38,992200,242.38
2011-10-07,250.50,257.00,242.25,246.65,372700,246.65
2011-10-06,242.75,254.25,239.75,246.13,630700,246.13
2011-10-05,242.25,253.50,241.00,249.25,1516900,249.25
2011-10-04,250.00,257.00,242.00,242.25,525700,242.25
2011-10-03,257.50,257.50,244.25,250.00,668500,250.00
2011-09-30,262.25,262.25,252.00,258.69,568600,258.69
