Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,6.19,6.38,6.01,6.12,11500,6.35
2012-08-02,6.19,6.38,6.01,6.35,102200,6.35
2012-08-01,6.00,6.49,6.00,6.00,92000,6.00
2012-07-31,5.80,6.25,5.80,6.00,520300,6.00
2012-07-27,6.01,6.40,6.00,6.25,220300,6.25
2012-07-26,6.00,6.56,5.80,6.50,865600,6.50
2012-07-25,6.00,6.00,5.62,5.75,196100,5.75
2012-07-24,6.00,6.00,5.60,5.61,309100,5.61
2012-07-23,6.00,6.00,5.61,5.70,226300,5.70
2012-07-20,5.85,6.07,5.60,5.75,632900,5.75
2012-07-19,6.00,6.37,5.79,5.97,1022000,5.97
2012-07-18,5.98,6.06,5.74,5.90,1742300,5.90
2012-07-17,6.70,6.90,5.60,6.07,573800,6.07
2012-07-16,6.75,7.06,6.44,6.75,891600,6.75
2012-07-13,6.70,6.70,6.64,6.64,81000,6.64
2012-07-12,6.93,7.00,6.33,6.93,340100,6.93
2012-07-11,6.75,7.00,6.50,6.76,168000,6.76
2012-07-10,7.00,7.02,6.75,7.00,8180600,7.00
2012-07-09,7.00,7.39,6.50,7.39,29700,7.39
2012-07-06,6.80,7.40,6.60,6.80,989300,6.80
2012-07-05,6.50,6.92,6.50,6.92,272400,6.92
2012-07-04,6.25,6.40,6.25,6.40,56900,6.40
2012-07-03,5.75,6.57,5.75,6.25,246700,6.25
2012-07-02,6.55,6.55,5.92,5.92,330200,5.92
2012-06-29,6.59,6.60,5.51,6.33,907000,6.33
2012-06-28,6.70,7.00,6.25,6.25,463700,6.25
2012-06-27,6.75,7.50,6.61,6.70,361800,6.70
2012-06-26,7.00,7.00,6.82,6.82,354700,6.82
2012-06-25,7.09,7.09,6.75,6.75,565000,6.75
2012-06-22,7.50,7.50,6.82,6.85,434200,6.85
2012-06-21,7.50,7.50,7.00,7.15,231000,7.15
2012-06-20,7.50,7.50,7.00,7.21,115600,7.21
2012-06-19,7.23,7.51,7.21,7.21,304200,7.21
2012-06-18,7.50,8.00,7.50,7.70,80500,7.70
2012-06-15,8.14,8.14,7.50,7.50,428200,7.50
2012-06-14,8.16,8.16,7.75,8.00,72500,8.00
2012-06-13,8.00,8.17,7.75,8.09,60900,8.09
2012-06-12,8.07,8.50,7.80,8.05,101700,8.05
