Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,50.00,50.00,48.75,49.00,332100,49.75
2012-08-02,50.00,50.00,48.75,49.75,474000,49.75
2012-08-01,50.00,50.00,48.25,49.50,236500,49.50
2012-07-31,50.00,50.00,49.21,49.75,619400,49.75
2012-07-27,49.75,49.75,49.00,49.25,394000,49.25
2012-07-26,49.50,50.00,49.25,49.75,187700,49.75
2012-07-25,48.50,49.50,48.00,49.50,547400,49.50
2012-07-24,49.50,49.75,48.50,48.75,410700,48.75
2012-07-23,50.00,50.00,49.40,49.75,1362900,49.75
2012-07-20,47.75,51.00,47.75,50.50,1377300,50.50
2012-07-19,47.00,49.00,46.00,48.50,563800,48.50
2012-07-18,45.25,47.50,44.50,47.50,1617900,47.50
2012-07-17,44.00,45.25,44.00,44.50,414300,44.50
2012-07-16,45.00,45.00,43.75,44.00,245900,44.00
2012-07-13,43.75,44.25,43.50,44.00,243000,44.00
2012-07-12,43.75,44.50,43.75,43.75,614200,43.75
2012-07-11,44.00,44.50,43.50,44.50,314600,44.50
2012-07-10,43.50,45.38,43.50,45.00,323800,45.00
2012-07-09,43.50,44.46,43.00,44.00,571200,44.00
2012-07-06,42.50,45.50,42.50,45.50,10616900,45.50
2012-07-05,42.00,43.25,41.25,43.25,498800,43.25
2012-07-04,38.50,42.12,38.50,41.50,3314300,41.50
2012-07-03,37.00,37.75,37.00,37.50,483100,37.50
2012-07-02,36.96,37.50,36.75,37.50,2104500,37.50
2012-06-29,37.00,38.00,36.31,38.00,459500,38.00
2012-06-28,36.75,37.29,36.50,37.00,710100,37.00
2012-06-27,36.25,37.04,36.12,37.00,1702900,37.00
2012-06-26,37.00,37.06,36.00,36.00,1705200,36.00
2012-06-25,38.50,38.50,36.69,37.00,485400,37.00
2012-06-22,38.50,38.58,37.75,38.00,83600,38.00
2012-06-21,38.25,39.00,37.50,39.00,163700,39.00
2012-06-20,38.50,38.50,38.05,38.25,344600,38.25
2012-06-19,38.25,39.00,38.00,38.50,866900,38.50
2012-06-18,36.00,42.00,36.00,40.93,2778500,40.93
2012-06-15,33.00,33.50,32.50,33.00,1758700,33.00
2012-06-14,33.50,33.50,32.50,32.50,252100,32.50
2012-06-13,33.75,33.75,33.00,33.25,364600,33.25
2012-06-12,33.50,33.75,32.75,33.50,495200,33.50
2012-06-11,33.75,34.11,33.50,33.50,271800,33.50
2012-06-08,33.50,34.77,33.50,33.50,472400,33.50
2012-06-07,34.00,35.00,33.75,34.00,199400,34.00
2012-06-06,34.50,35.75,33.75,34.00,1112900,34.00
2012-06-01,35.00,35.25,33.50,34.00,404800,34.00
2012-05-31,35.00,35.00,33.75,34.00,1525400,34.00
2012-05-30,34.25,34.75,34.00,34.50,227100,34.50
2012-05-29,35.00,35.18,34.00,34.00,10230800,34.00
2012-05-28,35.00,35.17,35.00,35.00,117000,35.00
2012-05-25,35.50,35.50,34.75,35.00,536000,35.00
2012-05-24,35.00,35.50,34.00,35.00,851500,35.00
2012-05-23,35.25,35.25,34.00,34.50,548700,34.50
2012-05-22,36.00,36.00,34.50,35.00,296000,35.00
2012-05-21,36.00,36.00,35.00,35.75,108900,35.75
2012-05-18,35.00,35.50,34.25,35.00,485800,35.00
2012-05-17,35.00,35.60,34.25,34.25,149300,34.25
2012-05-16,34.50,35.00,34.00,35.00,389300,35.00
2012-05-14,34.50,34.75,34.50,34.50,393600,34.50
2012-05-11,34.50,35.00,34.25,35.00,868800,35.00
2012-05-10,34.00,35.01,33.90,35.00,266500,35.00
2012-05-09,36.25,36.75,33.95,36.00,898600,36.00
2012-05-08,37.00,37.25,35.75,35.75,1026400,35.75
2012-05-04,36.50,37.00,35.75,35.75,404100,35.75
2012-05-03,37.00,37.62,36.50,36.50,396900,36.50
2012-05-02,39.00,39.00,36.50,36.75,466100,36.75
2012-05-01,38.25,38.25,37.00,37.50,213200,37.50
2012-04-30,38.50,38.50,37.50,38.25,163000,38.25
2012-04-27,37.50,38.75,37.50,37.50,273100,37.50
2012-04-26,38.25,38.61,38.00,38.00,149200,38.00
2012-04-25,38.25,39.00,38.00,38.00,267300,38.00
2012-04-24,38.50,38.50,37.62,38.00,408100,38.00
2012-04-23,39.00,39.00,38.00,38.50,340100,38.50
2012-04-20,38.75,38.75,38.25,38.25,185900,38.25
2012-04-19,39.50,39.50,37.75,38.75,238500,38.75
2012-04-18,38.00,39.50,38.00,39.50,147500,39.50
2012-04-17,39.00,39.00,38.25,38.50,284500,38.50
2012-04-16,38.50,39.25,37.75,37.75,667000,37.75
2012-04-13,38.50,38.50,38.06,38.50,213100,38.50
2012-04-12,38.00,38.50,37.62,38.50,376900,38.50
2012-04-11,38.75,38.75,38.00,38.25,345100,38.25
2012-04-10,39.00,39.06,38.25,38.38,676400,38.38
2012-04-05,39.75,39.75,38.75,39.75,220000,39.75
2012-04-04,39.00,39.30,38.50,39.00,268000,39.00
2012-04-03,38.25,39.50,38.25,39.50,306200,39.50
2012-04-02,39.00,39.00,37.75,38.00,268900,38.00
2012-03-30,39.50,39.50,38.00,38.50,250600,38.50
2012-03-29,38.50,39.50,38.25,38.50,519900,38.50
2012-03-28,39.50,39.62,37.00,38.25,489200,38.25
2012-03-27,40.00,40.00,39.00,39.75,299800,39.75
2012-03-26,40.00,40.51,39.50,40.25,364400,40.25
2012-03-23,40.75,41.50,38.50,39.50,363200,39.50
2012-03-22,41.00,41.73,40.25,40.25,230200,40.25
2012-03-21,41.75,42.00,40.70,41.25,554700,41.25
2012-03-20,41.00,42.00,40.75,42.00,154400,42.00
2012-03-19,40.75,42.75,40.75,41.00,123300,41.00
2012-03-16,42.75,42.75,40.94,41.00,420000,41.00
2012-03-15,40.75,42.75,40.50,42.75,525400,42.75
2012-03-14,43.00,43.00,42.00,42.50,281000,42.50
2012-03-13,42.00,42.75,41.25,42.75,117700,42.75
2012-03-12,42.75,43.00,41.35,41.75,56600,41.75
2012-03-09,41.25,42.00,40.75,41.50,125500,41.50
2012-03-08,42.00,42.25,41.25,41.50,163400,41.50
2012-03-07,41.50,42.42,41.00,41.00,97200,41.00
2012-03-06,41.75,42.50,41.12,41.50,1221100,41.50
2012-03-05,41.25,41.75,41.00,41.00,96400,41.00
2012-03-02,41.00,42.00,40.90,41.75,395000,41.75
2012-03-01,43.00,43.00,40.75,41.00,360500,41.00
