Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,168.30,168.90,166.70,167.10,428900,166.60
2012-08-02,168.30,168.90,166.40,166.60,830100,166.60
2012-08-01,167.70,169.00,167.20,168.20,431000,168.20
2012-07-31,172.00,172.00,167.50,167.50,1132300,167.50
2012-07-27,167.90,170.30,167.90,169.90,866700,169.90
2012-07-26,168.00,170.80,163.70,169.00,4108300,169.00
2012-07-25,164.00,165.70,163.10,165.50,808600,165.50
2012-07-24,164.00,164.80,163.80,164.30,1865200,164.30
2012-07-23,165.60,170.60,164.00,164.00,463000,164.00
2012-07-20,166.50,168.30,165.40,167.00,701100,167.00
2012-07-19,164.70,168.10,164.70,166.90,702000,166.90
2012-07-18,164.50,165.00,163.40,164.40,1161600,164.40
2012-07-17,163.20,166.50,163.00,163.80,620700,163.80
2012-07-16,162.00,165.80,162.00,164.50,1244300,164.50
2012-07-13,161.90,163.80,161.90,162.20,1494000,162.20
2012-07-12,160.60,162.61,157.36,162.30,1683000,162.30
2012-07-11,159.50,161.60,159.20,161.50,3529600,161.50
2012-07-10,160.90,161.30,159.60,160.00,794400,160.00
2012-07-09,160.40,160.50,158.80,160.50,1164900,160.50
2012-07-06,161.00,161.30,160.00,160.60,791900,160.60
2012-07-05,161.00,164.24,159.70,161.40,1257900,161.40
2012-07-04,160.30,161.80,159.26,160.90,1001100,160.90
2012-07-03,159.60,160.90,157.40,160.60,1309300,160.60
2012-07-02,157.00,159.80,155.90,159.80,1739200,159.80
2012-06-29,155.60,158.90,154.70,157.10,991500,157.10
2012-06-28,152.20,153.40,151.00,153.40,769700,153.40
2012-06-27,149.50,152.50,148.20,151.80,1049400,151.80
2012-06-26,152.00,152.00,149.00,149.60,892800,149.60
2012-06-25,152.70,153.40,151.49,151.80,829000,151.80
2012-06-22,156.10,156.10,151.90,153.50,1181000,153.50
2012-06-21,154.50,156.90,153.60,156.60,1394800,156.60
2012-06-20,151.20,155.02,149.70,155.00,800300,155.00
2012-06-19,149.00,151.50,147.80,151.00,792000,151.00
2012-06-18,150.50,151.50,146.10,149.20,2309700,149.20
2012-06-15,155.70,155.70,145.31,145.40,5472200,145.40
2012-06-14,155.00,156.90,154.40,155.40,816300,155.40
2012-06-13,156.00,157.30,152.50,154.90,590000,154.90
2012-06-12,155.20,155.90,153.80,155.20,1103700,155.20
2012-06-11,158.80,158.80,154.60,155.30,605300,155.30
2012-06-08,154.00,155.70,152.00,155.10,10529600,155.10
2012-06-07,153.30,156.70,152.60,154.50,950200,154.50
2012-06-06,150.00,153.20,149.00,153.00,755300,153.00
2012-06-01,153.60,154.60,149.40,150.00,1061500,150.00
2012-05-31,150.00,153.30,149.70,153.30,1396800,153.30
2012-05-30,150.00,151.10,150.00,150.00,1005300,150.00
2012-05-29,150.80,151.60,148.90,150.50,1556600,150.50
2012-05-28,149.20,151.10,147.31,150.50,514000,150.50
2012-05-25,151.50,151.50,146.90,148.00,865600,148.00
2012-05-24,149.80,152.10,145.60,152.00,1427900,152.00
2012-05-23,143.70,149.50,141.49,145.30,1314400,145.30
2012-05-22,144.00,145.13,141.80,143.70,865900,143.70
2012-05-21,143.10,144.30,141.50,143.00,514400,143.00
2012-05-18,142.90,144.30,141.70,142.20,360400,142.20
2012-05-17,144.70,147.30,143.80,144.00,570400,144.00
2012-05-16,145.80,146.40,143.30,144.80,722900,144.80
2012-05-14,144.80,147.30,142.00,147.30,832100,147.30
2012-05-11,146.70,147.40,144.80,145.30,1320800,145.30
2012-05-10,149.10,150.78,146.10,147.00,667700,147.00
2012-05-09,148.30,148.60,144.70,148.50,790600,148.50
2012-05-08,150.20,150.69,147.30,147.50,528100,147.50
2012-05-04,155.80,156.10,147.80,149.60,1015900,149.60
2012-05-03,157.00,157.30,155.50,156.10,1925500,156.10
2012-05-02,156.00,156.90,154.60,156.90,1748300,156.90
2012-05-01,152.30,157.00,152.10,156.00,2191000,156.00
2012-04-30,155.30,156.60,152.80,153.00,437700,153.00
2012-04-27,153.30,156.60,152.10,155.00,984800,155.00
2012-04-26,153.20,155.40,153.20,153.80,1252800,153.80
2012-04-25,149.40,153.30,148.10,153.00,1426400,153.00
2012-04-24,148.60,150.11,147.20,149.00,956200,149.00
2012-04-23,152.70,152.70,146.01,148.20,470200,148.20
2012-04-20,154.90,154.90,152.80,152.80,784700,152.80
2012-04-19,155.50,158.00,152.80,154.50,825700,154.50
2012-04-18,155.40,156.90,153.90,155.00,794500,155.00
2012-04-17,154.80,156.10,153.20,155.40,400300,155.40
2012-04-16,151.50,155.60,150.29,155.00,1102400,155.00
2012-04-13,152.60,153.80,149.80,152.00,456800,152.00
2012-04-12,150.00,153.20,150.00,153.00,485000,153.00
2012-04-11,148.90,151.10,148.90,150.00,823700,150.00
2012-04-10,150.70,151.20,148.50,148.80,707900,148.80
2012-04-05,153.00,153.00,149.23,151.60,585500,151.60
2012-04-04,153.50,154.70,151.90,152.50,448700,152.50
2012-04-03,156.00,156.86,153.90,154.00,679300,154.00
2012-04-02,159.30,159.70,154.00,156.60,934700,156.60
2012-03-30,153.00,159.80,150.03,159.30,2102100,159.30
2012-03-29,149.10,150.40,148.60,149.70,977500,149.70
2012-03-28,149.20,150.80,147.80,149.60,1319800,149.60
2012-03-27,146.70,152.30,146.00,149.60,2157900,149.60
2012-03-26,145.50,146.50,142.30,146.00,953600,146.00
2012-03-23,144.30,145.30,143.50,144.50,792200,144.50
2012-03-22,145.00,145.40,142.70,144.30,1452800,144.30
2012-03-21,146.00,146.50,144.80,145.20,1448100,145.20
2012-03-20,149.70,149.96,144.86,145.60,2293900,145.60
2012-03-19,150.20,150.60,148.40,149.90,837000,149.90
2012-03-16,150.00,151.50,149.40,149.80,1758900,149.80
2012-03-15,152.90,153.00,149.70,150.00,1132300,150.00
2012-03-14,153.00,153.00,151.10,152.70,358600,152.70
2012-03-13,151.70,152.50,150.51,152.00,912200,152.00
2012-03-12,150.60,151.66,150.00,150.80,521100,150.80
2012-03-09,150.00,152.00,149.45,150.50,548900,150.50
2012-03-08,150.70,150.90,148.20,150.00,885500,150.00
2012-03-07,150.00,152.90,148.10,149.90,623000,149.90
2012-03-06,150.80,152.00,148.50,150.10,729300,150.10
2012-03-05,150.80,151.40,149.70,151.20,1084500,151.20
2012-03-02,152.20,152.40,150.10,151.60,309400,151.60
2012-03-01,151.20,152.70,150.70,152.30,755900,152.30
2012-02-29,151.70,152.20,148.70,151.10,511200,151.10
2012-02-28,152.80,153.26,149.30,151.50,437700,151.50
2012-02-27,151.70,154.10,149.10,152.80,692600,152.80
2012-02-24,153.90,154.90,151.27,151.90,806400,151.90
2012-02-23,150.50,153.20,149.02,153.20,1218400,153.20
2012-02-22,148.60,150.50,147.10,150.40,607800,150.40
2012-02-21,149.80,149.80,147.20,148.40,533700,148.40
2012-02-20,148.70,150.11,146.10,150.00,630600,150.00
2012-02-17,145.30,148.00,144.90,148.00,888300,148.00
2012-02-16,144.70,145.70,143.40,145.00,402900,145.00
2012-02-15,143.70,145.60,142.60,145.20,1080900,145.20
2012-02-14,142.20,144.20,141.30,143.40,365300,143.40
2012-02-13,142.70,144.60,142.00,142.50,522400,142.50
2012-02-10,140.70,142.40,140.00,142.40,595500,142.40
2012-02-09,139.10,143.00,137.70,140.70,1142900,140.70
2012-02-08,138.10,139.30,136.10,139.20,691800,139.20
2012-02-07,136.40,137.60,135.10,137.50,682900,137.50
2012-02-06,135.00,136.50,134.00,136.00,519400,136.00
2012-02-03,134.30,137.00,132.20,135.00,1811300,135.00
2012-02-02,139.00,142.80,133.20,134.50,1292200,134.50
2012-02-01,130.50,136.90,128.82,136.40,1087500,136.40
2012-01-31,131.50,132.50,128.60,129.20,842600,129.20
2012-01-30,131.90,134.50,129.74,130.80,564600,130.80
2012-01-27,134.30,134.40,131.60,132.00,549800,132.00
2012-01-26,135.00,137.00,134.00,134.30,640800,134.30
2012-01-25,131.90,135.00,131.90,134.80,997000,134.80
2012-01-24,134.70,135.50,131.00,131.30,688100,131.30
2012-01-23,135.40,136.00,132.90,135.00,822600,135.00
2012-01-20,134.70,136.00,133.40,135.00,914100,135.00
2012-01-19,135.40,135.90,133.54,134.20,633100,134.20
2012-01-18,135.40,135.50,130.00,134.90,549800,134.90
2012-01-17,136.50,137.00,134.80,135.00,643500,135.00
2012-01-16,135.30,136.00,133.73,135.80,333100,135.80
2012-01-13,136.00,137.00,134.50,135.10,852800,135.10
2012-01-12,135.00,138.20,135.00,136.00,1080500,136.00
2012-01-11,133.80,137.37,133.80,134.60,754100,134.60
2012-01-10,133.10,135.10,133.10,133.50,1066300,133.50
2012-01-09,131.80,133.00,131.20,132.60,1053900,132.60
2012-01-06,131.00,132.80,129.30,131.20,905600,131.20
2012-01-05,132.20,133.40,130.10,130.40,869200,130.40
2012-01-04,133.40,135.42,130.60,131.40,1061100,131.40
2012-01-03,135.00,135.00,129.30,133.60,1823400,133.60
2011-12-30,134.00,134.80,132.60,132.60,329100,132.60
2011-12-29,134.30,134.70,132.00,133.80,628200,133.80
2011-12-28,136.10,136.20,133.90,134.00,631100,134.00
2011-12-23,136.00,137.30,134.70,135.20,232000,135.20
2011-12-22,135.60,137.40,134.70,135.70,336200,135.70
2011-12-21,136.00,136.00,133.30,134.80,382100,134.80
2011-12-20,131.80,136.09,131.80,134.80,626300,134.80
2011-12-19,131.20,133.00,130.80,131.70,363400,131.70
2011-12-16,132.40,133.80,130.80,131.50,945000,131.50
2011-12-15,131.50,134.10,130.31,132.70,607400,132.70
2011-12-14,135.60,135.60,130.00,131.20,978800,131.20
2011-12-13,136.50,138.70,135.50,136.10,828200,136.10
2011-12-12,137.20,137.50,134.10,135.00,662800,135.00
2011-12-09,130.70,138.09,130.70,137.40,1730500,137.40
2011-12-08,129.70,132.00,126.10,131.10,1007700,131.10
2011-12-07,129.10,129.70,125.80,128.40,723400,128.40
2011-12-06,129.50,130.00,128.10,128.60,972900,128.60
2011-12-05,131.70,132.01,128.94,130.00,632000,130.00
2011-12-02,128.40,131.40,128.10,131.20,947200,131.20
2011-12-01,127.90,130.40,126.70,127.40,1539700,127.40
2011-11-30,124.00,128.00,122.60,126.20,1158800,126.20
2011-11-29,123.50,125.10,122.30,123.70,1121800,123.70
2011-11-28,122.40,124.30,118.71,123.70,1187100,123.70
2011-11-25,122.10,122.60,120.07,121.50,365800,121.50
2011-11-24,120.90,122.40,117.43,122.00,971900,122.00
2011-11-23,121.00,127.30,120.30,123.60,3244000,123.60
2011-11-22,118.50,118.50,114.32,116.10,599500,116.10
2011-11-21,118.10,118.56,114.70,116.20,645600,116.20
2011-11-18,120.10,120.10,115.70,118.10,384500,118.10
2011-11-17,120.40,121.20,118.00,120.40,300100,120.40
2011-11-16,120.50,122.40,118.30,120.90,2143800,120.90
2011-11-15,120.50,122.80,118.80,121.00,805100,121.00
2011-11-14,122.00,123.51,119.88,121.00,566800,121.00
2011-11-11,119.50,121.40,117.66,121.30,351400,121.30
2011-11-10,117.60,119.60,116.50,118.80,302800,118.80
2011-11-09,122.60,122.60,119.00,119.50,824500,119.50
2011-11-08,121.30,123.20,120.20,122.00,513200,122.00
2011-11-07,119.40,123.00,119.20,121.30,364300,121.30
2011-11-04,120.10,120.20,118.30,120.00,790500,120.00
2011-11-03,116.90,120.90,116.90,119.70,578800,119.70
2011-11-02,118.50,119.30,116.30,118.00,302700,118.00
2011-11-01,119.90,119.90,115.83,117.50,794700,117.50
2011-10-31,117.20,120.10,116.70,116.80,644500,116.80
2011-10-28,117.60,119.80,116.80,117.80,1679500,117.80
2011-10-27,118.80,118.80,116.20,117.70,729100,117.70
2011-10-26,117.00,117.50,115.00,117.00,527600,117.00
2011-10-25,116.20,117.80,114.50,116.90,352300,116.90
2011-10-24,117.00,117.00,115.30,117.00,473500,117.00
2011-10-21,115.00,118.00,115.00,116.40,397300,116.40
2011-10-20,116.60,117.00,113.40,114.30,444200,114.30
2011-10-19,116.50,117.70,115.60,117.40,499400,117.40
2011-10-18,115.10,118.40,114.99,116.20,583600,116.20
2011-10-17,118.00,118.00,115.00,116.00,385100,116.00
2011-10-14,117.00,118.30,115.90,117.50,357200,117.50
2011-10-13,117.90,118.40,116.60,116.60,574500,116.60
2011-10-12,116.80,120.10,116.80,118.00,611700,118.00
