Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,350.00,350.00,344.00,344.00,1200,344.00
2012-08-02,350.00,350.00,344.00,344.00,1200,344.00
2012-08-01,349.75,350.00,342.98,350.00,7800,350.00
2012-07-31,342.00,351.00,342.00,351.00,12500,351.00
2012-07-27,336.50,346.00,336.00,337.00,15800,337.00
2012-07-26,338.00,348.00,348.00,348.00,13900,348.00
2012-07-25,343.75,348.00,336.00,336.00,10900,336.00
2012-07-24,338.25,337.00,337.00,337.00,3000,337.00
2012-07-23,338.75,349.64,338.75,339.00,1700,339.00
2012-07-20,338.75,349.75,338.75,342.00,900,342.00
2012-07-19,344.75,350.00,344.40,350.00,8500,350.00
2012-07-18,339.75,340.00,339.66,340.00,2600,340.00
2012-07-17,336.00,336.00,332.00,333.00,9100,333.00
2012-07-16,331.61,337.62,331.61,331.61,1000,331.61
2012-07-13,339.75,339.75,333.00,333.00,2800,333.00
2012-07-12,331.99,335.68,331.99,335.68,10400,335.68
2012-07-11,333.00,339.66,333.00,339.66,1800,339.66
2012-07-10,333.25,340.00,331.00,340.00,1300,340.00
2012-07-09,333.00,340.00,333.00,340.00,4000,340.00
2012-07-06,330.75,340.00,325.25,340.00,13100,340.00
2012-07-05,333.25,336.75,330.00,333.50,6100,333.50
2012-07-04,325.36,334.00,325.36,334.00,10700,334.00
2012-07-03,328.00,330.00,330.00,330.00,12800,330.00
2012-07-02,340.00,340.00,321.50,321.50,21000,321.50
2012-06-29,339.75,342.00,339.75,342.00,11100,342.00
2012-06-28,326.00,338.50,323.00,338.50,79200,338.50
2012-06-27,314.25,325.00,314.00,325.00,13300,325.00
2012-06-26,311.00,316.00,311.00,316.00,15200,316.00
2012-06-25,313.00,313.00,304.55,311.25,4700,311.25
2012-06-22,305.00,313.00,303.00,313.00,21100,313.00
2012-06-21,304.00,308.00,303.00,306.50,24900,306.50
2012-06-20,311.50,311.50,301.39,311.00,14200,311.00
2012-06-19,311.50,311.50,306.00,306.00,2400,306.00
2012-06-18,303.25,312.88,303.25,305.00,20400,305.00
2012-06-15,311.00,311.00,303.00,304.50,51000,304.50
2012-06-14,307.00,315.00,307.00,309.75,17600,309.75
2012-06-13,314.75,319.34,307.75,310.75,21400,310.75
2012-06-12,326.75,326.75,312.00,312.00,51400,312.00
2012-06-11,324.12,325.75,317.60,324.00,2900,324.00
2012-06-08,322.00,327.73,316.25,320.75,10900,320.75
2012-06-07,319.00,321.81,317.50,318.00,13900,318.00
2012-06-06,328.00,328.00,316.00,316.00,2800,316.00
2012-06-01,320.00,320.00,314.00,314.00,19900,314.00
2012-05-31,315.25,320.00,315.00,320.00,4400,320.00
2012-05-30,326.75,326.75,315.16,319.30,9200,319.30
2012-05-29,323.00,324.84,314.00,314.00,19900,314.00
2012-05-28,330.00,330.00,322.50,322.50,16400,322.50
2012-05-25,327.00,333.09,326.00,326.00,6300,326.00
2012-05-24,327.25,332.50,327.00,330.40,27900,330.40
2012-05-23,334.12,334.12,327.00,327.00,6400,327.00
2012-05-22,328.68,334.19,327.25,334.19,893400,334.19
2012-05-21,327.00,330.18,327.00,329.00,12500,329.00
2012-05-18,327.25,330.00,327.00,327.00,18900,327.00
2012-05-17,328.00,334.75,327.00,327.00,29000,327.00
2012-05-16,341.00,341.00,326.83,331.00,17300,331.00
2012-05-14,345.25,353.00,343.25,348.50,18600,348.50
2012-05-11,352.00,355.00,347.00,347.00,6400,347.00
2012-05-10,348.00,355.00,348.00,355.00,24000,355.00
2012-05-09,350.00,355.50,350.00,355.25,7100,355.25
2012-05-08,349.25,359.39,349.25,354.00,23200,354.00
2012-05-04,359.25,359.75,348.00,348.00,12900,348.00
2012-05-03,356.00,359.25,350.00,350.00,10100,350.00
2012-05-02,345.00,354.00,343.22,354.00,13000,354.00
2012-05-01,349.00,350.00,343.27,350.00,17900,350.00
2012-04-30,345.00,349.50,345.00,345.00,1800,345.00
2012-04-27,352.75,352.75,347.00,347.25,17400,347.25
2012-04-26,359.75,359.75,348.00,348.00,11000,348.00
2012-04-25,353.50,355.00,349.75,355.00,51000,355.00
2012-04-24,353.50,359.60,353.50,353.50,163800,353.50
2012-04-23,352.25,360.00,352.25,360.00,14400,360.00
2012-04-20,360.00,362.00,359.82,360.00,36300,360.00
2012-04-19,355.25,360.00,355.25,358.34,8700,358.34
2012-04-18,356.50,357.09,351.87,355.25,24300,355.25
2012-04-17,358.87,358.87,350.00,356.50,36500,356.50
2012-04-16,350.75,360.59,350.75,358.25,17700,358.25
2012-04-13,354.00,359.85,351.00,358.25,201700,358.25
2012-04-12,359.25,361.75,358.00,359.00,54900,359.00
2012-04-11,361.75,361.75,354.50,361.50,74000,361.50
2012-04-10,358.00,361.65,350.00,351.50,19200,351.50
2012-04-05,354.60,361.90,354.50,361.90,5100,361.90
2012-04-04,358.90,355.50,355.50,355.50,300,355.50
2012-04-03,355.00,360.75,355.00,360.75,50700,360.75
2012-04-02,351.48,361.00,351.48,355.00,27000,355.00
2012-03-30,359.85,359.92,353.50,359.25,13700,359.25
2012-03-29,357.00,360.00,351.75,358.25,20000,358.25
2012-03-28,350.00,357.00,350.00,351.75,8700,351.75
2012-03-27,351.00,356.00,350.00,350.00,8500,350.00
2012-03-26,350.00,357.00,349.01,357.00,22300,357.00
